company,date,sec_code,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,Operating Margin,Earnings,file_url
360 ONE WAM LTD,2025-04-23T17:37:31.657,542772,658,249.60,,6.38,6.17,,249.60,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2bd3ff47-2f7d-4bca-9df4-5d618fe88acb.pdf
ACC Ltd,2025-04-24T14:33:37.66,500410,5991.67,757.04,,39.99,39.89,,757.04,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ae69d160-ee3d-461f-b554-2a9714392678.pdf
AU Small Finance Bank Ltd,2025-04-22T16:14:51.843,540611,503126.71,50369.86,,6.77,6.75,,50369.86,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=97c8ea66-9230-4a6e-9ca5-638f565a4b3a.pdf
AWL Agri Business Ltd,2025-04-28T18:37:45.127,543458,18229.59,190.66,,1.47,1.47,,190.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=17041c50-a323-4bec-9b5d-d04beaee88a2.pdf
AAVAS Financiers Ltd,2025-04-24T17:03:40.36,541988,63748.80,15367.92,,19.42,19.26,,15367.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=32d69bb9-7979-45af-84cb-3dc5396089d2.pdf
Adani Energy Solutions Ltd,2025-04-24T15:21:13.193,539254,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=264ea732-457a-4ff2-ae9d-5902feb40967.pdf
Adani Enterprises Ltd,2025-05-01T16:24:49.51,512599,26965.86,4014.90,,32.98,32.98,13.78,4014.90,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=74f4f7e5-4313-4944-89f3-b40f474576e2.pdf
Adani Green Energy Ltd,2025-04-28T20:41:49.133,541450,3278,393,2453,1.45,1.26,91.0,393,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=779e95cf-59db-409d-b163-8ebe242c16cb.pdf
Adani Ports and Special Economic Zone Ltd,2025-05-01T12:48:50.823,532921,8488.44,3023.10,5209.39,13.95,13.95,59,3023.10,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0fa89604-c020-4c08-8801-443d826eb45d.pdf
Adani Power Ltd,2025-04-30T15:13:45.37,533096,14535.60,2599.23,5110.83,6.62,6.62,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6cace3cb-a6c7-437e-98d2-65943f61268e.pdf
Adani Total Gas Ltd,2025-04-28T17:06:07.843,542066,1456.59,149.38,,1.36,1.36,,149.38,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=19958a2e-0d0b-4f13-8530-f0595bb8de39.pdf
Aditya Birla Sun Life AMC Ltd,2025-04-28T14:57:58,543374,428.84,228.08,,7.91,7.89,,228.08,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3808cd7c-98fa-4268-88e6-b48408387b0e.pdf
Ajanta Pharma Ltd,2025-04-30T15:23:35.35,532331,1170,225,297,18.00,18.00,25,225,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6c209dff-01ae-4656-8d9d-b3db7504ee8b.pdf
Alok Industries Ltd,2025-04-21T18:29:52.78,521070,952.96,-74.47,157.98,-0.15,-0.15,,-74.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d6980513-d60b-4fea-bd1c-f20a38d2f906.pdf
Ambuja Cements Ltd,2025-04-29T14:40:34.18,500425,9802.47,1282.24,,3.88,3.88,,1282.24,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24708c27-7f9d-46c3-9d77-2e78af4d029e.pdf
Anand Rathi Wealth Ltd,2025-04-10T18:53:00.893,543415,22195.97,7373.51,,8.87,8.87,,7373.51,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=971458af-2cfa-454b-a322-29d300234825.pdf
Anant Raj Ltd-$,2025-04-21T17:57:09.673,515055,540.65,118.79,,3.47,3.47,,118.79,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b45a3c95-38a2-4960-bee9-19cbe83133fc.pdf
Angel One Ltd,2025-04-17T13:40:56.47,543235,10560.13,1745.21,,19.33,18.86,30.39,1745.21,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a41133eb-6b71-49db-a392-ba2e4e452fff.pdf
Atul Ltd,2025-04-25T14:09:54.953,500027,1451.64,130.13,,42.97,42.97,,130.13,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c2cfbe2f-7b38-45ab-96ee-f5fc18196703.pdf
AXIS Bank Ltd,2025-04-24T16:57:08.627,532215,38022.03,7117.50,,22.99,22.87,,7117.50,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d3306552-865d-430e-bedd-6725b9fed458.pdf
Bajaj Finance Ltd,2025-04-29T18:24:30.077,500034,18468.74,4545.57,,72.35,72.18,,4545.57,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8106cc0f-759e-4e2a-a1c2-cfc92cb02cb3.pdf
Bajaj Finserv Ltd,2025-04-29T19:51:59.74,532978,,,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa52aba3-5689-456d-98e1-c2df3fe4285e.pdf
Bajaj Housing Finance Ltd,2025-04-23T16:53:55.383,544252,2508.02,586.68,,0.70,0.70,,586.68,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5075985f-c9e4-4ede-9976-91c0791cc18c.pdf
Bank of Maharashtra,2025-04-25T14:47:17.137,532525,771144,149308,,1.94,,32.68,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4c7a715-6568-4596-ae02-8d736cdff6d9.pdf
Bharat Petroleum Corporation Ltd,2025-04-29T15:50:30.027,500547,126916.18,4391.83,,10.28,10.28,4.09,4391.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=26952035-8a4c-469f-9fad-6fae3f27bc4a.pdf
Can Fin Homes Ltd,2025-04-23T19:53:15.7,511196,99964.86,23391.51,,17.57,17.57,,23391.51,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=654fcf5a-eb02-4d44-a62f-3e054c4240b6.pdf
Castrol India Ltd,2025-04-28T15:56:42.343,500870,1422,233.46,,2.36,2.36,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4c6e11d0-2418-49ac-86e0-63776494852c.pdf
Ceat Ltd,2025-04-29T19:49:06.293,500878,342062,9871,39350,24.60,24.60,11.51,9871,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1bbb20f5-8a64-41ce-8a37-7450f169bf60.pdf
Central Bank of India,2025-04-28T15:40:30.243,532885,1047605,110458,,1.27,1.27,19.25,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1dc3b4e3-4708-4fd2-a7a8-65a949bf3e14.pdf
Chennai Petroleum Corporation Ltd,2025-04-25T14:06:18.013,500110,20580.65,469.93,,31.56,31.56,3.81,469.93,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea1e42bc-0f66-44ed-b01e-4a73478071f5.pdf
Cholamandalam Investment and Finance Company Ltd,2025-04-25T15:07:53.593,511243,7120.69,1266.72,,15.06,15.03,,1266.72,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be5fcca9-1f3b-413a-908c-193050c88123.pdf
Dalmia Bharat Ltd,2025-04-23T19:06:27.183,542216,4091,439,,23.20,23.20,,439,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=344c08da-5100-4dd6-8ef9-2e114af37ba0.pdf
Dr. Lal PathLabs Ltd,2025-04-25T14:20:33.42,539524,6026,1555,,18.57,18.54,,1555,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=16d95e8c-570f-4d77-ade5-f7a52c58f63e.pdf
Elecon Engineering Company Ltd,2025-04-24T14:09:19.777,505700,79757,14648,19500,6.53,6.53,24.5,14648,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1df1d867-2963-4d70-853d-df8b5cd143a6.pdf
Eternal Ltd,2025-05-01T15:40:55.157,543320,5833,39,,0.04,0.04,,39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4f48c25d-559f-4f4e-92f0-55fb4387bcb1.pdf
Exide Industries Ltd,2025-04-30T14:09:34.66,500086,4159,255,467,3.00,3.00,11.2,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cb8f6094-9715-44aa-8f6d-c904adcb1276.pdf
Federal Bank Ltd,2025-04-30T19:27:41.017,500469,765431,103023,,4.20,4.16,19.14,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7d33efd2-2613-4854-bef9-5064e9b051c2.pdf
Firstsource Solutions Ltd,2025-04-28T16:40:17.56,532809,21677.68,1606.86,,2.33,2.28,11.2,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=af18202e-2b7f-464e-b206-8c15dc5edf0a.pdf
Five-Star Business Finance Ltd,2025-04-29T18:09:58.587,543663,75227.04,27912.39,,9.49,9.55,,27912.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1cb3211d-5f95-40ce-a482-d77de132cb7d.pdf
Go Digit General Insurance Ltd,2025-04-28T16:42:39.547,544179,285518,11561,,1.25,1.25,,11561,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c513e60b-f0ee-4518-b059-4662cdf2dfcd.pdf
Godrej Agrovet Ltd,2025-04-30T19:17:07.16,540743,2133.64,66.10,159.63,3.68,3.68,6.87,66.10,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ab6ba89-2aa0-4df0-b7df-dabc4b4abb80.pdf
