company,date,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,file_url
Bank of Maharashtra,2025-07-15T13:19:51.183,787882,159309,,1.96,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e472a47f-d1bb-4acb-894d-99f87e7f8061.pdf
RailTel Corporation of India Ltd,2025-07-28T17:02:26.513,74381,6610,,2.06,2.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=103d29d6-946f-4e9c-bfa2-dc1ef14c41c8.pdf
Mahanagar Gas Ltd,2025-07-22T13:50:19.493,2159.72,324.32,485.36,32.83,32.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa963a39-c817-424e-b45c-e4d1cadf7128.pdf
L&T Technology Services Ltd,2025-07-16T16:33:44.66,28660,3161,,29.81,29.77,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7bded3fd-f159-48e9-90ac-d550f07cb603.pdf
Tata Steel Ltd,2025-07-30T18:06:31.31,53178.12,2007.36,7479.58,1.67,1.67,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3d754da5-eea4-4f07-b3b5-3685bce502b1.pdf
Varun Beverages Ltd,2025-07-29T11:56:07.84,71630.21,13254.88,,3.89,3.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=11c9c6ab-d668-49c1-a027-819a9b362dfc.pdf
Tech Mahindra Ltd,2025-07-16T16:14:14.383,133512,11406,19352,12.87,12.86,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=692e01f9-832a-41b3-9687-f0b0e17cab4a.pdf
Syngene International Ltd,2025-07-23T15:08:52.767,8745,867,,2.16,2.15,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6a41bff8-4ae5-4c04-9d39-e3fca5870071.pdf
Westlife Foodworld Ltd,2025-07-23T14:14:16.267,65763.71,122.75,,0.08,0.08,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9d57c5c4-f43c-43ad-b569-b42f11bd3684.pdf
Kaynes Technology India Ltd,2025-07-31T12:04:40.153,7005.62,746.12,,11.63,11.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cd9185f6-eb95-4766-85c8-c33fa939b2ac.pdf
Great Eastern Shipping Company Ltd,2025-07-31T18:22:20.393,1201.47,504.50,,35.34,35.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=70d995f4-698c-4ea7-a296-b59203838727.pdf
TVS Motor Company Ltd,2025-07-31T13:35:34.96,12210.05,642.86,1263,12.84,12.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f601b547-8d8e-477b-86c7-57bfc4e2ef24.pdf
Tata Communications Ltd,2025-07-17T18:51:52.067,5960,232,1137,6.67,6.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5005a9f3-6f9b-4804-97f8-18f9ebe48e2d.pdf
Dr. Lal PathLabs Ltd,2025-07-31T13:25:58.543,"6,407","1,293",,15.51,15.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4e31979a-b805-405c-bede-fde858625edf.pdf
Navin Fluorine International Ltd-$,2025-07-30T16:38:40.2,739.31,117.17,,23.63,23.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=32498cd9-daab-4d57-a811-3f0d66ffdc5b.pdf
Welspun Corp Ltd,2025-07-29T14:57:17.067,3551.49,349.16,575.98,13.32,13.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa057ef8-fcd8-4fd2-9202-df7d42afb1cf.pdf
IIFL Finance Ltd,2025-07-30T16:53:35.27,2959.30,274.17,,5.49,5.45,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9ef842a9-b4bf-4785-ae71-be38aeb067e7.pdf
Intellect Design Arena Ltd,2025-07-25T13:07:27.083,7016.89,936.94,,6.85,6.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab65f2f3-9c41-4ee1-bae4-f915353e6219.pdf
Eicher Motors Ltd,2025-07-31T17:47:46.787,5041.84,1205.22,,43.95,43.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9904b585-c11d-4c9e-885d-c8f94825c4ef.pdf
Five-Star Business Finance Ltd,2025-07-28T19:03:29.41,79118.74,26631.16,,9.04,9.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d1cb5aae-0639-4b24-b68d-be15164fa003.pdf
Five-Star Business Finance Ltd,2025-07-28T18:47:40.437,79118.74,26631.16,,9.04,9.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6a1d4250-af93-44c3-b714-6ef1a5510140.pdf
Raymond Lifestyle Ltd,2025-08-06T19:03:03.787,143043,1982,12200,3.25,3.25,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=93d31a0f-59bc-4860-89cd-608e5dd2b96a.pdf
Gland Pharma Ltd,2025-08-05T16:25:50.497,4647.62,560.58,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ee44c072-4ee8-4c49-8667-ada77a9b3440.pdf
Adani Ports and Special Economic Zone Ltd,2025-08-05T13:39:03.42,9126.14,3310.60,5482.91,15.34,15.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b1755b9b-db34-46ac-a8a2-449f9859aab1.pdf
Jyothy Labs Ltd,2025-08-12T13:05:22.547,75121,9679,,2.64,2.64,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7f019d9b-bea5-4d89-9457-7734fca0e18c.pdf
Rattanindia Enterprises Ltd,2025-08-12T14:02:45.73,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=94a4264f-b956-44b3-8291-2f15b55364ed.pdf
Godrej Industries Ltd,2025-08-13T13:56:18.483,4459.80,725.35,1748,10.37,10.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=60d715aa-43b7-4930-a64b-32e8e5c48767.pdf
Bharat Forge Ltd,2025-08-06T13:22:49.343,39087.49,2838.70,6802.19,5.93,5.93,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=254e2edd-413c-45dd-abd8-11b32413d189.pdf
3M India Ltd,2025-08-07T13:15:55.247,11959687,1776864,25700,157.73,157.73,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09487024-de33-4579-b2ac-0afde2e39b0e.pdf
Triveni Turbine Ltd,2025-08-04T17:59:32.76,3713,644,,2.03,2.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40ab6232-a1c6-4ba1-ac4a-e54fadff2ef4.pdf
Triveni Turbine Ltd,2025-08-04T17:40:41.733,3713,644,,2.03,2.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f4d43d51-461a-40d7-bce9-62af6b3390a7.pdf
Sai Life Sciences Ltd,2025-08-07T23:15:43.117,4964.19,604.55,,2.90,2.83,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3969a484-8c43-45d3-9874-1b683e50eb4d.pdf
DOMS Industries Ltd,2025-08-08T18:03:54.013,56227.72,5910.20,10323.57,9.44,9.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b9f6431c-a12e-4af7-8936-2ed9b2811e0c.pdf
Kalyan Jewellers India Ltd,2025-08-07T15:34:02.113,72684.75,2640.84,,2.56,2.56,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e7b526b2-40e0-431d-8ad0-bafea4d13688.pdf
Aditya Birla Fashion and Retail Ltd,2025-08-13T19:52:04.68,1831.46,-233.73,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=44b69924-af23-499a-b812-6618dcaaf4e6.pdf
Elgi Equipments Ltd,2025-08-12T17:48:17.573,8667,856,,2.71,2.70,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3f56b3e4-1364-4033-b1d5-e25045221d36.pdf
Cera Sanitaryware Ltd,2025-08-06T12:33:57.487,42218.73,4705.09,,36.10,36.10,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a82586a-c7f2-423a-bddf-49dfdcbf4930.pdf
PI Industries Ltd,2025-08-12T18:45:53.68,19005,4000,,26.37,26.36,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=337ff6e1-3b8e-4f34-ba41-ab48c4d0660d.pdf
AstraZeneca Pharma India Ltd,2025-08-14T14:09:53.677,5263.1,558.3,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=48cf5f79-c911-46e4-9d72-4828940b3d02.pdf
Hindustan Copper Ltd,2025-08-14T14:40:40.047,52665,13425,,1.39,1.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b3e9f6e5-2fd7-4fb0-913a-3a22d4e1dfeb.pdf
