index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ABB.NSE,2020-01-01,1296.95,1329.7,1275.0,1322.0,1286.3343,46549,-1.0,1275.0,,,,,,,,,,,,,,,,,,
1,ABB.NSE,2020-01-06,1321.95,1405.8,1275.0,1378.0,1340.8235,271690,,,,,,,,,,,,,,,,,,,,
2,ABB.NSE,2020-01-13,1379.4,1411.0,1292.05,1309.0,1273.685,327533,,,,,,,-1.0,1411.0,1292.05,771179.0,55.0,73.82756,,,,,,,,
3,ABB.NSE,2020-01-20,1303.0,1364.85,1280.0,1321.0,1285.3613,302528,,,,,,,,,,,,,,,,,,,,
4,ABB.NSE,2020-01-27,1312.0,1360.0,1266.0,1270.0,1235.7372,141118,,,,,,,,,,,,,,,,,,,,
5,ABB.NSE,2020-02-03,1282.0,1360.95,1282.0,1332.0,1296.0645,142362,,,,,,,,,,,,,,,,,,,,
6,ABB.NSE,2020-02-10,1332.0,1379.0,1226.15,1230.0,1196.8164,787875,1.0,1379.0,,,,,,,,,,,-1.0,1282.0,1254.0,50.0,,,,
7,ABB.NSE,2020-02-17,1254.0,1254.0,1200.7,1228.65,1195.5028,215354,,,,,,,,,,,,,-1.0,1226.15,1225.0,48.0,,,,
8,ABB.NSE,2020-02-24,1225.0,1225.0,1175.0,1185.1,1153.1277,173967,,,,,,,,,,,,,,,,,,,,
9,ABB.NSE,2020-03-02,1185.0,1221.0,1150.0,1220.0,1187.0861,250478,,,,,,,,,,,,,,,,,,,,
10,ABB.NSE,2020-03-09,1180.0,1192.75,830.9,1020.0,992.4819,308005,,,,,,,,,,,,,-1.0,1150.0,1018.45,14.0,,,,
11,ABB.NSE,2020-03-16,1000.0,1018.45,835.0,950.0,924.3704,896095,,,,,,,,,,,,,,,,,,,,
12,ABB.NSE,2020-03-23,825.0,999.0,801.0,850.95,827.9926,216356,-1.0,801.0,-1.0,,801.0,20.0,,,,,,,,,,,-1.0,808.05,38.0,0.0
13,ABB.NSE,2020-03-30,839.55,949.0,826.0,935.0,909.775,225866,,,,,,,,,,,,,,,,,,,,
14,ABB.NSE,2020-04-07,969.9,1050.0,910.0,925.0,900.0448,326410,1.0,1050.0,,,,,-1.0,1050.0,910.0,1106748.0,46.0,19.928612,,,,,1.0,1025.3334,35.0,46.0
15,ABB.NSE,2020-04-13,930.0,934.4,897.5,931.0,905.8829,276626,,,,,,,,,,,,,,,,,,,,
16,ABB.NSE,2020-04-20,936.3,972.75,887.05,892.0,867.9351,572732,,,,,,,,,,,,,,,,,,,,
17,ABB.NSE,2020-04-27,900.0,913.15,868.0,904.0,879.6114,392331,,,,,,,,,,,,,,,,,,,,
18,ABB.NSE,2020-05-04,895.0,896.05,841.0,844.2,821.4247,183909,,,,,,,,,,,,,,,,,,,,
19,ABB.NSE,2020-05-11,849.6,876.8,821.0,823.0,800.7966,317223,,,,,,,,,,,,,-1.0,841.0,828.3,22.0,,,,
20,ABB.NSE,2020-05-18,822.7,828.3,729.0,732.7,712.9328,605616,,,,,,,,,,,,,-1.0,821.0,772.0,22.0,,,,
21,ABB.NSE,2020-05-26,737.3,772.0,722.0,744.0,723.9279,1117165,-1.0,722.0,,,,,,,,,,,,,,,,,,
22,ABB.NSE,2020-06-01,757.0,889.9,754.4,874.3,850.7126,1784017,,,,,,,,,,,,,1.0,780.0,772.0,0.0,,,,
23,ABB.NSE,2020-06-08,900.15,913.95,780.0,805.25,783.5255,830117,,,,,,,,,,,,,,,,,,,,
24,ABB.NSE,2020-06-15,813.4,830.0,781.0,812.6,790.6772,1776881,,,,,,,,,,,,,,,,,,,,
25,ABB.NSE,2020-06-22,825.0,927.0,822.05,912.0,887.3955,2030745,,,,,,,,,,,,,1.0,885.6,830.0,30.0,,,,
26,ABB.NSE,2020-06-29,920.0,988.0,885.6,977.35,950.9825,1140794,,,,,,,,,,,,,,,,,,,,
27,ABB.NSE,2020-07-06,982.0,1017.0,914.9,915.15,890.4606,1125714,1.0,1017.0,,,,,,,,,,,,,,,,,,
28,ABB.NSE,2020-07-13,922.0,933.0,894.0,914.5,894.567,513210,,,,,,,,,,,,,,,,,,,,
29,ABB.NSE,2020-07-20,913.5,945.0,894.0,913.0,893.0997,962022,,,,,,,,,,,,,,,,,,,,
30,ABB.NSE,2020-07-27,912.1,912.1,862.6,896.5,876.9593,536584,-1.0,862.6,-1.0,,862.6,38.0,,,,,,,,,,,,,,
31,ABB.NSE,2020-08-03,900.1,922.0,869.45,884.0,864.7318,664463,,,,,,,,,,,,,,,,,,,,
32,ABB.NSE,2020-08-10,886.65,959.0,874.6,945.0,924.4022,1148882,,,,,,,,,,,,,1.0,923.0,922.0,36.0,,,,
33,ABB.NSE,2020-08-17,954.0,998.0,923.0,990.0,968.4214,790111,,,,,,,,,,,,,,,,,,,,
34,ABB.NSE,2020-08-24,986.0,996.5,950.0,987.0,965.4867,1509280,,,,,,,,,,,,,,,,,,,,
35,ABB.NSE,2020-08-31,993.0,1009.0,936.3,946.5,925.8695,685521,1.0,1009.0,,1.0,1009.0,46.0,-1.0,1009.0,936.3,2996301.0,45.0,79.891464,,,,,,,,
36,ABB.NSE,2020-09-07,955.85,957.35,893.55,899.25,879.6494,1665616,,,,,,,,,,,,,-1.0,936.3,924.8,43.0,,,,
37,ABB.NSE,2020-09-14,902.7,924.8,898.45,901.0,881.3613,804788,,,,,,,,,,,,,,,,,,,,
38,ABB.NSE,2020-09-21,904.0,905.9,846.6,851.0,832.4511,525897,-1.0,846.6,,,,,1.0,905.9,846.6,2427504.0,0.0,25.512468,-1.0,898.45,874.85,40.0,,,,
39,ABB.NSE,2020-09-28,855.0,874.85,849.9,867.0,848.1023,1179720,,,,,,,,,,,,,,,,,,,,
40,ABB.NSE,2020-10-05,865.0,887.0,860.0,875.0,855.928,949799,,,,,,,,,,,,,,,,,,,,
41,ABB.NSE,2020-10-12,874.9,885.0,848.0,862.0,843.2113,643759,,,,,,,,,,,,,,,,,,,,
42,ABB.NSE,2020-10-19,866.0,924.45,857.05,913.25,893.3442,473522,,,,,,,,,,,,,,,,,,,,
43,ABB.NSE,2020-10-26,915.0,937.2,880.05,889.0,869.6228,549235,,,,,,,,,,,,,,,,,,,,
44,ABB.NSE,2020-11-02,888.0,941.75,868.6,935.1,914.718,493430,,,,,,,,,,,,,,,,,,,,
45,ABB.NSE,2020-11-09,935.1,1010.0,935.1,984.9,963.4325,704594,,,,,,,,,,,,,1.0,980.0,941.75,0.0,,,,
46,ABB.NSE,2020-11-17,997.0,1135.0,980.0,1133.0,1108.3044,1229480,,,,,,,,,,,,,1.0,1011.5,1010.0,0.0,,,,
47,ABB.NSE,2020-11-23,1129.0,1163.0,1011.5,1069.0,1045.6994,1131385,,,,,,,,,,,,,,,,,,,,
48,ABB.NSE,2020-12-01,1081.15,1238.95,1073.85,1164.0,1138.6287,1033771,,,,,,,,,,,,,,,,,,,,
49,ABB.NSE,2020-12-07,1174.0,1190.0,1140.0,1175.0,1149.389,971690,,,,,,,,,,,,,,,,,,,,
50,ABB.NSE,2020-12-14,1180.0,1260.0,1151.15,1240.5,1213.4613,1280092,,,,,,,,,,,,,,,,,,,,
51,ABB.NSE,2020-12-21,1244.5,1254.9,1157.2,1213.0,1186.5607,890919,,,,,,,,,,,,,,,,,,,,
52,ABB.NSE,2020-12-28,1221.35,1239.9,1190.0,1236.05,1209.1083,913411,,,,,,,,,,,,,,,,,,,,
53,ABB.NSE,2021-01-04,1239.1,1330.0,1225.0,1311.1,1282.5225,752821,,,,,,,,,,,,,1.0,1260.0,1239.9,0.0,,,,
54,ABB.NSE,2021-01-11,1314.0,1314.0,1260.0,1287.0,1258.9478,554200,,,,,,,,,,,,,,,,,,,,
55,ABB.NSE,2021-01-18,1291.0,1419.0,1286.7,1390.0,1359.7027,1710520,,,,,,,,,,,,,1.0,1344.95,1314.0,63.0,,,,
56,ABB.NSE,2021-01-25,1391.4,1419.45,1344.95,1387.1,1356.8659,687363,,,,,,,,,,,,,,,,,,,,
57,ABB.NSE,2021-02-01,1388.3,1534.0,1357.15,1491.9,1459.3816,1161727,,,,,,,,,,,,,,,,,,,,
58,ABB.NSE,2021-02-08,1496.0,1504.75,1405.0,1471.9,1439.8176,1215564,,,,,,,,,,,,,,,,,,,,
59,ABB.NSE,2021-02-15,1475.0,1635.0,1465.0,1518.0,1484.9127,1139373,1.0,1635.0,1.0,,1635.0,74.0,,,,,,,,,,,,,,
60,ABB.NSE,2021-02-22,1521.6,1600.0,1430.0,1525.0,1491.7602,789855,,,,,,,,,,,,,,,,,,,,
61,ABB.NSE,2021-03-01,1547.0,1559.85,1485.0,1493.9,1461.338,537901,,,,,,,,,,,,,,,,,,,,
62,ABB.NSE,2021-03-08,1504.0,1523.9,1451.0,1470.05,1438.0079,343954,,,,,,,,,,,,,-1.0,1485.0,1476.9,64.0,,,,
63,ABB.NSE,2021-03-15,1471.0,1476.9,1333.0,1394.95,1364.5448,387015,,,,,,,,,,,,,,,,,,,,
64,ABB.NSE,2021-03-22,1414.0,1498.3,1330.2,1452.0,1420.3513,471839,,,,,,,,,,,,,,,,,,,,
65,ABB.NSE,2021-03-30,1453.55,1481.55,1391.1,1398.0,1367.5283,396814,,,,,,,,,,,,,,,,,,,,
66,ABB.NSE,2021-04-05,1390.0,1407.95,1360.0,1379.2,1349.1381,357186,,,,,,,,,,,,,-1.0,1391.1,1378.0,68.0,,,,
67,ABB.NSE,2021-04-12,1378.0,1378.0,1298.55,1372.0,1342.095,807750,-1.0,1298.55,,,,,1.0,1378.0,1298.55,4295315.0,0.0,24.806303,,,,,,,,
68,ABB.NSE,2021-04-19,1357.0,1418.0,1314.45,1375.0,1349.9493,600393,,,,,,,,,,,,,,,,,,,,
69,ABB.NSE,2021-04-26,1381.95,1436.25,1360.0,1390.0,1364.676,1386123,,,,,,,,,,,,,,,,,,,,
70,ABB.NSE,2021-05-03,1385.6,1399.6,1352.05,1373.85,1348.8203,498749,,,,,,,,,,,,,,,,,,,,
71,ABB.NSE,2021-05-10,1385.1,1434.0,1362.7,1384.9,1359.6689,914456,,,,,,,,,,,,,,,,,,,,
72,ABB.NSE,2021-05-17,1391.0,1481.8,1382.0,1431.0,1404.9291,853730,,,,,,,,,,,,,,,,,,,,
73,ABB.NSE,2021-05-24,1436.25,1600.0,1433.1,1585.0,1556.1234,894718,,,,,,,,,,,,,1.0,1600.0,1481.8,0.0,,,,
74,ABB.NSE,2021-05-31,1600.0,1754.0,1600.0,1645.95,1615.9629,2546867,,,,,,,,,,,,,1.0,1637.0,1600.0,76.0,,,,
75,ABB.NSE,2021-06-07,1659.0,1750.05,1637.0,1650.0,1619.9392,834275,,,,,,,,,,,,,,,,,,,,
76,ABB.NSE,2021-06-14,1659.0,1776.7,1601.0,1744.0,1712.2266,979653,,,,,,,,,,,,,,,,,,,,
77,ABB.NSE,2021-06-21,1700.0,1851.1,1695.05,1829.05,1795.7271,1654660,,,,,,,,,,,,,,,,,,,,
78,ABB.NSE,2021-06-28,1839.05,1857.0,1766.65,1780.55,1748.1107,638042,1.0,1857.0,1.0,,1857.0,88.0,,,,,,,,,,,,,,
79,ABB.NSE,2021-07-05,1794.9,1801.0,1683.5,1705.6,1674.5262,536093,,,,,,,,,,,,,,,,,,,,
80,ABB.NSE,2021-07-12,1718.45,1840.0,1701.45,1761.0,1728.9169,1053435,,,,,,,,,,,,,,,,,,,,
81,ABB.NSE,2021-07-19,1772.5,1777.9,1691.1,1693.75,1662.8921,388828,,,,,,,,,,,,,,,,,,,,
82,ABB.NSE,2021-07-26,1688.0,1780.3,1624.05,1694.25,1663.383,607175,,,,,,,,,,,,,,,,,,,,
83,ABB.NSE,2021-08-02,1702.2,1734.65,1629.0,1661.8,1631.5242,591944,,,,,,,,,,,,,,,,,,,,
84,ABB.NSE,2021-08-09,1671.8,1759.95,1618.05,1749.4,1717.5282,423519,-1.0,1618.05,,,,,1.0,1759.95,1618.05,3003406.0,0.0,40.986507,,,,,,,,
85,ABB.NSE,2021-08-16,1761.5,1807.1,1683.05,1692.95,1662.1067,468063,,,,,,,,,,,,,,,,,,,,
86,ABB.NSE,2021-08-23,1715.0,1865.0,1624.35,1852.0,1818.259,873127,,,,,,,,,,,,,1.0,1832.0,1807.1,91.0,,,,
87,ABB.NSE,2021-08-30,1875.0,1925.0,1832.0,1851.5,1817.7681,1338957,,,,,,,,,,,,,,,,,,,,
88,ABB.NSE,2021-09-06,1855.0,1913.45,1835.05,1859.5,1825.6223,791322,,,,,,,,,,,,,,,,,,,,
89,ABB.NSE,2021-09-13,1865.0,1943.9,1835.05,1839.05,1805.5449,768085,1.0,1943.9,1.0,,1943.9,95.0,,,,,,,,,,,,,,
90,ABB.NSE,2021-09-20,1843.2,1918.25,1840.0,1878.0,1843.7853,538810,,,,,,,,,,,,,,,,,,,,
