index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ADANIENT.NSE,2020-01-01,209.0,213.2,205.8,208.3,197.2466,7057485,1.0,213.2,,,,,,,,,,,,,,,,,,
1,ADANIENT.NSE,2020-01-06,207.75,213.0,194.55,209.1,198.0042,19347148,,,,,,,,,,,,,,,,,,,,
2,ADANIENT.NSE,2020-01-13,210.65,229.25,209.6,228.4,216.28,22375651,,,,,,,,,,,,,1.0,219.0,213.0,5.0,,,,
3,ADANIENT.NSE,2020-01-20,229.55,232.4,219.0,229.75,217.5584,20104146,,,,,,,,,,,,,,,,,,,,
4,ADANIENT.NSE,2020-01-27,229.5,238.35,226.05,229.45,217.2743,16106303,,,,,,,,,,,,,,,,,,,,
5,ADANIENT.NSE,2020-02-03,221.7,243.6,215.6,239.5,226.791,27639739,-1.0,215.6,,,,,,,,,,,,,,,,,,
6,ADANIENT.NSE,2020-02-10,239.5,258.6,237.55,256.15,242.5575,21143747,,,,,,,,,,,,,1.0,245.25,243.6,8.0,,,,
7,ADANIENT.NSE,2020-02-17,256.9,261.0,245.25,258.65,244.9248,10051872,1.0,261.0,,,,,-1.0,261.0,245.25,45406550.0,34.0,28.431517,,,,,,,,
8,ADANIENT.NSE,2020-02-24,254.8,255.85,217.0,218.65,207.0474,16448802,,,,,,,,,,,,,-1.0,245.25,228.65,33.0,,,,
9,ADANIENT.NSE,2020-03-02,223.0,228.65,207.5,214.75,203.3543,18905877,,,,,,,,,,,,,-1.0,217.0,208.5,33.0,,,,
10,ADANIENT.NSE,2020-03-09,207.0,208.5,129.75,148.75,140.8566,18824740,,,,,,,,,,,,,-1.0,207.5,142.55,12.0,,,,
11,ADANIENT.NSE,2020-03-16,141.0,142.55,118.2,137.7,130.393,27239929,,,,,,,,,,,,,,,,,,,,
12,ADANIENT.NSE,2020-03-23,123.05,152.0,116.4,128.0,122.0944,21712005,-1.0,116.4,,,,,,,,,,,,,,,-1.0,121.85,18.0,0.0
13,ADANIENT.NSE,2020-03-30,124.0,138.95,121.0,129.05,123.0959,8357319,,,,,,,,,,,,,,,,,,,,
14,ADANIENT.NSE,2020-04-07,131.0,147.15,131.0,142.45,135.8777,8060192,,,,,,,,,,,,,,,,,,,,
15,ADANIENT.NSE,2020-04-13,142.0,150.95,136.55,143.9,137.2608,10687559,,,,,,,,,,,,,,,,,,,,
16,ADANIENT.NSE,2020-04-20,146.0,155.45,132.1,134.65,128.4376,21617627,1.0,155.45,1.0,,155.45,25.0,,,,,,,,,,,,,,
17,ADANIENT.NSE,2020-04-27,136.4,147.45,134.1,141.4,134.8761,18391251,,,,,,,,,,,,,,,,,,,,
18,ADANIENT.NSE,2020-05-04,136.9,139.35,127.3,137.15,130.8222,20665339,-1.0,127.3,,,,,1.0,139.35,127.3,82693280.0,0.0,67.72679,,,,,,,,
19,ADANIENT.NSE,2020-05-11,137.85,145.0,133.2,141.05,134.5423,12650682,,,,,,,,,,,,,,,,,,,,
20,ADANIENT.NSE,2020-05-18,144.8,146.4,134.35,138.1,131.7284,18509705,,,,,,,,,,,,,,,,,,,,
21,ADANIENT.NSE,2020-05-26,139.0,153.6,138.35,148.35,141.5055,16861922,,,,,,,,,,,,,,,,,,,,
22,ADANIENT.NSE,2020-06-01,150.0,157.9,146.15,152.45,145.4163,19601555,,,,,,,,,,,,,,,,,,,,
23,ADANIENT.NSE,2020-06-08,155.6,165.45,141.0,152.3,145.2732,33390913,,,,,,,,,,,,,,,,,,,,
24,ADANIENT.NSE,2020-06-15,151.8,156.85,142.75,152.7,145.6548,14390675,,,,,,,,,,,,,,,,,,,,
25,ADANIENT.NSE,2020-06-22,154.5,169.2,153.0,162.15,154.6688,34911691,,,,,,,,,,,,,,,,,,,,
26,ADANIENT.NSE,2020-06-29,161.4,164.15,155.25,160.0,152.618,15080387,,,,,,,,,,,,,,,,,,,,
27,ADANIENT.NSE,2020-07-06,161.95,170.65,158.5,159.7,152.3318,18999856,,,,,,,,,,,,,,,,,,,,
28,ADANIENT.NSE,2020-07-13,161.45,162.45,145.2,151.6,144.6055,10815036,,,,,,,,,,,,,,,,,,,,
29,ADANIENT.NSE,2020-07-20,153.15,172.0,152.1,168.75,160.9643,21458875,,,,,,,,,,,,,1.0,163.0,162.45,0.0,,,,
30,ADANIENT.NSE,2020-07-27,168.65,190.85,163.0,175.25,167.1644,27425754,,,,,,,,,,,,,,,,,,,,
31,ADANIENT.NSE,2020-08-03,175.25,195.0,171.2,192.9,184.0,26873576,,,,,,,,,,,,,,,,,,,,
32,ADANIENT.NSE,2020-08-10,192.9,204.5,190.2,196.2,187.1478,21115478,,,,,,,,,,,,,1.0,196.05,195.0,0.0,,,,
33,ADANIENT.NSE,2020-08-17,197.4,245.4,196.05,233.35,222.5838,51467966,,,,,,,,,,,,,1.0,235.0,204.5,0.0,,,,
34,ADANIENT.NSE,2020-08-24,236.0,322.4,235.0,288.25,274.9508,110865618,1.0,322.4,1.0,,322.4,43.0,,,,,,,1.0,270.25,245.4,37.0,,,,
35,ADANIENT.NSE,2020-08-31,290.0,306.0,270.25,285.15,271.9938,53526455,,,,,,,,,,,,,,,,,,,,
36,ADANIENT.NSE,2020-09-07,285.15,307.95,273.55,296.0,282.3432,53307843,,,,,,,,,,,,,,,,,,,,
37,ADANIENT.NSE,2020-09-14,301.8,304.0,270.0,291.55,278.0986,20041972,,,,,,,,,,,,,,,,,,,,
38,ADANIENT.NSE,2020-09-21,293.0,296.25,257.5,280.3,267.3676,39212660,-1.0,257.5,,,,,1.0,296.25,257.5,66575190.0,0.0,22.798256,,,,,,,,
39,ADANIENT.NSE,2020-09-28,283.1,311.95,282.1,308.15,293.9327,28654682,,,,,,,,,,,,,1.0,307.35,296.25,41.0,,,,
40,ADANIENT.NSE,2020-10-05,311.5,335.6,307.35,313.0,298.5589,42543803,,,,,,,,,,,,,,,,,,,,
41,ADANIENT.NSE,2020-10-12,315.0,325.85,305.35,307.0,292.8357,12360097,,,,,,,,,,,,,,,,,,,,
42,ADANIENT.NSE,2020-10-19,309.9,327.85,306.0,315.45,300.8959,22067644,,,,,,,,,,,,,,,,,,,,
43,ADANIENT.NSE,2020-10-26,318.0,347.5,303.0,339.7,324.027,32147451,,,,,,,,,,,,,1.0,333.05,327.85,0.0,,,,
44,ADANIENT.NSE,2020-11-02,339.1,359.5,333.05,352.1,335.8549,27277176,,,,,,,,,,,,,1.0,351.85,347.5,0.0,,,,
45,ADANIENT.NSE,2020-11-09,354.0,372.85,351.85,371.25,354.1214,20345701,,,,,,,,,,,,,1.0,371.0,359.5,0.0,,,,
46,ADANIENT.NSE,2020-11-17,372.0,404.7,371.0,388.3,370.3847,32375782,,,,,,,,,,,,,1.0,383.1,372.85,0.0,,,,
