index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ADANIPORTS.NSE,2020-01-01,368.0,384.7,366.0,382.5,367.2408,20981751,1.0,384.7,,,,,,,,,,,,,,,1.0,381.525,35.0,47.0
1,ADANIPORTS.NSE,2020-01-06,388.0,394.3,374.75,392.05,376.4098,31787073,,,,,,,,,,,,,1.0,386.0,384.7,3.0,,,,
2,ADANIPORTS.NSE,2020-01-13,391.9,394.6,386.0,387.6,372.1373,8001405,,,,,,,,,,,,,,,,,,,,
3,ADANIPORTS.NSE,2020-01-20,387.65,389.2,375.3,384.75,369.401,8358071,,,,,,,,,,,,,,,,,,,,
4,ADANIPORTS.NSE,2020-01-27,383.7,387.75,368.25,369.4,354.6634,11324017,,,,,,,,,,,,,,,,,,,,
5,ADANIPORTS.NSE,2020-02-03,364.0,376.0,355.5,369.55,354.8074,15732115,,,,,,,,,,,,,,,,,,,,
6,ADANIPORTS.NSE,2020-02-10,370.05,378.9,366.0,366.85,352.2151,8863185,,,,,,,,,,,,,,,,,,,,
7,ADANIPORTS.NSE,2020-02-17,366.85,374.5,358.35,370.85,356.0556,7530307,,,,,,,,,,,,,,,,,,,,
8,ADANIPORTS.NSE,2020-02-24,367.65,371.4,339.2,342.2,328.5485,15042281,,,,,,,,,,,,,-1.0,358.35,351.9,24.0,,,,
9,ADANIPORTS.NSE,2020-03-02,346.1,351.9,331.25,341.4,327.7804,16348304,,,,,,,,,,,,,-1.0,339.2,334.7,22.0,,,,
10,ADANIPORTS.NSE,2020-03-09,334.7,334.7,232.0,292.75,281.0712,39838780,,,,,,,,,,,,,-1.0,331.25,283.35,17.0,,,,
11,ADANIPORTS.NSE,2020-03-16,273.0,283.35,241.0,256.4,248.8919,38756904,,,,,,,,,,,,,,,,,,,,
12,ADANIPORTS.NSE,2020-03-23,235.0,266.5,203.0,251.3,243.9413,40729282,-1.0,203.0,,,,,,,,,,,,,,,,,,
13,ADANIPORTS.NSE,2020-03-30,248.0,259.6,235.05,244.8,237.6316,26592331,,,,,,,,,,,,,,,,,,,,
14,ADANIPORTS.NSE,2020-04-07,254.2,255.85,242.75,251.9,244.5237,19549215,,,,,,,,,,,,,,,,,,,,
15,ADANIPORTS.NSE,2020-04-13,252.0,279.4,247.5,268.15,260.2979,21323438,,,,,,,,,,,,,1.0,258.5,255.85,0.0,,,,
16,ADANIPORTS.NSE,2020-04-20,273.5,279.7,258.5,270.65,262.7247,14135349,,,,,,,,,,,,,,,,,,,,
17,ADANIPORTS.NSE,2020-04-27,273.3,296.0,269.5,290.1,281.6051,12387602,,,,,,,,,,,,,,,,,,,,
18,ADANIPORTS.NSE,2020-05-04,275.0,286.85,261.1,285.05,276.703,30873541,,,,,,,,,,,,,,,,,,,,
19,ADANIPORTS.NSE,2020-05-11,285.2,312.0,262.35,309.25,300.1944,26762828,,,,,,,,,,,,,1.0,291.35,286.85,0.0,,,,
20,ADANIPORTS.NSE,2020-05-18,306.0,324.8,291.35,310.6,301.5048,29182441,,,,,,,,,,,,,,,,,,,,
21,ADANIPORTS.NSE,2020-05-26,312.4,334.15,309.6,323.8,314.3183,28337860,,,,,,,,,,,,,1.0,325.8,324.8,28.0,,,,
22,ADANIPORTS.NSE,2020-06-01,326.0,347.15,325.8,341.15,331.1602,19685250,,,,,,,,,,,,,,,,,,,,
23,ADANIPORTS.NSE,2020-06-08,343.1,351.35,327.7,345.3,335.1887,15767636,,,,,,,,,,,,,,,,,,,,
24,ADANIPORTS.NSE,2020-06-15,346.5,354.9,335.15,348.9,338.6833,17037929,,,,,,,,,,,,,,,,,,,,
25,ADANIPORTS.NSE,2020-06-22,350.0,360.0,339.6,343.2,333.1502,17109290,,,,,,,,,,,,,,,,,,,,
26,ADANIPORTS.NSE,2020-06-29,341.35,366.8,339.1,360.4,349.8466,17799615,1.0,366.8,1.0,,366.8,44.0,,,,,,,,,,,,,,
27,ADANIPORTS.NSE,2020-07-06,365.1,366.0,332.25,334.95,325.1418,18701116,,,,,,,,,,,,,,,,,,,,
28,ADANIPORTS.NSE,2020-07-13,336.25,339.65,309.6,313.0,303.8345,15626773,,,,,,,,,,,,,-1.0,332.25,325.35,31.0,,,,
29,ADANIPORTS.NSE,2020-07-20,316.0,325.35,305.35,309.4,300.34,16951206,,,,,,,,,,,,,,,,,,,,
30,ADANIPORTS.NSE,2020-07-27,309.0,323.0,298.0,315.2,305.9701,18882545,-1.0,298.0,,,,,,,,,,,,,,,-1.0,305.05,38.0,0.0
31,ADANIPORTS.NSE,2020-08-03,311.0,330.9,308.65,326.65,317.0848,19894754,,,,,,,,,,,,,1.0,325.7,323.0,38.0,,,,
32,ADANIPORTS.NSE,2020-08-10,329.0,353.75,325.7,348.1,337.9067,23450734,,,,,,,,,,,,,1.0,346.8,330.9,34.0,,,,
33,ADANIPORTS.NSE,2020-08-17,350.85,366.2,346.8,354.35,343.9737,14803790,,,,,,,,,,,,,,,,,,,,
34,ADANIPORTS.NSE,2020-08-24,358.4,366.9,341.0,360.05,349.5068,26993365,,,,,,,,,,,,,,,,,,,,
35,ADANIPORTS.NSE,2020-08-31,365.0,378.35,341.4,353.0,342.6632,43714203,1.0,378.35,1.0,,378.35,47.0,,,,,,,,,,,,,,
36,ADANIPORTS.NSE,2020-09-07,355.0,357.95,333.45,342.5,332.4707,17645735,,,,,,,,,,,,,,,,,,,,
37,ADANIPORTS.NSE,2020-09-14,345.0,359.8,343.45,357.85,347.3712,15658564,,,,,,,,,,,,,,,,,,,,
38,ADANIPORTS.NSE,2020-09-21,358.0,359.0,312.1,326.15,316.5995,25167723,-1.0,312.1,,,,,1.0,359.0,312.1,132022130.0,0.0,26.455269,,,,,,,,
39,ADANIPORTS.NSE,2020-09-28,327.8,354.9,327.8,353.3,342.9545,13501589,,,,,,,,,,,,,,,,,,,,
40,ADANIPORTS.NSE,2020-10-05,355.9,368.75,348.45,357.2,346.7403,28429634,,,,,,,,,,,,,,,,,,,,
41,ADANIPORTS.NSE,2020-10-12,359.1,362.85,341.25,349.95,339.7026,13893121,,,,,,,,,,,,,,,,,,,,
42,ADANIPORTS.NSE,2020-10-19,352.6,369.0,344.8,364.35,353.6809,19443775,,,,,,,,,,,,,,,,,,,,
43,ADANIPORTS.NSE,2020-10-26,366.0,373.9,341.15,359.85,349.3127,32665792,,,,,,,,,,,,,,,,,,,,
44,ADANIPORTS.NSE,2020-11-02,360.0,375.9,347.2,371.1,360.2332,59487048,,,,,,,,,,,,,,,,,,,,
45,ADANIPORTS.NSE,2020-11-09,375.0,376.0,362.7,366.1,355.3796,27619890,,,,,,,,,,,,,,,,,,,,
46,ADANIPORTS.NSE,2020-11-17,368.5,395.2,366.25,375.85,364.8441,39163747,,,,,,,,,,,,,,,,,,,,
47,ADANIPORTS.NSE,2020-11-23,375.85,416.0,370.3,411.55,399.4987,65238488,,,,,,,,,,,,,1.0,412.0,395.2,161.0,,,,
48,ADANIPORTS.NSE,2020-12-01,415.0,458.3,412.0,453.7,440.4145,43300990,,,,,,,,,,,,,1.0,457.0,416.0,51.0,,,,
49,ADANIPORTS.NSE,2020-12-07,461.0,475.0,457.0,466.3,452.6455,40878264,,,,,,,,,,,,,1.0,458.5,458.3,51.0,,,,
50,ADANIPORTS.NSE,2020-12-14,468.6,480.45,458.5,463.3,449.7334,35108274,,,,,,,,,,,,,,,,,,,,
51,ADANIPORTS.NSE,2020-12-21,459.0,482.9,427.2,478.55,464.5368,33308533,,,,,,,,,,,,,,,,,,,,
52,ADANIPORTS.NSE,2020-12-28,480.0,508.0,478.15,503.85,489.096,30178175,,,,,,,,,,,,,1.0,489.5,482.9,161.0,,,,
