index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ADANIPOWER.NSE,2020-01-01,61.8,64.95,61.55,63.25,63.25,35526047,1.0,64.95,,,,,,,,,,,,,,,1.0,62.1,54.0,61.0
1,ADANIPOWER.NSE,2020-01-06,63.0,63.25,58.0,61.2,61.2,45734488,,,,,,,,,,,,,,,,,,,,
2,ADANIPOWER.NSE,2020-01-13,61.3,65.95,60.75,64.6,64.6,44602417,,,,,,,,,,,,,,,,,,,,
3,ADANIPOWER.NSE,2020-01-20,64.6,65.2,62.25,63.55,63.55,24103889,,,,,,,,,,,,,,,,,,,,
4,ADANIPOWER.NSE,2020-01-27,63.35,65.4,59.35,59.85,59.85,38101923,,,,,,,,,,,,,,,,,,,,
5,ADANIPOWER.NSE,2020-02-03,60.0,62.65,58.3,60.85,60.85,32299206,,,,,,,,,,,,,,,,,,,,
6,ADANIPOWER.NSE,2020-02-10,61.0,61.15,58.9,59.6,59.6,30455359,,,,,,,,,,,,,,,,,,,,
7,ADANIPOWER.NSE,2020-02-17,59.3,59.45,55.25,57.65,57.65,25561111,,,,,,,,,,,,,-1.0,58.9,57.75,48.0,,,,
8,ADANIPOWER.NSE,2020-02-24,57.0,57.75,46.5,47.3,47.3,35250606,,,,,,,,,,,,,-1.0,55.25,50.05,48.0,,,,
9,ADANIPOWER.NSE,2020-03-02,49.2,50.05,42.15,44.1,44.1,41403201,,,,,,,,,,,,,-1.0,46.5,43.5,48.0,,,,
10,ADANIPOWER.NSE,2020-03-09,43.3,43.5,23.0,30.95,30.95,61135442,-1.0,23.0,,,,,,,,,,,-1.0,42.15,30.3,12.0,,,,
11,ADANIPOWER.NSE,2020-03-16,29.2,30.3,24.0,29.05,29.05,64951677,,,,,,,,,,,,,,,,,,,,
12,ADANIPOWER.NSE,2020-03-23,26.15,32.4,25.3,27.6,27.6,43955657,,,,,,,,,,,,,,,,,,,,
13,ADANIPOWER.NSE,2020-03-30,27.45,28.3,25.55,26.75,26.75,26317551,,,,,,,,,,,,,,,,,,,,
14,ADANIPOWER.NSE,2020-04-07,27.5,31.15,27.0,30.4,30.4,29055585,,,,,,,,,,,,,1.0,28.85,28.3,0.0,,,,
15,ADANIPOWER.NSE,2020-04-13,30.6,31.3,28.85,30.9,30.9,43006861,,,,,,,,,,,,,,,,,,,,
16,ADANIPOWER.NSE,2020-04-20,31.35,35.5,29.6,30.65,30.65,81713372,,,,,,,,,,,,,,,,,,,,
17,ADANIPOWER.NSE,2020-04-27,31.6,32.75,29.0,31.65,31.65,47732627,,,,,,,,,,,,,,,,,,,,
18,ADANIPOWER.NSE,2020-05-04,31.0,31.2,29.6,29.9,29.9,29735409,,,,,,,,,,,,,,,,,,,,
19,ADANIPOWER.NSE,2020-05-11,30.0,36.35,29.05,32.35,32.35,85552981,,,,,,,,,,,,,,,,,,,,
20,ADANIPOWER.NSE,2020-05-18,33.3,37.0,30.3,33.0,33.0,165069813,,,,,,,,,,,,,,,,,,,,
21,ADANIPOWER.NSE,2020-05-26,33.4,38.25,33.4,36.4,36.4,134846392,,,,,,,,,,,,,1.0,37.1,37.0,23.0,,,,
22,ADANIPOWER.NSE,2020-06-01,40.0,41.9,37.1,38.9,38.9,181932718,1.0,41.9,,,,,,,,,,,,,,,1.0,41.75,34.0,48.0
23,ADANIPOWER.NSE,2020-06-08,39.1,40.0,36.1,38.0,38.0,57175061,,,,,,,,,,,,,,,,,,,,
24,ADANIPOWER.NSE,2020-06-15,37.9,38.8,35.55,38.0,38.0,57004032,,,,,,,,,,,,,,,,,,,,
25,ADANIPOWER.NSE,2020-06-22,38.55,39.1,35.95,36.75,36.75,82131134,,,,,,,,,,,,,,,,,,,,
26,ADANIPOWER.NSE,2020-06-29,36.95,37.25,35.65,35.9,35.9,14918387,,,,,,,,,,,,,,,,,,,,
27,ADANIPOWER.NSE,2020-07-06,35.9,36.5,34.7,34.8,34.8,17590434,,,,,,,,,,,,,,,,,,,,
28,ADANIPOWER.NSE,2020-07-13,34.9,36.15,34.35,35.5,35.5,19386076,-1.0,34.35,,,,,,,,,,,,,,,-1.0,37.2,51.0,0.0
29,ADANIPOWER.NSE,2020-07-20,35.55,36.0,34.85,35.0,35.0,11334456,,,,,,,,,,,,,,,,,,,,
30,ADANIPOWER.NSE,2020-07-27,35.0,36.45,35.0,35.4,35.4,14669068,,,,,,,,,,,,,,,,,,,,
31,ADANIPOWER.NSE,2020-08-03,35.1,36.9,35.1,36.6,36.6,20302208,,,,,,,,,,,,,1.0,36.65,36.45,38.0,,,,
32,ADANIPOWER.NSE,2020-08-10,36.65,38.95,36.65,37.15,37.15,21789009,,,,,,,,,,,,,,,,,,,,
33,ADANIPOWER.NSE,2020-08-17,37.2,39.95,36.7,39.15,39.15,32715614,,,,,,,,,,,,,,,,,,,,
34,ADANIPOWER.NSE,2020-08-24,39.45,41.6,38.3,39.25,39.25,53314806,1.0,41.6,1.0,,41.6,48.0,,,,,,,,,,,,,,
35,ADANIPOWER.NSE,2020-08-31,39.5,41.15,36.7,37.6,37.6,46287223,,,,,,,,,,,,,-1.0,38.3,38.15,44.0,,,,
36,ADANIPOWER.NSE,2020-09-07,37.9,38.15,36.7,37.4,37.4,11803315,,,,,,,,,,,,,,,,,,,,
