index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,AMBUJACEM.NSE,2020-01-01,197.2,206.4,195.8,203.4,181.7938,12101082,1.0,206.4,,,,,,,,,,,,,,,,,,
1,AMBUJACEM.NSE,2020-01-06,202.85,214.0,195.65,211.75,189.2568,21520691,,,,,,,,,,,,,1.0,206.65,206.4,3.0,,,,
2,AMBUJACEM.NSE,2020-01-13,212.6,214.8,206.65,210.4,188.0502,14807813,,,,,,,,,,,,,,,,,,,,
3,AMBUJACEM.NSE,2020-01-20,211.4,216.9,205.7,215.95,193.0107,16863921,,,,,,,,,,,,,,,,,,,,
4,AMBUJACEM.NSE,2020-01-27,214.6,220.25,203.5,204.5,182.777,17285837,,,,,,,,,,,,,,,,,,,,
5,AMBUJACEM.NSE,2020-02-03,196.05,212.0,196.05,209.8,187.514,17321128,-1.0,196.05,,-1.0,196.05,10.0,,,,,,,,,,,,,,
6,AMBUJACEM.NSE,2020-02-10,209.8,214.0,205.0,205.65,183.8048,13575854,,,,,,,,,,,,,,,,,,,,
7,AMBUJACEM.NSE,2020-02-17,205.35,210.25,197.75,205.4,183.5814,10861071,,,,,,,,,,,,,,,,,,,,
8,AMBUJACEM.NSE,2020-02-24,206.85,216.05,202.0,205.05,183.2685,31532069,,,,,,,,,,,,,,,,,,,,
9,AMBUJACEM.NSE,2020-03-02,208.6,216.55,195.4,205.1,183.3132,18280527,1.0,216.55,,,,,-1.0,216.55,195.4,69261704.0,30.0,83.573746,,,,,,,,
10,AMBUJACEM.NSE,2020-03-09,199.8,203.25,152.05,187.75,167.8062,19449107,,,,,,,,,,,,,-1.0,195.4,184.05,19.0,,,,
11,AMBUJACEM.NSE,2020-03-16,180.0,184.05,149.4,160.4,143.3615,42987170,,,,,,,,,,,,,,,,,,,,
12,AMBUJACEM.NSE,2020-03-23,145.0,155.8,136.55,141.55,126.5138,37444077,-1.0,136.55,,,,,,,,,,,,,,,,,,
13,AMBUJACEM.NSE,2020-03-30,140.0,158.4,137.4,153.0,136.7476,16787798,,,,,,,,,,,,,,,,,,,,
14,AMBUJACEM.NSE,2020-04-07,154.0,160.6,148.2,158.8,141.9314,25892613,,,,,,,,,,,,,,,,,,,,
15,AMBUJACEM.NSE,2020-04-13,158.95,175.5,157.25,172.95,154.5784,32959603,,,,,,,,,,,,,1.0,164.1,160.6,18.0,,,,
16,AMBUJACEM.NSE,2020-04-20,175.9,179.5,164.1,167.95,150.1095,17743308,,,,,,,,,,,,,,,,,,,,
17,AMBUJACEM.NSE,2020-04-27,170.4,179.0,165.65,171.65,153.4165,26058151,,,,,,,,,,,,,,,,,,,,
18,AMBUJACEM.NSE,2020-05-04,167.25,172.95,161.5,169.35,151.3608,24451230,,,,,,,,,,,,,,,,,,,,
19,AMBUJACEM.NSE,2020-05-11,170.15,191.0,170.15,181.8,162.4883,32183420,,,,,,,,,,,,,,,,,,,,
20,AMBUJACEM.NSE,2020-05-18,182.0,187.85,170.25,186.95,168.5599,22037323,,,,,,,,,,,,,,,,,,,,
21,AMBUJACEM.NSE,2020-05-26,187.8,194.9,185.1,191.55,172.7074,21165819,,,,,,,,,,,,,,,,,,,,
22,AMBUJACEM.NSE,2020-06-01,191.8,196.35,182.05,195.1,175.9082,29635366,,,,,,,,,,,,,,,,,,,,
23,AMBUJACEM.NSE,2020-06-08,198.95,198.95,181.65,193.7,174.6459,21553516,1.0,198.95,1.0,,198.95,29.0,,,,,,,,,,,,,,
24,AMBUJACEM.NSE,2020-06-15,192.85,198.4,185.35,190.8,172.0312,21652000,,,,,,,,,,,,,,,,,,,,
25,AMBUJACEM.NSE,2020-06-22,191.45,198.2,185.35,188.0,169.5066,21478536,,,,,,,,,,,,,,,,,,,,
26,AMBUJACEM.NSE,2020-06-29,188.0,196.4,183.2,195.8,176.5394,19765862,-1.0,183.2,,,,,1.0,196.4,183.2,71397010.0,0.0,50.44221,,,,,,,,
27,AMBUJACEM.NSE,2020-07-06,197.75,204.35,191.1,197.2,177.8016,23938913,,,,,,,,,,,,,,,,,,,,
28,AMBUJACEM.NSE,2020-07-13,197.2,199.7,185.7,193.45,174.4205,20518323,,,,,,,,,,,,,,,,,,,,
29,AMBUJACEM.NSE,2020-07-20,195.0,208.0,194.5,200.95,181.1828,26939769,,,,,,,,,,,,,1.0,202.05,199.7,38.0,,,,
30,AMBUJACEM.NSE,2020-07-27,205.9,225.5,202.05,220.1,198.449,38334133,,,,,,,,,,,,,1.0,218.5,208.0,33.0,,,,
31,AMBUJACEM.NSE,2020-08-03,218.5,226.25,218.5,219.55,197.9531,22958558,,,,,,,,,,,,,,,,,,,,
32,AMBUJACEM.NSE,2020-08-10,221.0,229.25,218.85,220.75,199.0351,17609003,,,,,,,,,,,,,,,,,,,,
33,AMBUJACEM.NSE,2020-08-17,221.75,231.85,218.1,225.95,203.7235,16010237,1.0,231.85,1.0,,231.85,40.0,,,,,,,,,,,,,,
34,AMBUJACEM.NSE,2020-08-24,226.5,227.25,219.6,222.45,200.5678,12896862,,,,,,,,,,,,,,,,,,,,
35,AMBUJACEM.NSE,2020-08-31,222.5,224.1,207.0,208.5,187.9901,19731236,,,,,,,,,,,,,-1.0,219.6,214.5,37.0,,,,
36,AMBUJACEM.NSE,2020-09-07,208.5,214.5,204.3,212.45,191.5515,13568816,,,,,,,,,,,,,,,,,,,,
37,AMBUJACEM.NSE,2020-09-14,214.3,223.0,209.8,220.0,198.3588,20486002,,,,,,,,,,,,,,,,,,,,
38,AMBUJACEM.NSE,2020-09-21,220.0,220.25,197.45,205.5,185.2852,17589326,-1.0,197.45,,,,,1.0,220.25,197.45,71318930.0,0.0,32.73675,,,,,,,,
39,AMBUJACEM.NSE,2020-09-28,206.6,221.95,205.55,221.2,199.4408,13880652,,,,,,,,,,,,,,,,,,,,
40,AMBUJACEM.NSE,2020-10-05,221.2,240.55,219.45,239.35,215.8054,39848947,,,,,,,,,,,,,1.0,233.2,221.95,51.0,,,,
41,AMBUJACEM.NSE,2020-10-12,238.0,250.0,233.2,248.0,223.6045,53599893,,,,,,,,,,,,,1.0,243.4,240.55,43.0,,,,
42,AMBUJACEM.NSE,2020-10-19,249.2,256.0,243.4,247.4,223.0635,67546854,,,,,,,,,,,,,,,,,,,,
43,AMBUJACEM.NSE,2020-10-26,248.7,265.8,242.45,259.7,234.1536,49093047,,,,,,,,,,,,,,,,,,,,
44,AMBUJACEM.NSE,2020-11-02,260.0,265.3,246.65,248.0,238.9694,36086545,,,,,,,,,,,,,,,,,,,,
45,AMBUJACEM.NSE,2020-11-09,249.45,264.35,247.1,259.0,249.5689,40326996,,,,,,,,,,,,,,,,,,,,
46,AMBUJACEM.NSE,2020-11-17,261.0,272.0,253.75,257.1,247.738,34276788,1.0,272.0,1.0,,272.0,58.0,,,,,,,,,,,,,,
