index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,APOLLOHOSP.NSE,2020-01-01,1440.0,1509.2,1422.2,1486.1,1463.8703,2897841,1.0,1509.2,,,,,,,,,,,,,,,,,,
1,APOLLOHOSP.NSE,2020-01-06,1480.0,1502.0,1458.0,1485.9,1463.6733,1553363,,,,,,,,,,,,,,,,,,,,
2,APOLLOHOSP.NSE,2020-01-13,1493.3,1624.0,1479.45,1618.6,1594.3883,4813927,,,,,,,,,,,,,1.0,1616.5,1502.0,5.0,,,,
3,APOLLOHOSP.NSE,2020-01-20,1620.0,1699.9,1616.5,1668.7,1643.7389,3889531,,,,,,,,,,,,,1.0,1656.45,1624.0,5.0,,,,
4,APOLLOHOSP.NSE,2020-01-27,1668.0,1713.0,1656.45,1660.2,1635.366,2715729,,,,,,,,,,,,,,,,,,,,
5,APOLLOHOSP.NSE,2020-02-03,1616.0,1717.6,1616.0,1663.15,1638.2719,2515570,-1.0,1616.0,,,,,,,,,,,,,,,,,,
6,APOLLOHOSP.NSE,2020-02-10,1663.0,1747.7,1634.5,1704.4,1678.9049,6194857,,,,,,,,,,,,,,,,,,,,
7,APOLLOHOSP.NSE,2020-02-17,1727.0,1813.45,1700.1,1800.7,1773.7644,4498696,,,,,,,,,,,,,,,,,,,,
8,APOLLOHOSP.NSE,2020-02-24,1796.0,1813.55,1726.1,1735.8,1712.9324,3817701,1.0,1813.55,,,,,-1.0,1813.55,1726.1,11007080.0,37.0,53.101955,,,,,1.0,1805.775,32.0,38.0
9,APOLLOHOSP.NSE,2020-03-02,1750.0,1777.9,1673.0,1688.9,1666.6502,3977410,,,,,,,,,,,,,-1.0,1726.1,1671.75,30.0,,,,
10,APOLLOHOSP.NSE,2020-03-09,1650.0,1671.75,1379.0,1513.65,1493.709,3211969,,,,,,,,,,,,,-1.0,1673.0,1540.9,29.0,,,,
11,APOLLOHOSP.NSE,2020-03-16,1431.0,1540.9,1052.35,1362.95,1344.9943,7953886,,,,,,,,,,,,,-1.0,1379.0,1336.3,14.0,,,,
12,APOLLOHOSP.NSE,2020-03-23,1226.7,1336.3,1072.05,1167.0,1151.6258,10072456,,,,,,,,,,,,,,,,,,,,
13,APOLLOHOSP.NSE,2020-03-30,1139.0,1239.45,1047.05,1189.55,1173.8787,6504832,-1.0,1047.05,,,,,,,,,,,,,,,,,,
14,APOLLOHOSP.NSE,2020-04-07,1236.0,1338.4,1211.0,1279.85,1262.9891,4700123,,,,,,,,,,,,,,,,,,,,
15,APOLLOHOSP.NSE,2020-04-13,1300.0,1472.0,1229.8,1374.1,1355.9974,6301784,1.0,1472.0,1.0,,1472.0,28.0,,,,,,,,,,,,,,
16,APOLLOHOSP.NSE,2020-04-20,1385.0,1465.0,1311.4,1359.5,1341.5898,6858875,,,,,,,,,,,,,,,,,,,,
17,APOLLOHOSP.NSE,2020-04-27,1370.1,1458.2,1370.1,1394.35,1375.9807,4136255,,,,,,,,,,,,,,,,,,,,
18,APOLLOHOSP.NSE,2020-05-04,1394.65,1427.15,1261.75,1314.8,1297.4787,5992235,,,,,,,,,,,,,,,,,,,,
19,APOLLOHOSP.NSE,2020-05-11,1320.0,1377.1,1258.0,1355.3,1337.4451,5780303,,,,,,,,,,,,,,,,,,,,
20,APOLLOHOSP.NSE,2020-05-18,1355.0,1364.9,1252.65,1280.0,1263.1371,3736984,-1.0,1252.65,,,,,1.0,1364.9,1252.65,13164042.0,0.0,58.66977,,,,,,,,
21,APOLLOHOSP.NSE,2020-05-26,1290.0,1367.6,1286.1,1356.95,1339.0734,3925045,,,,,,,,,,,,,,,,,,,,
22,APOLLOHOSP.NSE,2020-06-01,1372.0,1407.0,1336.0,1359.05,1341.1457,3527927,,,,,,,,,,,,,,,,,,,,
23,APOLLOHOSP.NSE,2020-06-08,1368.6,1410.0,1302.2,1403.6,1385.1088,3991225,,,,,,,,,,,,,,,,,,,,
24,APOLLOHOSP.NSE,2020-06-15,1394.8,1440.0,1336.2,1370.7,1352.6422,4365395,,,,,,,,,,,,,,,,,,,,
25,APOLLOHOSP.NSE,2020-06-22,1380.0,1480.0,1371.65,1388.15,1369.8623,6804741,,,,,,,,,,,,,,,,,,,,
26,APOLLOHOSP.NSE,2020-06-29,1381.0,1405.55,1311.0,1379.8,1361.6224,4867539,,,,,,,,,,,,,,,,,,,,
27,APOLLOHOSP.NSE,2020-07-06,1384.8,1439.2,1381.6,1402.45,1383.974,3623493,,,,,,,,,,,,,1.0,1406.55,1405.55,0.0,,,,
28,APOLLOHOSP.NSE,2020-07-13,1414.95,1507.0,1406.55,1499.2,1479.4494,4673010,,,,,,,,,,,,,1.0,1465.25,1439.2,0.0,,,,
29,APOLLOHOSP.NSE,2020-07-20,1507.8,1549.35,1465.25,1512.05,1492.1301,4738436,,,,,,,,,,,,,,,,,,,,
30,APOLLOHOSP.NSE,2020-07-27,1519.0,1728.0,1492.05,1674.6,1652.5386,6738222,,,,,,,,,,,,,1.0,1567.1,1549.35,0.0,,,,
31,APOLLOHOSP.NSE,2020-08-03,1670.0,1753.0,1567.1,1743.2,1720.2349,8999709,,,,,,,,,,,,,,,,,,,,
32,APOLLOHOSP.NSE,2020-08-10,1758.95,1798.0,1687.5,1707.35,1684.8572,4355408,1.0,1798.0,1.0,,1798.0,37.0,,,,,,,,,,,,,,
33,APOLLOHOSP.NSE,2020-08-17,1715.0,1749.0,1665.65,1677.5,1655.4004,3272984,,,,,,,,,,,,,,,,,,,,
34,APOLLOHOSP.NSE,2020-08-24,1695.5,1716.5,1635.2,1661.95,1640.0553,2981431,,,,,,,,,,,,,,,,,,,,
35,APOLLOHOSP.NSE,2020-08-31,1670.0,1717.0,1622.0,1649.9,1628.164,3876991,,,,,,,,,,,,,,,,,,,,
36,APOLLOHOSP.NSE,2020-09-07,1654.0,1688.15,1585.05,1611.8,1590.566,3958730,-1.0,1585.05,,,,,1.0,1688.15,1585.05,19052290.0,0.0,25.548038,,,,,,,,
37,APOLLOHOSP.NSE,2020-09-14,1637.9,1871.95,1590.15,1828.45,1807.3046,11216569,,,,,,,,,,,,,1.0,1760.15,1688.15,0.0,,,,
38,APOLLOHOSP.NSE,2020-09-21,1824.05,2047.0,1760.15,2027.65,2004.2009,14435577,,,,,,,,,,,,,1.0,1999.1,1871.95,45.0,,,,
39,APOLLOHOSP.NSE,2020-09-28,2035.0,2168.0,1999.1,2089.75,2065.5827,7833633,,,,,,,,,,,,,1.0,2068.1,2047.0,42.0,,,,
40,APOLLOHOSP.NSE,2020-10-05,2095.0,2314.0,2068.1,2277.1,2250.7661,8048892,,,,,,,,,,,,,1.0,2175.0,2168.0,42.0,,,,
41,APOLLOHOSP.NSE,2020-10-12,2231.0,2333.0,2175.0,2210.55,2184.9857,8216658,1.0,2333.0,1.0,,2333.0,46.0,,,,,,,,,,,,,,
42,APOLLOHOSP.NSE,2020-10-19,2224.3,2241.0,2052.6,2075.0,2051.0033,5620593,,,,,,,,,,,,,-1.0,2175.0,2147.0,44.0,,,,
43,APOLLOHOSP.NSE,2020-10-26,2079.0,2147.0,2024.15,2119.45,2094.9393,5303295,,,,,,,,,,,,,,,,,,,,
44,APOLLOHOSP.NSE,2020-11-02,2138.1,2168.45,2062.55,2085.9,2061.7773,4647998,,,,,,,,,,,,,,,,,,,,
45,APOLLOHOSP.NSE,2020-11-09,2099.8,2323.5,1986.0,2284.65,2258.2288,15441470,-1.0,1986.0,,,,,1.0,2323.5,1986.0,27688248.0,0.0,20.173382,1.0,2266.05,2168.45,47.0,,,,
46,APOLLOHOSP.NSE,2020-11-17,2284.0,2415.0,2266.05,2349.6,2322.4277,7598781,,,,,,,,,,,,,,,,,,,,
47,APOLLOHOSP.NSE,2020-11-23,2374.0,2423.4,2236.35,2347.9,2320.7473,15419013,,,,,,,,,,,,,,,,,,,,
48,APOLLOHOSP.NSE,2020-12-01,2384.0,2508.85,2349.05,2434.65,2406.4941,6577415,,,,,,,,,,,,,,,,,,,,
49,APOLLOHOSP.NSE,2020-12-07,2434.65,2520.0,2345.0,2359.9,2332.6085,6618513,1.0,2520.0,1.0,,2520.0,53.0,,,,,,,,,,,,,,
50,APOLLOHOSP.NSE,2020-12-14,2375.8,2428.0,2335.0,2387.75,2360.1365,5059503,,,,,,,,,,,,,,,,,,,,
51,APOLLOHOSP.NSE,2020-12-21,2385.0,2460.9,2251.0,2413.05,2385.1439,4128359,-1.0,2251.0,,,,,1.0,2460.9,2251.0,12580109.0,0.0,48.846203,,,,,,,,
52,APOLLOHOSP.NSE,2020-12-28,2425.5,2430.0,2351.2,2414.85,2386.9231,3218660,,,,,,,,,,,,,,,,,,,,
53,APOLLOHOSP.NSE,2021-01-04,2418.1,2579.0,2385.8,2553.5,2523.9696,5233090,,,,,,,,,,,,,1.0,2437.75,2430.0,0.0,,,,
54,APOLLOHOSP.NSE,2021-01-11,2564.75,2613.7,2437.75,2592.35,2562.3703,4129932,,,,,,,,,,,,,,,,,,,,
55,APOLLOHOSP.NSE,2021-01-18,2599.5,2685.0,2547.05,2597.9,2567.8561,6028895,,,,,,,,,,,,,,,,,,,,
56,APOLLOHOSP.NSE,2021-01-25,2610.85,2749.65,2551.0,2561.25,2531.63,5762235,,,,,,,,,,,,,,,,,,,,
57,APOLLOHOSP.NSE,2021-02-01,2590.0,2808.15,2528.1,2738.6,2706.929,4169358,,,,,,,,,,,,,,,,,,,,
58,APOLLOHOSP.NSE,2021-02-08,2741.0,2836.6,2725.0,2748.1,2716.3191,3638103,,,,,,,,,,,,,,,,,,,,
59,APOLLOHOSP.NSE,2021-02-15,2777.0,3284.0,2760.45,2919.95,2886.1817,14424458,1.0,3284.0,1.0,,3284.0,70.0,,,,,,,1.0,2866.9,2836.6,62.0,,,,
60,APOLLOHOSP.NSE,2021-02-22,2918.45,3173.95,2866.9,3058.65,3023.2777,6723725,,,,,,,,,,,,,,,,,,,,
61,APOLLOHOSP.NSE,2021-03-01,3039.05,3152.0,2870.0,2879.5,2846.1995,4332887,,,,,,,,,,,,,,,,,,,,
62,APOLLOHOSP.NSE,2021-03-08,2901.0,3031.0,2826.7,2976.35,2941.9295,3779842,,,,,,,,,,,,,,,,,,,,
63,APOLLOHOSP.NSE,2021-03-15,2998.0,3082.3,2887.25,2934.6,2900.6623,5818787,,,,,,,,,,,,,,,,,,,,
64,APOLLOHOSP.NSE,2021-03-22,2913.0,2993.0,2787.5,2851.7,2818.721,3666498,-1.0,2787.5,,,,,1.0,2993.0,2787.5,16489891.0,0.0,94.79451,,,,,,,,
65,APOLLOHOSP.NSE,2021-03-30,2902.5,2970.9,2843.4,2894.05,2860.5813,2928077,,,,,,,,,,,,,,,,,,,,
66,APOLLOHOSP.NSE,2021-04-05,2922.0,3164.15,2886.0,3132.15,3095.9277,5231905,,,,,,,,,,,,,,,,,,,,
67,APOLLOHOSP.NSE,2021-04-12,3119.0,3119.0,2902.3,3061.0,3025.6005,2822212,,,,,,,,,,,,,,,,,,,,
68,APOLLOHOSP.NSE,2021-04-19,3038.0,3334.1,3005.65,3200.05,3163.0425,8465275,,,,,,,,,,,,,1.0,3152.0,3119.0,70.0,,,,
69,APOLLOHOSP.NSE,2021-04-26,3230.35,3310.0,3152.0,3197.5,3160.522,3135108,,,,,,,,,,,,,,,,,,,,
70,APOLLOHOSP.NSE,2021-05-03,3208.8,3397.0,3140.0,3310.85,3272.5611,4889508,1.0,3397.0,1.0,,3397.0,77.0,,,,,,,,,,,,,,
71,APOLLOHOSP.NSE,2021-05-10,3315.0,3342.6,3095.35,3140.95,3104.626,2844124,-1.0,3095.35,,,,,1.0,3342.6,3095.35,11729212.0,0.0,32.971416,,,,,,,,
72,APOLLOHOSP.NSE,2021-05-17,3147.0,3272.75,3115.1,3247.75,3210.1908,3421751,,,,,,,,,,,,,,,,,,,,
73,APOLLOHOSP.NSE,2021-05-24,3248.0,3285.0,3140.0,3149.35,3112.9288,3134992,,,,,,,,,,,,,,,,,,,,
74,APOLLOHOSP.NSE,2021-05-31,3145.0,3435.0,3125.0,3380.15,3341.0597,3664481,,,,,,,,,,,,,,,,,,,,
75,APOLLOHOSP.NSE,2021-06-07,3380.15,3380.15,3251.0,3336.55,3297.9639,2908360,,,,,,,,,,,,,,,,,,,,
76,APOLLOHOSP.NSE,2021-06-14,3345.0,3360.0,3162.55,3221.5,3184.2444,2075937,,,,,,,,,,,,,,,,,,,,
77,APOLLOHOSP.NSE,2021-06-21,3195.0,3465.0,3141.75,3439.0,3399.2291,6744915,,,,,,,,,,,,,1.0,3402.2,3360.0,125.0,,,,
78,APOLLOHOSP.NSE,2021-06-28,3447.85,3744.9,3402.2,3733.2,3690.0268,6223425,,,,,,,,,,,,,1.0,3657.0,3465.0,123.0,,,,
79,APOLLOHOSP.NSE,2021-07-05,3760.0,3762.95,3657.0,3725.9,3682.8112,2184380,,,,,,,,,,,,,,,,,,,,
80,APOLLOHOSP.NSE,2021-07-12,3745.0,3798.0,3708.9,3779.1,3735.396,1732551,,,,,,,,,,,,,1.0,3765.0,3762.95,123.0,,,,
81,APOLLOHOSP.NSE,2021-07-19,3779.1,4004.0,3765.0,3918.9,3873.5792,2498720,,,,,,,,,,,,,1.0,3930.0,3798.0,84.0,,,,
