index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ASIANPAINT.NSE,2020-01-01,1790.2,1802.55,1747.05,1751.4,1668.2614,2127179,-1.0,1747.05,,,,,,,,,,,,,,,,,,
1,ASIANPAINT.NSE,2020-01-06,1737.95,1797.3,1694.0,1792.55,1707.458,6949856,,,,,,,,,,,,,,,,,,,,
2,ASIANPAINT.NSE,2020-01-13,1799.0,1848.0,1794.35,1830.05,1743.1779,4746148,,,,,,,,,,,,,,,,,,,,
3,ASIANPAINT.NSE,2020-01-20,1838.0,1862.25,1757.1,1786.8,1701.9809,9689191,,,,,,,,,,,,,,,,,,,,
4,ASIANPAINT.NSE,2020-01-27,1787.0,1824.0,1773.0,1795.65,1710.4108,4891739,,,,,,,,,,,,,,,,,,,,
5,ASIANPAINT.NSE,2020-02-03,1768.8,1896.75,1765.0,1858.7,1770.4679,7656841,,,,,,,,,,,,,1.0,1837.2,1824.0,8.0,,,,
6,ASIANPAINT.NSE,2020-02-10,1867.0,1916.7,1837.2,1877.05,1787.9468,4867900,1.0,1916.7,,,,,-1.0,1916.7,1837.2,43088136.0,33.0,26.84244,,,,,,,,
7,ASIANPAINT.NSE,2020-02-17,1879.9,1893.5,1839.05,1842.25,1754.7987,3485230,,,,,,,,,,,,,,,,,,,,
8,ASIANPAINT.NSE,2020-02-24,1845.25,1853.0,1783.15,1797.95,1712.6016,8725100,,,,,,,,,,,,,,,,,,,,
9,ASIANPAINT.NSE,2020-03-02,1815.1,1884.4,1767.0,1877.45,1795.5127,9118326,,,,,,,,,,,,,,,,,,,,
10,ASIANPAINT.NSE,2020-03-09,1888.0,1915.9,1669.85,1797.7,1719.2432,16747576,,,,,,,,,,,,,,,,,,,,
11,ASIANPAINT.NSE,2020-03-16,1777.0,1779.8,1431.2,1742.95,1666.8826,17222235,-1.0,1431.2,,,,,,,,,,,-1.0,1669.85,1665.25,13.0,,,,
12,ASIANPAINT.NSE,2020-03-23,1578.6,1665.25,1446.0,1604.15,1534.1403,12986904,,,,,,,,,,,,,,,,,,,,
13,ASIANPAINT.NSE,2020-03-30,1591.15,1690.0,1517.25,1520.9,1454.5235,9118487,,,,,,,,,,,,,,,,,,,,
14,ASIANPAINT.NSE,2020-04-07,1540.0,1687.8,1538.0,1651.35,1579.2803,6605338,,,,,,,,,,,,,,,,,,,,
