index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,AXISBANK.NSE,2020-01-01,754.9,759.95,740.5,742.95,739.8608,18563523,-1.0,740.5,,,,,,,,,,,,,,,,,,
1,AXISBANK.NSE,2020-01-06,739.45,751.8,709.1,740.05,736.9729,40543116,,,,,,,,,,,,,,,,,,,,
2,AXISBANK.NSE,2020-01-13,740.0,751.4,730.85,739.9,736.8235,35739561,,,,,,,,,,,,,,,,,,,,
3,AXISBANK.NSE,2020-01-20,742.95,746.2,706.6,737.4,734.3339,62426228,,,,,,,,,,,,,,,,,,,,
4,AXISBANK.NSE,2020-01-27,732.45,748.45,725.2,729.3,726.2676,39379608,,,,,,,,,,,,,,,,,,,,
5,AXISBANK.NSE,2020-02-03,704.7,749.2,695.55,748.15,745.0392,47289623,,,,,,,,,,,,,,,,,,,,
6,AXISBANK.NSE,2020-02-10,746.3,760.7,732.1,736.5,733.4376,29936142,1.0,760.7,,,,,,,,,,,,,,,,,,
7,AXISBANK.NSE,2020-02-17,737.4,754.0,724.7,744.3,741.2052,21393043,,,,,,,,,,,,,,,,,,,,
8,AXISBANK.NSE,2020-02-24,737.95,739.45,691.0,697.3,694.4006,44441930,,,,,,,,,,,,,-1.0,724.7,713.25,57.0,,,,
9,AXISBANK.NSE,2020-03-02,709.3,713.25,641.05,657.65,654.9155,63332464,,,,,,,,,,,,,-1.0,691.0,641.85,53.0,,,,
10,AXISBANK.NSE,2020-03-09,639.0,641.85,451.1,568.8,566.4349,80326485,,,,,,,,,,,,,-1.0,641.05,545.0,44.0,,,,
11,AXISBANK.NSE,2020-03-16,542.35,545.0,392.1,428.15,426.3697,142382521,,,,,,,,,,,,,-1.0,451.1,409.45,14.0,,,,
12,AXISBANK.NSE,2020-03-23,385.35,409.45,286.0,359.75,358.2542,274312273,-1.0,286.0,,,,,,,,,,,-1.0,392.1,389.8,14.0,,,,
13,AXISBANK.NSE,2020-03-30,345.0,389.8,324.0,325.45,324.0968,165471650,,,,,,,,,,,,,,,,,,,,
14,AXISBANK.NSE,2020-04-07,347.4,427.7,342.35,420.15,418.403,157114381,,,,,,,,,,,,,1.0,400.7,389.8,18.0,,,,
15,AXISBANK.NSE,2020-04-13,417.95,485.9,400.7,478.8,476.8091,171922789,1.0,485.9,,,,,,,,,,,,,,,1.0,485.25,29.0,34.0
16,AXISBANK.NSE,2020-04-20,482.0,483.45,401.25,403.95,402.2704,177546609,,,,,,,,,,,,,,,,,,,,
17,AXISBANK.NSE,2020-04-27,415.0,461.9,409.1,444.9,443.0501,181807293,,,,,,,,,,,,,,,,,,,,
18,AXISBANK.NSE,2020-05-04,424.0,424.0,368.05,382.05,380.4614,231191480,,,,,,,,,,,,,,,,,,,,
19,AXISBANK.NSE,2020-05-11,391.0,416.45,370.0,388.55,386.9344,173798337,,,,,,,,,,,,,,,,,,,,
20,AXISBANK.NSE,2020-05-18,389.0,389.0,332.85,336.95,335.549,194638035,-1.0,332.85,,,,,,,,,,,,,,,,,,
21,AXISBANK.NSE,2020-05-26,342.0,407.65,336.35,384.95,383.3494,226873724,,,,,,,,,,,,,1.0,390.5,389.0,23.0,,,,
22,AXISBANK.NSE,2020-06-01,394.3,432.0,390.5,405.3,403.6148,215373970,,,,,,,,,,,,,,,,,,,,
23,AXISBANK.NSE,2020-06-08,415.0,444.75,389.15,408.0,406.3035,236200518,,,,,,,,,,,,,,,,,,,,
24,AXISBANK.NSE,2020-06-15,405.95,422.3,360.4,417.05,415.3159,288571292,,,,,,,,,,,,,,,,,,,,
25,AXISBANK.NSE,2020-06-22,420.0,448.5,410.35,424.85,423.0835,187252421,,,,,,,,,,,,,,,,,,,,
26,AXISBANK.NSE,2020-06-29,415.0,441.5,402.35,428.45,426.6685,198059109,,,,,,,,,,,,,,,,,,,,
27,AXISBANK.NSE,2020-07-06,434.15,461.4,426.2,439.6,437.7721,157131858,,,,,,,,,,,,,,,,,,,,
28,AXISBANK.NSE,2020-07-13,443.95,446.4,415.4,433.1,431.2992,153911138,,,,,,,,,,,,,,,,,,,,
29,AXISBANK.NSE,2020-07-20,437.7,484.6,429.3,445.6,443.7472,233975744,1.0,484.6,1.0,,484.6,34.0,,,,,,,,,,,,,,
30,AXISBANK.NSE,2020-07-27,447.0,448.0,421.3,431.65,429.8552,133747885,,,,,,,,,,,,,,,,,,,,
31,AXISBANK.NSE,2020-08-03,431.6,446.85,415.7,433.3,431.4983,134537173,-1.0,415.7,,-1.0,415.7,38.0,,,,,,,,,,,,,,
32,AXISBANK.NSE,2020-08-10,434.0,456.75,425.6,435.85,434.0377,127153202,,,,,,,,,,,,,,,,,,,,
33,AXISBANK.NSE,2020-08-17,439.1,451.95,425.35,440.45,438.6186,111871441,,,,,,,,,,,,,,,,,,,,
34,AXISBANK.NSE,2020-08-24,444.0,513.0,442.3,509.2,507.0827,149109035,,,,,,,,,,,,,1.0,452.6,451.95,36.0,,,,
35,AXISBANK.NSE,2020-08-31,524.45,533.85,452.6,455.2,453.3073,153308845,1.0,533.85,,1.0,533.85,44.0,-1.0,533.85,452.6,328638720.0,44.0,66.90168,,,,,,,,
36,AXISBANK.NSE,2020-09-07,457.0,467.15,425.0,447.2,445.3405,131733133,,,,,,,,,,,,,,,,,,,,
37,AXISBANK.NSE,2020-09-14,452.0,455.0,435.9,443.35,441.5065,90083558,,,,,,,,,,,,,,,,,,,,
38,AXISBANK.NSE,2020-09-21,443.0,444.0,400.15,415.05,413.3242,106822031,-1.0,400.15,,,,,1.0,444.0,400.15,409955800.0,0.0,44.053566,,,,,,,,
39,AXISBANK.NSE,2020-09-28,420.0,445.3,418.05,443.7,441.8551,78952484,,,,,,,,,,,,,,,,,,,,
40,AXISBANK.NSE,2020-10-05,444.05,469.8,439.05,468.05,466.1038,112470923,,,,,,,,,,,,,1.0,454.0,445.3,0.0,,,,
41,AXISBANK.NSE,2020-10-12,473.5,481.95,454.0,472.4,470.4358,96088268,,,,,,,,,,,,,,,,,,,,
42,AXISBANK.NSE,2020-10-19,477.05,515.5,476.25,507.2,505.0911,125370133,,,,,,,,,,,,,,,,,,,,
43,AXISBANK.NSE,2020-10-26,508.25,517.5,481.6,492.5,490.4522,146105541,,,,,,,,,,,,,,,,,,,,
44,AXISBANK.NSE,2020-11-02,496.85,546.0,495.1,541.75,539.4974,138480138,,,,,,,,,,,,,1.0,548.25,517.5,0.0,,,,
45,AXISBANK.NSE,2020-11-09,550.0,618.0,548.25,613.15,610.6005,177535723,,,,,,,,,,,,,1.0,592.0,546.0,51.0,,,,
46,AXISBANK.NSE,2020-11-17,613.15,640.0,592.0,607.85,605.3225,106969802,1.0,640.0,1.0,,640.0,53.0,,,,,,,,,,,,,,
47,AXISBANK.NSE,2020-11-23,610.95,630.0,592.7,601.6,599.0985,154984303,,,,,,,,,,,,,,,,,,,,
48,AXISBANK.NSE,2020-12-01,611.0,616.45,596.2,614.5,611.9449,78122442,,,,,,,,,,,,,,,,,,,,
49,AXISBANK.NSE,2020-12-07,616.95,636.7,608.35,613.25,610.7001,96741356,,,,,,,,,,,,,,,,,,,,
50,AXISBANK.NSE,2020-12-14,616.0,623.8,596.5,609.5,606.9657,83640196,,,,,,,,,,,,,,,,,,,,
51,AXISBANK.NSE,2020-12-21,605.25,614.0,568.4,610.2,607.6628,66212132,-1.0,568.4,,,,,1.0,614.0,568.4,220070000.0,0.0,43.034607,,,,,,,,
52,AXISBANK.NSE,2020-12-28,614.0,634.0,614.0,623.8,621.2062,50825745,,,,,,,,,,,,,1.0,618.0,614.0,56.0,,,,
53,AXISBANK.NSE,2021-01-04,627.8,678.85,618.0,672.7,669.9029,103032128,,,,,,,,,,,,,1.0,659.25,634.0,55.0,,,,
54,AXISBANK.NSE,2021-01-11,676.0,691.2,659.25,674.85,672.044,58553435,,,,,,,,,,,,,,,,,,,,
55,AXISBANK.NSE,2021-01-18,674.45,695.0,638.8,644.5,641.8202,69693417,,,,,,,,,,,,,,,,,,,,
56,AXISBANK.NSE,2021-01-25,654.0,675.85,616.0,662.9,660.1436,141365160,,,,,,,,,,,,,,,,,,,,
57,AXISBANK.NSE,2021-02-01,665.0,766.3,654.35,719.6,716.6079,134504743,,,,,,,,,,,,,1.0,726.0,675.85,60.0,,,,
58,AXISBANK.NSE,2021-02-08,726.0,754.7,726.0,750.4,747.2798,80677593,,,,,,,,,,,,,,,,,,,,
