index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BAJAJ-AUTO.NSE,2020-01-01,3183.0,3193.75,3065.0,3067.0,2631.866,1196745,-1.0,3065.0,,,,,,,,,,,,,,,,,,
1,BAJAJ-AUTO.NSE,2020-01-06,3070.0,3117.0,3000.0,3102.0,2661.9004,1763013,,,,,,,,,,,,,,,,,,,,
2,BAJAJ-AUTO.NSE,2020-01-13,3106.0,3150.0,3074.0,3110.5,2669.1944,1546765,,,,,,,,,,,,,,,,,,,,
3,BAJAJ-AUTO.NSE,2020-01-20,3130.0,3144.65,3051.1,3082.4,2645.0811,1316905,,,,,,,,,,,,,,,,,,,,
4,BAJAJ-AUTO.NSE,2020-01-27,3069.8,3239.95,3041.1,3145.0,2698.7997,4811660,,,,,,,,,,,,,,,,,,,,
5,BAJAJ-AUTO.NSE,2020-02-03,3143.0,3315.15,3106.6,3135.0,2690.2185,4083273,1.0,3315.15,,,,,,,,,,,,,,,,,,
6,BAJAJ-AUTO.NSE,2020-02-10,3138.0,3205.0,3091.7,3152.6,2705.3214,1655281,,,,,,,,,,,,,,,,,,,,
7,BAJAJ-AUTO.NSE,2020-02-17,3152.55,3159.45,3033.5,3059.0,2625.001,1083739,,,,,,,,,,,,,-1.0,3091.7,3084.65,30.0,,,,
8,BAJAJ-AUTO.NSE,2020-02-24,3077.0,3084.65,2850.45,2888.0,2478.2619,2815066,,,,,,,,,,,,,-1.0,3033.5,2944.5,25.0,,,,
9,BAJAJ-AUTO.NSE,2020-03-02,2920.0,2944.5,2620.0,2745.0,2461.1407,4739050,,,,,,,,,,,,,-1.0,2850.45,2690.0,19.0,,,,
10,BAJAJ-AUTO.NSE,2020-03-09,2675.0,2690.0,2040.0,2408.9,2159.7967,3031462,,,,,,,,,,,,,-1.0,2620.0,2389.0,12.0,,,,
11,BAJAJ-AUTO.NSE,2020-03-16,2315.0,2389.0,2032.35,2228.2,1997.7828,3945113,,,,,,,,,,,,,,,,,,,,
12,BAJAJ-AUTO.NSE,2020-03-23,2052.0,2389.0,1788.65,2058.65,1845.7659,4541831,-1.0,1788.65,,,,,,,,,,,,,,,,,,
13,BAJAJ-AUTO.NSE,2020-03-30,2016.0,2095.8,1930.3,2020.0,1811.1127,2787658,,,,,,,,,,,,,,,,,,,,
14,BAJAJ-AUTO.NSE,2020-04-07,2065.0,2524.95,2065.0,2436.1,2184.1839,3699687,,,,,,,,,,,,,1.0,2264.5,2095.8,0.0,,,,
15,BAJAJ-AUTO.NSE,2020-04-13,2430.15,2483.6,2264.5,2386.9,2140.0717,3276363,,,,,,,,,,,,,,,,,,,,
16,BAJAJ-AUTO.NSE,2020-04-20,2410.0,2472.0,2295.0,2450.0,2196.6466,3691329,,,,,,,,,,,,,,,,,,,,
17,BAJAJ-AUTO.NSE,2020-04-27,2470.0,2654.0,2431.35,2623.8,2352.474,3419549,,,,,,,,,,,,,,,,,,,,
18,BAJAJ-AUTO.NSE,2020-05-04,2550.0,2554.95,2361.3,2422.65,2172.1248,2894908,,,,,,,,,,,,,,,,,,,,
19,BAJAJ-AUTO.NSE,2020-05-11,2430.0,2774.0,2428.0,2660.0,2384.9305,5759265,,,,,,,,,,,,,,,,,,,,
20,BAJAJ-AUTO.NSE,2020-05-18,2650.0,2724.2,2461.0,2561.0,2296.1681,7571647,,,,,,,,,,,,,,,,,,,,
21,BAJAJ-AUTO.NSE,2020-05-26,2580.0,2741.0,2450.0,2708.0,2427.9669,4395194,,,,,,,,,,,,,1.0,2725.45,2724.2,23.0,,,,
22,BAJAJ-AUTO.NSE,2020-06-01,2730.0,2876.5,2725.45,2779.0,2491.6248,4475474,,,,,,,,,,,,,,,,,,,,
23,BAJAJ-AUTO.NSE,2020-06-08,2800.0,2814.6,2610.25,2797.0,2507.7634,3591488,,,,,,,,,,,,,,,,,,,,
24,BAJAJ-AUTO.NSE,2020-06-15,2774.0,2786.95,2646.15,2675.95,2399.2312,3237880,,,,,,,,,,,,,,,,,,,,
25,BAJAJ-AUTO.NSE,2020-06-22,2690.0,2979.9,2659.55,2860.0,2564.2486,7149593,,,,,,,,,,,,,1.0,2815.0,2786.95,27.0,,,,
26,BAJAJ-AUTO.NSE,2020-06-29,2825.0,2960.0,2815.0,2935.05,2631.5377,4107643,,,,,,,,,,,,,,,,,,,,
27,BAJAJ-AUTO.NSE,2020-07-06,2942.05,2974.0,2811.6,2888.5,2589.8015,6032143,,,,,,,,,,,,,,,,,,,,
28,BAJAJ-AUTO.NSE,2020-07-13,2898.9,3000.0,2847.0,2998.0,2687.9781,3212191,,,,,,,,,,,,,,,,,,,,
29,BAJAJ-AUTO.NSE,2020-07-20,3001.0,3057.0,2906.55,2985.0,2676.3224,5252981,,,,,,,,,,,,,,,,,,,,
30,BAJAJ-AUTO.NSE,2020-07-27,2990.0,3149.0,2934.05,3000.0,2689.7713,3599905,,,,,,,,,,,,,,,,,,,,
31,BAJAJ-AUTO.NSE,2020-08-03,2990.0,3075.0,2910.0,3001.95,2691.5196,3999403,,,,,,,,,,,,,,,,,,,,
32,BAJAJ-AUTO.NSE,2020-08-10,3001.7,3060.0,2971.0,2981.0,2672.7361,2633011,,,,,,,,,,,,,,,,,,,,
33,BAJAJ-AUTO.NSE,2020-08-17,3014.0,3159.0,2992.0,3056.55,2740.4735,4314939,1.0,3159.0,,,,,,,,,,,,,,,1.0,3144.5,41.0,48.0
34,BAJAJ-AUTO.NSE,2020-08-24,3062.9,3138.0,2991.7,3025.0,2712.1861,4631866,,,,,,,,,,,,,,,,,,,,
35,BAJAJ-AUTO.NSE,2020-08-31,3025.0,3029.0,2840.0,2890.0,2591.1463,7774229,,,,,,,,,,,,,-1.0,2991.7,2941.95,37.0,,,,
36,BAJAJ-AUTO.NSE,2020-09-07,2898.35,2941.95,2830.05,2916.0,2614.4577,3653243,-1.0,2830.05,,,,,,,,,,,,,,,-1.0,2826.25,44.0,0.0
37,BAJAJ-AUTO.NSE,2020-09-14,2922.0,3070.0,2895.0,3038.9,2724.6487,5308333,,,,,,,,,,,,,,,,,,,,
38,BAJAJ-AUTO.NSE,2020-09-21,3045.95,3047.6,2912.8,2961.0,2654.8043,3715790,,,,,,,,,,,,,,,,,,,,
39,BAJAJ-AUTO.NSE,2020-09-28,2976.9,3113.95,2870.0,2999.0,2688.8747,7929205,,,,,,,,,,,,,,,,,,,,
40,BAJAJ-AUTO.NSE,2020-10-05,3016.4,3110.8,2930.05,3059.65,2743.2529,5417985,,,,,,,,,,,,,,,,,,,,
41,BAJAJ-AUTO.NSE,2020-10-12,3051.0,3130.0,2996.2,3051.55,2735.9905,3536933,1.0,3130.0,,1.0,3130.0,47.0,,,,,,,,,,,,,,
42,BAJAJ-AUTO.NSE,2020-10-19,3070.0,3095.5,2957.0,3090.0,2770.4644,5398824,,,,,,,,,,,,,,,,,,,,
43,BAJAJ-AUTO.NSE,2020-10-26,3097.95,3113.75,2853.05,2882.3,2584.2426,6588225,,,,,,,,,,,,,,,,,,,,
44,BAJAJ-AUTO.NSE,2020-11-02,2918.0,3000.0,2822.45,2972.7,2665.2944,3985352,-1.0,2822.45,,,,,1.0,3000.0,2822.45,12310319.0,0.0,36.029232,,,,,,,,
45,BAJAJ-AUTO.NSE,2020-11-09,2990.0,3065.0,2967.0,3032.8,2719.1795,3260559,,,,,,,,,,,,,,,,,,,,
46,BAJAJ-AUTO.NSE,2020-11-17,3034.0,3085.0,2996.45,3059.0,2742.6701,2665054,,,,,,,,,,,,,,,,,,,,
47,BAJAJ-AUTO.NSE,2020-11-23,3068.0,3249.0,3030.6,3170.25,2842.4158,6384706,,,,,,,,,,,,,1.0,3161.0,3085.0,102.0,,,,
48,BAJAJ-AUTO.NSE,2020-12-01,3175.1,3371.2,3161.0,3311.25,2968.8351,4812383,,,,,,,,,,,,,1.0,3267.8,3249.0,50.0,,,,
49,BAJAJ-AUTO.NSE,2020-12-07,3311.4,3384.75,3267.8,3317.65,2974.5732,2783241,,,,,,,,,,,,,,,,,,,,
50,BAJAJ-AUTO.NSE,2020-12-14,3327.65,3363.0,3252.0,3352.2,3005.5504,3829217,,,,,,,,,,,,,,,,,,,,
51,BAJAJ-AUTO.NSE,2020-12-21,3352.5,3423.55,3172.0,3365.2,3017.2061,4007313,,,,,,,,,,,,,1.0,3374.0,3363.0,99.0,,,,
52,BAJAJ-AUTO.NSE,2020-12-28,3388.0,3494.0,3374.0,3479.0,3119.2381,2691349,,,,,,,,,,,,,1.0,3428.25,3423.55,99.0,,,,
53,BAJAJ-AUTO.NSE,2021-01-04,3490.0,3544.6,3428.25,3527.55,3162.7676,3008015,,,,,,,,,,,,,1.0,3521.0,3494.0,55.0,,,,
54,BAJAJ-AUTO.NSE,2021-01-11,3531.0,3658.65,3521.0,3581.0,3210.6903,3595382,,,,,,,,,,,,,,,,,,,,
55,BAJAJ-AUTO.NSE,2021-01-18,3552.0,4130.0,3505.0,4119.25,3693.2801,11808483,,,,,,,,,,,,,1.0,3990.0,3658.65,57.0,,,,
56,BAJAJ-AUTO.NSE,2021-01-25,4150.0,4236.65,3990.0,4023.0,3606.9833,7099451,,,,,,,,,,,,,,,,,,,,
57,BAJAJ-AUTO.NSE,2021-02-01,4064.0,4361.4,3975.05,4220.15,3783.7461,4487659,1.0,4361.4,,,,,,,,,,,,,,,1.0,4354.2,74.0,174.0
58,BAJAJ-AUTO.NSE,2021-02-08,4231.45,4258.5,4100.1,4139.0,3710.9878,3233723,,,,,,,,,,,,,,,,,,,,
59,BAJAJ-AUTO.NSE,2021-02-15,4152.2,4205.0,3977.2,4002.0,3588.1549,2363245,,,,,,,,,,,,,-1.0,4100.1,4040.0,72.0,,,,
60,BAJAJ-AUTO.NSE,2021-02-22,4010.0,4040.0,3773.05,3783.9,3392.6085,3330207,,,,,,,,,,,,,,,,,,,,
61,BAJAJ-AUTO.NSE,2021-03-01,3798.7,3985.0,3751.0,3854.85,3456.2216,3407245,,,,,,,,,,,,,,,,,,,,
62,BAJAJ-AUTO.NSE,2021-03-08,3848.0,3879.0,3734.8,3751.0,3363.1107,3009043,,,,,,,,,,,,,,,,,,,,
63,BAJAJ-AUTO.NSE,2021-03-15,3775.0,3775.0,3555.8,3645.8,3268.7894,5074356,,,,,,,,,,,,,-1.0,3734.8,3709.95,65.0,,,,
64,BAJAJ-AUTO.NSE,2021-03-22,3650.2,3709.95,3497.0,3600.0,3227.7255,3091319,,,,,,,,,,,,,,,,,,,,
65,BAJAJ-AUTO.NSE,2021-03-30,3604.25,3764.3,3581.35,3740.0,3353.2482,2305104,,,,,,,,,,,,,,,,,,,,
66,BAJAJ-AUTO.NSE,2021-04-05,3700.05,3740.0,3576.05,3653.0,3275.2448,2471264,,,,,,,,,,,,,,,,,,,,
67,BAJAJ-AUTO.NSE,2021-04-12,3579.5,3657.5,3480.05,3625.0,3250.1403,2277589,,,,,,,,,,,,,,,,,,,,
68,BAJAJ-AUTO.NSE,2021-04-19,3525.2,3709.6,3447.0,3671.0,3291.3835,2915850,-1.0,3447.0,,,,,,,,,,,1.0,3676.0,3657.5,86.0,,,,
69,BAJAJ-AUTO.NSE,2021-04-26,3682.2,3966.35,3676.0,3827.0,3431.2516,4927178,,,,,,,,,,,,,1.0,3784.1,3709.6,81.0,,,,
70,BAJAJ-AUTO.NSE,2021-05-03,3815.0,3970.0,3784.1,3869.0,3468.9084,3000754,,,,,,,,,,,,,,,,,,,,
71,BAJAJ-AUTO.NSE,2021-05-10,3900.0,3903.85,3811.25,3850.0,3451.8732,1741865,,,,,,,,,,,,,,,,,,,,
72,BAJAJ-AUTO.NSE,2021-05-17,3845.0,4132.0,3833.2,4125.0,3698.4355,3431614,,,,,,,,,,,,,1.0,4107.4,3903.85,76.0,,,,
73,BAJAJ-AUTO.NSE,2021-05-24,4125.0,4274.0,4107.4,4203.0,3768.3696,2223836,,,,,,,,,,,,,1.0,4167.0,4132.0,75.0,,,,
74,BAJAJ-AUTO.NSE,2021-05-31,4190.0,4347.0,4167.0,4240.0,3801.5434,2619089,1.0,4347.0,,,,,,,,,,,,,,,,,,
75,BAJAJ-AUTO.NSE,2021-06-07,4258.55,4284.9,4162.0,4173.0,3741.4719,1093805,,,,,,,,,,,,,,,,,,,,
76,BAJAJ-AUTO.NSE,2021-06-14,4173.0,4195.5,4030.0,4177.1,3745.1479,1614600,,,,,,,,,,,,,,,,,,,,
77,BAJAJ-AUTO.NSE,2021-06-21,4153.0,4259.65,4106.45,4192.95,3759.3588,1874088,,,,,,,,,,,,,,,,,,,,
78,BAJAJ-AUTO.NSE,2021-06-28,4196.15,4250.0,4117.0,4184.0,3751.3344,1953508,,,,,,,,,,,,,,,,,,,,
79,BAJAJ-AUTO.NSE,2021-07-05,4191.6,4249.9,3990.0,3998.95,3709.2079,2565804,,,,,,,,,,,,,-1.0,4117.0,4030.0,93.0,,,,
80,BAJAJ-AUTO.NSE,2021-07-12,4018.0,4030.0,3925.0,3934.0,3648.9639,2289260,,,,,,,,,,,,,,,,,,,,
81,BAJAJ-AUTO.NSE,2021-07-19,3922.0,4013.65,3781.6,3840.0,3561.7746,3293430,,,,,,,,,,,,,-1.0,3925.0,3871.3,83.0,,,,
82,BAJAJ-AUTO.NSE,2021-07-26,3852.0,3871.3,3750.0,3843.0,3564.5572,1902229,,,,,,,,,,,,,,,,,,,,
83,BAJAJ-AUTO.NSE,2021-08-02,3874.0,3880.0,3797.25,3850.05,3571.0964,1961952,,,,,,,,,,,,,,,,,,,,
84,BAJAJ-AUTO.NSE,2021-08-09,3858.15,3898.9,3695.2,3826.0,3548.7889,2045396,,,,,,,,,,,,,,,,,,,,
85,BAJAJ-AUTO.NSE,2021-08-16,3826.0,3856.05,3725.8,3740.0,3469.02,1409565,,,,,,,,,,,,,,,,,,,,
86,BAJAJ-AUTO.NSE,2021-08-23,3787.9,3787.9,3647.15,3698.0,3430.0631,1689673,-1.0,3647.15,-1.0,,3647.15,97.0,,,,,,,,,,,,,,
87,BAJAJ-AUTO.NSE,2021-08-30,3717.9,3810.0,3705.0,3764.25,3491.513,3056126,,,,,,,,,,,,,,,,,,,,
88,BAJAJ-AUTO.NSE,2021-09-06,3784.45,3829.0,3695.0,3699.8,3431.7327,2106224,,,,,,,,,,,,,,,,,,,,
89,BAJAJ-AUTO.NSE,2021-09-13,3699.0,3879.4,3680.0,3832.0,3554.3542,3457505,,,,,,,,,,,,,,,,,,,,
90,BAJAJ-AUTO.NSE,2021-09-20,3813.4,3849.1,3696.0,3811.0,3534.8758,1592273,,,,,,,,,,,,,,,,,,,,
91,BAJAJ-AUTO.NSE,2021-09-27,3831.0,3944.8,3802.65,3841.0,3562.7021,2805181,,,,,,,,,,,,,,,,,,,,
92,BAJAJ-AUTO.NSE,2021-10-04,3856.45,3884.6,3760.0,3818.0,3541.3686,1467826,,,,,,,,,,,,,,,,,,,,
93,BAJAJ-AUTO.NSE,2021-10-11,3845.0,4050.0,3830.35,3962.0,3674.9351,2514033,1.0,4050.0,,,,,,,,,,,,,,,1.0,4029.55,160.0,171.0
94,BAJAJ-AUTO.NSE,2021-10-18,3861.0,3969.7,3769.5,3869.0,3588.6734,1841892,,,,,,,,,,,,,,,,,,,,
95,BAJAJ-AUTO.NSE,2021-10-25,3854.0,3884.75,3665.0,3714.9,3445.7386,1750501,,,,,,,,,,,,,,,,,,,,
96,BAJAJ-AUTO.NSE,2021-11-01,3721.8,3790.0,3681.6,3760.0,3487.5709,805492,,,,,,,,,,,,,,,,,,,,
97,BAJAJ-AUTO.NSE,2021-11-08,3791.0,3845.0,3615.7,3640.0,3376.2655,2348865,,,,,,,,,,,,,-1.0,3681.6,3673.9,116.0,,,,
98,BAJAJ-AUTO.NSE,2021-11-15,3651.0,3673.9,3525.0,3544.05,3287.2675,1757945,,,,,,,,,,,,,-1.0,3615.7,3570.0,109.0,,,,
99,BAJAJ-AUTO.NSE,2021-11-22,3570.0,3570.0,3320.0,3335.0,3093.3641,2028411,,,,,,,,,,,,,-1.0,3525.0,3354.35,101.0,,,,
100,BAJAJ-AUTO.NSE,2021-11-29,3321.0,3354.35,3223.05,3287.0,3048.8419,2456132,,,,,,,,,,,,,,,,,,,,
101,BAJAJ-AUTO.NSE,2021-12-06,3297.8,3364.2,3242.7,3344.6,3102.2686,1330114,,,,,,,,,,,,,,,,,,,,
102,BAJAJ-AUTO.NSE,2021-12-13,3367.0,3372.45,3149.1,3205.3,2973.0615,4186579,,,,,,,,,,,,,-1.0,3242.7,3195.0,104.0,,,,
103,BAJAJ-AUTO.NSE,2021-12-20,3149.9,3195.0,3027.05,3156.4,2927.7045,1564953,-1.0,3027.05,,,,,,,,,,,,,,,-1.0,3076.025,114.0,0.0
104,BAJAJ-AUTO.NSE,2021-12-27,3145.0,3279.15,3122.0,3251.0,3015.4503,1715508,,,,,,,,,,,,,1.0,3251.5,3195.0,113.0,,,,
105,BAJAJ-AUTO.NSE,2022-01-03,3258.7,3437.5,3251.5,3395.0,3149.0168,1497575,,,,,,,,,,,,,1.0,3404.45,3279.15,107.0,,,,
106,BAJAJ-AUTO.NSE,2022-01-10,3414.8,3474.3,3404.45,3429.0,3180.5534,1161730,,,,,,,,,,,,,,,,,,,,
107,BAJAJ-AUTO.NSE,2022-01-17,3450.0,3527.0,3270.0,3419.8,3172.02,4480818,,,,,,,,,,,,,,,,,,,,
108,BAJAJ-AUTO.NSE,2022-01-24,3421.0,3562.3,3328.75,3496.25,3242.9308,2599342,,,,,,,,,,,,,,,,,,,,
109,BAJAJ-AUTO.NSE,2022-01-31,3520.0,3650.95,3487.0,3564.95,3306.6532,2227582,,,,,,,,,,,,,,,,,,,,
110,BAJAJ-AUTO.NSE,2022-02-07,3570.0,3581.55,3445.9,3569.0,3310.4098,1616566,,,,,,,,,,,,,,,,,,,,
111,BAJAJ-AUTO.NSE,2022-02-14,3465.0,3660.0,3461.35,3636.6,3373.1118,1675500,1.0,3660.0,1.0,,3660.0,117.0,,,,,,,,,,,,,,
112,BAJAJ-AUTO.NSE,2022-02-21,3624.15,3639.9,3435.0,3512.0,3257.5397,1942419,,,,,,,,,,,,,,,,,,,,
113,BAJAJ-AUTO.NSE,2022-02-28,3497.7,3561.0,3151.0,3252.05,3016.4242,2415998,,,,,,,,,,,,,,,,,,,,
