index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BAJAJFINSV.NSE,2020-01-01,4710.0,4765.5,4662.0,4676.0,932.5778,4040380,1.0,4765.5,,,,,,,,,,,,,,,,,,
1,BAJAJFINSV.NSE,2020-01-06,4669.5,4749.95,4480.8,4681.0,933.575,11102730,,,,,,,,,,,,,,,,,,,,
2,BAJAJFINSV.NSE,2020-01-13,4699.9,4870.15,4682.5,4862.5,969.7732,8707530,,,,,,,,,,,,,,,,,,,,
3,BAJAJFINSV.NSE,2020-01-20,4862.5,4882.2,4740.05,4814.45,960.1902,8034880,,,,,,,,,,,,,,,,,,,,
4,BAJAJFINSV.NSE,2020-01-27,4795.0,4975.0,4410.0,4475.0,892.4905,22627690,,,,,,,,,,,,,,,,,,,,
5,BAJAJFINSV.NSE,2020-02-03,4477.5,4854.5,4442.5,4802.5,957.8069,17047570,,,,,,,,,,,,,,,,,,,,
6,BAJAJFINSV.NSE,2020-02-10,4802.5,4920.5,4765.5,4836.5,964.5878,8035020,,,,,,,,,,,,,,,,,,,,
7,BAJAJFINSV.NSE,2020-02-17,4849.9,4913.8,4708.0,4857.5,968.776,8299370,,,,,,,,,,,,,,,,,,,,
8,BAJAJFINSV.NSE,2020-02-24,4840.0,4840.0,4412.55,4550.0,907.4485,13422990,,,,,,,,,,,,,-1.0,4708.0,4650.0,50.0,,,,
9,BAJAJFINSV.NSE,2020-03-02,4650.0,4650.0,4200.0,4300.0,858.0697,20285630,,,,,,,,,,,,,-1.0,4412.55,4225.0,46.0,,,,
10,BAJAJFINSV.NSE,2020-03-09,4219.5,4225.0,3262.15,3864.0,771.0654,19577350,,,,,,,,,,,,,-1.0,4200.0,3783.25,46.0,,,,
11,BAJAJFINSV.NSE,2020-03-16,3725.0,3783.25,2721.35,3120.0,622.5994,31294640,,,,,,,,,,,,,-1.0,3262.15,2945.2,24.0,,,,
