index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BAJAJHFL.NSE,2024-09-16,150.0,188.5,146.0,163.73,163.73,1383778099,1.0,188.5,,,,,,,,,,,,,,,,,,
1,BAJAJHFL.NSE,2024-09-23,165.75,166.75,150.4,157.15,157.15,197460264,,,,,,,,,,,,,,,,,,,,
2,BAJAJHFL.NSE,2024-09-30,156.75,156.84,148.3,150.6,150.6,80203578,,,,,,,,,,,,,,,,,,,,
3,BAJAJHFL.NSE,2024-10-07,150.6,159.62,130.35,150.88,150.88,233306193,,,,,,,,,,,,,,,,,,,,
4,BAJAJHFL.NSE,2024-10-14,150.88,151.05,135.85,139.33,139.33,139563194,,,,,,,,,,,,,,,,,,,,
5,BAJAJHFL.NSE,2024-10-21,140.74,142.33,128.26,131.34,131.34,114416987,,,,,,,,,,,,,,,,,,,,
6,BAJAJHFL.NSE,2024-10-28,132.97,136.85,129.31,134.11,134.11,64145311,,,,,,,,,,,,,,,,,,,,
7,BAJAJHFL.NSE,2024-11-04,138.0,141.5,133.15,135.46,135.46,50656366,,,,,,,,,,,,,,,,,,,,
8,BAJAJHFL.NSE,2024-11-11,134.0,134.73,128.17,129.65,129.65,29092498,,,,,,,,,,,,,-1.0,133.15,130.7,10.0,,,,
9,BAJAJHFL.NSE,2024-11-18,130.03,130.7,125.34,126.95,126.95,32717768,-1.0,125.34,-1.0,,125.34,16.0,,,,,,,,,,,,,,
10,BAJAJHFL.NSE,2024-11-25,130.0,140.7,128.2,135.87,135.87,65946086,,,,,,,,,,,,,1.0,133.71,130.7,12.0,,,,
11,BAJAJHFL.NSE,2024-12-02,135.0,147.7,133.71,144.06,144.06,109104854,1.0,147.7,,,,,-1.0,147.7,133.71,128380170.0,0.0,28.872972,,,,,,,,
12,BAJAJHFL.NSE,2024-12-09,143.99,145.66,130.9,132.46,132.46,117331100,,,,,,,,,,,,,-1.0,133.71,133.1,31.0,,,,
13,BAJAJHFL.NSE,2024-12-16,133.0,133.1,125.13,126.29,126.29,73075977,,,,,,,,,,,,,-1.0,130.9,128.63,15.0,,,,
14,BAJAJHFL.NSE,2024-12-23,127.9,128.63,124.89,126.88,126.88,28762562,,,,,,,,,,,,,,,,,,,,
15,BAJAJHFL.NSE,2024-12-30,126.88,129.81,125.94,126.08,126.08,40769597,,,,,,,,,,,,,,,,,,,,
16,BAJAJHFL.NSE,2025-01-06,127.67,128.25,117.32,118.51,118.51,58848007,,,,,,,,,,,,,-1.0,125.94,118.49,19.0,,,,
17,BAJAJHFL.NSE,2025-01-13,116.05,118.49,111.52,113.42,113.42,67358323,,,,,,,,,,,,,-1.0,117.32,116.97,19.0,,,,
18,BAJAJHFL.NSE,2025-01-20,114.0,116.97,108.55,109.14,109.14,50251405,,,,,,,,,,,,,,,,,,,,
19,BAJAJHFL.NSE,2025-01-27,108.0,119.39,103.1,115.66,115.66,103743132,-1.0,103.1,,,,,,,,,,,,,,,,,,
20,BAJAJHFL.NSE,2025-02-03,114.51,122.55,113.5,119.92,119.92,46167185,1.0,122.55,1.0,,122.55,26.0,,,,,,,,,,,,,,
21,BAJAJHFL.NSE,2025-02-10,119.92,119.92,108.21,109.72,109.72,39634870,,,,,,,,,,,,,,,,,,,,
22,BAJAJHFL.NSE,2025-02-17,109.0,115.95,106.76,113.54,113.54,41721949,,,,,,,,,,,,,,,,,,,,
23,BAJAJHFL.NSE,2025-02-24,112.8,115.4,107.65,108.73,108.73,28549452,,,,,,,,,,,,,,,,,,,,
24,BAJAJHFL.NSE,2025-03-03,108.73,117.35,105.05,116.38,116.38,44347362,-1.0,105.05,,,,,1.0,117.35,105.05,206782270.0,0.0,27.301619,,,,,,,,
25,BAJAJHFL.NSE,2025-03-10,116.38,117.76,113.0,115.25,115.25,24342174,,,,,,,,,,,,,,,,,,,,
26,BAJAJHFL.NSE,2025-03-17,115.25,126.99,114.5,123.61,123.61,138092738,,,,,,,,,,,,,,,,,,,,
27,BAJAJHFL.NSE,2025-03-24,126.0,127.58,115.16,123.29,123.29,89545645,,,,,,,,,,,,,,,,,,,,
28,BAJAJHFL.NSE,2025-04-01,121.15,125.5,120.25,121.56,121.56,36322721,,,,,,,,,,,,,,,,,,,,
29,BAJAJHFL.NSE,2025-04-07,112.55,122.0,111.0,119.38,119.38,42788382,,,,,,,,,,,,,,,,,,,,
30,BAJAJHFL.NSE,2025-04-15,121.0,131.4,120.7,128.69,128.69,58675714,,,,,,,,,,,,,1.0,123.2,122.0,32.0,,,,
31,BAJAJHFL.NSE,2025-04-21,129.45,136.96,123.2,125.04,125.04,120771563,1.0,136.96,,,,,,,,,,,,,,,,,,
32,BAJAJHFL.NSE,2025-04-28,124.01,127.5,121.51,122.28,122.28,33739549,,,,,,,,,,,,,,,,,,,,
33,BAJAJHFL.NSE,2025-05-05,122.09,123.47,114.91,117.19,117.19,45884092,-1.0,114.91,,,,,,,,,,,,,,,,,,
34,BAJAJHFL.NSE,2025-05-12,122.0,124.77,120.55,123.9,123.9,47069059,,,,,,,,,,,,,,,,,,,,
35,BAJAJHFL.NSE,2025-05-19,124.0,128.7,122.14,124.54,124.54,41146202,1.0,128.7,,,,,,,,,,,,,,,,,,
36,BAJAJHFL.NSE,2025-05-26,124.61,125.49,121.9,122.0,122.0,19475005,,,,,,,,,,,,,,,,,,,,
37,BAJAJHFL.NSE,2025-06-02,122.0,126.56,121.0,125.66,125.66,46030934,,,,,,,,,,,,,,,,,,,,
38,BAJAJHFL.NSE,2025-06-09,126.79,128.45,120.03,121.63,121.63,37242395,,,,,,,,,,,,,,,,,,,,
39,BAJAJHFL.NSE,2025-06-16,122.0,122.72,117.3,119.64,119.64,24714664,-1.0,117.3,-1.0,,117.3,44.0,,,,,,,,,,,,,,
40,BAJAJHFL.NSE,2025-06-23,118.1,123.19,118.04,122.07,122.07,23248978,,,,,,,,,,,,,,,,,,,,
41,BAJAJHFL.NSE,2025-06-30,122.5,124.0,120.67,122.39,122.39,26352946,1.0,124.0,,,,,,,,,,,,,,,,,,
42,BAJAJHFL.NSE,2025-07-07,122.25,122.39,120.23,120.79,120.79,18908820,,,,,,,,,,,,,,,,,,,,
43,BAJAJHFL.NSE,2025-07-14,120.5,124.0,119.43,121.89,121.89,28684672,,,,,,,-1.0,124.0,119.43,77277210.0,0.0,32.39565,,,,,,,,
44,BAJAJHFL.NSE,2025-07-21,121.75,123.12,116.89,117.02,117.02,29683719,,,,,,,,,,,,,-1.0,119.43,117.15,48.0,,,,
45,BAJAJHFL.NSE,2025-07-28,117.0,117.15,112.6,112.91,112.91,20435455,,,,,,,,,,,,,-1.0,116.89,114.89,47.0,,,,
46,BAJAJHFL.NSE,2025-08-04,112.91,114.89,111.02,112.37,112.37,14671090,,,,,,,,,,,,,,,,,,,,
47,BAJAJHFL.NSE,2025-08-11,112.0,114.92,108.25,112.72,112.72,41368928,-1.0,108.25,,,,,,,,,,,,,,,,,,
48,BAJAJHFL.NSE,2025-08-18,114.0,117.98,112.6,112.93,112.93,25633337,1.0,117.98,,,,,,,,,,,,,,,,,,
49,BAJAJHFL.NSE,2025-08-25,112.93,113.85,111.03,111.24,111.24,11148220,,,,,,,,,,,,,,,,,,,,
50,BAJAJHFL.NSE,2025-09-01,111.69,114.8,111.22,112.21,112.21,16734198,,,,,,,,,,,,,,,,,,,,
51,BAJAJHFL.NSE,2025-09-08,112.21,113.46,111.7,112.07,112.07,7568861,-1.0,111.7,,,,,,,,,,,,,,,,,,
