index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BAJAJHLDNG.NSE,2020-01-01,3409.5,3491.0,3358.0,3474.9,3176.6676,56231,-1.0,3358.0,,,,,,,,,,,,,,,,,,
1,BAJAJHLDNG.NSE,2020-01-06,3460.0,3480.85,3300.0,3380.0,3089.9124,184575,,,,,,,,,,,,,,,,,,,,
2,BAJAJHLDNG.NSE,2020-01-13,3400.0,3426.0,3360.0,3387.0,3096.3116,202415,,,,,,,,,,,,,,,,,,,,
3,BAJAJHLDNG.NSE,2020-01-20,3402.5,3405.0,3328.0,3328.0,3042.3753,146403,,,,,,,,,,,,,,,,,,,,
4,BAJAJHLDNG.NSE,2020-01-27,3330.0,3557.15,3260.0,3523.95,3221.5079,447259,,,,,,,,,,,,,1.0,3501.0,3405.0,8.0,,,,
5,BAJAJHLDNG.NSE,2020-02-03,3525.65,3950.0,3501.0,3784.4,3459.6049,1009345,1.0,3950.0,,,,,,,,,,,1.0,3726.0,3557.15,7.0,,,,
6,BAJAJHLDNG.NSE,2020-02-10,3786.05,3939.75,3726.0,3766.0,3442.784,387477,,,,,,,,,,,,,,,,,,,,
7,BAJAJHLDNG.NSE,2020-02-17,3766.0,3805.5,3660.0,3675.0,3359.5941,158005,,,,,,,,,,,,,,,,,,,,
8,BAJAJHLDNG.NSE,2020-02-24,3691.6,3750.0,3350.8,3385.0,3094.4833,160116,,,,,,,,,,,,,-1.0,3660.0,3460.0,57.0,,,,
9,BAJAJHLDNG.NSE,2020-03-02,3460.0,3460.0,3121.7,3153.8,2917.6487,158116,,,,,,,,,,,,,-1.0,3350.8,3148.0,47.0,,,,
10,BAJAJHLDNG.NSE,2020-03-09,3148.0,3148.0,2474.9,3070.0,2840.1235,492802,,,,,,,,,,,,,-1.0,3121.7,2923.9,25.0,,,,
11,BAJAJHLDNG.NSE,2020-03-16,2890.0,2923.9,2140.0,2325.0,2150.9079,1113618,,,,,,,,,,,,,-1.0,2474.9,2198.9,22.0,,,,
12,BAJAJHLDNG.NSE,2020-03-23,2100.0,2198.9,1460.15,1920.0,1776.2336,850989,-1.0,1460.15,,,,,,,,,,,-1.0,2140.0,1930.0,14.0,,,,
13,BAJAJHLDNG.NSE,2020-03-30,1810.0,1930.0,1700.0,1927.0,1782.7094,172916,,,,,,,,,,,,,,,,,,,,
14,BAJAJHLDNG.NSE,2020-04-07,1980.0,2110.9,1925.0,2096.7,1939.7026,81491,,,,,,,,,,,,,,,,,,,,
15,BAJAJHLDNG.NSE,2020-04-13,2090.0,2154.95,1910.0,2112.0,1953.857,137881,1.0,2154.95,1.0,,2154.95,22.0,,,,,,,,,,,,,,
16,BAJAJHLDNG.NSE,2020-04-20,2147.0,2147.0,1875.05,1888.0,1746.6297,131934,,,,,,,,,,,,,,,,,,,,
17,BAJAJHLDNG.NSE,2020-04-27,1929.9,2084.95,1845.0,2041.0,1888.1733,190231,-1.0,1845.0,,,,,1.0,2084.95,1845.0,951956.0,0.0,92.521255,,,,,,,,
18,BAJAJHLDNG.NSE,2020-05-04,2000.0,2000.0,1873.0,1874.95,1734.5569,124694,,,,,,,,,,,,,,,,,,,,
19,BAJAJHLDNG.NSE,2020-05-11,1894.95,2020.0,1875.0,1924.4,1780.3041,128836,,,,,,,,,,,,,,,,,,,,
20,BAJAJHLDNG.NSE,2020-05-18,1934.9,2025.0,1850.35,1995.5,1846.0803,494468,,,,,,,,,,,,,,,,,,,,
21,BAJAJHLDNG.NSE,2020-05-26,2000.0,2030.4,1950.0,2000.0,1850.2433,102664,,,,,,,,,,,,,,,,,,,,
22,BAJAJHLDNG.NSE,2020-06-01,2010.6,2493.8,2010.6,2425.0,2243.42,354824,,,,,,,,,,,,,1.0,2215.0,2030.4,43.0,,,,
23,BAJAJHLDNG.NSE,2020-06-08,2539.0,2583.1,2215.0,2354.9,2178.569,399755,,,,,,,,,,,,,,,,,,,,
24,BAJAJHLDNG.NSE,2020-06-15,2385.0,2569.95,2280.0,2555.0,2363.6859,343030,,,,,,,,,,,,,,,,,,,,
25,BAJAJHLDNG.NSE,2020-06-22,2578.65,3005.0,2569.45,2724.0,2520.0314,505919,1.0,3005.0,,,,,,,,,,,,,,,1.0,2942.5,34.0,47.0
26,BAJAJHLDNG.NSE,2020-06-29,2723.0,2770.0,2525.25,2545.0,2354.4346,294615,,,,,,,,,,,,,,,,,,,,
27,BAJAJHLDNG.NSE,2020-07-06,2565.0,2897.95,2565.0,2718.0,2514.4807,555819,,,,,,,,,,,,,,,,,,,,
28,BAJAJHLDNG.NSE,2020-07-13,2765.0,2765.0,2552.1,2642.9,2445.004,414888,,,,,,,,,,,,,,,,,,,,
29,BAJAJHLDNG.NSE,2020-07-20,2660.0,2787.0,2622.0,2675.0,2474.7005,255316,,,,,,,,,,,,,,,,,,,,
30,BAJAJHLDNG.NSE,2020-07-27,2689.7,2750.0,2602.55,2635.5,2438.1581,359662,,,,,,,,,,,,,,,,,,,,
31,BAJAJHLDNG.NSE,2020-08-03,2650.0,2717.15,2545.1,2696.0,2494.128,173683,-1.0,2545.1,-1.0,,2545.1,36.0,,,,,,,,,,,,,,
32,BAJAJHLDNG.NSE,2020-08-10,2733.0,2762.95,2552.3,2599.95,2405.2701,141246,,,,,,,,,,,,,,,,,,,,
33,BAJAJHLDNG.NSE,2020-08-17,2618.95,2693.0,2600.0,2675.0,2474.7005,236156,,,,,,,,,,,,,,,,,,,,
34,BAJAJHLDNG.NSE,2020-08-24,2680.0,2880.0,2625.05,2787.0,2578.3141,525579,1.0,2880.0,,1.0,2880.0,46.0,-1.0,2880.0,2625.05,895216.0,46.0,70.32948,,,,,,,,
35,BAJAJHLDNG.NSE,2020-08-31,2790.0,2815.15,2585.0,2593.0,2398.8405,144632,,,,,,,,,,,,,,,,,,,,
36,BAJAJHLDNG.NSE,2020-09-07,2590.0,2630.0,2385.1,2462.0,2277.6495,225005,,,,,,,,,,,,,,,,,,,,
37,BAJAJHLDNG.NSE,2020-09-14,2467.0,2620.05,2456.95,2619.95,2423.7725,142246,,,,,,,,,,,,,,,,,,,,
38,BAJAJHLDNG.NSE,2020-09-21,2608.0,2615.0,2390.45,2440.0,2257.2969,152227,,,,,,,,,,,,,,,,,,,,
39,BAJAJHLDNG.NSE,2020-09-28,2467.0,2520.0,2401.0,2450.05,2266.5943,100210,,,,,,,,,,,,,,,,,,,,
