index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BAJFINANCE.NSE,2020-01-01,847.56,859.16,834.6,836.22,372.5348,24477360,-1.0,834.6,,,,,,,,,,,,,,,,,,
1,BAJFINANCE.NSE,2020-01-06,832.8,840.8,790.0,829.22,369.4163,91723650,,,,,,,,,,,,,,,,,,,,
2,BAJFINANCE.NSE,2020-01-13,833.6,848.4,829.2,844.84,376.375,32154190,,,,,,,,,,,,,,,,,,,,
3,BAJFINANCE.NSE,2020-01-20,845.8,850.6,817.0,838.8,373.6841,45638760,,,,,,,,,,,,,,,,,,,,
4,BAJFINANCE.NSE,2020-01-27,834.8,897.0,830.04,854.82,380.821,138835960,,,,,,,,,,,,,,,,,,,,
5,BAJFINANCE.NSE,2020-02-03,850.04,937.38,850.04,930.16,414.3849,71349380,,,,,,,,,,,,,1.0,928.0,897.0,8.0,,,,
6,BAJFINANCE.NSE,2020-02-10,932.0,963.0,928.0,957.0,426.3421,46234290,,,,,,,,,,,,,1.0,940.32,937.38,8.0,,,,
7,BAJFINANCE.NSE,2020-02-17,956.36,984.68,940.32,977.6,435.5193,42517870,1.0,984.68,,,,,,,,,,,,,,,,,,
8,BAJFINANCE.NSE,2020-02-24,968.0,975.2,862.36,900.0,400.9487,91903240,,,,,,,,,,,,,-1.0,940.32,923.6,46.0,,,,
9,BAJFINANCE.NSE,2020-03-02,920.0,923.6,807.3,847.6,381.981,118802430,,,,,,,,,,,,,-1.0,862.36,825.5,45.0,,,,
10,BAJFINANCE.NSE,2020-03-09,814.0,825.5,656.22,793.0,357.3749,164619650,,,,,,,,,,,,,-1.0,807.3,766.7,45.0,,,,
11,BAJFINANCE.NSE,2020-03-16,766.7,766.7,496.94,590.0,265.8905,255780740,,,,,,,,,,,,,-1.0,656.22,608.0,25.0,,,,
12,BAJFINANCE.NSE,2020-03-23,531.36,608.0,420.94,514.4,231.8205,295948010,,,,,,,,,,,,,-1.0,496.94,482.88,14.0,,,,
13,BAJFINANCE.NSE,2020-03-30,478.02,482.88,420.0,442.2,199.2827,313226340,,,,,,,,,,,,,,,,,,,,
14,BAJFINANCE.NSE,2020-04-07,449.0,513.24,416.3,508.4,229.1165,274669270,,,,,,,,,,,,,,,,,,,,
15,BAJFINANCE.NSE,2020-04-13,504.0,504.0,424.4,462.8,208.5663,349552410,,,,,,,,,,,,,,,,,,,,
16,BAJFINANCE.NSE,2020-04-20,465.0,469.1,394.02,396.68,178.7686,394892740,,,,,,,,,,,,,,,,,,,,
17,BAJFINANCE.NSE,2020-04-27,400.0,483.8,383.14,463.6,208.9269,531965040,,,,,,,,,,,,,,,,,,,,
18,BAJFINANCE.NSE,2020-05-04,440.0,440.44,390.48,407.6,183.6898,467203580,,,,,,,,,,,,,,,,,,,,
19,BAJFINANCE.NSE,2020-05-11,414.0,451.8,395.42,417.2,188.0161,497673270,,,,,,,,,,,,,,,,,,,,
20,BAJFINANCE.NSE,2020-05-18,418.0,418.7,373.06,379.98,171.2425,626285360,,,,,,,,,,,,,,,,,,,,
21,BAJFINANCE.NSE,2020-05-26,383.6,396.6,356.6,388.2,174.947,466191710,-1.0,356.6,,,,,,,,,,,,,,,,,,
22,BAJFINANCE.NSE,2020-06-01,399.42,499.38,399.42,481.36,216.9306,932303440,,,,,,,,,,,,,1.0,439.8,396.6,0.0,,,,
23,BAJFINANCE.NSE,2020-06-08,501.0,509.54,439.8,489.6,220.6441,631729640,,,,,,,,,,,,,,,,,,,,
