index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BANKBARODA.NSE,2020-01-01,102.25,104.85,100.1,100.85,89.41,56039895,1.0,104.85,,,,,,,,,,,,,,,,,,
1,BANKBARODA.NSE,2020-01-06,99.95,99.95,93.5,97.05,86.0411,132539646,,,,,,,,,,,,,-1.0,100.1,99.0,59.0,,,,
2,BANKBARODA.NSE,2020-01-13,97.4,99.0,95.1,97.35,86.307,79698168,,,,,,,,,,,,,,,,,,,,
3,BANKBARODA.NSE,2020-01-20,97.85,97.85,93.5,95.6,84.7556,92569818,,,,,,,,,,,,,-1.0,95.1,94.2,59.0,,,,
4,BANKBARODA.NSE,2020-01-27,93.25,94.2,92.0,92.7,82.1845,123730256,,,,,,,,,,,,,-1.0,93.5,92.75,59.0,,,,
5,BANKBARODA.NSE,2020-02-03,88.9,92.75,85.4,92.05,81.6082,118357561,,,,,,,,,,,,,,,,,,,,
6,BANKBARODA.NSE,2020-02-10,91.85,92.3,86.1,86.45,76.6435,69703080,,,,,,,,,,,,,,,,,,,,
7,BANKBARODA.NSE,2020-02-17,85.3,86.35,78.2,82.25,72.9199,84552822,,,,,,,,,,,,,-1.0,86.1,82.1,57.0,,,,
8,BANKBARODA.NSE,2020-02-24,80.9,82.1,73.3,76.3,67.6449,103390211,,,,,,,,,,,,,,,,,,,,
9,BANKBARODA.NSE,2020-03-02,77.5,78.35,68.75,71.75,63.611,139103960,,,,,,,,,,,,,-1.0,73.3,72.6,54.0,,,,
10,BANKBARODA.NSE,2020-03-09,69.7,72.6,46.5,65.35,57.937,134746128,-1.0,46.5,-1.0,,46.5,16.0,,,,,,,,,,,,,,
11,BANKBARODA.NSE,2020-03-16,62.0,69.6,60.2,63.25,56.0752,160846058,,,,,,,-1.0,69.6,60.2,300559800.0,54.0,35.464714,,,,,,,,
12,BANKBARODA.NSE,2020-03-23,57.5,61.5,51.7,54.35,48.1848,130973010,,,,,,,,,,,,,-1.0,60.2,56.2,48.0,,,,
13,BANKBARODA.NSE,2020-03-30,52.1,56.2,48.5,48.7,43.1757,77749522,,,,,,,,,,,,,,,,,,,,
14,BANKBARODA.NSE,2020-04-07,50.25,51.9,47.3,50.9,45.1261,78686676,,,,,,,,,,,,,,,,,,,,
15,BANKBARODA.NSE,2020-04-13,50.9,52.35,48.25,50.2,44.5055,88701448,,,,,,,,,,,,,,,,,,,,
16,BANKBARODA.NSE,2020-04-20,51.0,53.2,46.1,46.35,41.0923,133171692,1.0,53.2,,,,48.0,,,,,,,,,,,1.0,53.983334,35.0,48.0
17,BANKBARODA.NSE,2020-04-27,47.25,51.25,46.55,49.2,43.619,102764453,,,,,,,,,,,,,,,,,,,,
18,BANKBARODA.NSE,2020-05-04,48.0,48.0,41.0,41.1,36.4378,118969298,,,,,,,,,,,,,-1.0,46.55,45.15,22.0,,,,
19,BANKBARODA.NSE,2020-05-11,41.85,45.15,39.35,41.6,36.8811,152169658,,,,,,,,,,,,,,,,,,,,
20,BANKBARODA.NSE,2020-05-18,41.5,41.7,36.0,37.45,33.2018,212922012,-1.0,36.0,,,,,,,,,,,,,,,,,,
21,BANKBARODA.NSE,2020-05-26,37.85,39.95,36.7,38.95,34.5317,161933371,,,,,,,,,,,,,,,,,,,,
22,BANKBARODA.NSE,2020-06-01,39.7,47.0,39.4,46.5,41.2252,347415704,,,,,,,,,,,,,1.0,41.85,39.95,38.0,,,,
23,BANKBARODA.NSE,2020-06-08,48.0,49.0,41.85,45.45,40.2943,288178055,,,,,,,,,,,,,,,,,,,,
24,BANKBARODA.NSE,2020-06-15,45.2,47.5,43.65,47.05,41.7129,217037373,,,,,,,,,,,,,,,,,,,,
25,BANKBARODA.NSE,2020-06-22,47.55,54.8,47.4,51.85,45.9684,365227597,1.0,54.8,,,,,,,,,,,1.0,48.2,47.5,28.0,,,,
26,BANKBARODA.NSE,2020-06-29,51.5,52.4,48.2,50.75,44.9931,189313848,,,,,,,,,,,,,,,,,,,,
27,BANKBARODA.NSE,2020-07-06,51.0,54.1,49.7,51.6,45.7467,235931450,,,,,,,,,,,,,,,,,,,,
28,BANKBARODA.NSE,2020-07-13,52.0,52.45,46.9,49.4,43.7963,143611319,,,,,,,,,,,,,,,,,,,,
29,BANKBARODA.NSE,2020-07-20,49.45,50.3,47.7,48.6,43.087,132210255,,,,,,,,,,,,,,,,,,,,
30,BANKBARODA.NSE,2020-07-27,48.6,48.65,45.45,46.8,41.4912,135167795,-1.0,45.45,-1.0,,45.45,37.0,,,,,,,,,,,,,,
31,BANKBARODA.NSE,2020-08-03,46.45,48.85,45.9,48.35,42.8654,133654078,,,,,,,,,,,,,,,,,,,,
32,BANKBARODA.NSE,2020-08-10,48.95,49.9,45.8,46.1,40.8706,200768330,,,,,,,,,,,,,,,,,,,,
33,BANKBARODA.NSE,2020-08-17,46.7,48.85,45.65,48.35,42.8654,133653588,,,,,,,,,,,,,,,,,,,,
34,BANKBARODA.NSE,2020-08-24,48.7,52.2,47.5,51.6,45.7467,241343577,,,,,,,,,,,,,,,,,,,,
35,BANKBARODA.NSE,2020-08-31,53.5,53.95,45.75,45.9,40.6933,189269676,1.0,53.95,,1.0,53.95,48.0,-1.0,53.95,45.75,361791800.0,48.0,91.151474,-1.0,47.5,46.5,37.0,,,,
36,BANKBARODA.NSE,2020-09-07,46.0,46.5,43.8,45.95,40.7376,107569821,,,,,,,,,,,,,,,,,,,,
37,BANKBARODA.NSE,2020-09-14,46.15,46.7,44.9,45.05,39.9397,64952297,,,,,,,,,,,,,,,,,,,,
38,BANKBARODA.NSE,2020-09-21,45.3,45.3,39.5,41.55,36.8367,117732672,-1.0,39.5,,,,,1.0,45.3,39.5,665852000.0,0.0,21.964655,-1.0,44.9,43.6,40.0,,,,
39,BANKBARODA.NSE,2020-09-28,42.1,43.6,40.3,41.95,37.1914,106847631,,,,,,,,,,,,,,,,,,,,
40,BANKBARODA.NSE,2020-10-05,42.1,44.45,40.8,44.3,39.2748,121770330,,,,,,,,,,,,,,,,,,,,
41,BANKBARODA.NSE,2020-10-12,44.4,45.55,39.9,40.3,35.7285,114502091,,,,,,,,,,,,,,,,,,,,
42,BANKBARODA.NSE,2020-10-19,41.0,43.85,40.55,43.15,38.2553,166841818,,,,,,,,,,,,,,,,,,,,
43,BANKBARODA.NSE,2020-10-26,43.05,43.75,41.05,41.7,36.9697,158697673,,,,,,,,,,,,,,,,,,,,
44,BANKBARODA.NSE,2020-11-02,42.1,46.55,41.85,45.8,40.6046,192724277,,,,,,,,,,,,,1.0,44.4,43.75,0.0,,,,
45,BANKBARODA.NSE,2020-11-09,46.35,48.9,44.4,46.65,41.3582,164746720,,,,,,,,,,,,,1.0,46.7,46.55,47.0,,,,
46,BANKBARODA.NSE,2020-11-17,46.7,49.9,46.7,47.55,42.1561,119913515,,,,,,,,,,,,,,,,,,,,
47,BANKBARODA.NSE,2020-11-23,47.85,52.5,46.0,51.35,45.5251,264469722,,,,,,,,,,,,,1.0,51.15,49.9,0.0,,,,
48,BANKBARODA.NSE,2020-12-01,51.55,59.75,51.15,59.05,52.3516,281468784,,,,,,,,,,,,,1.0,58.5,52.5,51.0,,,,
49,BANKBARODA.NSE,2020-12-07,59.2,68.25,58.5,65.45,58.0256,455379797,1.0,68.25,1.0,,68.25,54.0,,,,,,,1.0,62.0,59.75,51.0,,,,
50,BANKBARODA.NSE,2020-12-14,66.35,68.1,62.0,63.1,55.9422,194474759,,,,,,,,,,,,,,,,,,,,
51,BANKBARODA.NSE,2020-12-21,62.25,63.5,56.2,60.85,53.9474,175008343,-1.0,56.2,,,,,1.0,63.5,56.2,705011800.0,0.0,31.229412,,,,,,,,
52,BANKBARODA.NSE,2020-12-28,61.5,64.8,60.75,64.5,57.1834,167775683,,,,,,,,,,,,,1.0,64.3,63.5,54.0,,,,
53,BANKBARODA.NSE,2021-01-04,65.1,67.7,64.3,65.55,58.1143,170437785,,,,,,,,,,,,,,,,,,,,
54,BANKBARODA.NSE,2021-01-11,66.0,77.9,63.1,75.15,66.6253,366798311,,,,,,,,,,,,,1.0,72.05,67.7,56.0,,,,
55,BANKBARODA.NSE,2021-01-18,75.45,80.8,72.05,73.35,65.0295,256026021,,,,,,,,,,,,,,,,,,,,
56,BANKBARODA.NSE,2021-01-25,74.6,76.15,64.5,68.05,60.3307,352501564,,,,,,,,,,,,,,,,,,,,
57,BANKBARODA.NSE,2021-02-01,68.95,89.0,67.7,82.5,73.1416,443729908,,,,,,,,,,,,,1.0,76.85,76.15,62.0,,,,
58,BANKBARODA.NSE,2021-02-08,83.5,85.1,76.85,78.35,69.4623,258921778,,,,,,,,,,,,,,,,,,,,
59,BANKBARODA.NSE,2021-02-15,79.1,99.85,78.6,91.2,80.8547,635414274,1.0,99.85,,,,,,,,,,,,,,,,,,
60,BANKBARODA.NSE,2021-02-22,91.4,93.75,85.0,85.4,75.7126,325407134,,,,,,,,,,,,,,,,,,,,
61,BANKBARODA.NSE,2021-03-01,85.4,87.8,79.5,80.65,71.5014,309076255,,,,,,,,,,,,,-1.0,85.0,83.5,73.0,,,,
62,BANKBARODA.NSE,2021-03-08,82.0,83.5,76.6,77.35,68.5758,175841350,,,,,,,,,,,,,,,,,,,,
63,BANKBARODA.NSE,2021-03-15,77.95,79.95,69.55,73.7,65.3398,313391683,,,,,,,,,,,,,-1.0,76.6,75.85,65.0,,,,
64,BANKBARODA.NSE,2021-03-22,73.8,75.85,68.0,70.75,62.7244,255874581,,,,,,,,,,,,,,,,,,,,
65,BANKBARODA.NSE,2021-03-30,71.9,76.0,70.85,75.6,67.0243,176596986,,,,,,,,,,,,,,,,,,,,
66,BANKBARODA.NSE,2021-04-05,75.1,77.4,70.8,74.0,65.6058,211769271,,,,,,,,,,,,,,,,,,,,
67,BANKBARODA.NSE,2021-04-12,72.0,72.0,63.25,67.35,59.7101,213837041,,,,,,,,,,,,,-1.0,70.8,65.8,69.0,,,,
68,BANKBARODA.NSE,2021-04-19,65.0,65.8,61.75,62.95,55.8092,178009928,-1.0,61.75,,,,,,,,,,,,,,,,,,
69,BANKBARODA.NSE,2021-04-26,63.5,69.75,63.2,66.75,59.1782,230494117,,,,,,,,,,,,,,,,,,,,
70,BANKBARODA.NSE,2021-05-03,65.95,73.0,64.35,70.55,62.5471,293383518,,,,,,,,,,,,,1.0,70.7,69.75,0.0,,,,
71,BANKBARODA.NSE,2021-05-10,71.35,79.95,70.7,74.0,65.6058,322132601,,,,,,,,,,,,,1.0,73.8,73.0,85.0,,,,
72,BANKBARODA.NSE,2021-05-17,74.8,81.15,73.8,80.8,71.6344,376082410,,,,,,,,,,,,,,,,,,,,
73,BANKBARODA.NSE,2021-05-24,82.3,84.6,79.8,83.85,74.3384,439779049,,,,,,,,,,,,,,,,,,,,
74,BANKBARODA.NSE,2021-05-31,83.0,83.5,78.6,81.85,72.5653,320439813,,,,,,,,,,,,,,,,,,,,
75,BANKBARODA.NSE,2021-06-07,82.6,86.25,80.2,84.45,74.8704,293511415,,,,,,,,,,,,,,,,,,,,
76,BANKBARODA.NSE,2021-06-14,84.0,87.0,77.05,80.2,71.1025,293137957,,,,,,,,,,,,,,,,,,,,
77,BANKBARODA.NSE,2021-06-21,78.3,84.2,77.4,83.5,74.0281,229975855,,,,,,,,,,,,,,,,,,,,
78,BANKBARODA.NSE,2021-06-28,84.25,88.9,84.2,85.2,75.5353,296671208,1.0,88.9,1.0,,88.9,94.0,,,,,,,,,,,,,,
79,BANKBARODA.NSE,2021-07-05,85.9,87.2,82.4,83.65,74.1611,169240840,,,,,,,,,,,,,,,,,,,,
80,BANKBARODA.NSE,2021-07-12,84.4,85.15,81.4,81.7,72.4323,162010884,,,,,,,,,,,,,-1.0,82.4,81.6,83.0,,,,
81,BANKBARODA.NSE,2021-07-19,81.4,81.6,78.4,79.85,70.7922,104666282,,,,,,,,,,,,,,,,,,,,
82,BANKBARODA.NSE,2021-07-26,79.8,81.5,76.9,80.3,71.1911,134825385,,,,,,,,,,,,,,,,,,,,
83,BANKBARODA.NSE,2021-08-02,80.95,84.6,80.3,83.4,73.9395,217123995,,,,,,,,,,,,,,,,,,,,
84,BANKBARODA.NSE,2021-08-09,85.25,85.4,77.5,80.95,71.7674,190219671,,,,,,,,,,,,,,,,,,,,
85,BANKBARODA.NSE,2021-08-16,80.85,81.75,73.6,74.15,65.7387,112959199,,,,,,,,,,,,,-1.0,77.5,76.5,87.0,,,,
