index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BEL.NSE,2020-01-01,100.29,103.89,99.39,100.95,30.0785,63651267,-1.0,99.39,,,,,,,,,,,,,,,,,,
1,BEL.NSE,2020-01-06,99.51,100.89,94.44,97.2,28.9611,154895016,,,,,,,,,,,,,,,,,,,,
2,BEL.NSE,2020-01-13,98.19,108.96,97.56,108.6,32.3578,176728038,,,,,,,,,,,,,,,,,,,,
3,BEL.NSE,2020-01-20,108.99,108.99,99.99,101.85,30.3466,177647070,,,,,,,,,,,,,,,,,,,,
4,BEL.NSE,2020-01-27,101.7,103.5,89.91,90.66,27.0125,288044139,,,,,,,,,,,,,-1.0,99.99,88.14,26.0,,,,
5,BEL.NSE,2020-02-03,84.99,88.14,80.76,87.54,26.0829,228658521,,,,,,,,,,,,,,,,,,,,
6,BEL.NSE,2020-02-10,87.84,87.84,82.65,83.04,25.1492,155675658,,,,,,,,,,,,,,,,,,,,
7,BEL.NSE,2020-02-17,83.1,87.09,79.56,86.55,26.2122,149797956,,,,,,,,,,,,,,,,,,,,
8,BEL.NSE,2020-02-24,85.71,85.71,72.84,73.95,22.3962,157371732,,,,,,,,,,,,,-1.0,79.56,76.89,11.0,,,,
9,BEL.NSE,2020-03-02,75.99,76.89,69.15,71.49,21.6512,222961983,,,,,,,,,,,,,-1.0,72.84,70.56,11.0,,,,
10,BEL.NSE,2020-03-09,69.9,70.56,60.0,69.9,21.1697,225428589,,,,,,,,,,,,,,,,,,,,
11,BEL.NSE,2020-03-16,68.49,80.16,62.91,71.31,21.5967,293201592,1.0,80.16,,,,,,,,,,,,,,,1.0,79.635,16.0,25.0
12,BEL.NSE,2020-03-23,65.04,76.74,56.01,73.14,22.1509,154422834,-1.0,56.01,,,,,,,,,,,,,,,-1.0,56.88,19.0,0.0
13,BEL.NSE,2020-03-30,72.66,76.26,67.41,69.96,21.1878,124952328,,,,,,,,,,,,,,,,,,,,
14,BEL.NSE,2020-04-07,72.81,72.99,65.1,70.14,21.2423,117149490,,,,,,,,,,,,,,,,,,,,
15,BEL.NSE,2020-04-13,72.99,73.5,68.91,71.31,21.5967,194175381,,,,,,,,,,,,,,,,,,,,
16,BEL.NSE,2020-04-20,72.3,79.11,71.46,74.55,22.5779,310315935,1.0,79.11,1.0,,79.11,24.0,,,,,,,,,,,,,,
17,BEL.NSE,2020-04-27,75.21,75.84,71.34,72.09,21.8329,116528379,,,,,,,,,,,,,-1.0,71.46,70.71,20.0,,,,
18,BEL.NSE,2020-05-04,70.56,70.71,59.49,59.7,18.0805,158742678,,,,,,,,,,,,,-1.0,71.34,68.79,20.0,,,,
19,BEL.NSE,2020-05-11,60.51,68.79,57.75,67.74,20.5155,302408463,-1.0,57.75,,,,,1.0,68.79,57.75,666537700.0,0.0,43.326206,,,,,,,,
20,BEL.NSE,2020-05-18,71.01,71.79,61.5,63.06,19.0981,337780209,,,,,,,,,,,,,,,,,,,,
21,BEL.NSE,2020-05-26,63.54,70.44,63.36,69.21,20.9607,190940724,,,,,,,,,,,,,,,,,,,,
22,BEL.NSE,2020-06-01,69.99,74.79,68.64,73.95,22.3962,201488277,,,,,,,,,,,,,,,,,,,,
23,BEL.NSE,2020-06-08,75.21,77.4,67.41,71.91,21.7784,183598707,,,,,,,,,,,,,,,,,,,,
24,BEL.NSE,2020-06-15,71.94,81.51,69.21,80.04,24.2406,281450730,,,,,,,,,,,,,1.0,80.19,77.4,0.0,,,,
25,BEL.NSE,2020-06-22,81.9,86.46,80.19,85.29,25.8306,311266293,,,,,,,,,,,,,1.0,84.3,81.51,0.0,,,,
26,BEL.NSE,2020-06-29,84.96,97.95,84.3,97.2,29.4376,524731290,,,,,,,,,,,,,1.0,96.99,86.46,28.0,,,,
27,BEL.NSE,2020-07-06,98.19,105.39,96.99,99.69,30.1917,384040872,1.0,105.39,1.0,,105.39,32.0,,,,,,,,,,,,,,
28,BEL.NSE,2020-07-13,100.71,101.34,94.05,98.01,29.6829,195169668,,,,,,,,,,,,,,,,,,,,
29,BEL.NSE,2020-07-20,98.01,104.64,96.3,102.15,30.9368,235497612,,,,,,,,,,,,,,,,,,,,
30,BEL.NSE,2020-07-27,102.75,102.75,93.75,95.85,29.0288,232687152,-1.0,93.75,,-1.0,93.75,38.0,,,,,,,,,,,,,,
31,BEL.NSE,2020-08-03,96.0,102.24,95.04,99.21,30.0464,160450632,,,,,,,,,,,,,1.0,104.4,102.75,35.0,,,,
32,BEL.NSE,2020-08-10,105.45,118.44,104.4,113.16,34.2712,541157871,1.0,118.44,,1.0,118.44,50.0,,,,,,,1.0,109.65,102.24,35.0,,,,
33,BEL.NSE,2020-08-17,114.9,115.11,109.65,112.11,33.9532,204224409,,,,,,,,,,,,,,,,,,,,
34,BEL.NSE,2020-08-24,111.0,115.95,109.8,112.05,33.935,210220212,,,,,,,,,,,,,,,,,,,,
35,BEL.NSE,2020-08-31,112.5,113.1,104.4,106.41,32.2269,151022007,,,,,,,,,,,,,-1.0,109.8,108.15,37.0,,,,
36,BEL.NSE,2020-09-07,106.89,108.15,99.0,102.24,30.964,121821135,,,,,,,,,,,,,,,,,,,,
37,BEL.NSE,2020-09-14,105.99,109.65,102.21,103.89,31.8807,144834702,,,,,,,,,,,,,,,,,,,,
38,BEL.NSE,2020-09-21,103.71,103.8,89.64,93.3,28.631,188410722,,,,,,,,,,,,,-1.0,102.21,99.3,46.0,,,,
39,BEL.NSE,2020-09-28,93.99,99.3,93.84,96.09,29.4871,76033308,,,,,,,,,,,,,,,,,,,,
40,BEL.NSE,2020-10-05,96.39,96.99,91.8,92.79,28.4745,70326150,,,,,,,,,,,,,,,,,,,,
41,BEL.NSE,2020-10-12,93.06,95.01,87.69,90.99,27.9221,101356908,,,,,,,,,,,,,,,,,,,,
42,BEL.NSE,2020-10-19,91.41,95.16,88.44,92.61,28.4192,112597191,,,,,,,,,,,,,,,,,,,,
43,BEL.NSE,2020-10-26,92.61,92.76,86.34,87.0,26.6977,88636179,-1.0,86.34,,,,,1.0,92.76,86.34,765890900.0,0.0,29.687551,,,,,-1.0,87.66333,167.0,0.0
44,BEL.NSE,2020-11-02,87.84,93.51,87.24,92.46,28.3732,76831566,,,,,,,,,,,,,,,,,,,,
45,BEL.NSE,2020-11-09,94.5,97.41,91.74,96.6,29.6436,139410789,,,,,,,,,,,,,1.0,95.7,93.51,156.0,,,,
