index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BHARTIARTL.NSE,2020-01-01,447.65,452.02,441.47,448.73,437.0064,15242436,-1.0,441.47,,,,,,,,,,,,,,,,,,
1,BHARTIARTL.NSE,2020-01-06,445.54,466.2,432.24,449.32,437.581,81916367,,,,,,,,,,,,,,,,,,,,
2,BHARTIARTL.NSE,2020-01-13,450.55,494.52,445.88,490.6,477.7825,112524740,,,,,,,,,,,,,1.0,485.15,466.2,4.0,,,,
3,BHARTIARTL.NSE,2020-01-20,489.81,517.64,485.15,514.69,501.2431,170382826,,,,,,,,,,,,,,,,,,,,
4,BHARTIARTL.NSE,2020-01-27,511.55,514.45,471.26,485.1,472.4262,103123010,,,,,,,,,,,,,,,,,,,,
5,BHARTIARTL.NSE,2020-02-03,486.91,542.62,486.91,528.39,514.5852,86654097,,,,,,,,,,,,,1.0,521.96,514.45,8.0,,,,
6,BHARTIARTL.NSE,2020-02-10,530.25,557.1,521.96,553.22,538.7665,63600295,,,,,,,,,,,,,,,,,,,,
7,BHARTIARTL.NSE,2020-02-17,554.55,558.37,527.41,534.57,520.6037,83317091,1.0,558.37,,1.0,558.37,20.0,,,,,,,,,,,,,,
8,BHARTIARTL.NSE,2020-02-24,532.02,532.07,504.04,512.83,499.4317,66918300,,,,,,,,,,,,,-1.0,527.41,526.13,18.0,,,,
9,BHARTIARTL.NSE,2020-03-02,524.17,526.13,498.06,509.79,496.4711,62574145,,,,,,,,,,,,,-1.0,504.04,502.57,15.0,,,,
10,BHARTIARTL.NSE,2020-03-09,500.61,502.57,412.27,480.78,468.219,75791178,,,,,,,,,,,,,-1.0,498.06,483.87,12.0,,,,
11,BHARTIARTL.NSE,2020-03-16,463.55,483.87,355.09,453.1,441.2622,100699080,-1.0,355.09,,,,,1.0,483.87,355.09,372098780.0,0.0,48.130493,,,,,,,,
12,BHARTIARTL.NSE,2020-03-23,408.73,484.36,392.14,441.71,430.1698,80635617,,,,,,,,,,,,,,,,,,,,
13,BHARTIARTL.NSE,2020-03-30,435.68,441.03,404.81,416.29,405.4139,51335966,,,,,,,,,,,,,,,,,,,,
14,BHARTIARTL.NSE,2020-04-07,425.17,483.23,425.17,481.37,468.7936,41155751,,,,,,,,,,,,,1.0,481.96,441.03,16.0,,,,
15,BHARTIARTL.NSE,2020-04-13,481.96,526.08,481.96,492.76,479.8861,84526268,,,,,,,,,,,,,,,,,,,,
16,BHARTIARTL.NSE,2020-04-20,498.35,507.53,470.33,485.88,473.1858,70846601,,,,,,,,,,,,,,,,,,,,
17,BHARTIARTL.NSE,2020-04-27,488.88,506.45,475.18,505.07,491.8744,50345925,,,,,,,,,,,,,,,,,,,,
18,BHARTIARTL.NSE,2020-05-04,493.2,543.5,490.69,519.9,506.317,120902165,,,,,,,,,,,,,1.0,520.73,506.45,32.0,,,,
19,BHARTIARTL.NSE,2020-05-11,523.23,559.26,520.73,544.58,530.3522,87227963,,,,,,,,,,,,,,,,,,,,
20,BHARTIARTL.NSE,2020-05-18,546.64,600.73,525.34,582.03,566.8238,163968643,1.0,600.73,,,,,,,,,,,,,,,1.0,599.3567,57.0,84.0
21,BHARTIARTL.NSE,2020-05-26,561.47,565.83,533.79,539.77,525.6679,172664801,,,,,,,,,,,,,,,,,,,,
22,BHARTIARTL.NSE,2020-06-01,548.71,579.13,539.14,570.59,555.6826,181162659,,,,,,,,,,,,,,,,,,,,
23,BHARTIARTL.NSE,2020-06-08,577.17,582.77,530.06,549.2,534.8515,102553222,,,,,,,,,,,,,,,,,,,,
