index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BPCL.NSE,2020-01-01,492.0,493.9,472.86,482.5,175.7287,33847098,-1.0,472.86,,,,,,,,,,,,,,,,,,
1,BPCL.NSE,2020-01-06,475.0,480.0,448.56,468.96,170.7974,85238108,,,,,,,,,,,,,,,,,,,,
2,BPCL.NSE,2020-01-13,471.0,478.76,452.0,453.8,165.2761,42015220,,,,,,,,,,,,,,,,,,,,
3,BPCL.NSE,2020-01-20,454.96,473.2,451.6,466.0,169.7194,46543618,,,,,,,,,,,,,,,,,,,,
4,BPCL.NSE,2020-01-27,466.5,486.9,437.3,440.16,160.3083,72252038,,,,,,,,,,,,,,,,,,,,
5,BPCL.NSE,2020-02-03,446.26,510.0,442.46,490.0,178.4603,96210798,1.0,510.0,,,,,,,,,,,,,,,,,,
6,BPCL.NSE,2020-02-10,492.0,495.56,468.0,477.06,173.7475,55467482,,,,,,,,,,,,,,,,,,,,
7,BPCL.NSE,2020-02-17,478.46,481.0,456.0,471.0,171.5404,40505530,,,,,,,,,,,,,,,,,,,,
8,BPCL.NSE,2020-02-24,471.0,475.7,420.5,422.7,153.9493,62295372,,,,,,,,,,,,,-1.0,456.0,441.86,10.0,,,,
9,BPCL.NSE,2020-03-02,432.0,441.86,398.0,400.8,145.9732,69711228,,,,,,,,,,,,,,,,,,,,
10,BPCL.NSE,2020-03-09,413.9,454.4,275.46,377.5,137.4873,195107754,,,,,,,,,,,,,-1.0,398.0,387.26,23.0,,,,
11,BPCL.NSE,2020-03-16,350.0,387.26,285.4,322.0,117.2739,121211984,,,,,,,,,,,,,,,,,,,,
12,BPCL.NSE,2020-03-23,285.0,304.0,252.0,278.96,107.0858,77935914,-1.0,252.0,,,,,,,,,,,,,,,,,,
13,BPCL.NSE,2020-03-30,269.0,329.7,269.0,317.0,121.6885,100596936,,,,,,,,,,,,,1.0,319.5,304.0,18.0,,,,
14,BPCL.NSE,2020-04-07,327.0,364.2,319.5,347.0,133.2047,55395906,,,,,,,,,,,,,1.0,336.2,329.7,18.0,,,,
15,BPCL.NSE,2020-04-13,345.0,370.36,336.2,361.0,138.579,43180582,,,,,,,,,,,,,,,,,,,,
16,BPCL.NSE,2020-04-20,362.16,372.9,337.16,350.56,134.5713,52211316,,,,,,,,,,,,,,,,,,,,
17,BPCL.NSE,2020-04-27,353.2,374.86,352.3,371.86,142.7479,59768668,1.0,374.86,1.0,,374.86,24.0,,,,,,,,,,,,,,
18,BPCL.NSE,2020-05-04,362.0,364.2,312.36,324.0,124.3756,116329926,,,,,,,,,,,,,-1.0,352.3,330.36,21.0,,,,
19,BPCL.NSE,2020-05-11,326.0,330.36,307.26,317.8,121.9956,90672954,,,,,,,,,,,,,,,,,,,,
20,BPCL.NSE,2020-05-18,320.56,324.0,291.8,313.5,120.3449,81776494,-1.0,291.8,,,,,,,,,,,,,,,-1.0,291.655,236.0,255.0
21,BPCL.NSE,2020-05-26,315.0,347.16,312.06,340.36,130.6558,75620066,,,,,,,,,,,,,1.0,337.3,324.0,41.0,,,,
22,BPCL.NSE,2020-06-01,344.3,372.5,337.3,371.0,142.4177,107982748,,,,,,,,,,,,,1.0,355.26,347.16,39.0,,,,
23,BPCL.NSE,2020-06-08,379.6,402.06,355.26,373.4,143.339,96815496,1.0,402.06,1.0,,402.06,28.0,,,,,,,,,,,,,,
24,BPCL.NSE,2020-06-15,373.9,384.5,356.5,381.56,146.4714,60140402,,,,,,,,,,,,,,,,,,,,
25,BPCL.NSE,2020-06-22,383.0,396.96,367.3,394.3,151.362,75029572,,,,,,,,,,,,,,,,,,,,
26,BPCL.NSE,2020-06-29,392.9,395.6,372.2,384.46,147.5847,51556546,,,,,,,,,,,,,,,,,,,,
27,BPCL.NSE,2020-07-06,388.0,396.76,370.36,375.76,144.245,45696004,,,,,,,,,,,,,,,,,,,,
28,BPCL.NSE,2020-07-13,378.0,447.4,360.3,442.86,170.003,163870100,-1.0,360.3,,,,,,,,,,,1.0,435.1,396.76,30.0,,,,
29,BPCL.NSE,2020-07-20,441.0,481.0,435.1,447.9,171.9377,247613014,1.0,481.0,,,,,,,,,,,,,,,1.0,481.7,61.0,73.0
30,BPCL.NSE,2020-07-27,454.0,473.7,410.9,414.0,158.9244,161806024,,,,,,,,,,,,,-1.0,435.1,428.26,32.0,,,,
31,BPCL.NSE,2020-08-03,414.0,428.26,391.0,419.5,161.0357,145141712,-1.0,391.0,-1.0,,391.0,38.0,,,,,,,,,,,,,,
32,BPCL.NSE,2020-08-10,421.0,434.1,408.66,412.8,158.4637,100268888,,,,,,,,,,,,,,,,,,,,
33,BPCL.NSE,2020-08-17,418.8,419.86,397.66,410.9,157.7343,137215948,,,,,,,,,,,,,,,,,,,,
34,BPCL.NSE,2020-08-24,413.4,422.0,408.36,415.5,159.5002,82055076,,,,,,,,,,,,,,,,,,,,
35,BPCL.NSE,2020-08-31,417.5,426.4,400.5,404.0,155.0856,78873712,,,,,,,,,,,,,,,,,,,,
36,BPCL.NSE,2020-09-07,411.0,436.0,396.2,423.7,162.6479,143375812,1.0,436.0,,,,,,,,,,,,,,,,,,
37,BPCL.NSE,2020-09-14,425.9,429.5,409.6,413.0,158.5405,71541606,,,,,,,,,,,,,,,,,,,,
38,BPCL.NSE,2020-09-21,413.5,415.7,365.3,374.0,143.5693,75008376,,,,,,,,,,,,,-1.0,409.6,394.5,45.0,,,,
39,BPCL.NSE,2020-09-28,377.0,394.5,347.5,352.4,135.2776,151414236,,,,,,,,,,,,,-1.0,365.3,360.4,42.0,,,,
40,BPCL.NSE,2020-10-05,353.3,360.4,337.6,345.46,132.6135,93544778,,,,,,,,,,,,,,,,,,,,
41,BPCL.NSE,2020-10-12,347.0,349.8,325.0,341.0,130.9015,74061404,-1.0,325.0,,,,,,,,,,,,,,,,,,
42,BPCL.NSE,2020-10-19,344.0,363.06,341.06,350.96,134.7249,81106548,,,,,,,,,,,,,,,,,,,,
43,BPCL.NSE,2020-10-26,351.56,359.46,338.2,353.8,135.8151,74999280,,,,,,,,,,,,,,,,,,,,
44,BPCL.NSE,2020-11-02,353.8,370.06,344.2,362.4,139.1164,69054136,,,,,,,,,,,,,1.0,365.5,359.46,51.0,,,,
45,BPCL.NSE,2020-11-09,368.26,414.96,365.5,414.46,159.1009,111630988,,,,,,,,,,,,,1.0,377.36,370.06,47.0,,,,
46,BPCL.NSE,2020-11-17,415.0,415.0,377.36,383.0,147.0242,138581782,1.0,415.0,1.0,,415.0,57.0,,,,,,,,,,,,,,
47,BPCL.NSE,2020-11-23,386.0,399.5,371.0,372.56,143.0166,92064860,,,,,,,,,,,,,,,,,,,,
48,BPCL.NSE,2020-12-01,374.9,398.8,371.0,391.9,150.4407,81282820,,,,,,,,,,,,,,,,,,,,
49,BPCL.NSE,2020-12-07,392.16,407.4,387.1,396.2,152.0914,92430726,,,,,,,,,,,,,,,,,,,,
50,BPCL.NSE,2020-12-14,401.5,409.26,389.26,393.5,151.0549,79421868,,,,,,,,,,,,,,,,,,,,
51,BPCL.NSE,2020-12-21,393.0,393.0,357.0,377.3,144.8361,69727246,-1.0,357.0,,,,,,,,,,,-1.0,389.26,385.6,53.0,-1.0,357.2,103.0,112.0
52,BPCL.NSE,2020-12-28,380.0,385.6,377.66,382.5,146.8323,38341514,,,,,,,,,,,,,,,,,,,,
53,BPCL.NSE,2021-01-04,384.9,406.0,382.56,400.5,153.742,79564158,,,,,,,,,,,,,1.0,395.36,385.6,55.0,,,,
54,BPCL.NSE,2021-01-11,404.0,430.0,395.36,414.4,159.0779,115548536,1.0,430.0,1.0,,430.0,60.0,,,,,,,,,,,,,,
55,BPCL.NSE,2021-01-18,414.0,423.0,394.96,396.9,152.3601,70697478,,,,,,,,,,,,,,,,,,,,
56,BPCL.NSE,2021-01-25,400.0,402.86,376.26,385.76,148.0837,56956978,-1.0,376.26,,,,,,,,,,,,,,,,,,
57,BPCL.NSE,2021-02-01,388.0,422.5,380.6,415.4,159.4618,85570168,,,,,,,,,,,,,1.0,409.06,402.86,59.0,,,,
58,BPCL.NSE,2021-02-08,420.0,438.06,409.06,418.2,160.5366,99361498,,,,,,,,,,,,,,,,,,,,
59,BPCL.NSE,2021-02-15,422.8,444.8,401.56,429.3,171.3519,129415336,,,,,,,,,,,,,,,,,,,,
60,BPCL.NSE,2021-02-22,429.3,467.8,418.0,449.9,179.5742,134662440,,,,,,,,,,,,,1.0,450.1,444.8,62.0,,,,
61,BPCL.NSE,2021-03-01,456.0,482.4,450.1,463.5,185.0025,113411098,1.0,482.4,1.0,,482.4,75.0,,,,,,,,,,,,,,
62,BPCL.NSE,2021-03-08,462.0,472.96,437.36,459.1,183.2463,487215820,,,,,,,,,,,,,,,,,,,,
63,BPCL.NSE,2021-03-15,464.46,465.6,419.2,434.1,173.2678,175309614,,,,,,,,,,,,,,,,,,,,
64,BPCL.NSE,2021-03-22,438.26,442.2,415.1,425.3,171.7491,94854262,,,,,,,,,,,,,,,,,,,,
65,BPCL.NSE,2021-03-30,428.9,439.96,421.5,438.0,176.8778,36328872,,,,,,,,,,,,,,,,,,,,
66,BPCL.NSE,2021-04-05,434.1,437.0,421.1,425.96,172.0157,43019678,,,,,,,,,,,,,,,,,,,,
67,BPCL.NSE,2021-04-12,417.96,422.96,402.0,413.6,167.0243,57165390,,,,,,,,,,,,,,,,,,,,
68,BPCL.NSE,2021-04-19,405.0,424.96,400.0,423.2,170.9011,81575230,-1.0,400.0,,,,,,,,,,,,,,,,,,
69,BPCL.NSE,2021-04-26,426.0,437.5,414.66,422.1,170.4569,90478140,,,,,,,,,,,,,,,,,,,,
70,BPCL.NSE,2021-05-03,419.0,447.0,415.4,439.66,177.5481,86727338,,,,,,,,,,,,,1.0,439.1,437.5,72.0,,,,
71,BPCL.NSE,2021-05-10,449.0,468.0,439.1,442.2,178.5739,66136722,,,,,,,,,,,,,,,,,,,,
72,BPCL.NSE,2021-05-17,445.0,468.0,438.1,461.2,186.2467,75000474,,,,,,,,,,,,,,,,,,,,
73,BPCL.NSE,2021-05-24,466.96,488.0,460.6,472.4,190.7696,202387698,,,,,,,,,,,,,1.0,468.3,468.0,76.0,,,,
74,BPCL.NSE,2021-05-31,473.46,482.8,468.3,478.56,193.2572,64985792,,,,,,,,,,,,,,,,,,,,
75,BPCL.NSE,2021-06-07,480.8,493.9,476.26,483.96,195.4378,61529858,1.0,493.9,,,,213.0,,,,,,,,,,,,,,
76,BPCL.NSE,2021-06-14,483.96,487.26,466.76,473.0,191.0119,38974788,,,,,,,,,,,,,,,,,,,,
77,BPCL.NSE,2021-06-21,471.7,478.76,465.1,469.86,189.7438,30244516,,,,,,,,,,,,,,,,,,,,
78,BPCL.NSE,2021-06-28,471.0,472.0,461.06,462.9,186.9332,26707066,,,,,,,,,,,,,,,,,,,,
79,BPCL.NSE,2021-07-05,464.96,467.5,452.46,456.86,184.494,38425586,,,,,,,,,,,,,-1.0,461.06,459.3,81.0,,,,
80,BPCL.NSE,2021-07-12,457.6,459.3,445.06,449.06,181.3442,33084262,,,,,,,,,,,,,,,,,,,,
81,BPCL.NSE,2021-07-19,446.0,465.8,445.2,460.9,186.1255,42914268,,,,,,,,,,,,,,,,,,,,
82,BPCL.NSE,2021-07-26,461.9,462.56,444.9,445.66,179.9711,33735042,,,,,,,,,,,,,,,,,,,,
83,BPCL.NSE,2021-08-02,448.06,465.0,446.5,456.3,184.2679,38231602,,,,,,,,,,,,,,,,,,,,
84,BPCL.NSE,2021-08-09,457.5,459.0,440.56,454.76,183.646,49088262,-1.0,440.56,,-1.0,440.56,89.0,,,,,,,,,,,,,,
85,BPCL.NSE,2021-08-16,458.5,469.76,453.0,454.3,183.4602,52389988,,,,,,,,,,,,,,,,,,,,
