index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,BRITANNIA.NSE,2020-01-01,3044.7,3065.0,3025.65,3038.8,2672.9821,417294,-1.0,3025.65,,,,,,,,,,,,,,,,,,
1,BRITANNIA.NSE,2020-01-06,3030.0,3054.0,2978.05,2989.75,2629.8369,1495013,,,,,,,,,,,,,,,,,,,,
2,BRITANNIA.NSE,2020-01-13,2995.0,3169.0,2987.3,3124.45,2748.3213,2575987,,,,,,,,,,,,,1.0,3068.1,3054.0,7.0,,,,
3,BRITANNIA.NSE,2020-01-20,3143.0,3212.95,3068.1,3192.5,2808.1793,1455856,,,,,,,,,,,,,,,,,,,,
4,BRITANNIA.NSE,2020-01-27,3187.0,3274.6,3136.5,3200.7,2815.3922,1856605,,,,,,,,,,,,,,,,,,,,
5,BRITANNIA.NSE,2020-02-03,3097.6,3318.0,3092.35,3251.4,2859.9888,2453514,1.0,3318.0,,1.0,3318.0,21.0,,,,,,,,,,,,,,
6,BRITANNIA.NSE,2020-02-10,3270.0,3280.0,3090.3,3096.65,2723.868,2735711,,,,,,,,,,,,,,,,,,,,
7,BRITANNIA.NSE,2020-02-17,3095.0,3123.45,3020.0,3059.4,2691.1022,1411727,,,,,,,,,,,,,,,,,,,,
8,BRITANNIA.NSE,2020-02-24,3059.0,3100.0,2917.0,2970.2,2612.6403,2415964,,,,,,,,,,,,,,,,,,,,
9,BRITANNIA.NSE,2020-03-02,2995.0,3165.0,2925.0,3081.4,2710.4538,2429889,,,,,,,,,,,,,,,,,,,,
10,BRITANNIA.NSE,2020-03-09,3045.0,3065.9,2410.0,2763.6,2430.9113,3024279,,,,,,,,,,,,,-1.0,2925.0,2795.75,14.0,,,,
11,BRITANNIA.NSE,2020-03-16,2704.8,2795.75,2260.0,2467.8,2170.7204,3537093,,,,,,,,,,,,,,,,,,,,
12,BRITANNIA.NSE,2020-03-23,2300.0,2708.95,2100.0,2529.25,2224.7729,4208366,-1.0,2100.0,,,,,1.0,2708.95,2100.0,12405037.0,0.0,65.81365,,,,,,,,
13,BRITANNIA.NSE,2020-03-30,2465.25,2780.0,2442.75,2563.25,2254.6799,3330637,,,,,,,,,,,,,,,,,,,,
14,BRITANNIA.NSE,2020-04-07,2640.15,2990.0,2640.15,2801.7,2464.4248,2993924,,,,,,,,,,,,,,,,,,,,
15,BRITANNIA.NSE,2020-04-13,2800.0,2908.5,2697.35,2832.15,2491.2091,2894402,,,,,,,,,,,,,,,,,,,,
16,BRITANNIA.NSE,2020-04-20,2860.1,3245.0,2733.15,3062.15,2693.5212,8575271,,,,,,,,,,,,,1.0,3070.0,2908.5,18.0,,,,
17,BRITANNIA.NSE,2020-04-27,3075.85,3290.0,3070.0,3165.75,2815.5024,5571553,,,,,,,,,,,,,,,,,,,,
18,BRITANNIA.NSE,2020-05-04,3109.0,3160.0,2867.0,2994.65,2663.3324,4590099,,,,,,,,,,,,,,,,,,,,
19,BRITANNIA.NSE,2020-05-11,3029.0,3196.0,2991.85,3125.65,2779.839,4923725,,,,,,,,,,,,,,,,,,,,
20,BRITANNIA.NSE,2020-05-18,3110.0,3184.2,3080.0,3167.1,2816.7031,2911622,,,,,,,,,,,,,,,,,,,,
21,BRITANNIA.NSE,2020-05-26,3200.0,3417.0,3141.0,3378.85,3005.0258,4569690,,,,,,,,,,,,,1.0,3400.0,3184.2,23.0,,,,
22,BRITANNIA.NSE,2020-06-01,3416.0,3708.0,3400.0,3466.7,3083.1564,7595349,,,,,,,,,,,,,,,,,,,,
23,BRITANNIA.NSE,2020-06-08,3486.0,3513.25,3305.75,3366.05,2993.642,4011211,,,,,,,,,,,,,,,,,,,,
24,BRITANNIA.NSE,2020-06-15,3351.0,3457.0,3330.0,3438.55,3058.1208,4091915,,,,,,,,,,,,,,,,,,,,
25,BRITANNIA.NSE,2020-06-22,3450.0,3504.9,3416.0,3456.4,3073.9959,3068832,,,,,,,,,,,,,,,,,,,,
26,BRITANNIA.NSE,2020-06-29,3452.8,3615.0,3445.8,3538.35,3146.8793,3508498,,,,,,,,,,,,,1.0,3541.0,3504.9,38.0,,,,
27,BRITANNIA.NSE,2020-07-06,3560.0,3753.6,3541.0,3726.65,3314.3464,2837330,,,,,,,,,,,,,1.0,3689.55,3615.0,35.0,,,,
28,BRITANNIA.NSE,2020-07-13,3760.0,3938.0,3689.55,3785.0,3366.2408,7504694,,,,,,,,,,,,,1.0,3768.0,3753.6,30.0,,,,
29,BRITANNIA.NSE,2020-07-20,3859.0,4010.0,3768.0,3818.45,3395.99,8142132,1.0,4010.0,,,,,,,,,,,,,,,,,,
30,BRITANNIA.NSE,2020-07-27,3845.0,3874.4,3762.4,3823.6,3400.5702,3446288,,,,,,,,,,,,,,,,,,,,
31,BRITANNIA.NSE,2020-08-03,3827.0,3945.0,3768.1,3934.8,3499.4674,3428902,,,,,,,,,,,,,,,,,,,,
32,BRITANNIA.NSE,2020-08-10,3959.95,4005.0,3752.0,3801.35,3380.7819,2918976,,,,,,,,,,,,,,,,,,,,
33,BRITANNIA.NSE,2020-08-17,3830.0,3949.0,3802.0,3882.75,3453.1761,3187238,,,,,,,,,,,,,,,,,,,,
34,BRITANNIA.NSE,2020-08-24,3912.0,3929.95,3787.0,3793.85,3447.5417,2309957,,,,,,,,,,,,,,,,,,,,
35,BRITANNIA.NSE,2020-08-31,3806.4,3813.6,3684.0,3705.85,3367.5745,2467636,,,,,,,,,,,,,,,,,,,,
36,BRITANNIA.NSE,2020-09-07,3732.9,3828.0,3655.0,3772.25,3427.9134,2337119,,,,,,,,,,,,,,,,,,,,
37,BRITANNIA.NSE,2020-09-14,3788.9,3890.95,3711.0,3797.5,3450.8585,3370085,,,,,,,,,,,,,,,,,,,,
38,BRITANNIA.NSE,2020-09-21,3790.0,3795.0,3540.05,3686.4,3349.8999,2705470,-1.0,3540.05,-1.0,,3540.05,42.0,,,,,,,,,,,,,,
39,BRITANNIA.NSE,2020-09-28,3710.9,3827.95,3689.0,3808.6,3460.9453,1712063,,,,,,,,,,,,,,,,,,,,
40,BRITANNIA.NSE,2020-10-05,3815.0,3879.95,3735.0,3745.1,3403.2417,2437720,1.0,3879.95,,,,,,,,,,,,,,,1.0,3864.975,67.0,85.0
41,BRITANNIA.NSE,2020-10-12,3769.1,3835.95,3702.65,3747.2,3405.15,1991681,,,,,,,,,,,,,,,,,,,,
42,BRITANNIA.NSE,2020-10-19,3766.0,3795.0,3382.0,3469.75,3153.0261,10488048,-1.0,3382.0,-1.0,,3382.0,59.0,,,,,,,-1.0,3702.65,3599.8,47.0,,,,
43,BRITANNIA.NSE,2020-10-26,3482.0,3599.8,3460.65,3473.25,3156.2066,4444850,,,,,,,,,,,,,,,,,,,,
44,BRITANNIA.NSE,2020-11-02,3483.0,3555.0,3390.0,3513.55,3192.8279,3684837,,,,,,,,,,,,,,,,,,,,
45,BRITANNIA.NSE,2020-11-09,3548.0,3572.0,3445.85,3527.35,3205.3682,3829537,,,,,,,,,,,,,,,,,,,,
46,BRITANNIA.NSE,2020-11-17,3541.0,3577.75,3445.0,3552.1,3227.859,3545346,,,,,,,,,,,,,,,,,,,,
47,BRITANNIA.NSE,2020-11-23,3575.0,3684.9,3490.0,3637.95,3305.8725,8216895,,,,,,,,,,,,,,,,,,,,
48,BRITANNIA.NSE,2020-12-01,3702.5,3702.5,3560.0,3648.2,3315.1869,2656595,,,,,,,,,,,,,,,,,,,,
49,BRITANNIA.NSE,2020-12-07,3650.0,3777.0,3612.1,3732.75,3392.019,3480148,,,,,,,,,,,,,,,,,,,,
50,BRITANNIA.NSE,2020-12-14,3745.0,3797.7,3690.0,3720.5,3380.8872,3332695,1.0,3797.7,,1.0,3797.7,66.0,,,,,,,,,,,,,,
51,BRITANNIA.NSE,2020-12-21,3719.0,3727.05,3534.85,3618.25,3287.9707,2363708,,,,,,,,,,,,,-1.0,3690.0,3646.15,54.0,,,,
52,BRITANNIA.NSE,2020-12-28,3635.0,3646.15,3562.1,3567.8,3242.1259,2198564,,,,,,,,,,,,,,,,,,,,
