index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,CANBK.NSE,2020-01-01,222.1,229.8,219.8,221.65,44.33,89481375,1.0,229.8,,,,,,,,,,,,,,,,,,
1,CANBK.NSE,2020-01-06,220.55,220.75,200.45,214.15,42.83,305021775,,,,,,,,,,,,,,,,,,,,
2,CANBK.NSE,2020-01-13,215.0,223.7,209.05,221.6,44.32,200629365,,,,,,,,,,,,,,,,,,,,
3,CANBK.NSE,2020-01-20,222.25,226.75,216.0,218.8,43.76,187146245,,,,,,,,,,,,,,,,,,,,
4,CANBK.NSE,2020-01-27,215.9,217.15,200.15,202.65,40.53,186042715,,,,,,,,,,,,,-1.0,216.0,194.4,93.0,,,,
5,CANBK.NSE,2020-02-03,192.0,194.4,182.9,190.0,38.0,295047235,,,,,,,,,,,,,-1.0,200.15,191.8,93.0,,,,
6,CANBK.NSE,2020-02-10,189.95,191.8,179.55,180.3,36.06,189959150,,,,,,,,,,,,,-1.0,182.9,181.3,92.0,,,,
7,CANBK.NSE,2020-02-17,180.8,181.3,167.55,172.65,34.53,149963400,,,,,,,,,,,,,-1.0,179.55,171.7,57.0,,,,
8,CANBK.NSE,2020-02-24,171.0,171.7,140.15,143.7,28.74,190913750,,,,,,,,,,,,,-1.0,167.55,147.9,57.0,,,,
9,CANBK.NSE,2020-03-02,146.3,147.9,127.4,130.5,26.1,280179205,,,,,,,,,,,,,-1.0,140.15,127.85,49.0,,,,
10,CANBK.NSE,2020-03-09,125.0,127.85,82.0,107.4,21.48,265453615,,,,,,,,,,,,,-1.0,127.4,104.95,22.0,,,,
11,CANBK.NSE,2020-03-16,99.7,104.95,89.7,96.25,19.25,368739480,,,,,,,,,,,,,,,,,,,,
12,CANBK.NSE,2020-03-23,91.5,95.5,73.65,90.05,18.01,240697035,-1.0,73.65,,,,,,,,,,,,,,,-1.0,76.0,270.0,0.0
13,CANBK.NSE,2020-03-30,89.0,92.15,83.5,84.15,16.83,120621220,,,,,,,,,,,,,,,,,,,,
14,CANBK.NSE,2020-04-07,87.15,93.0,83.2,91.8,18.36,135209200,,,,,,,,,,,,,,,,,,,,
15,CANBK.NSE,2020-04-13,90.95,92.0,83.5,86.85,17.37,228966735,,,,,,,,,,,,,,,,,,,,
16,CANBK.NSE,2020-04-20,88.0,94.15,79.55,81.35,16.27,368505240,1.0,94.15,1.0,,94.15,22.0,,,,,,,,,,,,,,
17,CANBK.NSE,2020-04-27,82.5,91.2,80.5,87.9,17.58,245231695,,,,,,,,,,,,,,,,,,,,
18,CANBK.NSE,2020-05-04,85.5,85.6,77.05,79.85,15.97,228919960,,,,,,,,,,,,,,,,,,,,
