index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,CGPOWER.NSE,2020-01-01,11.0,11.85,10.6,11.85,11.7319,1560185,1.0,11.85,,,,,,,,,,,,,,,1.0,10.466666,27.0,34.0
1,CGPOWER.NSE,2020-01-06,11.85,12.4,11.0,11.35,11.2369,1355217,,,,,,,,,,,,,,,,,,,,
2,CGPOWER.NSE,2020-01-13,11.05,11.25,8.85,8.85,8.7618,5440362,,,,,,,,,,,,,-1.0,11.0,9.25,4.0,,,,
3,CGPOWER.NSE,2020-01-20,8.45,9.25,7.65,9.25,9.1578,4705649,,,,,,,,,,,,,,,,,,,,
4,CGPOWER.NSE,2020-01-27,9.7,10.9,9.15,9.15,9.0588,2046397,,,,,,,,,,,,,,,,,,,,
5,CGPOWER.NSE,2020-02-03,8.7,9.95,8.3,9.2,9.1083,1203325,,,,,,,,,,,,,,,,,,,,
6,CGPOWER.NSE,2020-02-10,9.7,9.7,8.5,8.95,8.8608,1446189,,,,,,,,,,,,,,,,,,,,
7,CGPOWER.NSE,2020-02-17,8.85,8.85,8.1,8.4,8.3163,1755865,,,,,,,,,,,,,,,,,,,,
8,CGPOWER.NSE,2020-02-24,8.2,8.5,6.65,7.0,6.9303,2977855,,,,,,,,,,,,,-1.0,8.1,7.35,15.0,,,,
9,CGPOWER.NSE,2020-03-02,7.35,7.35,5.7,5.7,5.6432,2479818,,,,,,,,,,,,,-1.0,6.65,5.7,11.0,,,,
10,CGPOWER.NSE,2020-03-09,5.5,5.7,4.75,5.25,5.1977,5771579,-1.0,4.75,,,,,,,,,,,,,,,-1.0,5.9666667,29.0,0.0
11,CGPOWER.NSE,2020-03-16,5.25,6.1,5.15,5.85,5.7917,5606911,,,,,,,,,,,,,,,,,,,,
12,CGPOWER.NSE,2020-03-23,5.8,5.85,5.0,5.25,5.1977,2365567,,,,,,,,,,,,,,,,,,,,
13,CGPOWER.NSE,2020-03-30,5.1,5.55,4.85,5.55,5.4947,2104365,,,,,,,,,,,,,,,,,,,,
14,CGPOWER.NSE,2020-04-07,5.8,6.65,5.8,6.65,6.5837,430234,,,,,,,,,,,,,1.0,7.05,5.55,16.0,,,,
15,CGPOWER.NSE,2020-04-13,7.3,8.8,7.05,8.0,7.9203,4552472,1.0,8.8,1.0,,8.8,26.0,,,,,,,1.0,6.9,6.65,19.0,,,,
16,CGPOWER.NSE,2020-04-20,7.6,8.15,6.9,8.15,8.0688,5413833,,,,,,,,,,,,,,,,,,,,
17,CGPOWER.NSE,2020-04-27,8.45,8.5,7.9,8.0,7.9203,2417312,,,,,,,,,,,,,,,,,,,,
18,CGPOWER.NSE,2020-05-04,8.05,8.05,6.95,7.0,6.9303,3913867,,,,,,,,,,,,,-1.0,7.9,7.25,25.0,,,,
19,CGPOWER.NSE,2020-05-11,7.25,7.25,6.2,6.2,6.1382,4781921,,,,,,,,,,,,,-1.0,6.95,6.4,22.0,,,,
20,CGPOWER.NSE,2020-05-18,6.25,6.4,5.55,5.65,5.5937,5126498,,,,,,,,,,,,,-1.0,6.2,6.0,22.0,,,,
21,CGPOWER.NSE,2020-05-26,5.75,6.0,5.4,6.0,5.9402,7296489,-1.0,5.4,,,,,1.0,6.0,5.4,37719344.0,0.0,67.3674,,,,,,,,
22,CGPOWER.NSE,2020-06-01,6.3,6.9,6.0,6.35,6.2867,15459133,,,,,,,,,,,,,,,,,,,,
23,CGPOWER.NSE,2020-06-08,6.5,6.8,6.0,6.5,6.4352,14594110,,,,,,,,,,,,,,,,,,,,
24,CGPOWER.NSE,2020-06-15,6.65,7.05,6.4,6.45,6.3857,15182491,,,,,,,,,,,,,,,,,,,,
25,CGPOWER.NSE,2020-06-22,6.55,7.8,6.4,7.8,7.7223,12811232,,,,,,,,,,,,,1.0,8.15,7.05,28.0,,,,
26,CGPOWER.NSE,2020-06-29,8.15,9.8,8.15,9.8,9.7024,9725619,,,,,,,,,,,,,1.0,9.3,7.8,28.0,,,,
27,CGPOWER.NSE,2020-07-06,10.25,10.75,9.3,9.3,9.2073,45308549,1.0,10.75,1.0,,10.75,31.0,,,,,,,,,,,,,,
28,CGPOWER.NSE,2020-07-13,8.85,9.0,7.85,8.6,8.5143,16849527,,,,,,,,,,,,,-1.0,9.3,8.95,30.0,,,,
29,CGPOWER.NSE,2020-07-20,8.7,8.95,7.75,8.1,8.0193,9751905,-1.0,7.75,,,,,1.0,8.95,7.75,38791390.0,0.0,33.58153,,,,,,,,
30,CGPOWER.NSE,2020-07-27,8.2,9.3,8.15,9.3,9.2073,9133074,,,,,,,,,,,,,1.0,9.7,8.95,0.0,,,,
31,CGPOWER.NSE,2020-08-03,9.75,10.95,9.7,10.95,10.8409,19906413,,,,,,,,,,,,,1.0,11.45,9.3,0.0,,,,
32,CGPOWER.NSE,2020-08-10,11.45,13.85,11.45,13.25,13.118,113997802,,,,,,,,,,,,,1.0,13.5,10.95,0.0,,,,
33,CGPOWER.NSE,2020-08-17,13.95,16.85,13.5,16.85,16.6821,81884944,,,,,,,,,,,,,1.0,17.65,13.85,0.0,,,,
34,CGPOWER.NSE,2020-08-24,17.65,21.35,17.65,21.35,21.1373,55800893,,,,,,,,,,,,,1.0,20.25,16.85,0.0,,,,
35,CGPOWER.NSE,2020-08-31,22.4,24.6,20.25,24.6,24.3549,67961040,,,,,,,,,,,,,,,,,,,,
36,CGPOWER.NSE,2020-09-07,25.8,25.8,20.9,22.9,22.6719,28464901,,,,,,,,,,,,,,,,,,,,
37,CGPOWER.NSE,2020-09-14,23.95,26.25,22.5,25.35,25.0974,33945302,,,,,,,,,,,,,,,,,,,,
38,CGPOWER.NSE,2020-09-21,24.85,25.5,20.8,22.0,21.7808,31106439,,,,,,,,,,,,,,,,,,,,
39,CGPOWER.NSE,2020-09-28,22.0,25.0,21.25,24.75,24.5034,18841011,,,,,,,,,,,,,,,,,,,,
40,CGPOWER.NSE,2020-10-05,24.9,26.3,23.3,24.1,23.8599,17128087,,,,,,,,,,,,,,,,,,,,
41,CGPOWER.NSE,2020-10-12,23.85,24.5,22.5,23.15,22.9194,8441926,,,,,,,,,,,,,,,,,,,,
42,CGPOWER.NSE,2020-10-19,23.0,26.75,22.5,25.7,25.444,24110535,,,,,,,,,,,,,1.0,25.0,24.5,0.0,,,,
43,CGPOWER.NSE,2020-10-26,25.6,31.4,25.0,31.4,31.0872,42630273,,,,,,,,,,,,,1.0,29.75,26.75,0.0,,,,
44,CGPOWER.NSE,2020-11-02,32.45,32.7,29.75,31.55,31.2357,32239938,,,,,,,,,,,,,,,,,,,,
45,CGPOWER.NSE,2020-11-09,32.1,38.35,31.25,37.85,37.4729,43542420,,,,,,,,,,,,,1.0,33.95,32.7,0.0,,,,
46,CGPOWER.NSE,2020-11-17,39.0,39.5,33.95,34.3,33.9583,24902005,,,,,,,,,,,,,,,,,,,,
47,CGPOWER.NSE,2020-11-23,35.9,41.2,35.0,41.2,40.7895,32482030,,,,,,,,,,,,,1.0,43.25,39.5,49.0,,,,
48,CGPOWER.NSE,2020-12-01,43.25,50.0,43.25,50.0,49.5019,40449724,,,,,,,,,,,,,1.0,42.3,41.2,50.0,,,,
49,CGPOWER.NSE,2020-12-07,51.8,52.5,42.3,44.5,44.0567,62009716,1.0,52.5,,,,,,,,,,,,,,,1.0,50.0,52.0,61.0
50,CGPOWER.NSE,2020-12-14,45.35,45.8,40.3,42.0,41.5816,29119115,,,,,,,,,,,,,,,,,,,,
51,CGPOWER.NSE,2020-12-21,42.05,43.1,38.0,43.1,42.6706,18814811,-1.0,38.0,,,,,,,,,,,,,,,-1.0,37.875,56.0,0.0
52,CGPOWER.NSE,2020-12-28,44.1,47.5,43.9,44.7,44.2547,22726105,1.0,47.5,,1.0,47.5,59.0,,,,,,,,,,,,,,
53,CGPOWER.NSE,2021-01-04,44.75,45.55,42.75,42.8,42.3736,11912492,,,,,,,,,,,,,,,,,,,,
54,CGPOWER.NSE,2021-01-11,43.3,44.5,40.65,43.6,43.1656,16362941,,,,,,,,,,,,,,,,,,,,
55,CGPOWER.NSE,2021-01-18,43.2,44.25,39.7,39.7,39.3045,12097076,,,,,,,,,,,,,,,,,,,,
56,CGPOWER.NSE,2021-01-25,40.0,41.45,37.75,39.8,39.4035,14816197,-1.0,37.75,,,,,1.0,41.45,37.75,88655640.0,0.0,24.800318,,,,,,,,
57,CGPOWER.NSE,2021-02-01,39.85,44.6,39.25,43.1,42.6706,17617649,,,,,,,,,,,,,1.0,44.0,41.45,0.0,,,,
58,CGPOWER.NSE,2021-02-08,44.7,46.9,44.0,44.65,44.2052,29691238,,,,,,,,,,,,,,,,,,,,
59,CGPOWER.NSE,2021-02-15,45.0,52.55,44.65,52.25,51.7294,41346753,,,,,,,,,,,,,1.0,53.65,46.9,0.0,,,,
60,CGPOWER.NSE,2021-02-22,54.0,58.4,53.65,56.2,55.6401,34651762,,,,,,,,,,,,,1.0,56.45,52.55,63.0,,,,
61,CGPOWER.NSE,2021-03-01,58.0,66.45,56.45,62.15,61.5308,29042315,,,,,,,,,,,,,1.0,59.7,58.4,63.0,,,,
62,CGPOWER.NSE,2021-03-08,63.0,64.45,59.7,61.5,60.8873,10850552,,,,,,,,,,,,,,,,,,,,
63,CGPOWER.NSE,2021-03-15,62.1,63.9,54.7,59.65,59.0557,28490783,,,,,,,,,,,,,,,,,,,,
64,CGPOWER.NSE,2021-03-22,61.4,70.2,59.55,67.95,67.273,24859026,,,,,,,,,,,,,1.0,64.55,63.9,0.0,,,,
65,CGPOWER.NSE,2021-03-30,68.8,69.6,64.55,68.6,67.9165,6103466,,,,,,,,,,,,,,,,,,,,
66,CGPOWER.NSE,2021-04-05,68.75,80.65,65.35,78.5,77.7179,28031148,1.0,80.65,1.0,,80.65,70.0,,,,,,,,,,,,,,
67,CGPOWER.NSE,2021-04-12,78.4,78.4,67.6,72.5,71.7777,20750066,,,,,,,,,,,,,,,,,,,,
68,CGPOWER.NSE,2021-04-19,69.0,71.2,64.85,68.1,67.4215,12790914,-1.0,64.85,,,,,1.0,71.2,64.85,46464944.0,0.0,37.984505,,,,,-1.0,68.275,81.0,0.0
69,CGPOWER.NSE,2021-04-26,68.1,71.9,67.2,69.5,68.8076,8830217,,,,,,,,,,,,,,,,,,,,
70,CGPOWER.NSE,2021-05-03,68.0,88.55,67.7,88.45,87.5688,24843813,,,,,,,,,,,,,1.0,81.1,71.9,75.0,,,,
71,CGPOWER.NSE,2021-05-10,91.0,91.95,81.1,85.2,84.3512,21260852,1.0,91.95,,,,,,,,,,,,,,,1.0,91.475,83.0,90.0
72,CGPOWER.NSE,2021-05-17,86.3,90.0,84.5,87.75,86.8758,11516704,,,,,,,,,,,,,,,,,,,,
73,CGPOWER.NSE,2021-05-24,89.25,90.0,85.0,87.4,86.5292,20672488,,,,,,,,,,,,,,,,,,,,
74,CGPOWER.NSE,2021-05-31,88.65,88.65,83.0,84.65,83.8066,8856237,,,,,,,,,,,,,,,,,,,,
75,CGPOWER.NSE,2021-06-07,86.0,86.5,77.7,82.0,81.183,9284821,,,,,,,,,,,,,,,,,,,,
76,CGPOWER.NSE,2021-06-14,85.95,89.8,76.35,82.5,81.6781,11738431,,,,,,,,,,,,,,,,,,,,
77,CGPOWER.NSE,2021-06-21,80.1,82.1,76.0,78.5,77.7179,5462392,,,,,,,,,,,,,,,,,,,,
78,CGPOWER.NSE,2021-06-28,76.25,81.7,76.25,81.6,80.787,6804624,,,,,,,,,,,,,,,,,,,,
79,CGPOWER.NSE,2021-07-05,80.55,82.5,77.05,77.95,77.1734,4256656,,,,,,,,,,,,,,,,,,,,
80,CGPOWER.NSE,2021-07-12,78.0,79.25,73.0,77.0,76.2329,5105417,,,,,,,,,,,,,,,,,,,,
81,CGPOWER.NSE,2021-07-19,76.25,80.6,71.7,76.95,76.1834,5360022,-1.0,71.7,,,,,,,,,,,,,,,,,,
82,CGPOWER.NSE,2021-07-26,76.0,80.0,75.0,77.85,77.0744,6874744,,,,,,,,,,,,,,,,,,,,
83,CGPOWER.NSE,2021-08-02,80.0,91.0,78.65,85.5,84.6482,10199962,1.0,91.0,1.0,,91.0,87.0,,,,,,,,,,,,,,
84,CGPOWER.NSE,2021-08-09,86.6,86.6,74.05,80.0,79.203,11573010,-1.0,74.05,,,,,1.0,86.6,74.05,20070832.0,0.0,52.657093,,,,,,,,
85,CGPOWER.NSE,2021-08-16,80.05,82.7,76.05,81.0,80.193,6923174,,,,,,,,,,,,,,,,,,,,
86,CGPOWER.NSE,2021-08-23,80.5,84.9,79.95,84.2,83.3611,5543010,,,,,,,,,,,,,1.0,84.0,82.7,0.0,,,,
87,CGPOWER.NSE,2021-08-30,85.0,94.55,84.0,91.5,90.5884,7604647,,,,,,,,,,,,,1.0,86.5,84.9,0.0,,,,
88,CGPOWER.NSE,2021-09-06,91.9,93.7,86.5,91.0,90.0934,4476727,,,,,,,,,,,,,,,,,,,,
89,CGPOWER.NSE,2021-09-13,92.4,93.4,87.0,92.0,91.0834,7235566,,,,,,,,,,,,,,,,,,,,
90,CGPOWER.NSE,2021-09-20,92.0,111.65,89.1,111.65,110.5376,11644948,,,,,,,,,,,,,1.0,105.95,93.4,0.0,,,,
91,CGPOWER.NSE,2021-09-27,112.8,127.3,105.95,124.1,122.8636,13561002,,,,,,,,,,,,,1.0,114.0,111.65,0.0,,,,
92,CGPOWER.NSE,2021-10-04,126.0,127.9,114.0,116.0,114.8443,7751262,,,,,,,,,,,,,,,,,,,,
93,CGPOWER.NSE,2021-10-11,116.9,120.65,114.05,117.5,116.3294,5897803,,,,,,,,,,,,,,,,,,,,
94,CGPOWER.NSE,2021-10-18,123.9,144.75,122.0,144.0,142.5654,20606529,,,,,,,,,,,,,1.0,138.15,120.65,0.0,,,,
95,CGPOWER.NSE,2021-10-25,145.8,158.65,138.15,148.25,146.773,11456659,,,,,,,,,,,,,1.0,146.1,144.75,100.0,,,,
96,CGPOWER.NSE,2021-11-01,148.0,165.0,146.1,165.0,163.3561,3920213,,,,,,,,,,,,,,,,,,,,
97,CGPOWER.NSE,2021-11-08,166.7,169.5,150.1,161.3,159.693,6817028,1.0,169.5,1.0,,169.5,102.0,,,,,,,,,,,,,,
98,CGPOWER.NSE,2021-11-15,160.9,164.0,151.0,153.6,152.0697,3100093,,,,,,,,,,,,,,,,,,,,
99,CGPOWER.NSE,2021-11-22,153.85,158.0,147.5,149.8,148.3076,3839373,,,,,,,,,,,,,,,,,,,,
100,CGPOWER.NSE,2021-11-29,148.5,161.0,142.8,156.35,154.7923,5325738,-1.0,142.8,,,,,1.0,161.0,142.8,19738590.0,0.0,36.951313,,,,,,,,
101,CGPOWER.NSE,2021-12-06,157.0,165.15,150.3,165.15,163.5046,5382676,,,,,,,,,,,,,1.0,167.5,161.0,103.0,,,,
102,CGPOWER.NSE,2021-12-13,168.0,191.1,167.5,171.15,169.4449,9030176,,,,,,,,,,,,,,,,,,,,
103,CGPOWER.NSE,2021-12-20,165.15,180.5,164.35,178.15,176.3751,5917337,,,,,,,,,,,,,,,,,,,,
