index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,CHOLAFIN.NSE,2020-01-01,306.65,310.5,299.35,304.95,300.4977,2793490,-1.0,299.35,,,,,,,,,,,,,,,,,,
1,CHOLAFIN.NSE,2020-01-06,291.5,316.0,287.05,313.85,309.2677,8603425,,,,,,,,,,,,,1.0,312.8,310.5,3.0,,,,
2,CHOLAFIN.NSE,2020-01-13,316.05,334.9,312.8,325.25,320.5013,7220986,,,,,,,,,,,,,,,,,,,,
3,CHOLAFIN.NSE,2020-01-20,327.25,329.0,308.95,325.45,320.6984,14322564,,,,,,,,,,,,,,,,,,,,
4,CHOLAFIN.NSE,2020-01-27,323.05,336.8,315.0,319.7,315.0323,19926965,,,,,,,,,,,,,,,,,,,,
5,CHOLAFIN.NSE,2020-02-03,318.0,349.0,315.3,338.5,333.5578,17122794,1.0,349.0,,,,,-1.0,349.0,315.3,24975958.0,47.0,18.74097,,,,,,,,
6,CHOLAFIN.NSE,2020-02-10,339.95,341.75,330.6,332.25,327.3991,4577136,,,,,,,,,,,,,,,,,,,,
7,CHOLAFIN.NSE,2020-02-17,334.35,334.75,322.0,331.7,326.8571,3941973,,,,,,,,,,,,,,,,,,,,
8,CHOLAFIN.NSE,2020-02-24,332.0,332.0,300.55,307.2,302.7148,7082595,,,,,,,,,,,,,-1.0,322.0,317.0,45.0,,,,
9,CHOLAFIN.NSE,2020-03-02,309.0,317.0,267.0,278.75,275.3103,13951390,,,,,,,,,,,,,-1.0,300.55,279.55,43.0,,,,
10,CHOLAFIN.NSE,2020-03-09,275.75,279.55,210.35,248.05,244.9891,20411598,,,,,,,,,,,,,-1.0,267.0,246.95,34.0,,,,
11,CHOLAFIN.NSE,2020-03-16,235.0,246.95,170.95,194.0,191.6061,18551024,,,,,,,,,,,,,-1.0,210.35,184.0,24.0,,,,
12,CHOLAFIN.NSE,2020-03-23,175.0,184.0,123.6,169.9,167.8035,22661075,,,,,,,,,,,,,-1.0,170.95,167.05,14.0,,,,
13,CHOLAFIN.NSE,2020-03-30,167.0,167.05,122.5,125.4,123.8526,15893539,,,,,,,,,,,,,,,,,,,,
14,CHOLAFIN.NSE,2020-04-07,136.9,177.8,117.4,170.6,168.4948,26733895,-1.0,117.4,,,,,,,,,,,,,,,-1.0,118.75,21.0,0.0
15,CHOLAFIN.NSE,2020-04-13,170.0,180.8,145.0,180.65,178.4208,34123356,,,,,,,,,,,,,,,,,,,,
16,CHOLAFIN.NSE,2020-04-20,180.0,183.7,132.05,133.0,131.3588,52747026,1.0,183.7,1.0,,183.7,24.0,,,,,,,,,,,,,,
17,CHOLAFIN.NSE,2020-04-27,136.45,170.6,133.0,159.0,157.038,54410024,,,,,,,,,,,,,,,,,,,,
18,CHOLAFIN.NSE,2020-05-04,150.0,155.95,138.55,144.4,142.6181,74349103,,,,,,,,,,,,,,,,,,,,
19,CHOLAFIN.NSE,2020-05-11,146.95,165.95,141.5,149.35,147.5071,70799303,,,,,,,,,,,,,,,,,,,,
20,CHOLAFIN.NSE,2020-05-18,149.0,149.0,121.2,124.1,122.5686,75287290,,,,,,,,,,,,,,,,,,,,
21,CHOLAFIN.NSE,2020-05-26,126.55,143.2,120.1,140.75,139.0132,67024669,-1.0,120.1,,,,,1.0,143.2,120.1,335101020.0,0.0,35.26185,,,,,,,,
22,CHOLAFIN.NSE,2020-06-01,145.0,164.0,140.3,145.75,143.9515,87358567,,,,,,,,,,,,,,,,,,,,
23,CHOLAFIN.NSE,2020-06-08,150.0,165.0,139.0,160.15,158.1738,103012766,,,,,,,,,,,,,,,,,,,,
24,CHOLAFIN.NSE,2020-06-15,160.05,204.7,151.2,198.25,195.8037,144729677,,,,,,,,,,,,,1.0,190.1,165.0,26.0,,,,
25,CHOLAFIN.NSE,2020-06-22,201.0,216.45,190.1,201.3,198.816,122722827,,,,,,,,,,,,,,,,,,,,
26,CHOLAFIN.NSE,2020-06-29,200.0,204.7,187.0,196.55,194.1246,81469327,,,,,,,,,,,,,,,,,,,,
27,CHOLAFIN.NSE,2020-07-06,200.0,218.0,196.65,208.3,205.7296,70389263,,,,,,,,,,,,,,,,,,,,
28,CHOLAFIN.NSE,2020-07-13,210.0,212.9,195.8,207.0,204.4457,39908994,,,,,,,,,,,,,,,,,,,,
29,CHOLAFIN.NSE,2020-07-20,207.2,224.55,207.05,212.3,209.6803,58895056,,,,,,,,,,,,,,,,,,,,
30,CHOLAFIN.NSE,2020-07-27,213.0,223.35,200.5,202.8,200.2975,41715602,,,,,,,,,,,,,,,,,,,,
31,CHOLAFIN.NSE,2020-08-03,200.95,209.7,197.5,209.0,206.421,40277710,,,,,,,,,,,,,,,,,,,,
32,CHOLAFIN.NSE,2020-08-10,210.9,231.0,202.15,218.9,216.1988,42043370,,,,,,,,,,,,,1.0,210.35,209.7,0.0,,,,
33,CHOLAFIN.NSE,2020-08-17,221.0,234.55,210.35,227.0,224.1989,47627795,,,,,,,,,,,,,,,,,,,,
34,CHOLAFIN.NSE,2020-08-24,229.9,259.0,227.35,249.6,246.52,52499765,1.0,259.0,1.0,,259.0,43.0,,,,,,,,,,,,,,
35,CHOLAFIN.NSE,2020-08-31,252.0,255.6,228.85,235.0,232.1002,28572636,,,,,,,,,,,,,,,,,,,,
36,CHOLAFIN.NSE,2020-09-07,236.1,238.2,215.6,224.3,221.5322,21467943,-1.0,215.6,,,,,1.0,238.2,215.6,82945460.0,0.0,37.069847,,,,,,,,
37,CHOLAFIN.NSE,2020-09-14,230.0,243.95,226.5,243.9,240.8903,36877941,,,,,,,,,,,,,,,,,,,,
38,CHOLAFIN.NSE,2020-09-21,242.9,242.9,220.75,237.25,234.3224,28623344,,,,,,,,,,,,,,,,,,,,
