index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,CIPLA.NSE,2020-01-01,481.0,481.0,467.25,469.95,450.0372,4975945,-1.0,467.25,,,,,,,,,,,,,,,,,,
1,CIPLA.NSE,2020-01-06,469.8,477.0,461.2,473.5,453.4368,8288885,,,,,,,,,,,,,,,,,,,,
2,CIPLA.NSE,2020-01-13,474.5,487.45,474.5,480.3,459.9486,8537697,,,,,,,-1.0,487.45,474.5,30359958.0,14.0,37.555428,,,,,,,,
3,CIPLA.NSE,2020-01-20,480.45,483.15,456.85,458.85,439.4075,13533376,,,,,,,,,,,,,-1.0,474.5,468.0,9.0,,,,
4,CIPLA.NSE,2020-01-27,457.5,468.0,437.75,445.6,426.7189,17762712,,,,,,,,,,,,,,,,,,,,
5,CIPLA.NSE,2020-02-03,444.0,464.35,435.35,443.2,424.4206,20863693,,,,,,,,,,,,,,,,,,,,
6,CIPLA.NSE,2020-02-10,444.2,454.95,440.5,447.1,428.1554,10986051,,,,,,,,,,,,,,,,,,,,
7,CIPLA.NSE,2020-02-17,444.5,449.2,428.1,435.75,417.2863,12443653,,,,,,,,,,,,,-1.0,440.5,436.7,9.0,,,,
8,CIPLA.NSE,2020-02-24,436.0,436.7,398.05,402.1,385.0621,22386648,,,,,,,,,,,,,,,,,,,,
9,CIPLA.NSE,2020-03-02,407.0,472.0,394.65,434.4,415.9935,30788781,1.0,472.0,,1.0,472.0,14.0,,,,,,,,,,,,,,
10,CIPLA.NSE,2020-03-09,425.0,434.95,355.3,425.55,407.5185,20034498,-1.0,355.3,,,,,1.0,434.95,355.3,139537550.0,0.0,26.622719,,,,,,,,
11,CIPLA.NSE,2020-03-16,416.0,423.9,362.9,392.8,379.1026,20229182,,,,,,,,,,,,,,,,,,,,
12,CIPLA.NSE,2020-03-23,370.0,411.0,370.0,407.65,393.4347,29338091,,,,,,,,,,,,,,,,,,,,
13,CIPLA.NSE,2020-03-30,413.8,454.7,407.65,449.2,433.5358,42691958,,,,,,,,,,,,,1.0,452.0,411.0,0.0,,,,
14,CIPLA.NSE,2020-04-07,479.0,610.0,452.0,579.6,559.3886,67507504,,,,,,,,,,,,,1.0,578.6,454.7,16.0,,,,
15,CIPLA.NSE,2020-04-13,605.0,615.0,578.6,598.0,577.147,52718179,,,,,,,,,,,,,,,,,,,,
16,CIPLA.NSE,2020-04-20,598.0,609.8,570.0,599.3,578.4017,43915978,,,,,,,,,,,,,,,,,,,,
17,CIPLA.NSE,2020-04-27,600.0,632.65,586.1,589.6,569.0399,38150112,,,,,,,,,,,,,,,,,,,,
18,CIPLA.NSE,2020-05-04,589.0,623.05,580.6,591.9,571.2597,42723413,,,,,,,,,,,,,,,,,,,,
19,CIPLA.NSE,2020-05-11,600.95,605.0,565.6,570.3,550.4129,48095824,,,,,,,,,,,,,,,,,,,,
20,CIPLA.NSE,2020-05-18,570.6,641.85,570.5,639.35,617.0551,66080840,,,,,,,,,,,,,1.0,624.05,605.0,23.0,,,,
21,CIPLA.NSE,2020-05-26,640.0,650.95,624.05,648.15,625.5482,32638230,,,,,,,,,,,,,,,,,,,,
22,CIPLA.NSE,2020-06-01,649.0,669.75,634.55,650.9,628.2023,36300957,,,,,,,,,,,,,,,,,,,,
23,CIPLA.NSE,2020-06-08,656.7,657.8,616.3,643.6,621.1569,29409159,,,,,,,,,,,,,,,,,,,,
24,CIPLA.NSE,2020-06-15,643.0,653.5,631.5,636.2,614.0149,16732835,,,,,,,,,,,,,,,,,,,,
25,CIPLA.NSE,2020-06-22,691.0,692.5,628.3,634.9,612.7603,54220049,,,,,,,,,,,,,,,,,,,,
26,CIPLA.NSE,2020-06-29,637.0,654.45,621.05,638.8,616.5243,27450555,,,,,,,,,,,,,,,,,,,,
27,CIPLA.NSE,2020-07-06,640.0,648.0,629.2,638.9,616.6208,24812678,,,,,,,,,,,,,,,,,,,,
28,CIPLA.NSE,2020-07-13,641.0,696.65,631.25,689.1,665.0702,44479033,,,,,,,,,,,,,1.0,657.5,648.0,30.0,,,,
29,CIPLA.NSE,2020-07-20,689.0,690.85,657.5,666.05,642.824,25285619,,,,,,,,,,,,,,,,,,,,
30,CIPLA.NSE,2020-07-27,673.95,724.0,644.25,720.15,695.0375,42404834,,,,,,,,,,,,,1.0,701.0,690.85,0.0,,,,
31,CIPLA.NSE,2020-08-03,724.0,739.7,701.0,728.65,703.2411,40558244,,,,,,,,,,,,,1.0,751.35,724.0,34.0,,,,
32,CIPLA.NSE,2020-08-10,760.0,814.5,751.35,771.8,744.8864,109615736,1.0,814.5,1.0,,814.5,51.0,,,,,,,1.0,756.65,739.7,34.0,,,,
33,CIPLA.NSE,2020-08-17,779.0,781.0,756.65,760.75,734.2217,30830985,,,,,,,,,,,,,,,,,,,,
34,CIPLA.NSE,2020-08-24,763.0,771.0,744.2,748.6,722.4954,27291905,,,,,,,,,,,,,-1.0,756.65,755.7,37.0,,,,
35,CIPLA.NSE,2020-08-31,752.0,755.7,705.2,724.6,699.3323,30526477,,,,,,,,,,,,,-1.0,744.2,735.9,37.0,,,,
36,CIPLA.NSE,2020-09-07,728.0,735.9,704.4,725.95,700.6352,25626141,-1.0,704.4,,,,,1.0,735.9,704.4,100593200.0,0.0,27.745867,,,,,,,,
37,CIPLA.NSE,2020-09-14,729.0,819.3,717.75,806.25,778.1351,67059216,,,,,,,,,,,,,,,,,,,,
38,CIPLA.NSE,2020-09-21,806.25,811.95,730.0,770.1,743.2457,53785484,,,,,,,,,,,,,,,,,,,,
39,CIPLA.NSE,2020-09-28,772.1,794.9,755.6,773.0,746.0445,36059574,,,,,,,,,,,,,,,,,,,,
40,CIPLA.NSE,2020-10-05,776.0,825.0,762.05,803.15,775.1432,41367231,,,,,,,,,,,,,,,,,,,,
41,CIPLA.NSE,2020-10-12,805.0,829.05,758.4,782.35,755.0685,44643134,,,,,,,,,,,,,,,,,,,,
42,CIPLA.NSE,2020-10-19,783.0,784.1,744.0,757.55,731.1333,34258643,,,,,,,,,,,,,,,,,,,,
43,CIPLA.NSE,2020-10-26,761.2,780.0,742.3,754.5,728.1897,28929622,,,,,,,,,,,,,,,,,,,,
44,CIPLA.NSE,2020-11-02,757.5,802.0,744.4,789.95,762.4035,32113673,,,,,,,,,,,,,,,,,,,,
45,CIPLA.NSE,2020-11-09,795.1,804.0,706.5,745.75,719.7448,80640306,,,,,,,,,,,,,,,,,,,,
46,CIPLA.NSE,2020-11-17,747.4,752.0,732.25,739.9,714.0988,25703023,,,,,,,,,,,,,,,,,,,,
47,CIPLA.NSE,2020-11-23,741.65,758.05,726.5,745.6,719.6,39088797,,,,,,,,,,,,,,,,,,,,
48,CIPLA.NSE,2020-12-01,753.0,770.6,746.15,766.95,740.2055,19414109,,,,,,,,,,,,,,,,,,,,
49,CIPLA.NSE,2020-12-07,766.95,782.5,753.0,755.85,729.4926,21848420,,,,,,,,,,,,,,,,,,,,
50,CIPLA.NSE,2020-12-14,778.3,798.0,776.35,793.45,765.7814,42325005,,,,,,,,,,,,,,,,,,,,
51,CIPLA.NSE,2020-12-21,793.0,834.9,760.0,833.2,804.1453,36419773,,,,,,,,,,,,,1.0,816.05,798.0,53.0,,,,
52,CIPLA.NSE,2020-12-28,837.6,839.0,816.05,826.6,797.7754,18155431,,,,,,,,,,,,,,,,,,,,
53,CIPLA.NSE,2021-01-04,831.0,846.2,815.25,838.7,809.4535,19318065,,,,,,,,,,,,,,,,,,,,
54,CIPLA.NSE,2021-01-11,839.0,864.6,821.0,823.7,794.9766,20057455,,,,,,,,,,,,,,,,,,,,
55,CIPLA.NSE,2021-01-18,822.0,839.3,796.2,808.3,780.1136,17799808,,,,,,,,,,,,,,,,,,,,
56,CIPLA.NSE,2021-01-25,813.0,857.0,808.25,825.9,797.0999,29790039,,,,,,,,,,,,,,,,,,,,
57,CIPLA.NSE,2021-02-01,815.0,878.9,779.95,847.7,818.1397,50038600,1.0,878.9,1.0,,878.9,66.0,,,,,,,,,,,,,,
58,CIPLA.NSE,2021-02-08,852.0,874.9,839.0,848.55,818.96,21931272,,,,,,,,,,,,,,,,,,,,
59,CIPLA.NSE,2021-02-15,850.1,856.6,799.0,807.35,779.1967,15828371,,,,,,,,,,,,,-1.0,839.0,820.0,65.0,,,,
60,CIPLA.NSE,2021-02-22,811.4,820.0,776.25,787.05,759.6046,21969172,,,,,,,,,,,,,,,,,,,,
61,CIPLA.NSE,2021-03-01,795.0,818.15,782.0,805.15,777.0734,17762162,,,,,,,,,,,,,,,,,,,,
62,CIPLA.NSE,2021-03-08,807.95,819.0,792.1,805.95,777.8455,10294495,,,,,,,,,,,,,,,,,,,,
63,CIPLA.NSE,2021-03-15,807.9,808.9,738.1,760.65,734.1252,17725007,-1.0,738.1,,,,,1.0,808.9,738.1,53796420.0,0.0,63.09966,,,,,,,,
64,CIPLA.NSE,2021-03-22,762.0,802.3,758.7,787.45,759.9907,20812649,,,,,,,,,,,,,,,,,,,,
65,CIPLA.NSE,2021-03-30,790.25,824.0,790.25,818.3,789.7649,9440288,,,,,,,,,,,,,1.0,806.1,802.3,0.0,,,,
66,CIPLA.NSE,2021-04-05,825.0,892.3,806.1,883.05,852.257,23543483,,,,,,,,,,,,,1.0,878.3,824.0,70.0,,,,
67,CIPLA.NSE,2021-04-12,890.0,944.25,878.3,938.05,905.339,68773331,,,,,,,,,,,,,1.0,922.75,892.3,69.0,,,,
68,CIPLA.NSE,2021-04-19,945.25,966.35,922.75,935.6,902.9745,44505987,1.0,966.35,1.0,,966.35,75.0,,,,,,,,,,,,,,
69,CIPLA.NSE,2021-04-26,935.6,940.0,900.75,910.35,878.605,34588583,,,,,,,,,,,,,,,,,,,,
70,CIPLA.NSE,2021-05-03,919.1,924.4,869.0,882.9,852.1122,48621206,-1.0,869.0,,,,,,,,,,,,,,,-1.0,870.5,82.0,102.0
71,CIPLA.NSE,2021-05-10,892.5,921.0,877.5,904.05,872.5247,34516479,,,,,,,,,,,,,,,,,,,,
72,CIPLA.NSE,2021-05-17,895.0,935.0,870.0,926.9,894.5779,45614095,,,,,,,,,,,,,1.0,926.15,921.0,74.0,,,,
73,CIPLA.NSE,2021-05-24,931.0,951.95,926.15,934.35,901.7681,23967061,,,,,,,,,,,,,,,,,,,,
74,CIPLA.NSE,2021-05-31,934.35,960.5,924.0,946.4,913.3979,13853872,,,,,,,,,,,,,,,,,,,,
75,CIPLA.NSE,2021-06-07,951.75,982.3,931.85,967.85,934.0999,18040712,,,,,,,,,,,,,,,,,,,,
