index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,COALINDIA.NSE,2020-01-01,211.35,212.8,207.7,211.85,121.5265,18858573,1.0,212.8,,,,,,,,,,,,,,,1.0,210.9,120.0,135.0
1,COALINDIA.NSE,2020-01-06,209.95,209.95,197.35,205.3,117.7692,43247048,,,,,,,,,,,,,,,,,,,,
2,COALINDIA.NSE,2020-01-13,205.3,214.6,205.0,207.9,119.2606,33067634,,,,,,,,,,,,,,,,,,,,
3,COALINDIA.NSE,2020-01-20,208.0,209.8,189.85,193.95,111.2583,60550972,,,,,,,,,,,,,-1.0,205.0,195.0,91.0,,,,
4,COALINDIA.NSE,2020-01-27,193.95,195.0,180.0,181.7,104.2312,74213239,,,,,,,,,,,,,-1.0,189.85,186.05,91.0,,,,
5,COALINDIA.NSE,2020-02-03,174.9,186.05,172.15,185.05,106.1529,55185232,,,,,,,,,,,,,,,,,,,,
6,COALINDIA.NSE,2020-02-10,184.9,185.0,174.2,174.75,100.2443,77907439,,,,,,,,,,,,,,,,,,,,
7,COALINDIA.NSE,2020-02-17,174.75,180.25,165.0,179.35,102.8831,81510280,,,,,,,,,,,,,,,,,,,,
8,COALINDIA.NSE,2020-02-24,178.75,178.9,166.75,168.4,96.6017,60607752,,,,,,,,,,,,,,,,,,,,
9,COALINDIA.NSE,2020-03-02,172.65,180.2,166.5,168.75,96.8025,61816050,,,,,,,,,,,,,,,,,,,,
10,COALINDIA.NSE,2020-03-09,165.8,169.9,123.65,154.1,88.3986,128946584,,,,,,,,,,,,,-1.0,166.5,155.4,60.0,,,,
11,COALINDIA.NSE,2020-03-16,150.95,155.4,122.0,132.8,83.0508,113839513,,,,,,,,,,,,,,,,,,,,
12,COALINDIA.NSE,2020-03-23,122.5,135.0,119.2,131.7,82.3628,82911472,-1.0,119.2,,,,,,,,,,,,,,,-1.0,120.125,20.0,38.0
13,COALINDIA.NSE,2020-03-30,127.55,142.35,127.2,137.75,86.1464,47124045,,,,,,,,,,,,,1.0,137.0,135.0,16.0,,,,
14,COALINDIA.NSE,2020-04-07,140.3,143.4,137.0,140.8,88.0538,20352054,,,,,,,,,,,,,,,,,,,,
15,COALINDIA.NSE,2020-04-13,140.8,152.45,138.35,148.75,93.0256,38010207,1.0,152.45,,,,,,,,,,,,,,,1.0,150.33333,54.0,60.0
16,COALINDIA.NSE,2020-04-20,149.9,149.9,135.0,137.0,85.6774,38499625,,,,,,,,,,,,,,,,,,,,
17,COALINDIA.NSE,2020-04-27,139.0,149.45,134.45,148.5,92.8693,31847511,,,,,,,,,,,,,,,,,,,,
18,COALINDIA.NSE,2020-05-04,144.7,147.25,128.55,129.0,80.6743,48620541,,,,,,,,,,,,,-1.0,134.45,132.5,21.0,,,,
19,COALINDIA.NSE,2020-05-11,130.15,132.5,125.3,129.6,81.0495,37881915,,,,,,,,,,,,,-1.0,128.55,127.0,21.0,,,,
20,COALINDIA.NSE,2020-05-18,127.0,127.0,121.05,125.2,78.2979,55275271,-1.0,121.05,,,,,,,,,,,,,,,,,,
21,COALINDIA.NSE,2020-05-26,125.85,142.45,125.0,141.3,88.3665,36358036,,,,,,,,,,,,,1.0,139.35,127.0,23.0,,,,
22,COALINDIA.NSE,2020-06-01,142.1,149.75,139.35,144.85,90.5866,67612801,1.0,149.75,,,,,,,,,,,,,,,,,,
23,COALINDIA.NSE,2020-06-08,148.0,148.95,132.7,134.65,84.2077,44814745,,,,,,,,,,,,,,,,,,,,
24,COALINDIA.NSE,2020-06-15,134.7,140.0,128.15,137.25,85.8337,76475069,,,,,,,,,,,,,,,,,,,,
25,COALINDIA.NSE,2020-06-22,137.25,146.75,137.1,142.1,88.8668,82953924,,,,,,,,,,,,,,,,,,,,
26,COALINDIA.NSE,2020-06-29,140.55,140.85,131.4,135.25,84.5829,49401236,,,,,,,,,,,,,,,,,,,,
27,COALINDIA.NSE,2020-07-06,136.3,137.5,128.2,131.2,82.0501,68128645,,,,,,,,,,,,,,,,,,,,
28,COALINDIA.NSE,2020-07-13,131.8,132.45,124.6,130.6,81.6749,45128595,-1.0,124.6,-1.0,,124.6,37.0,,,,,,,,,,,,,,
29,COALINDIA.NSE,2020-07-20,133.5,136.7,130.0,131.6,82.3003,55061254,,,,,,,,,,,,,,,,,,,,
30,COALINDIA.NSE,2020-07-27,131.6,132.5,127.55,129.25,80.8307,27430852,,,,,,,,,,,,,,,,,,,,
31,COALINDIA.NSE,2020-08-03,129.9,131.7,128.1,129.75,81.1433,33141855,,,,,,,,,,,,,,,,,,,,
