symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept,CoC+,level
ABB.NSE,2024-09-16,7730.0,7917.5,7350.05,7744.0,7681.5548,1591443,-1.0,7350.05,,-1.0,7350.05,253.0,,,,,,,,,,,,,,,1.0,7350.05
ABB.NSE,2024-09-23,7750.0,8214.0,7750.0,8125.0,8059.4825,1473456,,,,,,,,,,,,,,,,,,,,,0.0,
ABB.NSE,2024-09-30,7975.0,8303.25,7880.0,7950.0,7885.8936,1261929,,,,,,,,,,,,,,,,,,,,,0.0,
ABB.NSE,2024-10-07,7903.0,8619.7,7672.15,8543.75,8474.8558,1499521,,,,,,,,,,,,,1.0,8420.05,8303.25,251.0,,,,,0.0,
ABB.NSE,2024-10-14,8592.6,8940.6,8420.05,8778.0,8707.2169,1640021,1.0,8940.6,,,,,-1.0,8940.6,8420.05,7753135.0,0.0,33.121986,,,,,,,,,0.0,
ABB.NSE,2024-10-21,8830.1,8871.3,7415.1,7532.9,7472.157,1929052,,,,,,,,,,,,,-1.0,8420.05,7587.7,257.0,,,,,0.0,
ADANIENSOL.NSE,2024-05-06,1060.35,1065.95,970.5,990.55,990.55,8864425,-1.0,970.5,,,,,,,,,,,,,,,,,,,1.0,970.5
ADANIENSOL.NSE,2024-05-13,990.95,1056.0,975.0,1044.6,1044.6,3625541,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIENSOL.NSE,2024-05-21,1044.6,1154.8,1033.35,1106.7,1106.7,7358034,,,,,,,,,,,,,1.0,1081.0,1056.0,231.0,,,,,0.0,
ADANIENSOL.NSE,2024-05-27,1124.95,1150.1,1081.0,1122.8,1122.8,16921193,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIENSOL.NSE,2024-06-03,1249.0,1249.4,831.5,1020.05,1020.05,46565850,1.0,1249.4,1.0,,1249.4,239.0,,,,,,,-1.0,1081.0,1074.0,238.0,,,,,0.0,
ADANIENSOL.NSE,2024-06-10,1054.9,1074.0,1014.05,1019.8,1019.8,4997296,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIGREEN.NSE,2023-06-26,940.0,977.85,897.7,945.9,945.9,62866353,-1.0,897.7,,,,199.0,,,,,,,,,,,-1.0,895.98334,191.0,199.0,1.0,897.7
ADANIGREEN.NSE,2023-07-03,955.85,972.9,938.45,951.0,951.0,3159619,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIGREEN.NSE,2023-07-10,959.85,973.0,935.25,965.2,965.2,3144178,,,,,,,,,,,,,,,,,,,,,0.0,
ADANIGREEN.NSE,2023-07-17,970.15,1020.0,957.1,995.55,995.55,5295259,,,,,,,,,,,,,1.0,986.15,973.0,188.0,,,,,0.0,
ADANIGREEN.NSE,2023-07-24,998.95,1184.85,986.15,1092.6,1092.6,14020547,1.0,1184.85,,,,,,,,,,,,,,,,,,,0.0,
ADANIGREEN.NSE,2023-07-31,1109.0,1137.9,1008.15,1012.55,1012.55,10020981,,,,,,,,,,,,,,,,,,,,,0.0,
