index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,DIVISLAB.NSE,2020-01-01,1845.0,1849.6,1815.9,1834.8,1766.6431,541081,-1.0,1815.9,,,,,,,,,,,,,,,,,,
1,DIVISLAB.NSE,2020-01-06,1828.3,1884.5,1800.0,1866.3,1796.973,1671122,,,,,,,,,,,,,1.0,1852.05,1849.6,3.0,,,,
2,DIVISLAB.NSE,2020-01-13,1870.2,1913.85,1852.05,1903.35,1832.6467,1558623,,,,,,,,,,,,,,,,,,,,
3,DIVISLAB.NSE,2020-01-20,1905.0,1926.4,1843.95,1910.5,1839.5311,1769984,,,,,,,,,,,,,,,,,,,,
4,DIVISLAB.NSE,2020-01-27,1910.0,1994.4,1893.7,1952.3,1879.7783,2464162,,,,,,,,,,,,,1.0,1930.0,1926.4,10.0,,,,
5,DIVISLAB.NSE,2020-02-03,1994.9,2095.0,1930.0,2085.95,2008.4637,4616210,,,,,,,,,,,,,1.0,2076.15,1994.4,9.0,,,,
6,DIVISLAB.NSE,2020-02-10,2085.0,2190.0,2076.15,2146.45,2066.7163,3934499,,,,,,,,,,,,,1.0,2133.6,2095.0,8.0,,,,
7,DIVISLAB.NSE,2020-02-17,2158.0,2236.4,2133.6,2169.35,2088.7656,1719221,,,,,,,,,,,,,,,,,,,,
8,DIVISLAB.NSE,2020-02-24,2171.9,2184.8,2087.25,2106.95,2043.8198,3216999,,,,,,,,,,,,,,,,,,,,
9,DIVISLAB.NSE,2020-03-02,2130.0,2249.0,2063.55,2240.05,2172.9318,4654782,,,,,,,,,,,,,,,,,,,,
10,DIVISLAB.NSE,2020-03-09,2240.0,2258.95,1626.0,1962.7,1903.892,3967902,,,,,,,,,,,,,-1.0,2063.55,2017.15,13.0,,,,
11,DIVISLAB.NSE,2020-03-16,1950.0,2017.15,1631.05,1994.9,1935.1272,6685246,,,,,,,,,,,,,,,,,,,,
12,DIVISLAB.NSE,2020-03-23,1849.95,1980.0,1725.55,1862.55,1806.7428,4301051,,,,,,,,,,,,,,,,,,,,
13,DIVISLAB.NSE,2020-03-30,1851.0,2035.0,1822.95,1901.05,1844.0892,3928679,,,,,,,,,,,,,,,,,,,,
14,DIVISLAB.NSE,2020-04-07,1960.0,2467.6,1921.25,2310.9,2241.6589,5998529,,,,,,,,,,,,,1.0,2285.0,2035.0,18.0,,,,
15,DIVISLAB.NSE,2020-04-13,2385.0,2449.55,2285.0,2332.2,2262.3207,5596439,,,,,,,,,,,,,,,,,,,,
16,DIVISLAB.NSE,2020-04-20,2335.0,2474.45,2295.0,2425.4,2352.7282,4667686,1.0,2474.45,,,,30.0,,,,,,,,,,,,,,
17,DIVISLAB.NSE,2020-04-27,2450.0,2472.4,2300.7,2332.9,2262.9997,3258122,,,,,,,,,,,,,,,,,,,,
18,DIVISLAB.NSE,2020-05-04,2226.0,2343.95,2226.0,2300.8,2231.8616,3449635,-1.0,2226.0,,-1.0,2226.0,26.0,,,,,,,,,,,,,,
19,DIVISLAB.NSE,2020-05-11,2319.0,2413.0,2302.0,2335.2,2265.2308,2882826,,,,,,,,,,,,,,,,,,,,
20,DIVISLAB.NSE,2020-05-18,2342.0,2390.5,2305.0,2320.0,2250.4863,2321187,,,,,,,,,,,,,,,,,,,,
21,DIVISLAB.NSE,2020-05-26,2339.95,2408.1,2255.35,2390.1,2318.4859,2518132,,,,,,,,,,,,,,,,,,,,
22,DIVISLAB.NSE,2020-06-01,2402.1,2537.95,2360.0,2460.05,2386.34,4796728,1.0,2537.95,,1.0,2537.95,30.0,-1.0,2537.95,2360.0,14153468.0,30.0,34.807682,,,,,,,,
23,DIVISLAB.NSE,2020-06-08,2472.0,2472.0,2302.9,2395.1,2323.3361,4921482,,,,,,,,,,,,,,,,,,,,
24,DIVISLAB.NSE,2020-06-15,2408.95,2449.6,2285.0,2304.75,2235.6932,3654461,,,,,,,,,,,,,,,,,,,,
25,DIVISLAB.NSE,2020-06-22,2335.0,2412.0,2317.0,2350.75,2280.3149,2598274,,,,,,,,,,,,,,,,,,,,
26,DIVISLAB.NSE,2020-06-29,2359.55,2368.0,2090.05,2190.45,2124.8179,7900733,-1.0,2090.05,,,,,1.0,2368.0,2090.05,19990652.0,0.0,30.85049,-1.0,2317.0,2226.6,28.0,,,,
27,DIVISLAB.NSE,2020-07-06,2219.9,2226.6,2141.05,2203.1,2137.0889,5698185,,,,,,,,,,,,,,,,,,,,
28,DIVISLAB.NSE,2020-07-13,2220.0,2274.55,2177.05,2263.4,2195.5822,4713176,,,,,,,,,,,,,1.0,2241.55,2226.6,0.0,,,,
29,DIVISLAB.NSE,2020-07-20,2280.0,2433.2,2241.55,2349.1,2278.7143,6282966,,,,,,,,,,,,,1.0,2320.2,2274.55,0.0,,,,
30,DIVISLAB.NSE,2020-07-27,2350.0,2645.6,2320.2,2616.55,2538.1508,8994509,,,,,,,,,,,,,1.0,2602.05,2433.2,0.0,,,,
31,DIVISLAB.NSE,2020-08-03,2621.6,2820.0,2602.05,2784.85,2701.408,8089908,,,,,,,,,,,,,1.0,3012.1,2645.6,38.0,,,,
32,DIVISLAB.NSE,2020-08-10,3063.3,3293.0,3012.1,3089.8,2997.2209,14866948,,,,,,,,,,,,,1.0,3071.35,2820.0,38.0,,,,
33,DIVISLAB.NSE,2020-08-17,3120.0,3335.0,3071.35,3247.35,3150.0502,8484354,,,,,,,,,,,,,,,,,,,,
34,DIVISLAB.NSE,2020-08-24,3269.5,3297.9,3182.75,3272.85,3174.7862,4080547,,,,,,,,,,,,,,,,,,,,
35,DIVISLAB.NSE,2020-08-31,3285.0,3349.4,3094.85,3223.15,3126.5753,5144050,,,,,,,,,,,,,,,,,,,,
36,DIVISLAB.NSE,2020-09-07,3243.3,3248.6,3080.0,3146.65,3052.3675,3142547,,,,,,,,,,,,,,,,,,,,
37,DIVISLAB.NSE,2020-09-14,3169.6,3389.0,3133.7,3344.4,3244.1924,7255556,1.0,3389.0,1.0,,3389.0,45.0,,,,,,,,,,,,,,
38,DIVISLAB.NSE,2020-09-21,3350.95,3374.25,2985.0,3060.75,2969.0413,12793806,-1.0,2985.0,,,,,,,,,,,,,,,,,,
39,DIVISLAB.NSE,2020-09-28,3100.0,3139.0,3021.65,3064.9,2973.067,4613558,,,,,,,,,,,,,,,,,,,,
40,DIVISLAB.NSE,2020-10-05,3080.0,3269.9,3049.05,3190.0,3094.4186,5722531,,,,,,,,,,,,,,,,,,,,
41,DIVISLAB.NSE,2020-10-12,3192.3,3248.0,3045.0,3222.7,3126.1388,5706699,,,,,,,,,,,,,,,,,,,,
42,DIVISLAB.NSE,2020-10-19,3235.0,3246.9,3015.0,3068.85,2976.8986,6026860,,,,,,,,,,,,,,,,,,,,
43,DIVISLAB.NSE,2020-10-26,3080.9,3210.9,3020.1,3142.05,3047.9053,5847727,,,,,,,,,,,,,,,,,,,,
44,DIVISLAB.NSE,2020-11-02,3121.15,3264.8,3040.3,3237.25,3140.2529,5585069,,,,,,,,,,,,,1.0,3239.15,3210.9,63.0,,,,
45,DIVISLAB.NSE,2020-11-09,3415.05,3464.2,3239.15,3444.95,3341.7296,14322146,,,,,,,,,,,,,1.0,3395.0,3264.8,56.0,,,,
46,DIVISLAB.NSE,2020-11-17,3460.0,3499.0,3395.0,3469.1,3365.156,4659484,,,,,,,,,,,,,,,,,,,,
47,DIVISLAB.NSE,2020-11-23,3486.4,3659.9,3450.0,3605.1,3497.081,11360868,,,,,,,,,,,,,1.0,3596.6,3499.0,50.0,,,,
48,DIVISLAB.NSE,2020-12-01,3770.0,3770.0,3596.6,3711.95,3600.7295,4816689,,,,,,,,,,,,,,,,,,,,
49,DIVISLAB.NSE,2020-12-07,3704.0,3763.0,3622.4,3642.1,3532.9724,4452296,,,,,,,,,,,,,,,,,,,,
50,DIVISLAB.NSE,2020-12-14,3650.0,3859.0,3584.6,3832.9,3718.0555,6051356,,,,,,,,,,,,,,,,,,,,
51,DIVISLAB.NSE,2020-12-21,3789.0,3803.95,3543.8,3749.6,3637.2514,4918726,,,,,,,,,,,,,,,,,,,,
52,DIVISLAB.NSE,2020-12-28,3760.0,3867.9,3738.0,3849.05,3733.7216,2620153,,,,,,,,,,,,,,,,,,,,
53,DIVISLAB.NSE,2021-01-04,3853.0,3914.95,3791.0,3859.15,3743.519,3010795,1.0,3914.95,,,,,,,,,,,,,,,1.0,3901.475,58.0,69.0
54,DIVISLAB.NSE,2021-01-11,3884.9,3888.95,3633.0,3644.8,3535.5915,4356417,,,,,,,,,,,,,-1.0,3791.0,3666.1,57.0,,,,
55,DIVISLAB.NSE,2021-01-18,3640.0,3666.1,3530.0,3544.7,3438.4908,3943326,,,,,,,,,,,,,-1.0,3633.0,3600.0,57.0,,,,
56,DIVISLAB.NSE,2021-01-25,3562.0,3600.0,3360.1,3369.85,3268.8798,3604556,,,,,,,,,,,,,,,,,,,,
57,DIVISLAB.NSE,2021-02-01,3418.0,3859.8,3311.4,3822.45,3707.9186,7377663,-1.0,3311.4,,,,149.0,,,,,,,1.0,3650.0,3600.0,59.0,,,,
58,DIVISLAB.NSE,2021-02-08,3799.0,3888.0,3650.0,3719.4,3607.9563,6001296,1.0,3888.0,,1.0,3888.0,69.0,,,,,,,,,,,,,,
59,DIVISLAB.NSE,2021-02-15,3721.0,3749.75,3490.0,3523.2,3417.635,3140879,,,,,,,,,,,,,-1.0,3650.0,3563.0,61.0,,,,
60,DIVISLAB.NSE,2021-02-22,3510.0,3563.0,3326.4,3363.1,3262.3321,4345425,,,,,,,,,,,,,,,,,,,,
61,DIVISLAB.NSE,2021-03-01,3396.7,3573.2,3381.35,3496.9,3392.123,3142232,,,,,,,,,,,,,,,,,,,,
62,DIVISLAB.NSE,2021-03-08,3522.35,3567.8,3461.5,3512.05,3406.8191,1837074,,,,,,,,,,,,,,,,,,,,
63,DIVISLAB.NSE,2021-03-15,3526.0,3526.0,3153.3,3370.3,3269.3163,4542721,-1.0,3153.3,,,,,,,,,,,,,,,-1.0,3174.225,150.0,161.0
64,DIVISLAB.NSE,2021-03-22,3371.35,3545.0,3350.55,3464.95,3361.1303,3540904,,,,,,,,,,,,,,,,,,,,
65,DIVISLAB.NSE,2021-03-30,3500.0,3640.65,3480.05,3616.1,3507.7515,1863277,,,,,,,,,,,,,1.0,3561.65,3545.0,125.0,,,,
66,DIVISLAB.NSE,2021-04-05,3616.1,3799.9,3561.65,3752.35,3639.919,3786046,,,,,,,,,,,,,1.0,3675.2,3640.65,125.0,,,,
67,DIVISLAB.NSE,2021-04-12,3760.0,3898.0,3675.2,3821.85,3707.3366,4097126,,,,,,,,,,,,,,,,,,,,
68,DIVISLAB.NSE,2021-04-19,3812.0,3849.85,3739.0,3779.75,3666.498,2725585,,,,,,,,,,,,,,,,,,,,
69,DIVISLAB.NSE,2021-04-26,3782.0,4135.0,3770.45,4062.35,3940.6306,5436038,,,,,,,,,,,,,1.0,3962.05,3849.85,108.0,,,,
70,DIVISLAB.NSE,2021-05-03,4061.8,4147.3,3962.05,4029.1,3908.3768,2906612,,,,,,,,,,,,,,,,,,,,
71,DIVISLAB.NSE,2021-05-10,4052.0,4205.0,4006.5,4020.55,3900.083,2771452,,,,,,,,,,,,,,,,,,,,
72,DIVISLAB.NSE,2021-05-17,4020.0,4110.0,3964.35,4079.9,3957.6547,2065030,,,,,,,,,,,,,,,,,,,,
73,DIVISLAB.NSE,2021-05-24,4092.15,4165.0,4055.0,4120.25,3996.7957,2437485,,,,,,,,,,,,,,,,,,,,
74,DIVISLAB.NSE,2021-05-31,4190.0,4284.2,4110.0,4261.6,4133.9105,5119208,,,,,,,,,,,,,1.0,4201.8,4165.0,76.0,,,,
75,DIVISLAB.NSE,2021-06-07,4264.15,4425.0,4201.8,4334.5,4204.6262,3125993,,,,,,,,,,,,,,,,,,,,
76,DIVISLAB.NSE,2021-06-14,4334.65,4415.35,4146.5,4197.3,4071.5371,3488590,,,,,,,,,,,,,,,,,,,,
77,DIVISLAB.NSE,2021-06-21,4190.0,4310.2,4162.0,4248.75,4121.4455,1545504,,,,,,,,,,,,,,,,,,,,
78,DIVISLAB.NSE,2021-06-28,4251.0,4530.1,4251.0,4519.65,4384.2286,2466858,,,,,,,,,,,,,1.0,4485.0,4310.2,103.0,,,,
79,DIVISLAB.NSE,2021-07-05,4534.0,4625.0,4485.0,4599.7,4461.88,1757614,,,,,,,,,,,,,1.0,4566.9,4530.1,101.0,,,,
80,DIVISLAB.NSE,2021-07-12,4610.0,4772.0,4566.9,4757.6,4615.0489,2249752,,,,,,,,,,,,,1.0,4735.55,4625.0,82.0,,,,
81,DIVISLAB.NSE,2021-07-19,4749.95,4856.4,4735.55,4824.75,4680.1869,1417391,,,,,,,,,,,,,,,,,,,,
82,DIVISLAB.NSE,2021-07-26,4824.75,4944.75,4669.4,4906.1,4759.0994,3830699,,,,,,,,,,,,,1.0,4884.0,4856.4,84.0,,,,
83,DIVISLAB.NSE,2021-08-02,4893.5,5045.2,4884.0,4916.0,4768.7028,1998367,1.0,5045.2,1.0,,5045.2,87.0,,,,,,,,,,,,,,
84,DIVISLAB.NSE,2021-08-09,4980.0,4989.8,4831.0,4948.7,4800.423,2179945,,,,,,,,,,,,,,,,,,,,
85,DIVISLAB.NSE,2021-08-16,4945.55,4999.05,4757.0,4818.7,4693.4793,1637562,-1.0,4757.0,,,,101.0,,,,,,,,,,,,,,
86,DIVISLAB.NSE,2021-08-23,4849.0,4934.05,4788.0,4910.7,4783.0886,1813915,,,,,,,,,,,,,,,,,,,,
87,DIVISLAB.NSE,2021-08-30,4932.6,5271.65,4930.0,5208.3,5072.955,3307100,1.0,5271.65,,1.0,5271.65,93.0,,,,,,,1.0,5034.7,4934.05,89.0,,,,
88,DIVISLAB.NSE,2021-09-06,5238.95,5247.55,5034.7,5054.9,4923.5414,1602002,,,,,,,,,,,,,,,,,,,,
89,DIVISLAB.NSE,2021-09-13,5059.0,5198.65,5001.0,5122.8,4989.6769,1901137,,,,,,,,,,,,,,,,,,,,
90,DIVISLAB.NSE,2021-09-20,5100.0,5254.0,5079.65,5108.55,4975.7972,1600080,,,,,,,,,,,,,,,,,,,,
91,DIVISLAB.NSE,2021-09-27,5120.0,5133.85,4701.0,4832.3,4706.7259,3363143,-1.0,4701.0,,-1.0,4701.0,101.0,,,,,,,,,,,,,,
92,DIVISLAB.NSE,2021-10-04,4890.0,5315.5,4890.0,5071.3,4939.5152,4397072,,,,,,,,,,,,,,,,,,,,
93,DIVISLAB.NSE,2021-10-11,5104.0,5389.0,5060.5,5372.15,5232.5472,1805018,,,,,,,,,,,,,,,,,,,,
94,DIVISLAB.NSE,2021-10-18,5383.0,5425.1,5050.0,5073.4,4941.5606,2364758,1.0,5425.1,,,,,,,,,,,,,,,,,,
95,DIVISLAB.NSE,2021-10-25,5052.0,5248.35,4874.85,5150.15,5016.3161,2400966,,,,,,,,,,,,,,,,,,,,
96,DIVISLAB.NSE,2021-11-01,5175.6,5285.05,5094.05,5208.05,5072.7115,1332398,,,,,,,,,,,,,,,,,,,,
97,DIVISLAB.NSE,2021-11-08,5023.2,5093.25,4747.8,4843.8,4717.9271,5263742,,,,,,,,,,,,,-1.0,5094.05,4927.0,99.0,,,,
98,DIVISLAB.NSE,2021-11-15,4868.0,4927.0,4671.8,4785.6,4661.2395,1565730,,,,,,,,,,,,,,,,,,,,
99,DIVISLAB.NSE,2021-11-22,4800.0,5077.7,4635.0,4937.8,4809.4844,3168601,,,,,,,,,,,,,,,,,,,,
100,DIVISLAB.NSE,2021-11-29,4965.55,4990.0,4713.6,4757.05,4633.4314,2608564,,,,,,,,,,,,,,,,,,,,
101,DIVISLAB.NSE,2021-12-06,4775.0,4775.0,4490.0,4506.45,4389.3436,2943061,,,,,,,,,,,,,-1.0,4713.6,4662.0,104.0,,,,
102,DIVISLAB.NSE,2021-12-13,4541.0,4662.0,4490.0,4511.45,4394.2137,3886011,,,,,,,,,,,,,,,,,,,,
103,DIVISLAB.NSE,2021-12-20,4490.0,4584.0,4356.0,4447.25,4331.682,3072917,-1.0,4356.0,-1.0,,4356.0,107.0,,,,,,,,,,,,,,
104,DIVISLAB.NSE,2021-12-27,4450.0,4690.0,4431.85,4678.2,4556.6304,2075730,,,,,,,,,,,,,,,,,,,,
105,DIVISLAB.NSE,2022-01-03,4689.0,4708.75,4470.0,4516.7,4399.3272,1690668,1.0,4708.75,,,,,-1.0,4708.75,4470.0,7070657.0,238.0,31.425121,,,,,,,,
106,DIVISLAB.NSE,2022-01-10,4520.0,4636.0,4434.25,4616.6,4496.6312,2380540,,,,,,,,,,,,,,,,,,,,
107,DIVISLAB.NSE,2022-01-17,4615.0,4668.0,4137.8,4179.4,4070.7924,2999449,,,,,,,,,,,,,-1.0,4434.25,4190.0,109.0,,,,
108,DIVISLAB.NSE,2022-01-24,4189.0,4190.0,3788.95,3940.7,3838.2954,3315963,-1.0,3788.95,,,,,,,,,,,,,,,,,,
109,DIVISLAB.NSE,2022-01-31,4020.0,4374.6,3995.85,4304.5,4192.6415,2579704,,,,,,,,,,,,,,,,,,,,
110,DIVISLAB.NSE,2022-02-07,4304.5,4474.0,4168.25,4291.25,4179.7359,4242151,,,,,,,,,,,,,,,,,,,,
111,DIVISLAB.NSE,2022-02-14,4239.45,4520.15,4192.05,4353.4,4240.2708,4074567,1.0,4520.15,,,,231.0,,,,,,,,,,,,,,
112,DIVISLAB.NSE,2022-02-21,4345.0,4345.0,3916.6,4138.35,4030.8092,2268594,-1.0,3916.6,,-1.0,3916.6,125.0,,,,,,,,,,,,,,
113,DIVISLAB.NSE,2022-02-28,4120.0,4310.85,4063.0,4094.7,3988.2935,2039255,,,,,,,,,,,,,,,,,,,,
114,DIVISLAB.NSE,2022-03-07,4050.0,4353.0,3974.05,4339.4,4226.6346,2107323,,,,,,,,,,,,,1.0,4325.1,4310.85,122.0,,,,
115,DIVISLAB.NSE,2022-03-14,4340.0,4519.9,4325.1,4504.35,4387.2982,1561921,,,,,,,,,,,,,1.0,4410.0,4353.0,117.0,,,,
116,DIVISLAB.NSE,2022-03-21,4525.0,4573.85,4410.0,4454.15,4338.4027,1962541,,,,,,,,,,,,,,,,,,,,
117,DIVISLAB.NSE,2022-03-28,4433.0,4625.0,4335.1,4379.7,4265.8874,2226258,,,,,,,,,,,,,,,,,,,,
118,DIVISLAB.NSE,2022-04-04,4379.7,4528.1,4372.9,4505.95,4388.8566,1833138,,,,,,,,,,,,,,,,,,,,
119,DIVISLAB.NSE,2022-04-11,4501.0,4535.2,4430.15,4499.25,4382.3307,915977,,,,,,,,,,,,,,,,,,,,
120,DIVISLAB.NSE,2022-04-18,4490.0,4579.0,4348.75,4492.5,4375.7561,2023993,,,,,,,,,,,,,,,,,,,,
