index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,DLF.NSE,2020-01-01,231.4,234.4,226.5,228.6,218.4371,12564450,1.0,234.4,,,,,,,,,,,,,,,,,,
1,DLF.NSE,2020-01-06,227.0,245.0,217.3,244.2,233.3435,42508563,,,,,,,,,,,,,1.0,244.35,234.4,5.0,,,,
2,DLF.NSE,2020-01-13,244.35,262.0,244.35,261.25,249.6356,39332643,,,,,,,,,,,,,1.0,255.0,245.0,4.0,,,,
3,DLF.NSE,2020-01-20,261.95,265.9,255.0,262.85,251.1644,29319466,,,,,,,,,,,,,,,,,,,,
4,DLF.NSE,2020-01-27,261.5,264.0,252.05,260.45,248.8711,31679304,,,,,,,,,,,,,,,,,,,,
5,DLF.NSE,2020-02-03,230.0,255.8,217.85,235.8,225.317,80971321,,,,,,,,,,,,,,,,,,,,
6,DLF.NSE,2020-02-10,235.3,237.8,224.45,226.2,217.2586,34072805,,,,,,,,,,,,,,,,,,,,
7,DLF.NSE,2020-02-17,228.4,229.8,216.55,220.1,211.3998,32526896,,,,,,,,,,,,,-1.0,224.45,219.5,49.0,,,,
8,DLF.NSE,2020-02-24,215.0,219.5,193.15,201.7,193.7271,46499616,,,,,,,,,,,,,-1.0,216.55,213.4,49.0,,,,
9,DLF.NSE,2020-03-02,206.0,213.4,187.85,194.45,186.7637,50410521,,,,,,,,,,,,,-1.0,193.15,189.0,46.0,,,,
10,DLF.NSE,2020-03-09,188.0,189.0,142.0,166.75,160.1586,46573550,,,,,,,,,,,,,-1.0,187.85,157.0,12.0,,,,
11,DLF.NSE,2020-03-16,155.25,157.0,121.35,139.8,134.2739,54349857,,,,,,,,,,,,,,,,,,,,
12,DLF.NSE,2020-03-23,125.85,158.85,114.55,138.75,133.2654,65946293,-1.0,114.55,,,,,,,,,,,,,,,,,,
13,DLF.NSE,2020-03-30,134.0,138.9,128.8,132.1,126.8783,28185948,,,,,,,,,,,,,,,,,,,,
14,DLF.NSE,2020-04-07,137.7,151.8,135.1,149.1,143.2063,21580047,,,,,,,,,,,,,,,,,,,,
15,DLF.NSE,2020-04-13,148.4,148.9,132.7,136.9,131.4885,65996209,,,,,,,,,,,,,,,,,,,,
16,DLF.NSE,2020-04-20,138.2,139.45,127.6,128.2,123.1324,64653775,,,,,,,,,,,,,,,,,,,,
17,DLF.NSE,2020-04-27,131.0,152.25,129.7,146.85,141.0452,36924279,1.0,152.25,1.0,,152.25,22.0,,,,,,,,,,,,,,
18,DLF.NSE,2020-05-04,141.25,141.25,125.0,130.15,125.0054,37422850,-1.0,125.0,,,,,1.0,141.25,125.0,146530110.0,0.0,33.85801,,,,,,,,
19,DLF.NSE,2020-05-11,133.0,146.5,130.15,138.8,133.3134,42207463,,,,,,,,,,,,,,,,,,,,
20,DLF.NSE,2020-05-18,138.5,141.8,129.7,135.15,129.8077,37063286,,,,,,,,,,,,,,,,,,,,
21,DLF.NSE,2020-05-26,135.75,152.85,134.55,150.65,144.695,33625770,,,,,,,,,,,,,1.0,148.8,141.8,23.0,,,,
22,DLF.NSE,2020-06-01,153.0,163.05,148.8,157.2,150.9861,75841055,,,,,,,,,,,,,,,,,,,,
23,DLF.NSE,2020-06-08,162.0,163.55,143.8,154.05,147.9606,55839661,,,,,,,,,,,,,,,,,,,,
24,DLF.NSE,2020-06-15,153.35,162.45,143.7,161.8,155.4043,57161633,,,,,,,,,,,,,,,,,,,,
25,DLF.NSE,2020-06-22,164.5,171.25,152.35,154.4,148.2968,64033165,1.0,171.25,1.0,,171.25,34.0,,,,,,,,,,,,,,
26,DLF.NSE,2020-06-29,154.2,155.3,147.2,151.25,145.2713,32141052,,,,,,,,,,,,,,,,,,,,
27,DLF.NSE,2020-07-06,153.0,156.0,144.6,147.75,141.9097,61672135,,,,,,,,,,,,,,,,,,,,
28,DLF.NSE,2020-07-13,148.85,149.2,134.5,140.75,135.1864,61215687,-1.0,134.5,,,,,,,,,,,,,,,-1.0,138.5,38.0,0.0
29,DLF.NSE,2020-07-20,142.0,147.35,136.9,138.9,133.4095,47378259,,,,,,,,,,,,,,,,,,,,
30,DLF.NSE,2020-07-27,139.25,142.9,134.5,141.15,135.5705,42171639,,,,,,,1.0,142.9,134.5,284658430.0,0.0,18.242506,,,,,,,,
31,DLF.NSE,2020-08-03,140.15,147.45,138.0,141.85,136.2429,48768058,,,,,,,,,,,,,,,,,,,,
32,DLF.NSE,2020-08-10,142.5,150.4,140.35,142.45,136.8192,43917228,,,,,,,,,,,,,,,,,,,,
33,DLF.NSE,2020-08-17,144.5,164.55,141.7,161.7,155.3082,85500584,,,,,,,,,,,,,1.0,154.7,150.4,35.0,,,,
34,DLF.NSE,2020-08-24,162.5,181.85,154.7,173.05,166.2096,155240606,1.0,181.85,1.0,,181.85,45.0,,,,,,,,,,,,,,
35,DLF.NSE,2020-08-31,174.75,176.6,153.1,154.85,148.729,73028361,,,,,,,,,,,,,,,,,,,,
36,DLF.NSE,2020-09-07,156.0,156.9,145.05,154.3,148.2007,56154846,,,,,,,,,,,,,,,,,,,,
37,DLF.NSE,2020-09-14,156.0,166.35,153.15,161.25,155.6759,66908816,,,,,,,,,,,,,,,,,,,,
38,DLF.NSE,2020-09-21,161.65,162.45,142.5,151.35,146.1181,71717532,-1.0,142.5,,,,,1.0,162.45,142.5,203443490.0,0.0,43.99768,,,,,,,,
39,DLF.NSE,2020-09-28,153.0,158.95,151.85,155.9,150.5108,37896354,,,,,,,,,,,,,,,,,,,,
40,DLF.NSE,2020-10-05,157.0,165.5,155.8,157.0,151.5728,48003132,,,,,,,,,,,,,,,,,,,,
41,DLF.NSE,2020-10-12,158.4,164.25,153.35,162.55,156.931,52616944,,,,,,,,,,,,,,,,,,,,
42,DLF.NSE,2020-10-19,164.2,175.1,161.75,171.3,165.3785,71768407,,,,,,,,,,,,,,,,,,,,
43,DLF.NSE,2020-10-26,172.9,172.9,150.6,158.3,152.8279,62161014,,,,,,,,,,,,,,,,,,,,
44,DLF.NSE,2020-11-02,160.3,170.9,156.65,167.9,162.096,72935917,,,,,,,,,,,,,,,,,,,,
45,DLF.NSE,2020-11-09,169.9,186.8,169.1,184.6,178.2187,68346556,,,,,,,,,,,,,1.0,180.0,170.9,47.0,,,,
46,DLF.NSE,2020-11-17,185.45,200.85,180.0,181.95,175.6603,80273892,,,,,,,,,,,,,,,,,,,,
47,DLF.NSE,2020-11-23,183.95,191.4,179.65,187.2,180.7289,62618470,,,,,,,,,,,,,,,,,,,,
48,DLF.NSE,2020-12-01,192.0,212.25,189.6,211.3,203.9958,71340627,,,,,,,,,,,,,1.0,204.25,191.4,0.0,,,,
49,DLF.NSE,2020-12-07,211.0,221.5,204.25,218.8,211.2365,68246004,,,,,,,,,,,,,,,,,,,,
50,DLF.NSE,2020-12-14,218.25,240.4,207.4,231.4,223.4009,120920622,,,,,,,,,,,,,,,,,,,,
