index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,DMART.NSE,2020-01-01,1849.7,1867.0,1815.0,1843.55,1843.55,1283031,-1.0,1815.0,,,,,,,,,,,,,,,,,,
1,DMART.NSE,2020-01-06,1827.0,1904.0,1780.0,1876.95,1876.95,3479452,,,,,,,,,,,,,1.0,1880.0,1867.0,11.0,,,,
2,DMART.NSE,2020-01-13,1925.0,2000.0,1880.0,1990.55,1990.55,5505678,,,,,,,,,,,,,,,,,,,,
3,DMART.NSE,2020-01-20,2000.0,2004.45,1901.9,1948.6,1948.6,1680741,,,,,,,,,,,,,,,,,,,,
4,DMART.NSE,2020-01-27,1945.5,2174.55,1922.2,2072.05,2072.05,4996740,,,,,,,,,,,,,1.0,2081.0,2004.45,10.0,,,,
5,DMART.NSE,2020-02-03,2084.0,2360.0,2081.0,2287.2,2287.2,5110894,,,,,,,,,,,,,1.0,2287.2,2174.55,8.0,,,,
6,DMART.NSE,2020-02-10,2287.2,2560.0,2287.2,2408.35,2408.35,13581104,1.0,2560.0,,,,,,,,,,,,,,,1.0,2543.5,23.0,49.0
7,DMART.NSE,2020-02-17,2354.5,2485.0,2305.05,2462.65,2462.65,8234123,,,,,,,,,,,,,,,,,,,,
8,DMART.NSE,2020-02-24,2448.8,2448.8,2180.0,2323.95,2323.95,5502149,,,,,,,,,,,,,,,,,,,,
9,DMART.NSE,2020-03-02,2335.0,2340.0,2136.1,2242.15,2242.15,4690793,,,,,,,,,,,,,,,,,,,,
10,DMART.NSE,2020-03-09,2185.0,2223.3,1904.3,2101.0,2101.0,2420906,,,,,,,,,,,,,-1.0,2136.1,2096.1,13.0,,,,
11,DMART.NSE,2020-03-16,1995.95,2096.1,1733.7,1916.1,1916.1,3071569,,,,,,,,,,,,,,,,,,,,
12,DMART.NSE,2020-03-23,1820.3,2093.75,1729.3,2079.7,2079.7,2040462,-1.0,1729.3,,,,,,,,,,,,,,,,,,
13,DMART.NSE,2020-03-30,2079.7,2230.0,1975.75,2066.95,2066.95,1227980,,,,,,,,,,,,,,,,,,,,
14,DMART.NSE,2020-04-07,2090.1,2392.65,2090.1,2392.65,2392.65,604500,1.0,2392.65,1.0,,2392.65,20.0,,,,,,,,,,,,,,
15,DMART.NSE,2020-04-13,2320.0,2320.0,2104.9,2212.1,2212.1,1592428,,,,,,,,,,,,,,,,,,,,
16,DMART.NSE,2020-04-20,2229.95,2350.0,2150.05,2310.5,2310.5,1481451,,,,,,,,,,,,,,,,,,,,
17,DMART.NSE,2020-04-27,2300.0,2389.75,2274.0,2383.65,2383.65,1797086,,,,,,,,,,,,,,,,,,,,
18,DMART.NSE,2020-05-04,2310.2,2345.0,2126.55,2255.0,2255.0,1245471,-1.0,2126.55,,-1.0,2126.55,28.0,,,,,,,,,,,,,,
19,DMART.NSE,2020-05-11,2280.0,2379.95,2270.0,2333.8,2333.8,1456673,,,,,,,,,,,,,,,,,,,,
20,DMART.NSE,2020-05-18,2333.0,2519.95,2275.0,2398.3,2398.3,1670181,,,,,,,,,,,,,,,,,,,,
21,DMART.NSE,2020-05-26,2339.0,2358.0,2176.0,2269.35,2269.35,6251597,,,,,,,,,,,,,,,,,,,,
22,DMART.NSE,2020-06-01,2320.1,2524.0,2282.65,2499.0,2499.0,2409415,,,,,,,,,,,,,,,,,,,,
23,DMART.NSE,2020-06-08,2520.0,2527.0,2312.0,2397.8,2397.8,1655794,1.0,2527.0,,,,,-1.0,2527.0,2312.0,14220793.0,49.0,12.933527,,,,,,,,
24,DMART.NSE,2020-06-15,2373.0,2434.0,2310.0,2363.15,2363.15,2918935,,,,,,,,,,,,,,,,,,,,
25,DMART.NSE,2020-06-22,2366.0,2424.0,2290.0,2294.4,2294.4,1643430,,,,,,,,,,,,,,,,,,,,
26,DMART.NSE,2020-06-29,2294.4,2334.7,2274.0,2290.15,2290.15,1628613,,,,,,,,,,,,,,,,,,,,
27,DMART.NSE,2020-07-06,2296.0,2385.3,2296.0,2322.7,2322.7,1854268,,,,,,,,,,,,,,,,,,,,
28,DMART.NSE,2020-07-13,2210.05,2304.95,1955.0,1989.75,1989.75,10737912,-1.0,1955.0,,,,,,,,,,,-1.0,2296.0,2148.0,31.0,-1.0,1954.925,42.0,0.0
29,DMART.NSE,2020-07-20,1979.9,2148.0,1968.0,2031.4,2031.4,6116172,,,,,,,,,,,,,,,,,,,,
30,DMART.NSE,2020-07-27,2044.0,2075.0,2001.5,2060.05,2060.05,3950400,,,,,,,,,,,,,,,,,,,,
31,DMART.NSE,2020-08-03,2068.7,2191.95,2060.3,2136.05,2136.05,2664467,,,,,,,,,,,,,1.0,2100.0,2075.0,38.0,,,,
32,DMART.NSE,2020-08-10,2138.4,2219.9,2100.0,2178.0,2178.0,2157667,,,,,,,,,,,,,,,,,,,,
33,DMART.NSE,2020-08-17,2181.0,2309.25,2160.0,2259.45,2259.45,2263492,,,,,,,,,,,,,1.0,2244.0,2219.9,35.0,,,,
34,DMART.NSE,2020-08-24,2269.95,2445.0,2244.0,2319.4,2319.4,3978609,1.0,2445.0,,1.0,2445.0,49.0,,,,,,,,,,,,,,
35,DMART.NSE,2020-08-31,2298.9,2367.85,2183.3,2251.45,2251.45,4128601,,,,,,,,,,,,,,,,,,,,
36,DMART.NSE,2020-09-07,2270.0,2297.85,2207.6,2239.35,2239.35,3074882,,,,,,,,,,,,,,,,,,,,
37,DMART.NSE,2020-09-14,2250.0,2258.95,2104.0,2149.05,2149.05,3857687,,,,,,,,,,,,,-1.0,2207.6,2177.0,39.0,,,,
38,DMART.NSE,2020-09-21,2175.0,2177.0,1995.1,2102.7,2102.7,3063807,,,,,,,,,,,,,,,,,,,,
39,DMART.NSE,2020-09-28,2110.9,2242.0,2082.9,2184.8,2184.8,2179496,,,,,,,,,,,,,,,,,,,,
40,DMART.NSE,2020-10-05,2192.95,2197.15,2035.05,2057.6,2057.6,2431999,,,,,,,,,,,,,,,,,,,,
