index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,EICHERMOT.NSE,2020-01-01,22515.2,22594.8,21110.0,21189.3,2004.3625,4945270,1.0,22594.8,,,,,,,,,,,,,,,,,,
1,EICHERMOT.NSE,2020-01-06,21100.0,21349.8,19800.1,20432.8,1932.8028,10285220,,,,,,,,,,,,,,,,,,,,
2,EICHERMOT.NSE,2020-01-13,20600.0,21770.0,20063.2,21292.2,2014.0961,8319540,,,,,,,,,,,,,,,,,,,,
3,EICHERMOT.NSE,2020-01-20,21380.0,21549.9,20780.5,20930.8,1979.9101,4655430,,,,,,,,,,,,,,,,,,,,
4,EICHERMOT.NSE,2020-01-27,20850.0,21236.0,20100.0,20289.3,1919.2286,7219920,,,,,,,,,,,,,-1.0,20780.5,20641.6,29.0,,,,
5,EICHERMOT.NSE,2020-02-03,19547.3,20641.6,19261.0,19736.3,1866.9186,10440520,,,,,,,,,,,,,,,,,,,,
6,EICHERMOT.NSE,2020-02-10,19855.0,19855.0,18505.0,18703.5,1769.2228,8499720,,,,,,,,,,,,,-1.0,19261.0,19039.0,26.0,,,,
7,EICHERMOT.NSE,2020-02-17,18900.0,19039.0,18339.6,18848.6,1782.9483,5671670,,,,,,,,,,,,,,,,,,,,
8,EICHERMOT.NSE,2020-02-24,18700.0,18700.0,16317.0,16602.3,1570.4637,12467010,,,,,,,,,,,,,-1.0,18339.6,18280.0,10.0,,,,
9,EICHERMOT.NSE,2020-03-02,16666.0,18280.0,16643.0,17743.5,1678.4134,14438850,,,,,,,,,,,,,,,,,,,,
10,EICHERMOT.NSE,2020-03-09,17099.0,18528.6,15202.0,17672.1,1671.6595,10580910,,,,,,,,,,,,,,,,,,,,
11,EICHERMOT.NSE,2020-03-16,16874.9,17460.0,14465.6,15678.4,1494.7806,8914580,,,,,,,,,,,,,,,,,,,,
12,EICHERMOT.NSE,2020-03-23,14351.0,17240.0,13326.7,14319.8,1365.2515,6486640,,,,,,,,,,,,,-1.0,14465.6,14098.0,15.0,,,,
13,EICHERMOT.NSE,2020-03-30,14098.0,14098.0,12600.0,12680.1,1208.9223,7129630,,,,,,,,,,,,,,,,,,,,
14,EICHERMOT.NSE,2020-04-07,13070.8,14046.1,12450.1,13742.3,1310.1926,8824310,-1.0,12450.1,,,,,,,,,,,,,,,,,,
15,EICHERMOT.NSE,2020-04-13,13730.0,14978.0,13042.0,14770.4,1408.2118,12180440,1.0,14978.0,1.0,,14978.0,21.0,,,,,,,,,,,,,,
16,EICHERMOT.NSE,2020-04-20,14770.4,14800.4,13200.0,13589.2,1295.596,11293900,,,,,,,,,,,,,,,,,,,,
17,EICHERMOT.NSE,2020-04-27,13902.0,14900.0,13814.9,14708.0,1402.2626,8632810,,,,,,,,,,,,,,,,,,,,
18,EICHERMOT.NSE,2020-05-04,14390.0,14390.0,13571.0,13858.9,1321.3093,8234310,,,,,,,,,,,,,,,,,,,,
19,EICHERMOT.NSE,2020-05-11,14059.9,14970.0,13650.0,14099.6,1344.2576,9798690,,,,,,,,,,,,,,,,,,,,
20,EICHERMOT.NSE,2020-05-18,14050.2,14199.0,12855.5,13922.4,1327.3634,12983710,-1.0,12855.5,,-1.0,12855.5,34.0,1.0,14199.0,12855.5,45649850.0,33.0,27.331585,,,,,,,,
21,EICHERMOT.NSE,2020-05-26,14105.0,16996.9,14065.0,16548.4,1577.7265,22867450,,,,,,,,,,,,,1.0,16801.3,14199.0,23.0,,,,
22,EICHERMOT.NSE,2020-06-01,16900.0,17900.0,16801.3,17495.4,1668.0136,16450570,,,,,,,,,,,,,,,,,,,,
23,EICHERMOT.NSE,2020-06-08,17850.0,17865.5,15591.1,16857.3,1607.1771,13600880,,,,,,,,,,,,,,,,,,,,
24,EICHERMOT.NSE,2020-06-15,16599.9,17550.0,16276.1,17349.4,1654.094,16673780,,,,,,,,,,,,,,,,,,,,
25,EICHERMOT.NSE,2020-06-22,17349.4,18551.1,17217.2,18473.4,1761.2563,12807690,,,,,,,,,,,,,1.0,17970.0,17550.0,34.0,,,,
26,EICHERMOT.NSE,2020-06-29,18377.4,19249.0,17970.0,18983.5,1809.8893,11565560,,,,,,,,,,,,,1.0,19071.8,18551.1,28.0,,,,
27,EICHERMOT.NSE,2020-07-06,19670.0,20100.0,19071.8,19447.9,1854.1652,14061590,,,,,,,,,,,,,,,,,,,,
28,EICHERMOT.NSE,2020-07-13,19610.0,19729.0,18325.0,18810.8,1793.424,10957040,,,,,,,,,,,,,,,,,,,,
29,EICHERMOT.NSE,2020-07-20,18950.0,21045.3,18767.0,20800.3,1983.1032,17057930,,,,,,,,,,,,,1.0,20400.0,19729.0,32.0,,,,
30,EICHERMOT.NSE,2020-07-27,20800.3,21725.0,20400.0,20638.7,1967.6962,11465600,,,,,,,,,,,,,,,,,,,,
31,EICHERMOT.NSE,2020-08-03,20725.0,22268.3,20653.2,21807.4,2079.1202,9945240,,,,,,,,,,,,,,,,,,,,
32,EICHERMOT.NSE,2020-08-10,21898.0,22340.0,20066.7,20144.2,1920.5505,14410440,1.0,22340.0,,,,,-1.0,22340.0,20066.7,53581230.0,0.0,36.78874,,,,,,,,
