Code,Name,Country,Exchange,Currency,Type,Isin,Company Name,Industry_x,Symbol,Series,ISIN Code,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry_y,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
360ONE,360 ONE WAM LIMITED,India,NSE,INR,Common Stock,INE466L01038,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,542772,360 ONE WAM LIMITED,360ONE,360 ONE WAM LTD,Active,A ,1.00,INE466L01038,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
3MINDIA,3M India Limited,India,NSE,INR,Common Stock,INE470A01017,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,523395,3M India Ltd.,3MINDIA,3M India Ltd,Active,A ,10.00,INE470A01017,Diversified,Equity,Diversified,Diversified,Diversified,Diversified
AADHARHFC,Aadhar Housing Finance Ltd,India,NSE,INR,Common Stock,INE883F01010,Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,544176,Aadhar Housing Finance Limited,AADHARHFC,Aadhar Housing Finance Ltd,Active,A ,10.00,INE883F01010,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
AARTIIND,Aarti Industries Limited,India,NSE,INR,Common Stock,INE769A01020,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,524208,Aarti Industries Ltd,AARTIIND,Aarti Industries Ltd,Active,A ,5.00,INE769A01020,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AAVAS,Aavas Financiers Limited,India,NSE,INR,Common Stock,INE216P01012,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,541988,AAVAS Financiers Limited,AAVAS,AAVAS Financiers Ltd,Active,A ,10.00,INE216P01012,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
ABB,ABB India Limited,India,NSE,INR,Common Stock,INE117A01022,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,500002,ABB India Limited,ABB,ABB India Ltd,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ABBOTINDIA,Abbott India Limited,India,NSE,INR,Common Stock,INE358A01014,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,500488,Abbott India Ltd.,ABBOTINDIA,Abbott India Ltd,Active,A ,10.00,INE358A01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ABCAPITAL,Aditya Birla Capital Limited,India,NSE,INR,Common Stock,INE674K01013,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,540691,Aditya Birla Capital Ltd,ABCAPITAL,Aditya Birla Capital Ltd,Active,A ,10.00,INE674K01013,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
ABFRL,Aditya Birla Fashion and Retail Limited,India,NSE,INR,Common Stock,INE647O01011,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,535755,Aditya Birla Fashion and Retail Limited,ABFRL,Aditya Birla Fashion and Retail Ltd,Active,A ,10.00,INE647O01011,Speciality Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ABREL,Aditya Birla Real Estate Limited,India,NSE,INR,Common Stock,,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,500040,ADITYA BIRLA REAL ESTATE LIMITED,ABREL,Aditya Birla Real Estate Ltd,Active,A ,10.00,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
