index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ETERNAL.NSE,2021-07-23,116.0,138.9,115.0,126.0,126.0,694895290,1.0,138.9,,,,,,,,,,,,,,,,,,
1,ETERNAL.NSE,2021-07-26,126.35,147.8,123.55,133.5,133.5,856145096,,,,,,,,,,,,,,,,,,,,
2,ETERNAL.NSE,2021-08-02,135.75,141.0,130.1,131.35,131.35,225066642,,,,,,,,,,,,,,,,,,,,
3,ETERNAL.NSE,2021-08-09,132.4,139.75,122.1,137.35,137.35,281156054,,,,,,,,,,,,,,,,,,,,
4,ETERNAL.NSE,2021-08-16,136.4,141.45,130.6,139.3,139.3,112477048,,,,,,,,,,,,,,,,,,,,
5,ETERNAL.NSE,2021-08-23,137.8,137.8,120.5,124.7,124.7,219136226,-1.0,120.5,,,,,,,,,,,,,,,,,,
6,ETERNAL.NSE,2021-08-30,127.85,151.4,127.55,149.75,149.75,227306257,,,,,,,,,,,,,1.0,138.55,137.8,8.0,,,,
7,ETERNAL.NSE,2021-09-06,149.25,149.35,138.55,141.6,141.6,112337526,,,,,,,,,,,,,,,,,,,,
8,ETERNAL.NSE,2021-09-13,143.25,152.75,136.2,137.9,137.9,209576575,1.0,152.75,1.0,,152.75,16.0,,,,,,,,,,,,,,
9,ETERNAL.NSE,2021-09-20,137.7,140.85,131.0,136.65,136.65,100932072,,,,,,,,,,,,,,,,,,,,
10,ETERNAL.NSE,2021-09-27,139.85,144.75,136.15,138.0,138.0,70098242,,,,,,,,,,,,,,,,,,,,
11,ETERNAL.NSE,2021-10-04,139.1,140.0,133.7,136.15,136.15,46421258,,,,,,,,,,,,,,,,,,,,
12,ETERNAL.NSE,2021-10-11,137.5,137.75,133.7,135.0,135.0,25035701,,,,,,,,,,,,,,,,,,,,
13,ETERNAL.NSE,2021-10-18,136.0,146.15,133.85,137.75,137.75,76162736,,,,,,,,,,,,,,,,,,,,
14,ETERNAL.NSE,2021-10-25,138.0,139.25,130.5,131.55,131.55,53820827,,,,,,,,,,,,,,,,,,,,
15,ETERNAL.NSE,2021-11-01,133.6,134.3,127.5,131.35,131.35,33589780,-1.0,127.5,,,,26.0,,,,,,,,,,,-1.0,126.05,22.0,26.0
16,ETERNAL.NSE,2021-11-08,132.95,155.2,130.6,153.0,153.0,285049040,,,,,,,,,,,,,1.0,142.35,134.3,18.0,,,,
17,ETERNAL.NSE,2021-11-15,149.0,169.0,142.35,154.7,154.7,321847568,1.0,169.0,,,,,,,,,,,,,,,,,,
18,ETERNAL.NSE,2021-11-22,158.25,161.3,136.8,148.15,148.15,256273037,,,,,,,,,,,,,,,,,,,,
19,ETERNAL.NSE,2021-11-29,148.8,158.0,137.5,144.9,144.9,384668610,,,,,,,,,,,,,,,,,,,,
20,ETERNAL.NSE,2021-12-06,146.6,148.65,135.3,140.55,140.55,153663206,,,,,,,,,,,,,,,,,,,,
21,ETERNAL.NSE,2021-12-13,142.2,144.95,132.35,135.35,135.35,165152600,,,,,,,,,,,,,,,,,,,,
22,ETERNAL.NSE,2021-12-20,135.3,140.75,124.6,131.45,131.45,115493271,-1.0,124.6,-1.0,,124.6,26.0,,,,,,,,,,,,,,
23,ETERNAL.NSE,2021-12-27,131.35,137.7,128.0,133.95,133.95,52387883,,,,,,,,,,,,,,,,,,,,
24,ETERNAL.NSE,2022-01-03,139.7,142.45,129.0,129.25,129.25,95726260,1.0,142.45,,,,,-1.0,142.45,129.0,274348740.0,132.0,53.59138,,,,,,,,
25,ETERNAL.NSE,2022-01-10,130.5,134.45,129.4,133.6,133.6,50769604,,,,,,,,,,,,,,,,,,,,
26,ETERNAL.NSE,2022-01-17,133.6,134.6,112.55,113.65,113.65,127852883,,,,,,,,,,,,,-1.0,129.4,114.2,117.0,,,,
27,ETERNAL.NSE,2022-01-24,114.0,114.2,84.15,89.55,89.55,473322160,,,,,,,,,,,,,-1.0,112.55,99.75,107.0,,,,
28,ETERNAL.NSE,2022-01-31,91.35,99.75,89.65,94.2,94.2,96608112,,,,,,,,,,,,,,,,,,,,
29,ETERNAL.NSE,2022-02-07,95.1,95.5,86.5,88.7,88.7,81037245,,,,,,,,,,,,,,,,,,,,
30,ETERNAL.NSE,2022-02-14,87.0,90.1,75.75,85.9,85.9,218975931,,,,,,,,,,,,,-1.0,86.5,85.15,36.0,,,,
31,ETERNAL.NSE,2022-02-21,84.2,85.15,77.0,78.8,78.8,112427075,,,,,,,,,,,,,,,,,,,,
