index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,GAIL.NSE,2020-01-01,121.395,128.805,119.745,125.655,63.6183,49616850,-1.0,119.745,,,,,,,,,,,,,,,,,,
1,GAIL.NSE,2020-01-06,124.995,127.755,122.745,125.355,63.4664,53933923,,,,,,,,,,,,,,,,,,,,
2,GAIL.NSE,2020-01-13,125.895,133.35,122.745,126.345,63.9676,111945115,,,,,,,,,,,,,,,,,,,,
3,GAIL.NSE,2020-01-20,126.0,131.7,124.545,129.495,65.5624,79997433,,,,,,,,,,,,,,,,,,,,
4,GAIL.NSE,2020-01-27,129.0,129.495,119.4,120.45,60.983,69241802,,,,,,,,,,,,,,,,,,,,
5,GAIL.NSE,2020-02-03,115.095,124.605,114.0,123.0,62.2741,77006995,,,,,,,,,,,,,,,,,,,,
6,GAIL.NSE,2020-02-10,124.095,132.495,119.25,122.55,62.0462,177989274,1.0,132.495,,,,,,,,,,,,,,,,,,
7,GAIL.NSE,2020-02-17,121.995,121.995,116.745,119.295,63.7263,71686837,,,,,,,,,,,,,,,,,,,,
8,GAIL.NSE,2020-02-24,118.5,119.295,102.0,104.4,55.7695,115909381,,,,,,,,,,,,,-1.0,116.745,111.255,48.0,,,,
9,GAIL.NSE,2020-03-02,106.005,111.255,98.7,107.805,57.5884,135968411,,,,,,,,,,,,,,,,,,,,
10,GAIL.NSE,2020-03-09,103.605,104.85,64.995,84.555,45.1685,196528705,-1.0,64.995,,,,,,,,,,,-1.0,98.7,82.605,14.0,,,,
11,GAIL.NSE,2020-03-16,82.005,82.605,65.595,80.805,43.1653,182259280,,,,,,,,,,,,,,,,,,,,
12,GAIL.NSE,2020-03-23,73.995,82.5,69.105,69.495,37.1236,128920556,,,,,,,,,,,,,,,,,,,,
13,GAIL.NSE,2020-03-30,69.405,82.005,67.545,80.895,43.2133,118015092,,,,,,,,,,,,,1.0,82.545,82.5,16.0,,,,
14,GAIL.NSE,2020-04-07,84.0,94.95,82.545,87.75,46.8752,91594615,,,,,,,,,,,,,1.0,83.805,82.005,16.0,,,,
15,GAIL.NSE,2020-04-13,88.695,91.95,83.805,89.7,47.9169,69346848,,,,,,,,,,,,,,,,,,,,
16,GAIL.NSE,2020-04-20,91.005,91.005,78.705,81.495,43.5339,130966726,,,,,,,,,,,,,,,,,,,,
17,GAIL.NSE,2020-04-27,82.605,96.555,81.255,95.7,51.122,116343164,1.0,96.555,1.0,,96.555,22.0,,,,,,,,,,,,,,
18,GAIL.NSE,2020-05-04,92.205,96.255,89.595,91.35,48.7983,110087741,,,,,,,,,,,,,,,,,,,,
19,GAIL.NSE,2020-05-11,91.995,94.605,84.75,85.8,45.8335,91415390,,,,,,,,,,,,,-1.0,89.595,88.2,21.0,,,,
20,GAIL.NSE,2020-05-18,86.1,88.2,80.505,87.195,46.5787,103948610,-1.0,80.505,,,,,1.0,88.2,80.505,291468860.0,0.0,55.433266,,,,,-1.0,80.85,41.0,0.0
21,GAIL.NSE,2020-05-26,87.195,93.75,86.145,92.355,49.3352,78067360,,,,,,,,,,,,,1.0,90.9,88.2,36.0,,,,
22,GAIL.NSE,2020-06-01,93.945,99.345,90.9,97.845,52.2679,109452897,,,,,,,,,,,,,,,,,,,,
23,GAIL.NSE,2020-06-08,99.45,106.305,91.245,96.345,51.4666,236379818,,,,,,,,,,,,,,,,,,,,
24,GAIL.NSE,2020-06-15,96.3,101.895,94.5,99.495,53.1493,138999942,,,,,,,,,,,,,,,,,,,,
25,GAIL.NSE,2020-06-22,99.9,106.995,97.8,105.15,56.1701,203930597,,,,,,,,,,,,,,,,,,,,
26,GAIL.NSE,2020-06-29,105.045,106.005,100.245,104.895,56.0339,93997799,,,,,,,,,,,,,,,,,,,,
27,GAIL.NSE,2020-07-06,103.905,107.505,101.7,102.405,54.7038,127546255,1.0,107.505,,,,,,,,,,,,,,,,,,
28,GAIL.NSE,2020-07-13,103.95,103.95,94.455,100.845,53.8704,78973195,,,,,,,,,,,,,,,,,,,,
29,GAIL.NSE,2020-07-20,101.7,105.0,98.805,99.555,53.1813,93547725,,,,,,,,,,,,,,,,,,,,
30,GAIL.NSE,2020-07-27,100.2,100.755,96.255,96.645,51.6268,64911858,,,,,,,,,,,,,-1.0,98.805,97.395,32.0,,,,
31,GAIL.NSE,2020-08-03,96.9,97.395,92.85,96.9,51.7631,98661056,-1.0,92.85,-1.0,,92.85,36.0,,,,,,,,,,,,,,
32,GAIL.NSE,2020-08-10,97.245,99.6,95.655,95.955,51.2583,96048111,,,,,,,,,,,,,,,,,,,,
33,GAIL.NSE,2020-08-17,96.15,103.155,95.595,101.745,54.3512,137236054,,,,,,,,,,,,,,,,,,,,
34,GAIL.NSE,2020-08-24,102.0,103.2,98.805,99.105,52.941,69963475,1.0,103.2,,1.0,103.2,48.0,,,,,,,,,,,,,,
35,GAIL.NSE,2020-08-31,99.9,101.505,94.005,98.055,52.3801,110981605,,,,,,,,,,,,,,,,,,,,
36,GAIL.NSE,2020-09-07,97.995,98.85,89.805,90.75,48.4778,104471438,,,,,,,,,,,,,-1.0,94.005,93.645,45.0,,,,
37,GAIL.NSE,2020-09-14,91.905,93.645,90.495,92.1,49.1989,95212380,,,,,,,,,,,,,,,,,,,,
38,GAIL.NSE,2020-09-21,92.205,92.205,81.945,85.2,45.513,125705448,,,,,,,,,,,,,-1.0,90.495,89.1,40.0,,,,
39,GAIL.NSE,2020-09-28,86.55,89.1,85.5,88.395,47.2198,58870426,,,,,,,,,,,,,,,,,,,,
40,GAIL.NSE,2020-10-05,88.5,89.805,83.295,85.695,45.7775,96860815,,,,,,,,,,,,,,,,,,,,
41,GAIL.NSE,2020-10-12,86.4,86.505,81.195,84.0,44.872,81398957,-1.0,81.195,,,,,1.0,86.505,81.195,718427900.0,0.0,17.147554,,,,,,,,
42,GAIL.NSE,2020-10-19,84.195,89.355,84.0,87.3,46.6348,114656448,,,,,,,,,,,,,,,,,,,,
43,GAIL.NSE,2020-10-26,87.645,87.795,82.155,84.75,45.2726,82289758,,,,,,,,,,,,,,,,,,,,
44,GAIL.NSE,2020-11-02,85.095,87.945,83.055,85.8,45.8335,92252998,,,,,,,,,,,,,,,,,,,,
45,GAIL.NSE,2020-11-09,86.205,94.395,85.65,93.495,49.9441,146743712,,,,,,,,,,,,,1.0,92.805,87.945,140.0,,,,
46,GAIL.NSE,2020-11-17,94.305,97.95,92.805,97.455,52.0595,105160386,,,,,,,,,,,,,1.0,97.605,94.395,140.0,,,,
47,GAIL.NSE,2020-11-23,99.0,106.695,97.605,102.645,54.832,196531370,,,,,,,,,,,,,1.0,103.095,97.95,140.0,,,,
48,GAIL.NSE,2020-12-01,103.65,121.995,103.095,119.805,63.9987,416736166,,,,,,,,,,,,,1.0,119.355,106.695,51.0,,,,
49,GAIL.NSE,2020-12-07,120.75,128.805,119.355,125.85,67.2279,203790797,1.0,128.805,1.0,,128.805,53.0,,,,,,,,,,,,,,
50,GAIL.NSE,2020-12-14,127.005,128.205,121.2,125.055,66.8032,141357165,,,,,,,,,,,,,,,,,,,,
51,GAIL.NSE,2020-12-21,124.995,124.995,112.545,120.15,64.183,161033631,-1.0,112.545,,,,,,,,,,,,,,,,,,
52,GAIL.NSE,2020-12-28,121.155,124.605,120.555,123.645,66.05,95656502,,,,,,,,,,,,,,,,,,,,
53,GAIL.NSE,2021-01-04,124.8,136.005,124.65,132.75,70.9138,196438761,,,,,,,,,,,,,1.0,132.045,124.605,56.0,,,,
54,GAIL.NSE,2021-01-11,133.995,146.205,132.045,138.495,73.9827,275330483,1.0,146.205,1.0,,146.205,61.0,,,,,,,,,,,,,,
55,GAIL.NSE,2021-01-18,140.805,142.005,132.555,134.055,71.6109,183910397,,,,,,,,,,,,,,,,,,,,
56,GAIL.NSE,2021-01-25,135.0,136.95,124.305,125.295,68.2679,130561111,,,,,,,,,,,,,,,,,,,,
57,GAIL.NSE,2021-02-01,124.245,135.255,124.245,128.205,69.8535,139483362,-1.0,124.245,,,,,,,,,,,,,,,-1.0,124.725,103.0,140.0
58,GAIL.NSE,2021-02-08,129.9,138.0,129.15,132.9,72.4116,197594668,,,,,,,,,,,,,,,,,,,,
59,GAIL.NSE,2021-02-15,133.95,149.445,131.85,145.395,79.2196,357090509,,,,,,,,,,,,,1.0,140.4,138.0,63.0,,,,
60,GAIL.NSE,2021-02-22,145.005,152.805,140.4,141.795,77.2581,222897422,,,,,,,,,,,,,,,,,,,,
61,GAIL.NSE,2021-03-01,144.105,150.0,142.5,147.15,80.1758,151318995,,,,,,,,,,,,,,,,,,,,
62,GAIL.NSE,2021-03-08,148.395,157.95,145.65,146.85,80.0124,180661605,1.0,157.95,1.0,,157.95,74.0,,,,,,,,,,,,,,
63,GAIL.NSE,2021-03-15,147.795,147.795,128.805,138.495,75.4601,170343124,,,,,,,,,,,,,-1.0,145.65,139.995,65.0,,,,
64,GAIL.NSE,2021-03-22,139.995,139.995,127.455,131.805,73.1352,122839608,-1.0,127.455,,,,,,,,,,,,,,,,,,
65,GAIL.NSE,2021-03-30,133.905,140.955,130.8,140.145,77.7628,183226001,,,,,,,,,,,,,,,,,,,,
66,GAIL.NSE,2021-04-05,139.005,141.855,134.1,138.795,77.0137,114902865,,,,,,,,,,,,,,,,,,,,
67,GAIL.NSE,2021-04-12,134.4,142.395,130.545,139.605,77.4632,91608347,,,,,,,,,,,,,,,,,,,,
68,GAIL.NSE,2021-04-19,135.0,139.755,128.505,129.405,71.8035,97771223,,,,,,,,,,,,,,,,,,,,
69,GAIL.NSE,2021-04-26,130.695,141.45,129.75,137.205,76.1315,83042036,,,,,,,,,,,,,,,,,,,,
70,GAIL.NSE,2021-05-03,136.095,152.655,134.655,150.255,83.3726,159008104,,,,,,,,,,,,,1.0,150.255,141.45,72.0,,,,
71,GAIL.NSE,2021-05-10,150.255,165.75,150.255,152.7,84.7292,149502127,,,,,,,,,,,,,,,,,,,,
72,GAIL.NSE,2021-05-17,154.005,157.995,145.305,145.755,80.8756,104570811,,,,,,,,,,,,,,,,,,,,
73,GAIL.NSE,2021-05-24,146.505,157.395,145.905,152.955,84.8707,121529400,,,,,,,,,,,,,,,,,,,,
74,GAIL.NSE,2021-05-31,154.005,164.745,153.195,162.0,89.8896,152329959,,,,,,,,,,,,,1.0,158.295,157.395,76.0,,,,
75,GAIL.NSE,2021-06-07,162.495,170.295,158.295,163.755,90.8634,208202154,1.0,170.295,,,,,,,,,,,,,,,1.0,170.7975,92.0,120.0
76,GAIL.NSE,2021-06-14,164.4,166.2,152.595,155.055,86.036,108335432,,,,,,,,,,,,,,,,,,,,
77,GAIL.NSE,2021-06-21,153.0,158.7,151.245,153.105,84.954,66396057,,,,,,,,,,,,,,,,,,,,
78,GAIL.NSE,2021-06-28,154.605,155.145,149.25,151.305,83.9552,65949962,,,,,,,,,,,,,,,,,,,,
79,GAIL.NSE,2021-07-05,152.295,155.1,147.0,147.15,81.6497,64315874,,,,,,,,,,,,,,,,,,,,
80,GAIL.NSE,2021-07-12,148.5,151.395,142.995,144.795,80.343,81979111,,,,,,,,,,,,,,,,,,,,
81,GAIL.NSE,2021-07-19,144.795,148.005,140.745,142.395,79.0113,61775508,,,,,,,,,,,,,-1.0,142.995,142.095,83.0,,,,
82,GAIL.NSE,2021-07-26,142.005,142.095,136.605,139.545,77.4299,72820156,-1.0,136.605,,,,,,,,,,,,,,,,,,
83,GAIL.NSE,2021-08-02,140.955,153.945,139.35,148.755,82.5403,163606456,1.0,153.945,1.0,,153.945,89.0,,,,,,,1.0,143.805,142.095,85.0,,,,
84,GAIL.NSE,2021-08-09,150.195,151.905,143.805,148.395,82.3405,94465311,,,,,,,,,,,,,,,,,,,,
85,GAIL.NSE,2021-08-16,148.455,149.25,139.995,140.355,77.8793,44251457,,,,,,,,,,,,,,,,,,,,
86,GAIL.NSE,2021-08-23,142.605,148.005,139.995,143.505,79.6272,88819004,-1.0,139.995,,-1.0,139.995,99.0,,,,,,,,,,,,,,
87,GAIL.NSE,2021-08-30,143.355,149.355,143.355,147.405,81.7912,90179622,,,,,,,,,,,,,,,,,,,,
