index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,GODREJCP.NSE,2020-01-01,684.9,693.9,679.2,688.95,664.9595,1666640,-1.0,679.2,,,,,,,,,,,,,,,,,,
1,GODREJCP.NSE,2020-01-06,688.0,742.0,678.35,738.25,712.5428,5782968,,,,,,,,,,,,,1.0,734.3,693.9,3.0,,,,
2,GODREJCP.NSE,2020-01-13,742.25,772.0,734.3,743.7,717.803,4463916,,,,,,,,,,,,,,,,,,,,
3,GODREJCP.NSE,2020-01-20,747.4,753.55,722.2,749.35,723.2563,3600461,,,,,,,,,,,,,,,,,,,,
4,GODREJCP.NSE,2020-01-27,748.0,754.0,671.65,672.65,649.2271,7071036,,,,,,,,,,,,,-1.0,722.2,676.6,23.0,,,,
5,GODREJCP.NSE,2020-02-03,661.5,676.6,645.5,646.8,626.1906,8359332,,,,,,,,,,,,,-1.0,671.65,650.45,9.0,,,,
6,GODREJCP.NSE,2020-02-10,650.45,650.45,614.5,626.1,606.1502,11081613,,,,,,,,,,,,,-1.0,645.5,637.9,9.0,,,,
7,GODREJCP.NSE,2020-02-17,626.1,637.9,613.0,631.05,610.9424,5632068,,,,,,,,,,,,,,,,,,,,
8,GODREJCP.NSE,2020-02-24,629.0,634.0,556.4,560.5,542.6404,5840677,,,,,,,,,,,,,,,,,,,,
9,GODREJCP.NSE,2020-03-02,574.0,654.85,573.8,638.9,618.5423,12902681,1.0,654.85,,,,,,,,,,,,,,,,,,
10,GODREJCP.NSE,2020-03-09,628.1,630.05,497.5,548.25,530.7808,11701507,,,,,,,,,,,,,-1.0,573.8,549.1,13.0,,,,
11,GODREJCP.NSE,2020-03-16,540.0,549.1,475.55,499.1,483.1969,13741665,,,,,,,,,,,,,,,,,,,,
12,GODREJCP.NSE,2020-03-23,475.85,517.3,425.1,499.45,483.5357,11573192,-1.0,425.1,,,,,,,,,,,,,,,,,,
13,GODREJCP.NSE,2020-03-30,489.95,565.3,479.2,531.45,514.5161,8733705,,,,,,,,,,,,,1.0,541.05,517.3,16.0,,,,
14,GODREJCP.NSE,2020-04-07,549.0,639.8,541.05,595.1,576.1379,6287663,1.0,639.8,1.0,,639.8,22.0,,,,,,,,,,,,,,
15,GODREJCP.NSE,2020-04-13,565.0,598.9,543.05,552.75,535.1374,10205867,,,,,,,,,,,,,,,,,,,,
16,GODREJCP.NSE,2020-04-20,559.0,559.45,515.35,534.4,517.3721,9307708,,,,,,,,,,,,,,,,,,,,
17,GODREJCP.NSE,2020-04-27,537.0,546.9,526.85,543.2,525.8917,6566341,,,,,,,,,,,,,,,,,,,,
18,GODREJCP.NSE,2020-05-04,530.0,537.45,484.05,499.55,483.6325,12445900,-1.0,484.05,,,,,1.0,537.45,484.05,27876772.0,0.0,41.928722,,,,,,,,
19,GODREJCP.NSE,2020-05-11,508.0,572.5,505.05,543.5,526.1821,15353443,,,,,,,,,,,,,,,,,,,,
20,GODREJCP.NSE,2020-05-18,547.85,585.0,535.1,569.2,551.0632,8235383,,,,,,,,,,,,,,,,,,,,
21,GODREJCP.NSE,2020-05-26,570.0,639.95,568.15,633.8,613.6048,10713143,,,,,,,,,,,,,1.0,627.15,585.0,23.0,,,,
22,GODREJCP.NSE,2020-06-01,635.2,673.95,627.15,649.9,629.1918,8928245,,,,,,,,,,,,,,,,,,,,
23,GODREJCP.NSE,2020-06-08,659.0,677.0,591.25,606.8,587.4651,8522374,,,,,,,,,,,,,,,,,,,,
24,GODREJCP.NSE,2020-06-15,611.1,655.0,596.35,650.5,629.7727,12216226,,,,,,,,,,,,,,,,,,,,
25,GODREJCP.NSE,2020-06-22,655.9,696.8,650.05,685.45,663.6091,10025689,,,,,,,,,,,,,1.0,683.3,655.0,29.0,,,,
26,GODREJCP.NSE,2020-06-29,687.0,718.9,683.3,717.3,694.4442,8670769,,,,,,,,,,,,,,,,,,,,
27,GODREJCP.NSE,2020-07-06,719.9,721.7,685.45,697.25,675.0331,7148326,1.0,721.7,,,,,,,,,,,,,,,1.0,719.2,32.0,39.0
28,GODREJCP.NSE,2020-07-13,704.95,707.65,685.35,700.55,678.2279,5119075,,,,,,,,,,,,,,,,,,,,
29,GODREJCP.NSE,2020-07-20,703.0,710.0,665.6,680.0,658.3327,6962939,,,,,,,,,,,,,,,,,,,,
30,GODREJCP.NSE,2020-07-27,680.15,695.0,663.5,691.85,669.8051,4638304,-1.0,663.5,-1.0,,663.5,35.0,,,,,,,,,,,,,,
