index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,GRASIM.NSE,2020-01-01,743.84,766.9,735.67,753.65,735.2816,4528435,1.0,766.9,,,,,,,,,,,,,,,,,,
1,GRASIM.NSE,2020-01-06,752.41,763.46,730.69,753.25,734.8913,6131712,,,,,,,,,,,,,,,,,,,,
2,GRASIM.NSE,2020-01-13,754.0,768.94,708.18,765.21,746.5598,9528986,,,,,,,,,,,,,,,,,,,,
3,GRASIM.NSE,2020-01-20,764.56,821.14,759.43,818.74,798.7852,10874395,,,,,,,,,,,,,1.0,772.48,768.94,5.0,,,,
4,GRASIM.NSE,2020-01-27,811.77,833.59,772.48,775.82,756.9113,9086099,,,,,,,,,,,,,,,,,,,,
5,GRASIM.NSE,2020-02-03,755.99,803.46,747.28,784.53,765.409,5988752,,,,,,,,,,,,,,,,,,,,
6,GRASIM.NSE,2020-02-10,783.88,786.57,734.18,740.11,722.0716,14805871,,,,,,,,,,,,,,,,,,,,
7,GRASIM.NSE,2020-02-17,740.06,764.76,712.72,748.32,730.0815,7493469,,,,,,,,,,,,,,,,,,,,
8,GRASIM.NSE,2020-02-24,745.04,745.04,681.29,684.48,667.7974,15272209,,,,,,,,,,,,,-1.0,712.72,705.99,34.0,,,,
9,GRASIM.NSE,2020-03-02,698.22,705.99,642.45,662.42,646.2751,12344264,,,,,,,,,,,,,-1.0,681.29,651.41,33.0,,,,
10,GRASIM.NSE,2020-03-09,645.43,651.41,503.0,602.55,587.8643,16777005,,,,,,,,,,,,,-1.0,642.45,597.13,21.0,,,,
11,GRASIM.NSE,2020-03-16,577.7,597.13,479.1,527.3,514.4483,19822488,,,,,,,,,,,,,-1.0,503.0,498.02,14.0,,,,
12,GRASIM.NSE,2020-03-23,479.39,498.02,383.53,459.07,447.8813,17707824,-1.0,383.53,,,,,,,,,,,,,,,,,,
13,GRASIM.NSE,2020-03-30,446.23,482.38,436.46,452.9,441.8617,7412767,,,,,,,,,,,,,,,,,,,,
14,GRASIM.NSE,2020-04-07,476.11,545.28,461.17,528.45,515.5703,7554782,,,,,,,,,,,,,1.0,507.98,482.38,16.0,,,,
15,GRASIM.NSE,2020-04-13,528.45,570.58,507.98,543.39,530.1462,11760839,1.0,570.58,1.0,,570.58,21.0,,,,,,,,,,,,,,
16,GRASIM.NSE,2020-04-20,546.08,550.71,482.83,497.07,484.9551,12660315,,,,,,,,,,,,,,,,,,,,
17,GRASIM.NSE,2020-04-27,502.9,512.96,490.35,502.9,490.643,11860236,,,,,,,,,,,,,,,,,,,,
18,GRASIM.NSE,2020-05-04,491.05,492.99,467.34,484.37,472.5646,10148396,-1.0,467.34,,,,,1.0,492.99,467.34,43740052.0,0.0,42.627125,,,,,,,,
19,GRASIM.NSE,2020-05-11,487.26,547.82,482.83,515.8,503.2286,13072637,,,,,,,,,,,,,,,,,,,,
20,GRASIM.NSE,2020-05-18,513.46,536.82,492.14,530.24,517.3167,12599140,,,,,,,,,,,,,,,,,,,,
21,GRASIM.NSE,2020-05-26,532.88,599.62,525.76,586.87,572.5665,18068275,,,,,,,,,,,,,1.0,573.27,536.82,23.0,,,,
22,GRASIM.NSE,2020-06-01,590.15,628.2,573.27,624.67,609.4452,12477376,,,,,,,,,,,,,,,,,,,,
23,GRASIM.NSE,2020-06-08,632.49,641.85,565.95,599.57,584.9569,11264899,,,,,,,,,,,,,,,,,,,,
24,GRASIM.NSE,2020-06-15,607.58,608.43,574.81,598.87,584.274,10343621,,,,,,,,,,,,,,,,,,,,
25,GRASIM.NSE,2020-06-22,601.51,631.84,584.68,613.71,598.7523,15413195,,,,,,,,,,,,,,,,,,,,
26,GRASIM.NSE,2020-06-29,611.32,629.05,596.13,625.66,610.411,9642651,,,,,,,,,,,,,,,,,,,,
27,GRASIM.NSE,2020-07-06,630.49,650.81,594.74,609.03,594.1864,12977747,1.0,650.81,1.0,,650.81,33.0,,,,,,,,,,,,,,
28,GRASIM.NSE,2020-07-13,611.97,615.5,577.7,589.76,575.386,9098243,,,,,,,,,,,,,,,,,,,,
29,GRASIM.NSE,2020-07-20,595.63,614.06,579.3,580.39,566.2444,8462965,,,,,,,,,,,,,,,,,,,,
30,GRASIM.NSE,2020-07-27,582.68,634.38,562.76,630.54,615.1721,21250135,-1.0,562.76,,,,,1.0,634.38,562.76,53882790.0,0.0,27.678225,1.0,619.19,614.06,32.0,,,,
31,GRASIM.NSE,2020-08-03,627.5,643.94,619.19,634.03,618.577,11680770,,,,,,,,,,,,,,,,,,,,
32,GRASIM.NSE,2020-08-10,637.47,640.8,612.66,626.46,611.1915,12054757,,,,,,,,,,,,,,,,,,,,
33,GRASIM.NSE,2020-08-17,627.65,680.29,608.28,674.67,658.2265,30147263,,,,,,,,,,,,,1.0,655.99,640.8,35.0,,,,
34,GRASIM.NSE,2020-08-24,677.71,714.66,655.99,698.37,685.4182,18815980,,,,,,,,,,,,,,,,,,,,
35,GRASIM.NSE,2020-08-31,700.22,726.46,648.47,703.7,690.6493,24315842,,,,,,,,,,,,,,,,,,,,
36,GRASIM.NSE,2020-09-07,717.15,724.12,661.42,718.09,704.7725,22182167,,,,,,,,,,,,,,,,,,,,
37,GRASIM.NSE,2020-09-14,718.14,745.68,700.22,742.05,728.2881,16217893,,,,,,,,,,,,,,,,,,,,
38,GRASIM.NSE,2020-09-21,746.68,746.68,672.82,705.35,692.2687,13453118,,,,,,,,,,,,,,,,,,,,
39,GRASIM.NSE,2020-09-28,712.17,753.01,712.17,751.56,737.6217,9185595,,,,,,,,,,,,,,,,,,,,
40,GRASIM.NSE,2020-10-05,749.22,771.63,737.57,742.15,728.3863,10548539,,,,,,,,,,,,,,,,,,,,
41,GRASIM.NSE,2020-10-12,743.19,773.57,730.55,769.64,755.3664,11270468,,,,,,,,,,,,,,,,,,,,
42,GRASIM.NSE,2020-10-19,768.94,800.82,758.53,782.09,767.5855,10378459,,,,,,,,,,,,,,,,,,,,
43,GRASIM.NSE,2020-10-26,781.89,790.61,762.22,775.27,760.892,7649200,,,,,,,,,,,,,,,,,,,,
44,GRASIM.NSE,2020-11-02,781.29,807.19,772.43,791.2,776.5266,9849225,,,,,,,,,,,,,,,,,,,,
45,GRASIM.NSE,2020-11-09,793.84,844.64,777.96,835.28,819.7891,17745778,,,,,,,,,,,,,1.0,828.7,807.19,0.0,,,,
46,GRASIM.NSE,2020-11-17,843.55,858.49,828.7,852.61,836.7977,7609830,,,,,,,,,,,,,,,,,,,,
47,GRASIM.NSE,2020-11-23,859.98,882.34,836.72,872.28,856.1029,14322475,,,,,,,,,,,,,1.0,858.74,858.49,0.0,,,,
48,GRASIM.NSE,2020-12-01,863.57,943.15,858.74,927.81,910.6031,12019754,,,,,,,,,,,,,1.0,897.43,882.34,51.0,,,,
49,GRASIM.NSE,2020-12-07,936.23,950.22,897.43,898.68,882.0133,10267756,1.0,950.22,1.0,,950.22,53.0,,,,,,,,,,,,,,
50,GRASIM.NSE,2020-12-14,903.06,922.73,898.43,906.05,889.2466,8623890,,,,,,,,,,,,,,,,,,,,
51,GRASIM.NSE,2020-12-21,906.0,908.24,859.93,893.6,877.0275,7440835,-1.0,859.93,,,,,1.0,908.24,859.93,26754382.0,0.0,38.526505,,,,,,,,
52,GRASIM.NSE,2020-12-28,897.63,937.12,893.55,929.7,912.458,8658774,,,,,,,,,,,,,1.0,933.44,908.24,0.0,,,,
53,GRASIM.NSE,2021-01-04,933.44,1019.8,933.44,1000.32,981.7683,10654773,,,,,,,,,,,,,1.0,990.51,937.12,55.0,,,,
54,GRASIM.NSE,2021-01-11,995.39,1036.88,990.51,1028.96,1009.8771,8588466,,,,,,,,,,,,,,,,,,,,
55,GRASIM.NSE,2021-01-18,1018.95,1048.33,986.93,1000.02,981.4739,9771901,,,,,,,,,,,,,,,,,,,,
56,GRASIM.NSE,2021-01-25,1020.94,1110.24,1012.97,1051.47,1031.9697,28735322,,,,,,,,,,,,,,,,,,,,
57,GRASIM.NSE,2021-02-01,1055.8,1212.63,1043.2,1181.4,1159.49,12996007,,,,,,,,,,,,,1.0,1180.31,1110.24,0.0,,,,
58,GRASIM.NSE,2021-02-08,1181.3,1249.83,1180.31,1237.18,1214.2355,11630843,,,,,,,,,,,,,,,,,,,,
59,GRASIM.NSE,2021-02-15,1252.07,1253.62,1205.21,1213.18,1190.6806,7404818,,,,,,,,,,,,,,,,,,,,
60,GRASIM.NSE,2021-02-22,1216.66,1283.9,1186.13,1196.04,1173.8585,7776575,,,,,,,,,,,,,,,,,,,,
61,GRASIM.NSE,2021-03-01,1202.17,1366.27,1197.44,1334.05,1309.309,10505899,,,,,,,,,,,,,1.0,1326.28,1283.9,67.0,,,,
62,GRASIM.NSE,2021-03-08,1334.64,1402.42,1326.28,1374.04,1348.5574,8806498,,,,,,,,,,,,,,,,,,,,
63,GRASIM.NSE,2021-03-15,1383.5,1409.4,1341.67,1405.66,1379.591,7404257,,,,,,,,,,,,,,,,,,,,
64,GRASIM.NSE,2021-03-22,1413.38,1422.34,1348.24,1400.03,1374.0654,8044664,,,,,,,,,,,,,,,,,,,,
65,GRASIM.NSE,2021-03-30,1410.99,1461.19,1390.22,1448.74,1421.872,5106846,,,,,,,,,,,,,,,,,,,,
66,GRASIM.NSE,2021-04-05,1449.24,1466.87,1419.46,1434.3,1407.6998,5454093,1.0,1466.87,1.0,,1466.87,74.0,,,,,,,,,,,,,,
67,GRASIM.NSE,2021-04-12,1412.33,1419.31,1319.75,1347.84,1322.8433,6218481,,,,,,,,,,,,,-1.0,1419.46,1367.91,69.0,,,,
68,GRASIM.NSE,2021-04-19,1325.03,1367.91,1257.0,1273.04,1249.4305,9672035,-1.0,1257.0,,,,,1.0,1367.91,1257.0,29845476.0,0.0,17.045958,,,,,-1.0,1264.27,128.0,0.0
69,GRASIM.NSE,2021-04-26,1279.91,1401.83,1279.91,1396.2,1370.3064,8843332,,,,,,,,,,,,,1.0,1368.81,1367.91,71.0,,,,
70,GRASIM.NSE,2021-05-03,1391.07,1456.11,1368.81,1443.86,1417.0825,8954934,,,,,,,,,,,,,,,,,,,,
71,GRASIM.NSE,2021-05-10,1454.22,1469.16,1349.48,1361.59,1336.3383,6207795,,,,,,,,,,,,,,,,,,,,
72,GRASIM.NSE,2021-05-17,1367.66,1422.2,1357.05,1366.42,1341.0787,4346538,,,,,,,,,,,,,,,,,,,,
73,GRASIM.NSE,2021-05-24,1367.21,1474.14,1345.25,1459.65,1432.5797,16043784,,,,,,,,,,,,,,,,,,,,
74,GRASIM.NSE,2021-05-31,1459.45,1501.03,1419.9,1497.3,1469.5314,9455154,,,,,,,,,,,,,,,,,,,,
75,GRASIM.NSE,2021-06-07,1512.59,1524.89,1469.66,1484.7,1457.1651,7045174,,,,,,,,,,,,,,,,,,,,
76,GRASIM.NSE,2021-06-14,1475.63,1509.0,1414.43,1474.89,1447.537,4714680,,,,,,,,,,,,,,,,,,,,
77,GRASIM.NSE,2021-06-21,1455.51,1514.78,1449.24,1500.88,1473.045,5887679,,,,,,,,,,,,,,,,,,,,
78,GRASIM.NSE,2021-06-28,1509.0,1540.87,1481.11,1483.85,1456.3309,5480127,,,,,,,,,,,,,,,,,,,,
79,GRASIM.NSE,2021-07-05,1491.57,1518.96,1455.21,1494.21,1466.4987,5620589,,,,,,,,,,,,,,,,,,,,
80,GRASIM.NSE,2021-07-12,1501.03,1575.88,1501.03,1566.07,1537.026,6521148,,,,,,,,,,,,,1.0,1532.81,1518.96,82.0,,,,
81,GRASIM.NSE,2021-07-19,1552.63,1593.17,1532.81,1543.36,1514.7372,4699490,,,,,,,,,,,,,,,,,,,,
82,GRASIM.NSE,2021-07-26,1543.36,1560.05,1480.11,1545.21,1516.5529,5440450,,,,,,,,,,,,,,,,,,,,
83,GRASIM.NSE,2021-08-02,1558.8,1607.81,1514.18,1524.94,1496.6588,6339581,1.0,1607.81,1.0,,1607.81,90.0,,,,,,,,,,,,,,
84,GRASIM.NSE,2021-08-09,1538.88,1540.87,1472.1,1490.97,1467.2252,5778761,,,,,,,,,,,,,,,,,,,,
85,GRASIM.NSE,2021-08-16,1492.96,1518.96,1454.32,1478.77,1455.2195,3697319,,,,,,,,,,,,,,,,,,,,
86,GRASIM.NSE,2021-08-23,1489.08,1493.31,1424.39,1452.52,1429.3875,4768474,-1.0,1424.39,,,,,,,,,,,,,,,-1.0,1413.01,114.0,125.0
87,GRASIM.NSE,2021-08-30,1459.2,1513.93,1456.21,1504.47,1480.5102,5259603,,,,,,,,,,,,,1.0,1506.01,1493.31,113.0,,,,
88,GRASIM.NSE,2021-09-06,1506.01,1602.28,1506.01,1591.57,1566.223,8623443,,,,,,,,,,,,,1.0,1556.16,1513.93,90.0,,,,
89,GRASIM.NSE,2021-09-13,1603.62,1616.22,1556.16,1562.59,1537.7046,5882278,,,,,,,,,,,,,,,,,,,,
90,GRASIM.NSE,2021-09-20,1558.8,1651.43,1520.65,1623.3,1597.4477,5697611,,,,,,,,,,,,,,,,,,,,
91,GRASIM.NSE,2021-09-27,1628.62,1687.59,1615.78,1670.51,1643.9059,5090576,,,,,,,,,,,,,,,,,,,,
92,GRASIM.NSE,2021-10-04,1645.46,1648.3,1583.7,1592.47,1567.1087,6651162,,,,,,,,,,,,,,,,,,,,
93,GRASIM.NSE,2021-10-11,1600.64,1767.97,1600.59,1745.56,1717.7606,6147049,,,,,,,,,,,,,1.0,1675.14,1648.3,95.0,,,,
94,GRASIM.NSE,2021-10-18,1755.02,1791.28,1675.14,1707.01,1679.8246,4822733,,,,,,,,,,,,,,,,,,,,
95,GRASIM.NSE,2021-10-25,1693.27,1760.0,1662.54,1714.28,1686.9788,4252955,,,,,,,,,,,,,,,,,,,,
96,GRASIM.NSE,2021-11-01,1715.18,1797.85,1712.39,1784.5,1756.0805,3641568,,,,,,,,,,,,,1.0,1772.45,1760.0,98.0,,,,
97,GRASIM.NSE,2021-11-08,1784.5,1885.5,1772.45,1851.09,1821.61,5162107,1.0,1885.5,,,,193.0,,,,,,,,,,,,,,
98,GRASIM.NSE,2021-11-15,1851.69,1882.46,1756.37,1767.47,1739.3217,2319232,,,,,,,,,,,,,,,,,,,,
99,GRASIM.NSE,2021-11-22,1762.44,1797.35,1672.35,1683.41,1656.6004,4377381,,,,,,,,,,,,,-1.0,1756.37,1743.12,101.0,,,,
100,GRASIM.NSE,2021-11-29,1673.35,1743.12,1636.19,1697.15,1670.1216,5877484,,,,,,,,,,,,,,,,,,,,
101,GRASIM.NSE,2021-12-06,1694.26,1750.24,1650.59,1742.27,1714.523,4310867,,,,,,,,,,,,,,,,,,,,
102,GRASIM.NSE,2021-12-13,1755.02,1762.69,1649.64,1659.2,1632.776,3410121,,,,,,,,,,,,,,,,,,,,
103,GRASIM.NSE,2021-12-20,1649.24,1663.29,1588.93,1604.52,1578.9668,5032260,,,,,,,,,,,,,-1.0,1649.64,1637.49,105.0,,,,
104,GRASIM.NSE,2021-12-27,1594.16,1637.49,1581.26,1615.83,1590.0967,6219143,-1.0,1581.26,,-1.0,1581.26,112.0,,,,,,,,,,,,,,
105,GRASIM.NSE,2022-01-03,1623.3,1799.84,1610.6,1790.53,1762.0145,7359905,,,,,,,,,,,,,1.0,1786.5,1637.49,107.0,,,,
106,GRASIM.NSE,2022-01-10,1802.83,1875.54,1786.5,1849.94,1820.4783,5670281,,,,,,,,,,,,,,,,,,,,
107,GRASIM.NSE,2022-01-17,1849.94,1922.16,1771.95,1785.0,1756.5725,4254255,1.0,1922.16,,,,,-1.0,1922.16,1771.95,13470416.0,193.0,28.34227,-1.0,1786.5,1784.7,119.0,,,,
108,GRASIM.NSE,2022-01-24,1784.7,1784.7,1651.48,1690.28,1663.361,3820305,,,,,,,,,,,,,,,,,,,,
109,GRASIM.NSE,2022-01-31,1699.14,1782.91,1695.26,1728.43,1700.9034,3404147,,,,,,,,,,,,,,,,,,,,
110,GRASIM.NSE,2022-02-07,1718.22,1764.28,1678.72,1703.38,1676.2524,2974719,,,,,,,,,,,,,,,,,,,,
111,GRASIM.NSE,2022-02-14,1689.88,1744.86,1611.64,1715.93,1688.6025,5513289,,,,,,,,,,,,,,,,,,,,
112,GRASIM.NSE,2022-02-21,1697.25,1729.87,1528.92,1561.64,1536.7697,4982408,,,,,,,,,,,,,-1.0,1611.64,1598.05,115.0,,,,
113,GRASIM.NSE,2022-02-28,1546.35,1598.05,1441.27,1471.75,1448.3113,5152276,,,,,,,,,,,,,,,,,,,,
114,GRASIM.NSE,2022-03-07,1439.28,1569.66,1401.63,1560.05,1535.205,6144278,-1.0,1401.63,-1.0,,1401.63,125.0,,,,,,,,,,,,,,
115,GRASIM.NSE,2022-03-14,1550.04,1650.19,1539.78,1613.43,1587.7349,5612790,,,,,,,,,,,,,,,,,,,,
116,GRASIM.NSE,2022-03-21,1600.64,1608.06,1519.06,1584.75,1559.5117,4897407,,,,,,,,,,,,,,,,,,,,
117,GRASIM.NSE,2022-03-28,1588.48,1674.19,1568.96,1663.34,1636.85,6163877,,,,,,,,,,,,,1.0,1652.43,1608.06,122.0,,,,
118,GRASIM.NSE,2022-04-04,1660.4,1778.73,1652.43,1764.23,1736.1333,5838518,,,,,,,,,,,,,1.0,1731.52,1674.19,120.0,,,,
119,GRASIM.NSE,2022-04-11,1777.63,1823.65,1731.52,1758.96,1730.9472,5636631,1.0,1823.65,,,,,,,,,,,,,,,1.0,1821.64,153.0,188.0
120,GRASIM.NSE,2022-04-18,1754.03,1769.96,1693.37,1710.05,1682.8162,3503658,,,,,,,,,,,,,,,,,,,,
121,GRASIM.NSE,2022-04-25,1681.31,1731.66,1670.36,1685.6,1658.7555,3562824,,,,,,,,,,,,,,,,,,,,
122,GRASIM.NSE,2022-05-02,1669.36,1696.75,1544.91,1559.4,1534.5654,2099063,,,,,,,,,,,,,-1.0,1670.36,1569.61,134.0,,,,
123,GRASIM.NSE,2022-05-09,1543.81,1569.61,1457.45,1469.26,1445.8609,3845126,,,,,,,,,,,,,-1.0,1544.91,1515.97,133.0,,,,
124,GRASIM.NSE,2022-05-16,1469.16,1515.97,1431.91,1482.46,1458.8507,3533555,,,,,,,,,,,,,,,,,,,,
