index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,HAL.NSE,2020-01-01,735.0,756.9,723.5,736.9,312.62,309922,1.0,756.9,,,,,,,,,,,,,,,,,,
1,HAL.NSE,2020-01-06,731.1,749.1,721.7,736.46,312.4333,93632,,,,,,,,,,,,,,,,,,,,
2,HAL.NSE,2020-01-13,759.5,867.26,751.26,824.0,349.571,1268762,,,,,,,,,,,,,1.0,800.96,749.1,4.0,,,,
3,HAL.NSE,2020-01-20,810.16,895.9,800.96,852.84,361.806,663630,,,,,,,,,,,,,,,,,,,,
4,HAL.NSE,2020-01-27,854.7,872.7,786.26,804.1,341.1287,188452,,,,,,,,,,,,,,,,,,,,
5,HAL.NSE,2020-02-03,760.0,825.0,755.3,777.04,329.6488,272576,,,,,,,,,,,,,,,,,,,,
6,HAL.NSE,2020-02-10,777.04,795.0,745.1,748.76,317.6514,356296,,,,,,,,,,,,,,,,,,,,
7,HAL.NSE,2020-02-17,783.0,784.96,698.76,736.3,312.3654,985452,,,,,,,,,,,,,-1.0,745.1,744.7,24.0,,,,
8,HAL.NSE,2020-02-24,737.9,744.7,683.04,686.04,291.0433,920328,,,,,,,,,,,,,,,,,,,,
9,HAL.NSE,2020-03-02,696.0,708.0,620.0,621.6,263.7055,309266,,,,,,,,,,,,,-1.0,683.04,623.76,22.0,,,,
10,HAL.NSE,2020-03-09,623.76,623.76,472.0,534.2,226.6272,258054,,,,,,,,,,,,,,,,,,,,
11,HAL.NSE,2020-03-16,530.0,620.0,514.26,565.16,239.7616,614444,,,,,,,,,,,,,,,,,,,,
12,HAL.NSE,2020-03-23,470.0,595.0,470.0,525.16,236.719,438434,-1.0,470.0,,,,,,,,,,,,,,,-1.0,479.52,19.0,0.0
13,HAL.NSE,2020-03-30,525.0,561.0,503.36,529.54,238.6933,174516,,,,,,,,,,,,,,,,,,,,
14,HAL.NSE,2020-04-07,549.54,622.0,525.0,548.26,247.1314,526402,1.0,622.0,1.0,,622.0,22.0,,,,,,,,,,,,,,
15,HAL.NSE,2020-04-13,585.26,595.0,547.0,559.8,252.3332,606680,,,,,,,,,,,,,,,,,,,,
16,HAL.NSE,2020-04-20,563.0,571.7,530.0,533.0,240.2529,206464,,,,,,,,,,,,,-1.0,547.0,539.7,20.0,,,,
17,HAL.NSE,2020-04-27,539.7,539.7,513.54,527.16,237.6205,221080,,,,,,,,,,,,,,,,,,,,
18,HAL.NSE,2020-05-04,520.0,530.8,500.0,501.86,226.2164,891990,,,,,,,,,,,,,,,,,,,,
19,HAL.NSE,2020-05-11,502.0,528.0,489.04,523.1,235.7904,946382,-1.0,489.04,,,,,1.0,528.0,489.04,4496156.0,0.0,84.6686,,,,,,,,
20,HAL.NSE,2020-05-18,551.0,569.0,510.14,534.76,241.0462,2061440,,,,,,,,,,,,,,,,,,,,
21,HAL.NSE,2020-05-26,540.0,580.26,522.66,556.16,250.6924,907698,,,,,,,,,,,,,,,,,,,,
22,HAL.NSE,2020-06-01,560.0,636.0,555.16,631.1,284.472,1527018,,,,,,,,,,,,,1.0,619.0,580.26,0.0,,,,
23,HAL.NSE,2020-06-08,635.7,678.0,619.0,655.5,295.4705,678140,,,,,,,,,,,,,1.0,651.04,636.0,0.0,,,,
24,HAL.NSE,2020-06-15,663.7,746.0,651.04,708.04,319.1532,1267648,,,,,,,,,,,,,1.0,691.0,678.0,43.0,,,,
25,HAL.NSE,2020-06-22,711.0,817.9,691.0,761.76,343.3678,3034052,,,,,,,,,,,,,,,,,,,,
26,HAL.NSE,2020-06-29,765.0,865.0,744.66,852.4,384.2243,5855404,,,,,,,,,,,,,1.0,825.0,817.9,28.0,,,,
27,HAL.NSE,2020-07-06,856.0,1028.0,825.0,942.4,424.7924,21752762,1.0,1028.0,1.0,,1028.0,32.0,,,,,,,,,,,,,,
28,HAL.NSE,2020-07-13,950.0,965.0,825.0,937.26,422.4755,5777798,,,,,,,,,,,,,,,,,,,,
29,HAL.NSE,2020-07-20,944.0,954.0,897.96,909.7,410.0526,5081518,,,,,,,,,,,,,,,,,,,,
30,HAL.NSE,2020-07-27,912.0,929.9,865.66,872.46,393.2665,2586654,,,,,,,,,,,,,,,,,,,,
31,HAL.NSE,2020-08-03,861.54,987.0,860.1,949.46,427.9747,5629392,-1.0,860.1,,-1.0,860.1,36.0,,,,,,,1.0,1001.0,929.9,34.0,,,,
