index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,HAVELLS.NSE,2020-01-01,649.75,665.65,645.65,660.5,636.4122,2244276,1.0,665.65,,,,,,,,,,,,,,,1.0,659.175,8.0,37.0
1,HAVELLS.NSE,2020-01-06,660.0,660.0,624.5,644.95,621.4293,6158191,,,,,,,,,,,,,,,,,,,,
2,HAVELLS.NSE,2020-01-13,646.05,654.8,637.1,638.7,615.4072,7056079,,,,,,,,,,,,,,,,,,,,
3,HAVELLS.NSE,2020-01-20,640.1,643.45,588.3,622.9,600.1835,27620039,,,,,,,,,,,,,-1.0,637.1,626.6,5.0,,,,
4,HAVELLS.NSE,2020-01-27,622.0,626.6,600.2,602.8,580.8165,6373849,,,,,,,,,,,,,,,,,,,,
5,HAVELLS.NSE,2020-02-03,594.85,634.4,586.05,630.0,607.0245,12922508,-1.0,586.05,-1.0,,586.05,11.0,,,,,,,,,,,,,,
6,HAVELLS.NSE,2020-02-10,627.9,635.0,608.85,611.65,589.3437,4971493,,,,,,,,,,,,,,,,,,,,
7,HAVELLS.NSE,2020-02-17,613.0,631.35,589.0,622.75,600.0389,6929441,,,,,,,,,,,,,,,,,,,,
8,HAVELLS.NSE,2020-02-24,619.95,652.7,610.0,613.05,590.6927,10051668,1.0,652.7,,,,,,,,,,,,,,,,,,
9,HAVELLS.NSE,2020-03-02,620.05,647.8,613.0,635.05,611.8904,7645954,,,,,,,,,,,,,,,,,,,,
10,HAVELLS.NSE,2020-03-09,620.0,626.85,514.65,600.5,578.6004,9454455,,,,,,,,,,,,,-1.0,613.0,607.5,29.0,,,,
11,HAVELLS.NSE,2020-03-16,584.9,607.5,516.25,537.8,521.6618,9924672,,,,,,,,,,,,,,,,,,,,
12,HAVELLS.NSE,2020-03-23,499.9,527.9,465.6,511.15,495.8115,10658414,,,,,,,,,,,,,,,,,,,,
13,HAVELLS.NSE,2020-03-30,503.95,505.6,458.05,471.5,457.3513,6943121,-1.0,458.05,,,,,,,,,,,,,,,-1.0,452.55,20.0,0.0
14,HAVELLS.NSE,2020-04-07,485.5,554.65,481.25,550.6,534.0777,4987532,,,,,,,,,,,,,1.0,523.5,505.6,16.0,,,,
15,HAVELLS.NSE,2020-04-13,552.0,579.85,523.5,528.6,512.7379,10713425,1.0,579.85,,1.0,579.85,25.0,,,,,,,,,,,,,,
16,HAVELLS.NSE,2020-04-20,532.0,537.0,487.0,525.6,509.8279,11895728,,,,,,,,,,,,,,,,,,,,
17,HAVELLS.NSE,2020-04-27,525.0,565.75,524.05,563.5,546.5906,6034977,,,,,,,,,,,,,,,,,,,,
18,HAVELLS.NSE,2020-05-04,547.0,552.75,485.0,487.45,472.8227,11232405,,,,,,,,,,,,,-1.0,524.05,515.0,22.0,,,,
19,HAVELLS.NSE,2020-05-11,492.0,515.0,471.2,486.85,472.2407,17466207,,,,,,,,,,,,,,,,,,,,
20,HAVELLS.NSE,2020-05-18,489.0,495.0,447.05,459.35,445.5659,17806799,-1.0,447.05,,,,,1.0,495.0,447.05,41983012.0,0.0,44.751595,,,,,,,,
21,HAVELLS.NSE,2020-05-26,461.7,504.5,454.15,496.25,481.3586,14171772,,,,,,,,,,,,,1.0,502.05,495.0,0.0,,,,
22,HAVELLS.NSE,2020-06-01,505.0,574.9,502.05,567.85,550.8101,17476153,,,,,,,,,,,,,1.0,525.0,504.5,0.0,,,,
23,HAVELLS.NSE,2020-06-08,569.5,572.9,525.0,551.65,535.0962,12979523,,,,,,,,,,,,,,,,,,,,
24,HAVELLS.NSE,2020-06-15,552.0,576.9,537.2,566.35,549.3551,14513287,,,,,,,,,,,,,,,,,,,,
25,HAVELLS.NSE,2020-06-22,570.0,593.4,562.2,585.45,567.882,14490201,,,,,,,,,,,,,,,,,,,,
26,HAVELLS.NSE,2020-06-29,580.1,588.95,570.55,580.05,562.644,7198385,,,,,,,,,,,,,,,,,,,,
27,HAVELLS.NSE,2020-07-06,580.2,605.65,575.1,580.25,562.838,9420217,,,,,,,,,,,,,,,,,,,,
28,HAVELLS.NSE,2020-07-13,587.9,592.5,562.2,590.05,572.3439,7768653,,,,,,,,,,,,,,,,,,,,
29,HAVELLS.NSE,2020-07-20,596.15,612.65,575.0,606.7,588.4943,14568301,,,,,,,,,,,,,,,,,,,,
30,HAVELLS.NSE,2020-07-27,606.7,609.8,568.4,583.15,565.651,15611640,,,,,,,,,,,,,,,,,,,,
31,HAVELLS.NSE,2020-08-03,584.0,612.0,576.7,609.55,591.2588,9287782,,,,,,,,,,,,,,,,,,,,
32,HAVELLS.NSE,2020-08-10,612.0,621.6,601.1,611.0,592.6653,8704671,,,,,,,,,,,,,,,,,,,,
33,HAVELLS.NSE,2020-08-17,614.15,643.85,606.0,632.65,613.6656,9354772,,,,,,,,,,,,,1.0,631.5,621.6,35.0,,,,
34,HAVELLS.NSE,2020-08-24,633.35,667.9,631.5,639.25,620.0675,8746777,,,,,,,,,,,,,,,,,,,,
35,HAVELLS.NSE,2020-08-31,646.0,648.4,608.45,633.9,614.8781,7370269,,,,,,,,,,,,,,,,,,,,
36,HAVELLS.NSE,2020-09-07,639.0,658.3,619.1,653.75,634.1324,7509238,,,,,,,,,,,,,1.0,652.0,648.4,38.0,,,,
37,HAVELLS.NSE,2020-09-14,658.0,688.7,652.0,675.25,654.9873,9510980,,,,,,,,,,,,,,,,,,,,
38,HAVELLS.NSE,2020-09-21,668.65,688.5,645.0,659.05,639.2734,8740309,,,,,,,,,,,,,,,,,,,,
39,HAVELLS.NSE,2020-09-28,661.0,693.0,659.5,666.05,646.0633,5421836,,,,,,,,,,,,,,,,,,,,
40,HAVELLS.NSE,2020-10-05,669.3,712.85,665.0,710.2,688.8885,10374693,,,,,,,,,,,,,,,,,,,,
41,HAVELLS.NSE,2020-10-12,712.95,712.95,681.15,697.5,676.5696,8081791,,,,,,,,,,,,,,,,,,,,
42,HAVELLS.NSE,2020-10-19,701.3,731.75,693.0,726.7,704.8934,6490924,,,,,,,,,,,,,,,,,,,,
43,HAVELLS.NSE,2020-10-26,730.0,741.0,711.8,727.9,706.0573,11288823,,,,,,,,,,,,,,,,,,,,
44,HAVELLS.NSE,2020-11-02,730.0,827.0,730.0,818.65,794.0841,31348377,,,,,,,,,,,,,1.0,806.0,741.0,47.0,,,,
45,HAVELLS.NSE,2020-11-09,828.0,844.3,806.0,827.0,802.1836,14537802,,,,,,,,,,,,,,,,,,,,
46,HAVELLS.NSE,2020-11-17,835.05,855.0,819.8,825.0,800.2436,7800471,1.0,855.0,1.0,,855.0,50.0,,,,,,,,,,,,,,
47,HAVELLS.NSE,2020-11-23,830.0,840.0,796.0,801.4,777.3518,10936801,-1.0,796.0,,,,,1.0,840.0,796.0,44494984.0,0.0,31.172281,,,,,,,,
48,HAVELLS.NSE,2020-12-01,798.1,844.6,798.1,829.5,804.6086,10573957,,,,,,,,,,,,,,,,,,,,
49,HAVELLS.NSE,2020-12-07,829.45,841.45,813.0,827.45,802.6201,7138221,,,,,,,,,,,,,,,,,,,,
50,HAVELLS.NSE,2020-12-14,829.5,928.5,822.1,919.35,891.7624,26782804,,,,,,,,,,,,,1.0,857.0,841.45,0.0,,,,
51,HAVELLS.NSE,2020-12-21,917.0,922.0,857.0,895.9,869.016,7623395,,,,,,,,,,,,,,,,,,,,
52,HAVELLS.NSE,2020-12-28,898.0,928.75,893.05,909.9,882.5959,6756474,,,,,,,,,,,,,,,,,,,,
53,HAVELLS.NSE,2021-01-04,910.55,1012.55,909.25,1007.5,977.2672,11207501,,,,,,,,,,,,,1.0,979.3,928.75,55.0,,,,
54,HAVELLS.NSE,2021-01-11,1015.5,1041.75,979.3,981.35,951.9019,10475318,,,,,,,,,,,,,,,,,,,,
55,HAVELLS.NSE,2021-01-18,975.3,1155.7,969.0,1122.65,1088.9618,35972719,,,,,,,,,,,,,,,,,,,,
56,HAVELLS.NSE,2021-01-25,1133.25,1194.85,1035.05,1044.75,1016.1308,33321553,,,,,,,,,,,,,,,,,,,,
57,HAVELLS.NSE,2021-02-01,1050.0,1158.0,1033.05,1110.05,1079.642,16527572,,,,,,,,,,,,,,,,,,,,
58,HAVELLS.NSE,2021-02-08,1115.2,1169.65,1110.55,1141.95,1110.6682,8866269,,,,,,,,,,,,,,,,,,,,
59,HAVELLS.NSE,2021-02-15,1154.9,1231.9,1129.15,1139.0,1107.799,11965902,1.0,1231.9,,,,,,,,,,,,,,,,,,
60,HAVELLS.NSE,2021-02-22,1141.0,1196.45,1096.0,1105.55,1075.2653,11733810,,,,,,,,,,,,,,,,,,,,
61,HAVELLS.NSE,2021-03-01,1124.0,1185.8,1096.05,1116.8,1086.2071,13772465,,,,,,,,,,,,,,,,,,,,
62,HAVELLS.NSE,2021-03-08,1129.0,1149.7,1089.0,1103.1,1072.8824,8820937,,,,,,,,,,,,,,,,,,,,
63,HAVELLS.NSE,2021-03-15,1112.05,1119.15,986.5,1043.95,1015.3527,10752059,-1.0,986.5,-1.0,,986.5,78.0,,,,,,,-1.0,1089.0,1062.45,65.0,-1.0,978.25,70.0,77.0
64,HAVELLS.NSE,2021-03-22,1046.0,1062.45,1015.0,1050.3,1021.5288,7411072,,,,,,,,,,,,,,,,,,,,
65,HAVELLS.NSE,2021-03-30,1066.0,1078.0,1046.15,1058.45,1029.4555,3280965,,,,,,,,,,,,,,,,,,,,
66,HAVELLS.NSE,2021-04-05,1060.0,1099.95,1015.45,1062.25,1033.1514,6872053,1.0,1099.95,,,,,,,,,,,,,,,1.0,1093.975,72.0,81.0
67,HAVELLS.NSE,2021-04-12,1048.0,1050.8,980.65,1010.45,982.7704,5756609,,,,,,,,,,,,,,,,,,,,
68,HAVELLS.NSE,2021-04-19,982.05,1024.0,971.1,1005.5,977.956,4449514,,,,,,,,,,,,,,,,,,,,
69,HAVELLS.NSE,2021-04-26,1013.8,1044.0,982.35,990.25,963.1237,5761975,,,,,,,,,,,,,,,,,,,,
70,HAVELLS.NSE,2021-05-03,984.9,1017.0,970.0,1002.0,974.5519,4606280,-1.0,970.0,,,,,,,,,,,,,,,,,,
71,HAVELLS.NSE,2021-05-10,1005.0,1035.05,983.5,997.55,970.2238,3425062,,,,,,,,,,,,,,,,,,,,
72,HAVELLS.NSE,2021-05-17,1003.0,1088.0,988.0,1028.3,1000.1314,15520035,1.0,1088.0,,1.0,1088.0,81.0,,,,,,,,,,,,,,
73,HAVELLS.NSE,2021-05-24,1035.0,1036.75,990.0,1018.1,990.2108,9060268,,,,,,,,,,,,,,,,,,,,
74,HAVELLS.NSE,2021-05-31,1013.0,1084.8,1011.0,1056.8,1027.8507,7494289,,,,,,,,,,,,,,,,,,,,
75,HAVELLS.NSE,2021-06-07,1060.0,1067.75,1011.5,1017.1,989.2382,6794869,,,,,,,,,,,,,,,,,,,,
76,HAVELLS.NSE,2021-06-14,1020.0,1030.9,977.1,996.5,972.5831,6529892,,,,,,,,,,,,,-1.0,1011.5,1009.8,78.0,,,,
77,HAVELLS.NSE,2021-06-21,980.0,1009.8,958.0,999.35,975.3647,6272377,-1.0,958.0,,,,,1.0,1009.8,958.0,36446440.0,0.0,26.64434,,,,,,,,
78,HAVELLS.NSE,2021-06-28,1001.0,1009.8,977.0,985.55,961.8959,4870002,,,,,,,,,,,,,,,,,,,,
79,HAVELLS.NSE,2021-07-05,991.45,1035.9,986.9,1023.35,998.7886,7667862,,,,,,,,,,,,,1.0,1020.1,1009.8,0.0,,,,
