index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,HCLTECH.NSE,2020-01-01,569.4,588.5,566.85,582.0,480.9365,5263461,-1.0,566.85,,,,,,,,,,,,,,,,,,
1,HCLTECH.NSE,2020-01-06,585.0,593.0,577.4,580.4,479.6143,14726093,,,,,,,,,,,,,,,,,,,,
2,HCLTECH.NSE,2020-01-13,583.95,602.0,581.0,600.5,496.224,16502670,,,,,,,,,,,,,,,,,,,,
3,HCLTECH.NSE,2020-01-20,618.0,618.0,581.5,607.4,503.6101,26956093,,,,,,,,,,,,,,,,,,,,
4,HCLTECH.NSE,2020-01-27,607.7,613.85,580.75,590.8,489.8466,19929553,,,,,,,,,,,,,,,,,,,,
5,HCLTECH.NSE,2020-02-03,591.4,613.0,577.5,605.0,501.6202,17846958,,,,,,,,,,,,,,,,,,,,
6,HCLTECH.NSE,2020-02-10,608.9,623.25,601.65,622.15,515.8397,15358981,,,,,,,,,,,,,,,,,,,,
7,HCLTECH.NSE,2020-02-17,623.0,623.5,604.0,610.0,505.7658,16048218,1.0,623.5,,,,,-1.0,623.5,604.0,58435970.0,28.0,35.654728,,,,,,,,
8,HCLTECH.NSE,2020-02-24,608.0,609.0,531.2,539.0,446.898,27028768,,,,,,,,,,,,,-1.0,604.0,581.9,22.0,,,,
9,HCLTECH.NSE,2020-03-02,541.05,581.9,537.85,568.0,470.9426,27383341,,,,,,,,,,,,,,,,,,,,
10,HCLTECH.NSE,2020-03-09,555.0,558.0,395.95,497.0,412.0748,20731285,,,,,,,,,,,,,-1.0,537.85,479.8,14.0,,,,
11,HCLTECH.NSE,2020-03-16,469.0,479.8,375.25,444.7,368.7116,36553016,-1.0,375.25,,,,,,,,,,,,,,,,,,
12,HCLTECH.NSE,2020-03-23,415.0,468.0,400.45,434.0,359.84,50073745,,,,,,,,,,,,,,,,,,,,
13,HCLTECH.NSE,2020-03-30,410.0,449.4,399.3,409.85,339.8166,29010727,,,,,,,,,,,,,,,,,,,,
14,HCLTECH.NSE,2020-04-07,425.0,481.0,425.0,470.0,389.6884,19033256,,,,,,,,,,,,,1.0,453.65,449.4,16.0,,,,
15,HCLTECH.NSE,2020-04-13,470.0,482.0,453.65,457.0,378.9098,23761230,,,,,,,,,,,,,,,,,,,,
16,HCLTECH.NSE,2020-04-20,458.0,496.9,447.85,468.1,388.1131,21767804,,,,,,,,,,,,,,,,,,,,
17,HCLTECH.NSE,2020-04-27,473.1,565.5,467.25,545.0,451.8728,19061693,1.0,565.5,1.0,,565.5,22.0,,,,,,,1.0,502.4,496.9,0.0,,,,
18,HCLTECH.NSE,2020-05-04,527.5,541.8,502.4,519.0,430.3155,48666832,,,,,,,1.0,541.8,502.4,65377936.0,0.0,55.003696,,,,,,,,
19,HCLTECH.NSE,2020-05-11,526.0,540.0,505.25,512.2,424.6775,23006056,,,,,,,,,,,,,,,,,,,,
20,HCLTECH.NSE,2020-05-18,514.7,537.5,506.2,531.45,440.6381,23199628,,,,,,,,,,,,,,,,,,,,
21,HCLTECH.NSE,2020-05-26,530.0,555.0,516.0,552.0,457.6766,21231176,,,,,,,,,,,,,1.0,550.0,537.5,25.0,,,,
