index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,HDFCBANK.NSE,2020-01-01,1276.1,1288.0,1263.6,1268.5,595.3604,20666414,-1.0,1263.6,,,,,,,,,,,,,,,,,,
1,HDFCBANK.NSE,2020-01-06,1260.0,1286.9,1236.0,1281.0,601.2271,55707686,,,,,,,,,,,,,,,,,,,,
2,HDFCBANK.NSE,2020-01-13,1282.7,1296.5,1271.9,1277.4,599.5375,51194520,,,,,,,,,,,,,,,,,,,,
3,HDFCBANK.NSE,2020-01-20,1304.86,1304.86,1231.0,1245.8,584.7063,78872240,,,,,,,,,,,,,-1.0,1271.9,1242.0,5.0,,,,
4,HDFCBANK.NSE,2020-01-27,1235.0,1242.0,1191.36,1192.5,559.6904,79206598,,,,,,,,,,,,,,,,,,,,
5,HDFCBANK.NSE,2020-02-03,1197.0,1248.7,1177.7,1240.0,581.9841,70638394,,,,,,,,,,,,,,,,,,,,
6,HDFCBANK.NSE,2020-02-10,1242.96,1259.9,1215.0,1219.46,572.3438,50932282,1.0,1259.9,,,,,,,,,,,,,,,,,,
7,HDFCBANK.NSE,2020-02-17,1225.0,1233.0,1203.5,1217.0,571.1892,41817488,,,,,,,,,,,,,-1.0,1215.0,1214.76,40.0,,,,
8,HDFCBANK.NSE,2020-02-24,1208.96,1214.76,1170.1,1178.8,553.2604,89237704,,,,,,,,,,,,,-1.0,1203.5,1201.16,40.0,,,,
9,HDFCBANK.NSE,2020-03-02,1200.2,1201.16,1101.0,1134.0,532.2339,113926592,,,,,,,,,,,,,-1.0,1170.1,1120.0,27.0,,,,
10,HDFCBANK.NSE,2020-03-09,1110.0,1120.0,919.2,1074.0,504.0733,195303008,,,,,,,,,,,,,-1.0,1101.0,1037.0,22.0,,,,
11,HDFCBANK.NSE,2020-03-16,1035.0,1037.0,795.0,881.26,413.6124,291709756,,,,,,,,,,,,,,,,,,,,
12,HDFCBANK.NSE,2020-03-23,794.6,988.66,738.76,900.0,422.4078,270853030,-1.0,738.76,,,,,,,,,,,,,,,,,,
