index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,HDFCLIFE.NSE,2020-01-01,623.0,638.8,616.35,630.7,621.274,6125186,1.0,638.8,,,,,,,,,,,,,,,,,,
1,HDFCLIFE.NSE,2020-01-06,627.4,643.7,611.5,623.1,613.7876,12772063,,,,,,,,,,,,,,,,,,,,
2,HDFCLIFE.NSE,2020-01-13,627.9,633.05,601.7,607.65,598.5685,10401514,,,,,,,,,,,,,,,,,,,,
3,HDFCLIFE.NSE,2020-01-20,611.0,621.9,594.15,607.25,598.1745,9408274,,,,,,,,,,,,,,,,,,,,
4,HDFCLIFE.NSE,2020-01-27,604.8,611.9,597.15,599.2,590.2448,6828605,,,,,,,,,,,,,,,,,,,,
5,HDFCLIFE.NSE,2020-02-03,553.0,600.0,527.5,595.7,586.7971,19030366,,,,,,,,,,,,,,,,,,,,
6,HDFCLIFE.NSE,2020-02-10,596.0,598.9,563.6,573.95,565.3722,10654328,,,,,,,,,,,,,,,,,,,,
7,HDFCLIFE.NSE,2020-02-17,574.9,583.7,556.0,573.5,564.9289,7610015,,,,,,,,,,,,,,,,,,,,
8,HDFCLIFE.NSE,2020-02-24,572.25,582.5,541.25,544.1,535.9683,14838545,,,,,,,,,,,,,,,,,,,,
9,HDFCLIFE.NSE,2020-03-02,555.0,573.0,535.0,548.15,539.9578,14196085,,,,,,,,,,,,,-1.0,541.25,540.3,21.0,,,,
10,HDFCLIFE.NSE,2020-03-09,538.0,540.3,429.1,507.15,499.5705,20319874,,,,,,,,,,,,,-1.0,535.0,500.4,14.0,,,,
11,HDFCLIFE.NSE,2020-03-16,494.0,500.4,385.35,418.1,411.8514,25309784,,,,,,,,,,,,,,,,,,,,
12,HDFCLIFE.NSE,2020-03-23,377.5,487.0,340.0,441.0,434.4092,36772976,-1.0,340.0,,,,,,,,,,,,,,,,,,
13,HDFCLIFE.NSE,2020-03-30,432.0,448.2,407.0,422.3,415.9886,26933364,,,,,,,,,,,,,,,,,,,,
14,HDFCLIFE.NSE,2020-04-07,436.9,500.55,433.25,472.25,465.1921,17196105,,,,,,,,,,,,,1.0,453.3,448.2,16.0,,,,
15,HDFCLIFE.NSE,2020-04-13,473.0,518.95,453.3,495.5,488.0946,19684066,,,,,,,,,,,,,,,,,,,,
16,HDFCLIFE.NSE,2020-04-20,503.7,515.3,451.15,453.35,446.5746,16568800,,,,,,,,,,,,,,,,,,,,
17,HDFCLIFE.NSE,2020-04-27,459.0,510.7,459.0,501.05,493.5617,19384446,,,,,,,,,,,,,,,,,,,,
18,HDFCLIFE.NSE,2020-05-04,489.0,527.35,469.45,520.05,512.2777,22049052,,,,,,,,,,,,,,,,,,,,
19,HDFCLIFE.NSE,2020-05-11,529.75,539.0,485.0,487.3,480.0172,20456069,,,,,,,,,,,,,,,,,,,,
20,HDFCLIFE.NSE,2020-05-18,487.3,504.7,464.0,494.75,487.3558,21169325,,,,,,,,,,,,,,,,,,,,
21,HDFCLIFE.NSE,2020-05-26,502.0,540.8,495.25,523.2,515.3807,36668198,1.0,540.8,1.0,,540.8,25.0,,,,,,,,,,,,,,
22,HDFCLIFE.NSE,2020-06-01,521.0,528.65,494.45,516.25,508.5345,38091419,,,,,,,,,,,,,,,,,,,,
23,HDFCLIFE.NSE,2020-06-08,520.0,531.0,486.25,502.3,494.793,31560109,-1.0,486.25,,,,,,,,,,,,,,,,,,
24,HDFCLIFE.NSE,2020-06-15,507.9,524.0,495.3,521.1,513.312,17710144,,,,,,,,,,,,,,,,,,,,
25,HDFCLIFE.NSE,2020-06-22,524.95,547.45,514.55,541.9,533.8012,17585043,,,,,,,,,,,,,1.0,532.65,524.0,112.0,,,,
26,HDFCLIFE.NSE,2020-06-29,543.5,589.6,532.65,572.15,563.5991,25768035,,,,,,,,,,,,,1.0,572.1,547.45,35.0,,,,
27,HDFCLIFE.NSE,2020-07-06,581.0,600.0,572.1,592.5,583.645,18640537,,,,,,,,,,,,,,,,,,,,
28,HDFCLIFE.NSE,2020-07-13,593.95,616.0,584.0,614.5,605.3162,13368914,,,,,,,,,,,,,1.0,601.35,600.0,31.0,,,,
29,HDFCLIFE.NSE,2020-07-20,619.7,632.5,601.35,622.4,613.0981,22239237,,,,,,,,,,,,,,,,,,,,
30,HDFCLIFE.NSE,2020-07-27,624.6,647.6,613.5,627.1,617.7278,41731121,1.0,647.6,1.0,,647.6,46.0,,,,,,,,,,,,,,
31,HDFCLIFE.NSE,2020-08-03,624.0,624.0,600.5,606.95,597.879,12255278,,,,,,,,,,,,,,,,,,,,
32,HDFCLIFE.NSE,2020-08-10,616.0,617.95,585.65,587.75,578.9659,12302468,,,,,,,,,,,,,,,,,,,,
33,HDFCLIFE.NSE,2020-08-17,591.4,608.9,585.95,598.1,589.1613,9404498,,,,,,,,,,,,,,,,,,,,
34,HDFCLIFE.NSE,2020-08-24,599.8,605.45,588.15,589.35,580.542,13232583,,,,,,,,,,,,,,,,,,,,
35,HDFCLIFE.NSE,2020-08-31,594.75,594.75,567.05,574.65,566.0617,14177422,,,,,,,,,,,,,,,,,,,,
36,HDFCLIFE.NSE,2020-09-07,576.6,612.7,571.15,604.8,595.7611,17019283,,,,,,,,,,,,,,,,,,,,
37,HDFCLIFE.NSE,2020-09-14,610.0,610.0,583.5,585.1,576.3555,10926138,,,,,,,,,,,,,,,,,,,,
38,HDFCLIFE.NSE,2020-09-21,587.0,589.8,566.3,577.5,568.8691,11238670,,,,,,,,,,,,,,,,,,,,
39,HDFCLIFE.NSE,2020-09-28,579.2,586.8,555.95,569.2,560.6932,12132664,-1.0,555.95,,,,,,,,,,,,,,,,,,
40,HDFCLIFE.NSE,2020-10-05,572.0,589.0,565.35,573.8,565.2244,24588490,,,,,,,,,,,,,,,,,,,,
41,HDFCLIFE.NSE,2020-10-12,576.45,577.0,558.0,561.15,552.7635,12320538,,,,,,,,,,,,,,,,,,,,
42,HDFCLIFE.NSE,2020-10-19,565.9,581.0,556.0,564.5,556.0634,37702436,,,,,,,,,,,,,,,,,,,,
43,HDFCLIFE.NSE,2020-10-26,566.75,598.2,563.5,589.75,580.9361,23969521,,,,,,,,,,,,,1.0,585.6,581.0,111.0,,,,
44,HDFCLIFE.NSE,2020-11-02,590.8,603.9,585.6,590.6,581.7733,12113199,,,,,,,,,,,,,,,,,,,,
