index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,HEROMOTOCO.NSE,2020-01-01,2454.9,2462.55,2415.0,2432.35,1993.0087,1406184,1.0,2462.55,,,,,,,,,,,,,,,,,,
1,HEROMOTOCO.NSE,2020-01-06,2428.95,2428.95,2310.55,2363.45,1936.5537,3151637,,,,,,,,,,,,,,,,,,,,
2,HEROMOTOCO.NSE,2020-01-13,2382.9,2480.55,2352.35,2454.0,2010.7482,3320688,,,,,,,,,,,,,,,,,,,,
3,HEROMOTOCO.NSE,2020-01-20,2454.0,2474.8,2375.0,2468.65,2022.752,2070800,,,,,,,,,,,,,,,,,,,,
4,HEROMOTOCO.NSE,2020-01-27,2456.0,2522.0,2425.05,2501.85,2049.9553,3962250,,,,,,,,,,,,,,,,,,,,
5,HEROMOTOCO.NSE,2020-02-03,2391.0,2496.0,2345.55,2443.45,2002.1038,9214358,,,,,,,,,,,,,,,,,,,,
6,HEROMOTOCO.NSE,2020-02-10,2449.5,2457.45,2351.1,2356.5,1930.8591,3410129,,,,,,,,,,,,,-1.0,2345.55,2335.0,21.0,,,,
7,HEROMOTOCO.NSE,2020-02-17,2335.0,2335.0,2225.0,2240.25,1887.6749,3273391,,,,,,,,,,,,,-1.0,2351.1,2220.0,19.0,,,,
8,HEROMOTOCO.NSE,2020-02-24,2220.0,2220.0,2033.95,2051.75,1728.8414,5614628,,,,,,,,,,,,,-1.0,2225.0,2110.0,17.0,,,,
9,HEROMOTOCO.NSE,2020-03-02,2100.0,2110.0,1961.0,2038.3,1717.5082,5380785,,,,,,,,,,,,,,,,,,,,
10,HEROMOTOCO.NSE,2020-03-09,1995.0,2049.8,1535.0,1883.95,1587.4501,6125678,,,,,,,,,,,,,-1.0,1961.0,1903.6,14.0,,,,
11,HEROMOTOCO.NSE,2020-03-16,1818.0,1903.6,1561.95,1815.7,1529.9414,5760265,,,,,,,,,,,,,,,,,,,,
12,HEROMOTOCO.NSE,2020-03-23,1634.15,1830.35,1475.0,1661.2,1399.757,6230428,-1.0,1475.0,,,,,,,,,,,,,,,,,,
13,HEROMOTOCO.NSE,2020-03-30,1635.0,1647.35,1542.3,1582.05,1333.0637,5941751,,,,,,,,,,,,,,,,,,,,
14,HEROMOTOCO.NSE,2020-04-07,1630.0,2013.4,1623.65,1990.9,1677.5681,5168008,,,,,,,,,,,,,1.0,1752.55,1647.35,0.0,,,,
15,HEROMOTOCO.NSE,2020-04-13,1952.0,2023.5,1752.55,1835.9,1546.9623,5879830,,,,,,,,,,,,,,,,,,,,
16,HEROMOTOCO.NSE,2020-04-20,1874.95,1939.4,1758.0,1894.8,1596.5925,10273753,,,,,,,,,,,,,,,,,,,,
17,HEROMOTOCO.NSE,2020-04-27,1909.0,2198.1,1897.45,2166.7,1825.7003,7000424,,,,,,,,,,,,,,,,,,,,
18,HEROMOTOCO.NSE,2020-05-04,2051.0,2074.95,1933.25,1962.6,1653.722,6781158,,,,,,,,,,,,,,,,,,,,
19,HEROMOTOCO.NSE,2020-05-11,2015.0,2265.0,1990.0,2193.55,1848.3246,15270320,,,,,,,,,,,,,,,,,,,,
20,HEROMOTOCO.NSE,2020-05-18,2197.0,2218.5,1991.35,2150.6,1812.1342,10853939,,,,,,,,,,,,,,,,,,,,
21,HEROMOTOCO.NSE,2020-05-26,2158.0,2391.9,2101.0,2360.85,1989.2946,10013473,,,,,,,,,,,,,1.0,2263.05,2218.5,23.0,,,,
22,HEROMOTOCO.NSE,2020-06-01,2360.75,2399.0,2263.05,2340.65,1972.2737,8670217,,,,,,,,,,,,,,,,,,,,
23,HEROMOTOCO.NSE,2020-06-08,2359.0,2439.8,2230.7,2401.85,2023.8419,12794948,,,,,,,,,,,,,,,,,,,,
24,HEROMOTOCO.NSE,2020-06-15,2394.95,2435.7,2316.0,2355.85,1985.0815,9983502,,,,,,,,,,,,,,,,,,,,
25,HEROMOTOCO.NSE,2020-06-22,2371.15,2590.65,2361.0,2540.45,2140.6288,12026991,,,,,,,,,,,,,1.0,2468.0,2435.7,100.0,,,,
26,HEROMOTOCO.NSE,2020-06-29,2530.0,2750.0,2468.0,2738.25,2307.2986,9901190,,,,,,,,,,,,,1.0,2666.55,2590.65,28.0,,,,
27,HEROMOTOCO.NSE,2020-07-06,2750.3,2788.5,2666.55,2681.25,2259.2694,6503534,,,,,,,,,,,,,,,,,,,,
28,HEROMOTOCO.NSE,2020-07-13,2701.95,2775.0,2604.0,2764.05,2329.0382,5400157,,,,,,,,,,,,,,,,,,,,
29,HEROMOTOCO.NSE,2020-07-20,2764.05,2885.7,2728.1,2740.7,2309.363,6132724,1.0,2885.7,1.0,,2885.7,33.0,,,,,,,,,,,,,,
30,HEROMOTOCO.NSE,2020-07-27,2759.0,2880.45,2646.45,2676.5,2275.7322,6350012,,,,,,,,,,,,,,,,,,,,
31,HEROMOTOCO.NSE,2020-08-03,2700.0,2769.8,2620.75,2706.2,2300.985,7026495,-1.0,2620.75,,,,,,,,,,,,,,,-1.0,2631.9167,95.0,99.0
32,HEROMOTOCO.NSE,2020-08-10,2718.0,2843.5,2674.15,2803.8,2383.9708,7558430,,,,,,,,,,,,,1.0,2810.0,2769.8,43.0,,,,
33,HEROMOTOCO.NSE,2020-08-17,2812.8,3049.75,2810.0,3033.45,2579.234,9469542,,,,,,,,,,,,,1.0,2957.85,2843.5,35.0,,,,
34,HEROMOTOCO.NSE,2020-08-24,3037.0,3181.35,2957.85,3059.3,2601.2133,10950244,1.0,3181.35,1.0,,3181.35,40.0,,,,,,,,,,,,,,
35,HEROMOTOCO.NSE,2020-08-31,3070.0,3088.9,2867.6,2915.2,2478.6903,8996877,,,,,,,,,,,,,,,,,,,,
36,HEROMOTOCO.NSE,2020-09-07,2930.0,3007.7,2830.2,2992.25,2544.2031,7889935,-1.0,2830.2,,-1.0,2830.2,43.0,,,,,,,,,,,-1.0,2808.6,43.0,67.0
37,HEROMOTOCO.NSE,2020-09-14,3014.95,3121.85,2956.0,3112.65,2646.5749,6333026,,,,,,,,,,,,,,,,,,,,
38,HEROMOTOCO.NSE,2020-09-21,3122.0,3124.45,2900.0,3002.0,2552.4932,5466290,,,,,,,,,,,,,,,,,,,,
39,HEROMOTOCO.NSE,2020-09-28,3047.0,3222.05,2992.5,3151.45,2679.5652,7450687,,,,,,,,,,,,,,,,,,,,
40,HEROMOTOCO.NSE,2020-10-05,3225.0,3340.0,3094.2,3327.4,2829.1692,7067415,,,,,,,,,,,,,1.0,3256.2,3222.05,42.0,,,,
41,HEROMOTOCO.NSE,2020-10-12,3350.8,3394.9,3256.2,3346.45,2845.3667,6753945,1.0,3394.9,,,,,,,,,,,,,,,,,,
42,HEROMOTOCO.NSE,2020-10-19,3352.05,3358.5,3062.4,3111.05,2645.2145,7648800,,,,,,,,,,,,,-1.0,3256.2,3120.0,45.0,,,,
43,HEROMOTOCO.NSE,2020-10-26,3120.0,3120.0,2787.0,2799.8,2380.5698,18049766,-1.0,2787.0,,,,,,,,,,,-1.0,3062.4,2995.9,45.0,,,,
44,HEROMOTOCO.NSE,2020-11-02,2888.0,2995.9,2812.0,2945.45,2504.4107,9269245,,,,,,,,,,,,,,,,,,,,
45,HEROMOTOCO.NSE,2020-11-09,2970.0,3156.95,2922.95,3115.7,2649.1682,8925837,,,,,,,,,,,,,,,,,,,,
46,HEROMOTOCO.NSE,2020-11-17,3146.4,3148.0,2943.7,2998.65,2549.6448,9704364,,,,,,,,,,,,,,,,,,,,
47,HEROMOTOCO.NSE,2020-11-23,3024.6,3118.55,2976.1,3108.85,2643.3439,8407830,,,,,,,,,,,,,,,,,,,,
