index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,HINDALCO.NSE,2020-01-01,216.15,221.2,213.2,216.45,207.8245,28982292,1.0,221.2,,,,,,,,,,,,,,,,,,
1,HINDALCO.NSE,2020-01-06,215.0,215.65,204.5,211.5,203.0717,49512759,,,,,,,,,,,,,,,,,,,,
2,HINDALCO.NSE,2020-01-13,212.8,215.0,208.15,210.05,201.6795,39824780,,,,,,,,,,,,,,,,,,,,
3,HINDALCO.NSE,2020-01-20,210.1,210.8,202.25,205.4,197.2148,26036779,,,,,,,,,,,,,-1.0,208.15,203.55,45.0,,,,
4,HINDALCO.NSE,2020-01-27,203.55,203.55,188.25,189.35,181.8044,37826853,,,,,,,,,,,,,-1.0,202.25,198.4,33.0,,,,
5,HINDALCO.NSE,2020-02-03,183.9,198.4,180.3,197.4,189.5336,38652010,,,,,,,,,,,,,,,,,,,,
6,HINDALCO.NSE,2020-02-10,195.9,197.0,189.6,194.0,186.2691,34006993,,,,,,,,,,,,,,,,,,,,
7,HINDALCO.NSE,2020-02-17,194.0,194.7,181.75,189.95,182.3805,22161976,,,,,,,,,,,,,-1.0,189.6,186.9,32.0,,,,
8,HINDALCO.NSE,2020-02-24,186.9,186.9,154.1,155.9,149.6874,63931139,,,,,,,,,,,,,-1.0,181.75,167.9,28.0,,,,
9,HINDALCO.NSE,2020-03-02,160.55,167.9,140.0,150.1,144.1185,68864477,,,,,,,,,,,,,-1.0,154.1,145.8,22.0,,,,
10,HINDALCO.NSE,2020-03-09,143.9,145.8,103.1,127.45,122.3711,51525480,,,,,,,,,,,,,-1.0,140.0,129.05,17.0,,,,
11,HINDALCO.NSE,2020-03-16,120.8,129.05,97.55,105.5,101.2958,69797268,,,,,,,,,,,,,-1.0,103.1,99.95,14.0,,,,
