index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,HINDUNILVR.NSE,2020-01-01,1930.0,1952.6,1918.0,1927.45,1755.6793,2805135,-1.0,1918.0,,,,,,,,,,,,,,,,,,
1,HINDUNILVR.NSE,2020-01-06,1927.35,1957.5,1906.45,1954.0,1779.8632,5929419,,,,,,,,,,,,,1.0,1957.0,1952.6,10.0,,,,
2,HINDUNILVR.NSE,2020-01-13,1961.0,2063.9,1957.0,2060.3,1876.69,8673994,,,,,,,,,,,,,1.0,2027.2,1957.5,4.0,,,,
3,HINDUNILVR.NSE,2020-01-20,2060.5,2079.0,2027.2,2073.7,1888.8958,4185578,,,,,,,,,,,,,,,,,,,,
4,HINDUNILVR.NSE,2020-01-27,2066.0,2085.8,2020.05,2034.25,1852.9615,4963399,,,,,,,,,,,,,,,,,,,,
5,HINDUNILVR.NSE,2020-02-03,2074.9,2204.2,2074.9,2159.95,1967.4594,9669299,,,,,,,,,,,,,1.0,2147.7,2085.8,9.0,,,,
6,HINDUNILVR.NSE,2020-02-10,2160.1,2297.6,2147.7,2255.05,2054.0842,11599736,,,,,,,,,,,,,1.0,2222.1,2204.2,8.0,,,,
7,HINDUNILVR.NSE,2020-02-17,2248.0,2308.2,2222.1,2248.25,2047.8902,5470480,1.0,2308.2,,1.0,2308.2,14.0,,,,,,,,,,,,,,
8,HINDUNILVR.NSE,2020-02-24,2236.8,2279.7,2155.0,2174.75,1980.9404,12827024,,,,,,,,,,,,,,,,,,,,
9,HINDUNILVR.NSE,2020-03-02,2190.0,2258.65,2141.7,2188.9,1993.8294,9728422,,,,,,,,,,,,,,,,,,,,
10,HINDUNILVR.NSE,2020-03-09,2140.0,2169.6,1888.1,2033.2,1852.0051,12669562,,,,,,,,,,,,,-1.0,2141.7,2088.0,12.0,,,,
11,HINDUNILVR.NSE,2020-03-16,2000.0,2088.0,1757.3,2051.7,1868.8564,19939306,-1.0,1757.3,,,,,1.0,2088.0,1757.3,55029000.0,0.0,54.632397,,,,,,,,
12,HINDUNILVR.NSE,2020-03-23,1950.0,2267.65,1850.0,2140.55,1949.7882,19442021,,,,,,,,,,,,,1.0,2102.85,2088.0,18.0,,,,
13,HINDUNILVR.NSE,2020-03-30,2123.0,2324.9,2102.85,2154.1,1962.1307,12514937,,,,,,,,,,,,,,,,,,,,
14,HINDUNILVR.NSE,2020-04-07,2220.0,2614.3,2220.0,2372.25,2160.8396,23072044,1.0,2614.3,,,,,,,,,,,,,,,,,,
15,HINDUNILVR.NSE,2020-04-13,2381.0,2526.15,2315.0,2385.0,2172.4533,42664261,,,,,,,,,,,,,,,,,,,,
16,HINDUNILVR.NSE,2020-04-20,2420.0,2420.0,2275.65,2283.1,2079.6345,15315001,,,,,,,,,,,,,,,,,,,,
17,HINDUNILVR.NSE,2020-04-27,2305.0,2338.65,2160.0,2195.0,1999.3858,16267936,,,,,,,,,,,,,-1.0,2275.65,2160.0,25.0,,,,
18,HINDUNILVR.NSE,2020-05-04,2130.0,2160.0,1902.0,2089.45,1903.2422,219676513,-1.0,1902.0,,,,,,,,,,,-1.0,2160.0,2116.55,22.0,-1.0,1901.775,114.0,0.0
19,HINDUNILVR.NSE,2020-05-11,2083.0,2116.55,1975.4,2032.1,1851.0031,48473880,,,,,,,,,,,,,,,,,,,,
20,HINDUNILVR.NSE,2020-05-18,2041.5,2047.85,1955.2,1987.9,1810.7421,27166821,,,,,,,,,,,,,,,,,,,,
21,HINDUNILVR.NSE,2020-05-26,2004.95,2068.0,1961.0,2057.35,1874.0029,23169718,,,,,,,,,,,,,1.0,2071.2,2047.85,23.0,,,,
22,HINDUNILVR.NSE,2020-06-01,2075.0,2149.0,2071.2,2087.6,1901.557,21002975,,,,,,,,,,,,,,,,,,,,
23,HINDUNILVR.NSE,2020-06-08,2107.0,2144.8,2065.0,2107.25,1919.4559,14753384,,,,,,,,,,,,,,,,,,,,
24,HINDUNILVR.NSE,2020-06-15,2114.85,2131.7,2054.05,2092.75,1919.2578,14931296,,,,,,,,,,,,,,,,,,,,
25,HINDUNILVR.NSE,2020-06-22,2110.0,2189.9,2087.0,2154.2,1975.6135,21203144,,,,,,,,,,,,,1.0,2140.0,2131.7,27.0,,,,
26,HINDUNILVR.NSE,2020-06-29,2151.35,2199.95,2140.0,2173.7,1993.4969,11736169,,,,,,,,,,,,,,,,,,,,
27,HINDUNILVR.NSE,2020-07-06,2180.0,2232.0,2125.0,2223.8,2039.4436,13959208,,,,,,,,,,,,,1.0,2226.6,2199.95,29.0,,,,
28,HINDUNILVR.NSE,2020-07-13,2239.0,2340.0,2226.6,2334.55,2141.0122,15018292,,,,,,,,,,,,,,,,,,,,
29,HINDUNILVR.NSE,2020-07-20,2334.55,2350.0,2168.05,2209.3,2026.1456,20944240,1.0,2350.0,1.0,,2350.0,49.0,,,,,,,,,,,,,,
30,HINDUNILVR.NSE,2020-07-27,2217.75,2262.2,2178.0,2209.9,2035.3617,9942849,,,,,,,,,,,,,,,,,,,,
31,HINDUNILVR.NSE,2020-08-03,2209.8,2234.8,2175.1,2210.55,2035.9603,8983358,,,,,,,,,,,,,,,,,,,,
32,HINDUNILVR.NSE,2020-08-10,2218.0,2233.0,2165.05,2173.9,2002.2049,7106814,,,,,,,,,,,,,,,,,,,,
33,HINDUNILVR.NSE,2020-08-17,2181.0,2221.5,2168.4,2202.05,2028.1317,7627037,,,,,,,,,,,,,,,,,,,,
34,HINDUNILVR.NSE,2020-08-24,2206.0,2211.65,2145.0,2151.95,1981.9886,9700229,,,,,,,,,,,,,,,,,,,,
35,HINDUNILVR.NSE,2020-08-31,2152.0,2185.0,2100.65,2124.65,1956.8447,10121290,,,,,,,,,,,,,,,,,,,,
36,HINDUNILVR.NSE,2020-09-07,2126.0,2174.0,2103.75,2159.25,1988.712,10249003,,,,,,,,,,,,,,,,,,,,
37,HINDUNILVR.NSE,2020-09-14,2167.0,2169.7,2090.0,2098.7,1932.9443,11625617,,,,,,,,,,,,,,,,,,,,
38,HINDUNILVR.NSE,2020-09-21,2098.7,2111.0,2000.05,2079.05,1914.8462,14566907,-1.0,2000.05,,,,,,,,,,,,,,,,,,
39,HINDUNILVR.NSE,2020-09-28,2083.0,2108.9,2024.75,2095.0,1929.5365,8371446,,,,,,,,,,,,,,,,,,,,
40,HINDUNILVR.NSE,2020-10-05,2100.0,2166.95,2082.2,2139.65,1970.66,9372544,,,,,,,,,,,,,1.0,2123.3,2108.9,43.0,,,,
