index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ICICIGI.NSE,2020-01-01,1389.3,1398.4,1352.0,1388.0,1340.6322,991840,1.0,1398.4,,,,,,,,,,,,,,,,,,
1,ICICIGI.NSE,2020-01-06,1383.8,1400.5,1366.0,1374.8,1327.8827,1229296,,,,,,,,,,,,,,,,,,,,
2,ICICIGI.NSE,2020-01-13,1378.3,1435.15,1347.65,1412.5,1364.2961,2614619,,,,,,,,,,,,,,,,,,,,
3,ICICIGI.NSE,2020-01-20,1412.5,1427.5,1304.05,1350.35,1304.2671,2234910,,,,,,,,,,,,,,,,,,,,
4,ICICIGI.NSE,2020-01-27,1348.4,1362.95,1308.2,1318.4,1273.4075,1131443,,,,,,,,,,,,,,,,,,,,
5,ICICIGI.NSE,2020-02-03,1285.0,1398.0,1275.3,1381.7,1334.5472,2036314,,,,,,,,,,,,,,,,,,,,
6,ICICIGI.NSE,2020-02-10,1382.0,1390.0,1325.0,1353.6,1307.4062,1523158,,,,,,,,,,,,,,,,,,,,
7,ICICIGI.NSE,2020-02-17,1353.6,1367.0,1326.05,1345.45,1299.5343,684454,,,,,,,,,,,,,,,,,,,,
8,ICICIGI.NSE,2020-02-24,1346.0,1350.95,1192.35,1236.65,1194.4473,2805843,,,,,,,,,,,,,-1.0,1326.05,1279.8,17.0,,,,
9,ICICIGI.NSE,2020-03-02,1237.1,1279.8,1129.95,1264.4,1221.2503,2623917,,,,,,,,,,,,,,,,,,,,
10,ICICIGI.NSE,2020-03-09,1261.0,1261.0,883.35,1125.65,1087.2354,4011223,,,,,,,,,,,,,,,,,,,,
11,ICICIGI.NSE,2020-03-16,1099.8,1197.4,805.0,1004.45,970.1715,5090762,-1.0,805.0,,,,,,,,,,,,,,,,,,
12,ICICIGI.NSE,2020-03-23,910.0,1181.9,815.75,1022.75,987.847,5316312,,,,,,,,,,,,,,,,,,,,
13,ICICIGI.NSE,2020-03-30,998.75,1143.0,998.75,1045.05,1009.386,3367870,,,,,,,,,,,,,,,,,,,,
14,ICICIGI.NSE,2020-04-07,1072.0,1227.95,1072.0,1169.0,1129.106,2695005,,,,,,,,,,,,,,,,,,,,
15,ICICIGI.NSE,2020-04-13,1165.0,1223.7,1101.0,1199.4,1158.4685,2813458,,,,,,,,,,,,,,,,,,,,
16,ICICIGI.NSE,2020-04-20,1215.0,1233.5,1126.0,1136.5,1097.7151,2725763,,,,,,,,,,,,,,,,,,,,
17,ICICIGI.NSE,2020-04-27,1140.0,1325.0,1137.1,1290.6,1246.5562,3124674,,,,,,,,,,,,,,,,,,,,
18,ICICIGI.NSE,2020-05-04,1253.1,1265.0,1172.0,1235.15,1192.9985,2467017,,,,,,,,,,,,,,,,,,,,
19,ICICIGI.NSE,2020-05-11,1250.0,1372.2,1216.35,1233.4,1191.3082,3214355,1.0,1372.2,,,,47.0,,,,,,,,,,,1.0,1379.425,24.0,31.0
20,ICICIGI.NSE,2020-05-18,1222.25,1279.8,1125.05,1238.1,1195.8478,2332807,-1.0,1125.05,,,,,,,,,,,,,,,,,,
21,ICICIGI.NSE,2020-05-26,1247.75,1334.0,1220.0,1300.7,1256.3115,4638184,,,,,,,,,,,,,,,,,,,,
22,ICICIGI.NSE,2020-06-01,1310.0,1340.0,1251.4,1302.75,1258.2915,2730817,,,,,,,,,,,,,,,,,,,,
23,ICICIGI.NSE,2020-06-08,1313.1,1334.0,1257.65,1301.25,1256.8427,2029548,,,,,,,,,,,,,,,,,,,,
24,ICICIGI.NSE,2020-06-15,1295.3,1386.65,1250.0,1270.15,1226.8041,31186791,1.0,1386.65,1.0,,1386.65,47.0,,,,,,,,,,,,,,
25,ICICIGI.NSE,2020-06-22,1279.0,1311.0,1253.25,1262.55,1219.4634,3282692,,,,,,,,,,,,,,,,,,,,
26,ICICIGI.NSE,2020-06-29,1260.0,1300.0,1221.1,1279.3,1235.6418,3473565,-1.0,1221.1,,,,113.0,,,,,,,,,,,,,,
27,ICICIGI.NSE,2020-07-06,1280.0,1311.0,1250.25,1260.1,1217.097,2067720,,,,,,,,,,,,,,,,,,,,
28,ICICIGI.NSE,2020-07-13,1270.95,1293.0,1238.0,1288.3,1244.3347,2482079,,,,,,,,,,,,,,,,,,,,
29,ICICIGI.NSE,2020-07-20,1305.0,1346.0,1275.0,1297.55,1253.269,2555290,,,,,,,,,,,,,,,,,,,,
30,ICICIGI.NSE,2020-07-27,1300.95,1338.0,1286.55,1303.6,1259.1125,1503467,,,,,,,,,,,,,,,,,,,,
31,ICICIGI.NSE,2020-08-03,1306.9,1400.0,1296.2,1356.35,1310.0624,2376748,,,,,,,,,,,,,,,,,,,,
32,ICICIGI.NSE,2020-08-10,1370.65,1424.0,1304.5,1309.75,1265.0527,2223045,1.0,1424.0,,,,,,,,,,,,,,,,,,
33,ICICIGI.NSE,2020-08-17,1328.25,1359.7,1281.0,1291.45,1247.3772,1786222,,,,,,,,,,,,,-1.0,1304.5,1302.9,35.0,,,,
