index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ICICIPRULI.NSE,2020-01-01,482.5,488.25,479.55,483.2,425.1818,2355573,1.0,488.25,,,,,,,,,,,,,,,,,,
1,ICICIPRULI.NSE,2020-01-06,479.1,494.5,471.0,488.5,429.8454,6741325,,,,,,,,,,,,,,,,,,,,
2,ICICIPRULI.NSE,2020-01-13,490.9,498.7,480.6,481.5,423.6859,6166964,,,,,,,,,,,,,,,,,,,,
3,ICICIPRULI.NSE,2020-01-20,481.95,521.8,478.2,519.95,457.5192,19860826,,,,,,,,,,,,,1.0,508.85,498.7,5.0,,,,
4,ICICIPRULI.NSE,2020-01-27,521.0,533.9,508.85,510.95,449.5998,10010568,,,,,,,,,,,,,,,,,,,,
5,ICICIPRULI.NSE,2020-02-03,451.0,505.15,437.0,495.5,436.0049,27066506,,,,,,,,,,,,,,,,,,,,
6,ICICIPRULI.NSE,2020-02-10,495.2,495.5,471.6,481.3,423.5099,5402727,,,,,,,,,,,,,,,,,,,,
7,ICICIPRULI.NSE,2020-02-17,479.25,504.0,466.0,495.0,435.565,4224599,,,,,,,,,,,,,,,,,,,,
8,ICICIPRULI.NSE,2020-02-24,489.0,501.0,453.7,471.4,414.7986,7486880,,,,,,,,,,,,,,,,,,,,
9,ICICIPRULI.NSE,2020-03-02,476.0,484.55,405.15,413.75,364.0707,13796807,,,,,,,,,,,,,-1.0,453.7,408.7,17.0,,,,
10,ICICIPRULI.NSE,2020-03-09,401.0,408.7,320.3,382.9,336.9249,12989809,,,,,,,,,,,,,-1.0,405.15,391.5,17.0,,,,
11,ICICIPRULI.NSE,2020-03-16,372.0,391.5,260.0,304.2,267.6745,15858388,,,,,,,,,,,,,,,,,,,,
12,ICICIPRULI.NSE,2020-03-23,280.0,368.0,226.1,318.4,280.1695,21421322,-1.0,226.1,,,,,,,,,,,,,,,,,,
13,ICICIPRULI.NSE,2020-03-30,305.0,367.95,300.4,338.9,298.208,11280424,,,,,,,,,,,,,,,,,,,,
14,ICICIPRULI.NSE,2020-04-07,346.85,368.55,334.05,342.55,301.4197,10986751,,,,,,,,,,,,,,,,,,,,
15,ICICIPRULI.NSE,2020-04-13,339.7,372.65,317.0,369.95,325.5298,15222108,,,,,,,,,,,,,,,,,,,,
16,ICICIPRULI.NSE,2020-04-20,380.0,389.9,329.4,336.55,296.1402,21884262,,,,,,,,,,,,,,,,,,,,
17,ICICIPRULI.NSE,2020-04-27,346.2,416.1,346.2,411.95,362.4868,27880838,1.0,416.1,1.0,,416.1,25.0,,,,,,,,,,,,,,
18,ICICIPRULI.NSE,2020-05-04,391.25,413.0,370.95,400.1,352.0597,15730184,,,,,,,,,,,,,,,,,,,,
19,ICICIPRULI.NSE,2020-05-11,401.0,411.0,376.6,384.85,338.6408,11043890,,,,,,,,,,,,,,,,,,,,
20,ICICIPRULI.NSE,2020-05-18,383.1,384.0,336.7,345.05,303.6196,15737293,-1.0,336.7,,,,,1.0,384.0,336.7,44167200.0,0.0,56.20581,,,,,,,,
21,ICICIPRULI.NSE,2020-05-26,350.0,397.0,337.5,393.1,345.9002,16765824,,,,,,,,,,,,,,,,,,,,
22,ICICIPRULI.NSE,2020-06-01,396.0,401.35,379.05,387.55,341.0166,22072693,,,,,,,,,,,,,,,,,,,,
23,ICICIPRULI.NSE,2020-06-08,390.6,409.7,380.0,400.95,352.8076,15892195,,,,,,,,,,,,,,,,,,,,
24,ICICIPRULI.NSE,2020-06-15,399.8,406.4,386.25,391.6,344.5803,11072363,,,,,,,,,,,,,,,,,,,,
25,ICICIPRULI.NSE,2020-06-22,419.0,441.45,399.35,423.35,372.518,17202640,,,,,,,,,,,,,1.0,408.5,406.4,38.0,,,,
26,ICICIPRULI.NSE,2020-06-29,423.35,443.55,408.5,433.5,381.4493,11324640,,,,,,,,,,,,,,,,,,,,
27,ICICIPRULI.NSE,2020-07-06,437.5,442.6,415.8,417.45,367.3264,11632488,,,,,,,,,,,,,,,,,,,,
28,ICICIPRULI.NSE,2020-07-13,420.0,443.8,418.75,440.35,387.4768,11484096,,,,,,,,,,,,,,,,,,,,
29,ICICIPRULI.NSE,2020-07-20,444.4,452.65,423.6,440.0,387.1689,18500859,,,,,,,,,,,,,,,,,,,,
30,ICICIPRULI.NSE,2020-07-27,440.1,463.9,434.45,452.25,397.948,12234259,,,,,,,,,,,,,,,,,,,,
31,ICICIPRULI.NSE,2020-08-03,450.0,476.6,436.85,470.4,413.9187,11953315,,,,,,,,,,,,,,,,,,,,
32,ICICIPRULI.NSE,2020-08-10,473.0,487.0,455.5,458.95,403.8435,9764813,1.0,487.0,,,,,,,,,,,,,,,,,,
33,ICICIPRULI.NSE,2020-08-17,460.0,462.7,438.05,447.5,393.7683,8451426,,,,,,,,,,,,,,,,,,,,
34,ICICIPRULI.NSE,2020-08-24,448.8,460.5,440.15,451.3,397.1121,6695614,,,,,,,,,,,,,,,,,,,,
35,ICICIPRULI.NSE,2020-08-31,450.0,454.9,416.2,420.9,370.3622,12989355,,,,,,,,,,,,,,,,,,,,
