index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,INDHOTEL.NSE,2020-01-01,140.6,146.42,139.2,141.47,138.7092,2299375,1.0,146.42,,,,,,,,,,,,,,,1.0,149.475,79.0,90.0
1,INDHOTEL.NSE,2020-01-06,140.6,141.38,132.36,133.91,131.2967,4894648,,,,,,,,,,,,,,,,,,,,
2,INDHOTEL.NSE,2020-01-13,135.61,141.57,132.55,141.09,138.3366,5794619,,,,,,,,,,,,,,,,,,,,
3,INDHOTEL.NSE,2020-01-20,140.6,141.67,137.26,140.7,137.9542,4617170,,,,,,,,,,,,,,,,,,,,
4,INDHOTEL.NSE,2020-01-27,140.6,143.27,134.06,137.98,135.2873,5453572,,,,,,,,,,,,,,,,,,,,
5,INDHOTEL.NSE,2020-02-03,134.54,138.47,133.38,135.9,133.2479,5117866,,,,,,,,,,,,,,,,,,,,
6,INDHOTEL.NSE,2020-02-10,135.27,136.24,128.87,129.98,127.4434,4232984,,,,,,,,,,,,,,,,,,,,
7,INDHOTEL.NSE,2020-02-17,130.37,137.5,122.86,135.8,133.1499,4982501,,,,,,,,,,,,,,,,,,,,
8,INDHOTEL.NSE,2020-02-24,135.66,137.06,123.29,130.91,128.3553,9891838,,,,,,,,,,,,,,,,,,,,
9,INDHOTEL.NSE,2020-03-02,130.08,134.44,109.77,117.23,114.9422,22439928,,,,,,,,,,,,,-1.0,123.29,115.34,46.0,,,,
10,INDHOTEL.NSE,2020-03-09,115.1,115.34,93.48,111.66,109.4809,31510325,,,,,,,,,,,,,-1.0,109.77,107.1,34.0,,,,
11,INDHOTEL.NSE,2020-03-16,102.98,107.1,78.54,87.85,86.1356,13505427,,,,,,,,,,,,,-1.0,93.48,83.1,22.0,,,,
12,INDHOTEL.NSE,2020-03-23,77.57,83.1,69.91,73.6,72.1637,11256411,,,,,,,,,,,,,-1.0,78.54,75.25,14.0,,,,
13,INDHOTEL.NSE,2020-03-30,73.6,75.25,66.91,67.25,65.9376,7268631,-1.0,66.91,-1.0,,66.91,18.0,,,,,,,,,,,-1.0,66.973335,30.0,0.0
14,INDHOTEL.NSE,2020-04-07,72.73,77.96,67.63,73.06,71.6342,9417363,,,,,,,,,,,,,,,,,,,,
15,INDHOTEL.NSE,2020-04-13,72.73,82.42,70.01,78.06,76.5367,15951923,1.0,82.42,,1.0,82.42,22.0,-1.0,82.42,70.01,44624456.0,22.0,94.44072,,,,,,,,
16,INDHOTEL.NSE,2020-04-20,81.26,82.37,73.06,73.69,72.2519,22950161,,,,,,,,,,,,,,,,,,,,
17,INDHOTEL.NSE,2020-04-27,74.03,78.54,71.17,77.48,75.968,9610766,,,,,,,,,,,,,,,,,,,,
18,INDHOTEL.NSE,2020-05-04,74.66,74.66,63.71,65.21,63.9374,12063529,,,,,,,,,,,,,-1.0,71.17,67.88,20.0,,,,
19,INDHOTEL.NSE,2020-05-11,64.39,67.88,62.54,65.79,64.5061,9933967,,,,,,,,,,,,,,,,,,,,
20,INDHOTEL.NSE,2020-05-18,63.03,69.04,60.22,67.0,65.6925,8179527,-1.0,60.22,,,,,1.0,69.04,60.22,40627250.0,0.0,25.208324,,,,,,,,
21,INDHOTEL.NSE,2020-05-26,67.59,73.69,64.68,73.31,71.8793,8954264,,,,,,,,,,,,,1.0,76.65,69.04,26.0,,,,
22,INDHOTEL.NSE,2020-06-01,77.48,90.62,76.65,88.48,86.7533,23493458,,,,,,,,,,,,,1.0,82.42,73.69,24.0,,,,
23,INDHOTEL.NSE,2020-06-08,91.92,93.57,82.42,86.11,84.4296,28108230,1.0,93.57,1.0,,93.57,33.0,,,,,,,,,,,,,,
24,INDHOTEL.NSE,2020-06-15,86.01,88.0,77.57,80.82,79.2428,14538476,,,,,,,,,,,,,,,,,,,,
25,INDHOTEL.NSE,2020-06-22,81.79,83.78,78.54,79.03,77.4877,9902181,,,,,,,,,,,,,,,,,,,,
26,INDHOTEL.NSE,2020-06-29,79.51,80.39,76.6,77.86,76.3406,7449137,,,,,,,,,,,,,,,,,,,,
27,INDHOTEL.NSE,2020-07-06,78.88,85.14,77.72,78.79,77.2524,18376499,,,,,,,,,,,,,,,,,,,,
28,INDHOTEL.NSE,2020-07-13,79.03,79.46,74.76,76.99,75.9705,8605843,,,,,,,,,,,,,,,,,,,,
29,INDHOTEL.NSE,2020-07-20,77.33,81.94,76.17,76.75,75.7337,16296028,,,,,,,,,,,,,,,,,,,,
30,INDHOTEL.NSE,2020-07-27,77.04,78.35,73.79,74.03,73.0497,8911458,-1.0,73.79,,,,,1.0,78.35,73.79,104591920.0,0.0,8.591415,,,,,,,,
31,INDHOTEL.NSE,2020-08-03,74.08,77.19,74.03,75.49,74.4904,8274988,,,,,,,,,,,,,,,,,,,,
32,INDHOTEL.NSE,2020-08-10,76.89,99.39,75.73,90.91,89.7062,67274993,,,,,,,,,,,,,1.0,89.21,77.19,38.0,,,,
33,INDHOTEL.NSE,2020-08-17,92.51,103.22,89.21,97.79,96.4951,29041939,,,,,,,,,,,,,,,,,,,,
34,INDHOTEL.NSE,2020-08-24,99.25,109.09,98.13,105.35,103.955,30973258,1.0,109.09,1.0,,109.09,46.0,,,,,,,,,,,,,,
35,INDHOTEL.NSE,2020-08-31,106.52,107.92,96.97,98.76,97.4523,21870861,,,,,,,,,,,,,,,,,,,,
36,INDHOTEL.NSE,2020-09-07,98.76,101.09,90.18,96.14,94.867,10591517,,,,,,,,,,,,,,,,,,,,
37,INDHOTEL.NSE,2020-09-14,96.97,100.8,96.0,97.11,95.8241,19833750,,,,,,,,,,,,,,,,,,,,
38,INDHOTEL.NSE,2020-09-21,97.55,98.42,85.96,88.87,87.6932,10777490,-1.0,85.96,,,,,1.0,98.42,85.96,57626470.0,0.0,21.286219,,,,,-1.0,88.435,68.0,0.0
39,INDHOTEL.NSE,2020-09-28,90.86,98.62,90.08,94.06,92.8145,18702563,,,,,,,,,,,,,,,,,,,,
40,INDHOTEL.NSE,2020-10-05,94.88,99.68,92.99,93.33,92.0942,25765668,,,,,,,,,,,,,,,,,,,,
41,INDHOTEL.NSE,2020-10-12,93.86,95.51,90.18,94.2,92.9526,6963956,,,,,,,,,,,,,,,,,,,,
42,INDHOTEL.NSE,2020-10-19,94.88,99.78,92.85,97.5,96.2089,11412124,,,,,,,,,,,,,,,,,,,,
43,INDHOTEL.NSE,2020-10-26,97.94,98.62,92.12,92.51,91.285,16385232,,,,,,,,,,,,,,,,,,,,
44,INDHOTEL.NSE,2020-11-02,92.51,97.35,88.72,95.56,94.2946,10113677,,,,,,,,,,,,,,,,,,,,
45,INDHOTEL.NSE,2020-11-09,96.77,112.87,93.77,108.41,106.9745,28345795,,,,,,,,,,,,,1.0,109.62,97.35,47.0,,,,
46,INDHOTEL.NSE,2020-11-17,112.38,119.03,109.62,110.15,108.6914,19167001,,,,,,,,,,,,,,,,,,,,
47,INDHOTEL.NSE,2020-11-23,109.57,116.02,106.28,114.62,113.1023,14129828,,,,,,,,,,,,,,,,,,,,
48,INDHOTEL.NSE,2020-12-01,116.36,128.0,115.0,124.12,122.4765,22519627,,,,,,,,,,,,,1.0,123.34,116.02,50.0,,,,
49,INDHOTEL.NSE,2020-12-07,124.99,135.03,123.34,124.02,122.3778,16033921,1.0,135.03,,,,,,,,,,,,,,,1.0,132.0,59.0,77.0
50,INDHOTEL.NSE,2020-12-14,124.94,129.94,123.15,123.92,122.2791,12314695,,,,,,,,,,,,,,,,,,,,
51,INDHOTEL.NSE,2020-12-21,124.6,124.89,109.77,117.67,116.1119,9355937,-1.0,109.77,-1.0,,109.77,64.0,,,,,,,-1.0,123.15,122.95,53.0,,,,
52,INDHOTEL.NSE,2020-12-28,119.12,122.95,115.2,120.19,118.5985,10222009,,,,,,,,,,,,,,,,,,,,
53,INDHOTEL.NSE,2021-01-04,122.18,123.63,118.78,119.61,118.0262,9945573,,,,,,,,,,,,,,,,,,,,
54,INDHOTEL.NSE,2021-01-11,120.58,125.96,118.93,123.1,121.47,9179949,,,,,,,,,,,,,,,,,,,,
55,INDHOTEL.NSE,2021-01-18,123.15,125.62,116.85,118.83,117.2565,11419843,,,,,,,,,,,,,,,,,,,,
56,INDHOTEL.NSE,2021-01-25,119.61,121.94,116.85,117.91,116.3487,7312311,,,,,,,,,,,,,,,,,,,,
57,INDHOTEL.NSE,2021-02-01,118.64,121.21,115.1,115.68,114.1482,10292047,,,,,,,,,,,,,,,,,,,,
58,INDHOTEL.NSE,2021-02-08,116.36,126.69,115.88,125.23,123.5718,16907022,,,,,,,,,,,,,,,,,,,,
59,INDHOTEL.NSE,2021-02-15,126.06,128.97,119.61,120.05,118.4604,18567676,1.0,128.97,,1.0,128.97,73.0,-1.0,128.97,119.61,27587548.0,73.0,26.775581,,,,,,,,
60,INDHOTEL.NSE,2021-02-22,119.17,120.38,114.42,119.12,117.5427,13635859,,,,,,,,,,,,,,,,,,,,
61,INDHOTEL.NSE,2021-03-01,120.24,126.64,116.36,121.6,119.9898,15422857,,,,,,,,,,,,,,,,,,,,
62,INDHOTEL.NSE,2021-03-08,123.05,125.38,119.27,121.31,119.7037,5826616,,,,,,,,,,,,,,,,,,,,
63,INDHOTEL.NSE,2021-03-15,121.31,121.5,107.92,110.54,109.0763,7395914,,,,,,,,,,,,,-1.0,119.27,113.45,71.0,,,,
64,INDHOTEL.NSE,2021-03-22,110.74,113.45,99.59,105.11,103.7182,14365018,,,,,,,,,,,,,,,,,,,,
65,INDHOTEL.NSE,2021-03-30,106.66,111.42,101.57,108.89,107.4481,8350540,,,,,,,,,,,,,,,,,,,,
66,INDHOTEL.NSE,2021-04-05,106.18,110.01,103.27,107.29,105.8693,9249206,,,,,,,,,,,,,,,,,,,,
67,INDHOTEL.NSE,2021-04-12,103.03,106.52,95.71,95.95,94.6795,12992160,,,,,,,,,,,,,-1.0,103.27,102.49,69.0,,,,
