index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,INDIGO.NSE,2020-01-01,1333.55,1382.5,1301.4,1360.95,1358.654,4439530,-1.0,1301.4,,,,,,,,,,,,,,,,,,
1,INDIGO.NSE,2020-01-06,1341.0,1430.9,1318.0,1416.3,1413.9106,7896897,,,,,,,,,,,,,1.0,1407.65,1382.5,4.0,,,,
2,INDIGO.NSE,2020-01-13,1421.3,1509.7,1407.65,1472.95,1470.4651,5931798,,,,,,,,,,,,,,,,,,,,
3,INDIGO.NSE,2020-01-20,1475.0,1513.35,1426.1,1501.5,1498.9669,5386496,,,,,,,,,,,,,,,,,,,,
4,INDIGO.NSE,2020-01-27,1499.0,1541.0,1334.75,1358.15,1355.8587,13760603,,,,,,,-1.0,1541.0,1334.75,20241312.0,45.0,32.285156,,,,,,,,
5,INDIGO.NSE,2020-02-03,1366.55,1458.35,1349.3,1400.15,1397.7879,5364892,,,,,,,,,,,,,,,,,,,,
6,INDIGO.NSE,2020-02-10,1400.0,1464.8,1381.1,1439.1,1436.6722,4940040,,,,,,,,,,,,,,,,,,,,
7,INDIGO.NSE,2020-02-17,1441.3,1493.4,1426.75,1464.85,1462.3787,2517429,1.0,1493.4,,,,,,,,,,,,,,,,,,
8,INDIGO.NSE,2020-02-24,1458.0,1478.0,1220.5,1300.05,1297.8567,12783844,,,,,,,,,,,,,-1.0,1426.75,1347.95,37.0,,,,
9,INDIGO.NSE,2020-03-02,1313.0,1347.95,1090.0,1176.9,1174.9145,17790148,,,,,,,,,,,,,,,,,,,,
10,INDIGO.NSE,2020-03-09,1175.05,1233.5,865.65,998.8,997.115,9532102,,,,,,,,,,,,,-1.0,1090.0,1010.0,12.0,,,,
11,INDIGO.NSE,2020-03-16,941.0,1010.0,835.1,871.7,870.2294,12846666,,,,,,,,,,,,,,,,,,,,
12,INDIGO.NSE,2020-03-23,784.55,1147.4,771.3,1027.3,1025.5669,12855878,-1.0,771.3,,,,,,,,,,,,,,,,,,
13,INDIGO.NSE,2020-03-30,990.0,1129.0,915.05,953.25,951.6418,5712157,,,,,,,,,,,,,,,,,,,,
14,INDIGO.NSE,2020-04-07,987.0,1078.25,928.05,1041.95,1040.1922,6189838,,,,,,,,,,,,,,,,,,,,
15,INDIGO.NSE,2020-04-13,1052.0,1090.85,983.0,1068.3,1066.4977,10027707,,,,,,,,,,,,,,,,,,,,
16,INDIGO.NSE,2020-04-20,1043.95,1043.95,878.75,891.75,890.2456,12231305,,,,,,,,,,,,,,,,,,,,
17,INDIGO.NSE,2020-04-27,910.0,1037.85,865.0,995.25,993.571,13133827,,,,,,,,,,,,,,,,,,,,
18,INDIGO.NSE,2020-05-04,938.0,974.7,908.2,928.05,926.4843,12008657,,,,,,,,,,,,,,,,,,,,
19,INDIGO.NSE,2020-05-11,953.0,1060.0,941.0,984.0,982.3399,16365078,,,,,,,,,,,,,,,,,,,,
20,INDIGO.NSE,2020-05-18,940.0,1029.85,850.0,974.25,972.6064,33205397,,,,,,,,,,,,,,,,,,,,
21,INDIGO.NSE,2020-05-26,989.95,995.05,920.5,965.5,963.8712,9463930,,,,,,,,,,,,,,,,,,,,
22,INDIGO.NSE,2020-06-01,972.0,1204.4,935.0,1189.95,1187.9425,33757185,,,,,,,,,,,,,,,,,,,,
23,INDIGO.NSE,2020-06-08,1209.0,1210.0,950.5,1003.35,1001.6573,21225968,1.0,1210.0,1.0,,1210.0,35.0,,,,,,,,,,,,,,
24,INDIGO.NSE,2020-06-15,1009.95,1049.0,983.25,1027.6,1025.8664,8915873,,,,,,,,,,,,,,,,,,,,
25,INDIGO.NSE,2020-06-22,1040.0,1105.85,1022.7,1028.55,1026.8148,7896716,,,,,,,,,,,,,,,,,,,,
26,INDIGO.NSE,2020-06-29,1026.0,1032.95,983.0,1012.15,1010.4425,5655343,,,,,,,,,,,,,,,,,,,,
27,INDIGO.NSE,2020-07-06,1010.0,1075.35,1001.7,1016.75,1015.0347,6392422,,,,,,,,,,,,,,,,,,,,
28,INDIGO.NSE,2020-07-13,1020.0,1029.7,941.25,991.25,989.5777,9438469,,,,,,,,,,,,,-1.0,1001.7,1000.0,32.0,,,,
29,INDIGO.NSE,2020-07-20,997.0,1000.0,940.0,948.25,946.6503,7618161,,,,,,,,,,,,,,,,,,,,
30,INDIGO.NSE,2020-07-27,946.45,989.65,875.25,979.85,978.1969,14543113,-1.0,875.25,,,,,1.0,989.65,875.25,47021304.0,0.0,72.02346,,,,,,,,
31,INDIGO.NSE,2020-08-03,975.05,995.0,928.0,939.25,937.6654,7480101,,,,,,,,,,,,,,,,,,,,
32,INDIGO.NSE,2020-08-10,949.95,1210.0,931.2,1139.15,1137.2282,42396141,,,,,,,,,,,,,1.0,1111.0,995.0,0.0,,,,
33,INDIGO.NSE,2020-08-17,1139.0,1231.9,1111.0,1173.45,1171.4703,19687064,,,,,,,,,,,,,,,,,,,,
34,INDIGO.NSE,2020-08-24,1184.0,1207.5,1146.3,1183.8,1181.8029,9381944,,,,,,,,,,,,,,,,,,,,
35,INDIGO.NSE,2020-08-31,1208.0,1311.15,1171.05,1257.15,1255.0291,17952297,,,,,,,,,,,,,1.0,1208.2,1207.5,38.0,,,,
36,INDIGO.NSE,2020-09-07,1250.0,1302.5,1208.2,1294.45,1292.2662,14434203,,,,,,,,,,,,,,,,,,,,
37,INDIGO.NSE,2020-09-14,1300.0,1355.0,1290.0,1315.2,1312.9812,11367064,,,,,,,,,,,,,,,,,,,,
38,INDIGO.NSE,2020-09-21,1321.7,1350.8,1180.85,1241.7,1239.6052,12442844,,,,,,,,,,,,,-1.0,1290.0,1288.95,40.0,,,,
39,INDIGO.NSE,2020-09-28,1255.55,1288.95,1220.15,1269.4,1267.2585,5121365,,,,,,,,,,,,,,,,,,,,
40,INDIGO.NSE,2020-10-05,1271.3,1394.45,1265.3,1367.2,1364.8935,10333611,,,,,,,,,,,,,1.0,1298.0,1288.95,43.0,,,,
41,INDIGO.NSE,2020-10-12,1370.0,1396.0,1298.0,1329.65,1327.4068,6220953,,,,,,,,,,,,,,,,,,,,
42,INDIGO.NSE,2020-10-19,1336.25,1391.25,1331.1,1372.45,1370.1346,4297475,,,,,,,,,,,,,,,,,,,,
43,INDIGO.NSE,2020-10-26,1370.0,1387.0,1253.7,1309.5,1307.2908,7423692,,,,,,,,,,,,,,,,,,,,
44,INDIGO.NSE,2020-11-02,1315.0,1441.0,1285.0,1423.15,1420.7491,9132432,,,,,,,,,,,,,1.0,1432.0,1387.0,51.0,,,,
45,INDIGO.NSE,2020-11-09,1432.0,1650.0,1432.0,1614.95,1612.2255,14004636,,,,,,,,,,,,,1.0,1585.75,1441.0,47.0,,,,
46,INDIGO.NSE,2020-11-17,1620.4,1743.85,1585.75,1679.7,1676.8663,10260209,,,,,,,,,,,,,,,,,,,,
47,INDIGO.NSE,2020-11-23,1680.25,1698.7,1504.85,1514.15,1511.5956,10742364,,,,,,,,,,,,,,,,,,,,
48,INDIGO.NSE,2020-12-01,1530.0,1752.0,1515.5,1744.8,1741.8564,10142712,,,,,,,,,,,,,1.0,1699.2,1698.7,50.0,,,,
49,INDIGO.NSE,2020-12-07,1744.0,1787.0,1699.2,1729.9,1726.9816,6680060,1.0,1787.0,,,,,,,,,,,,,,,1.0,1796.6167,61.0,75.0
50,INDIGO.NSE,2020-12-14,1728.0,1732.5,1625.45,1651.05,1648.2646,6711335,,,,,,,,,,,,,-1.0,1699.2,1673.0,52.0,,,,
51,INDIGO.NSE,2020-12-21,1637.0,1673.0,1425.0,1643.8,1641.0268,13161785,-1.0,1425.0,,,,,,,,,,,,,,,,,,
52,INDIGO.NSE,2020-12-28,1655.0,1738.9,1655.0,1713.5,1710.6092,7485268,,,,,,,,,,,,,1.0,1702.5,1673.0,54.0,,,,
53,INDIGO.NSE,2021-01-04,1722.0,1779.0,1702.5,1732.3,1729.3775,5221015,1.0,1779.0,1.0,,1779.0,75.0,,,,,,,,,,,,,,
54,INDIGO.NSE,2021-01-11,1742.75,1751.0,1620.9,1631.05,1628.2983,4579054,,,,,,,,,,,,,,,,,,,,
55,INDIGO.NSE,2021-01-18,1627.0,1726.0,1570.6,1642.3,1639.5294,5943717,,,,,,,,,,,,,,,,,,,,
56,INDIGO.NSE,2021-01-25,1658.2,1664.4,1534.0,1547.75,1545.1389,5899104,,,,,,,,,,,,,,,,,,,,
57,INDIGO.NSE,2021-02-01,1561.0,1732.4,1557.25,1680.85,1678.0143,6305528,,,,,,,,,,,,,,,,,,,,
58,INDIGO.NSE,2021-02-08,1682.0,1743.9,1604.05,1643.15,1640.3779,6735009,,,,,,,,,,,,,,,,,,,,
59,INDIGO.NSE,2021-02-15,1649.0,1657.5,1545.05,1565.8,1563.1584,4611024,,,,,,,,,,,,,,,,,,,,
