index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,INDUSINDBK.NSE,2020-01-01,1512.0,1538.0,1480.8,1528.85,1476.4167,7124029,1.0,1538.0,,,,,,,,,,,,,,,,,,
1,INDUSINDBK.NSE,2020-01-06,1515.05,1521.65,1439.05,1491.25,1440.1062,16773537,,,,,,,,,,,,,,,,,,,,
2,INDUSINDBK.NSE,2020-01-13,1499.8,1585.0,1317.05,1352.25,1305.8734,53414908,,,,,,,,,,,,,-1.0,1439.05,1367.9,182.0,,,,
3,INDUSINDBK.NSE,2020-01-20,1367.9,1367.9,1307.65,1316.1,1270.9631,22509572,,,,,,,,,,,,,-1.0,1317.05,1312.0,5.0,,,,
4,INDUSINDBK.NSE,2020-01-27,1311.5,1312.0,1221.55,1258.85,1215.6766,29794262,,,,,,,,,,,,,,,,,,,,
5,INDUSINDBK.NSE,2020-02-03,1222.0,1346.05,1216.05,1298.8,1254.2565,28169735,,,,,,,,,,,,,,,,,,,,
6,INDUSINDBK.NSE,2020-02-10,1304.0,1309.9,1171.2,1176.0,1135.668,34410248,,,,,,,,,,,,,-1.0,1216.05,1209.0,93.0,,,,
7,INDUSINDBK.NSE,2020-02-17,1176.0,1209.0,1108.45,1182.2,1141.6554,51136273,,,,,,,,,,,,,,,,,,,,
8,INDUSINDBK.NSE,2020-02-24,1170.0,1189.5,1085.05,1104.05,1066.1856,36234891,,,,,,,,,,,,,,,,,,,,
9,INDUSINDBK.NSE,2020-03-02,1130.0,1136.95,913.8,1014.8,979.9965,41472332,,,,,,,,,,,,,-1.0,1085.05,969.95,53.0,,,,
10,INDUSINDBK.NSE,2020-03-09,950.0,969.95,551.1,803.75,776.1847,64080350,,,,,,,,,,,,,-1.0,913.8,758.7,45.0,,,,
11,INDUSINDBK.NSE,2020-03-16,747.0,758.7,374.8,440.35,425.2478,168260118,,,,,,,,,,,,,-1.0,551.1,538.55,23.0,,,,
12,INDUSINDBK.NSE,2020-03-23,396.35,538.55,235.55,411.1,397.0009,173300744,-1.0,235.55,,,,,,,,,,,,,,,,,,
13,INDUSINDBK.NSE,2020-03-30,370.0,427.7,310.2,313.2,302.4585,124811826,,,,,,,,,,,,,,,,,,,,
14,INDUSINDBK.NSE,2020-04-07,344.5,441.4,344.5,395.4,381.8394,134744321,,,,,,,,,,,,,,,,,,,,
15,INDUSINDBK.NSE,2020-04-13,388.0,478.9,371.25,474.45,458.1783,109258359,,,,,,,,,,,,,,,,,,,,
16,INDUSINDBK.NSE,2020-04-20,479.5,481.0,380.0,382.9,369.7681,113813789,,,,,,,,,,,,,,,,,,,,
17,INDUSINDBK.NSE,2020-04-27,394.2,491.85,387.0,468.15,452.0944,161392358,1.0,491.85,1.0,,491.85,23.0,,,,,,,,,,,,,,
18,INDUSINDBK.NSE,2020-05-04,444.0,477.7,408.5,440.35,425.2478,109101031,,,,,,,,,,,,,,,,,,,,
19,INDUSINDBK.NSE,2020-05-11,450.0,480.0,417.1,418.7,404.3403,96750493,,,,,,,,,,,,,,,,,,,,
20,INDUSINDBK.NSE,2020-05-18,418.5,418.7,330.0,338.35,326.746,137413668,-1.0,330.0,,,,,1.0,418.7,330.0,528338600.0,0.0,34.11937,-1.0,417.1,405.8,22.0,,,,
21,INDUSINDBK.NSE,2020-05-26,344.9,405.8,342.0,393.65,380.1494,134406984,,,,,,,,,,,,,,,,,,,,
22,INDUSINDBK.NSE,2020-06-01,402.3,452.25,401.05,422.35,407.8651,131788735,,,,,,,,,,,,,1.0,444.0,405.8,0.0,,,,
23,INDUSINDBK.NSE,2020-06-08,455.0,548.5,444.0,528.45,510.3263,262142887,,,,,,,,,,,,,1.0,456.3,452.25,0.0,,,,
24,INDUSINDBK.NSE,2020-06-15,525.0,525.0,456.3,483.65,467.0628,203443872,,,,,,,,,,,,,,,,,,,,
25,INDUSINDBK.NSE,2020-06-22,490.05,530.45,461.0,492.55,475.6575,188167082,,,,,,,,,,,,,,,,,,,,
26,INDUSINDBK.NSE,2020-06-29,482.0,508.0,472.0,487.2,470.491,96148997,,,,,,,,,,,,,,,,,,,,
27,INDUSINDBK.NSE,2020-07-06,498.0,577.5,492.45,539.25,520.7559,202418638,1.0,577.5,1.0,,577.5,34.0,,,,,,,,,,,,,,
28,INDUSINDBK.NSE,2020-07-13,549.7,555.0,490.25,520.8,502.9387,96517139,,,,,,,,,,,,,,,,,,,,
29,INDUSINDBK.NSE,2020-07-20,524.95,541.65,500.0,522.25,504.339,91028739,,,,,,,,,,,,,,,,,,,,
30,INDUSINDBK.NSE,2020-07-27,522.55,564.75,505.0,523.75,505.7875,91325390,,,,,,,,,,,,,,,,,,,,
31,INDUSINDBK.NSE,2020-08-03,521.95,521.95,483.25,509.0,491.5434,83238374,-1.0,483.25,,,,,1.0,521.95,483.25,258978850.0,0.0,24.631302,,,,,-1.0,484.125,38.0,0.0
32,INDUSINDBK.NSE,2020-08-10,512.0,530.45,500.15,507.2,489.8051,51182854,,,,,,,,,,,,,,,,,,,,
33,INDUSINDBK.NSE,2020-08-17,510.0,530.0,502.5,513.55,495.9373,43132461,,,,,,,,,,,,,,,,,,,,
34,INDUSINDBK.NSE,2020-08-24,518.0,689.0,516.0,665.65,642.8209,164663526,,,,,,,,,,,,,1.0,588.7,530.0,36.0,,,,
35,INDUSINDBK.NSE,2020-08-31,705.0,712.0,588.7,616.15,595.0186,160976065,1.0,712.0,1.0,,712.0,44.0,,,,,,,,,,,,,,
36,INDUSINDBK.NSE,2020-09-07,621.5,627.8,588.65,610.35,589.4175,71588446,,,,,,,,,,,,,,,,,,,,
37,INDUSINDBK.NSE,2020-09-14,617.1,641.0,600.0,613.2,592.1697,60401004,,,,,,,,,,,,,,,,,,,,
38,INDUSINDBK.NSE,2020-09-21,612.9,617.4,485.0,514.85,497.1927,102317407,-1.0,485.0,,,,,1.0,617.4,485.0,299542980.0,0.0,35.958134,-1.0,600.0,597.05,40.0,,,,
39,INDUSINDBK.NSE,2020-09-28,522.9,597.05,516.15,592.2,571.89,114362220,,,,,,,,,,,,,,,,,,,,
