index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,INFY.NSE,2020-01-01,735.0,748.0,730.9,745.0,649.8336,15653553,-1.0,730.9,,,,,,,,,,,,,,,,,,
1,INFY.NSE,2020-01-06,746.1,753.8,708.3,740.0,645.4723,45920800,,,,,,,,,,,,,,,,,,,,
2,INFY.NSE,2020-01-13,760.0,777.5,755.0,767.45,669.4159,63917429,,,,,,,,,,,,,1.0,760.75,753.8,8.0,,,,
3,INFY.NSE,2020-01-20,771.6,786.5,760.75,783.0,682.9795,38138496,,,,,,,,,,,,,,,,,,,,
4,INFY.NSE,2020-01-27,779.05,792.8,769.25,777.0,677.7459,30751146,,,,,,,,,,,,,,,,,,,,
5,INFY.NSE,2020-02-03,782.0,790.95,764.5,776.0,676.8737,28693431,,,,,,,,,,,,,,,,,,,,
6,INFY.NSE,2020-02-10,774.0,799.2,769.2,786.3,685.858,20798434,,,,,,,,,,,,,,,,,,,,
7,INFY.NSE,2020-02-17,790.3,806.1,783.3,796.8,695.0167,16562736,,,,,,,,,,,,,,,,,,,,
8,INFY.NSE,2020-02-24,800.1,811.6,722.05,732.0,638.4942,41732143,1.0,811.6,,,,,-1.0,811.6,722.05,144707580.0,28.0,40.526302,-1.0,783.3,773.55,27.0,,,,
9,INFY.NSE,2020-03-02,737.0,773.55,729.1,739.0,644.6001,45632869,,,,,,,,,,,,,,,,,,,,
10,INFY.NSE,2020-03-09,724.5,725.85,570.0,652.15,568.8443,57342580,,,,,,,,,,,,,-1.0,729.1,622.15,12.0,,,,
11,INFY.NSE,2020-03-16,622.0,622.15,509.25,580.9,506.6958,88532837,-1.0,509.25,,,,,,,,,,,,,,,,,,
12,INFY.NSE,2020-03-23,540.0,674.9,515.9,655.0,571.3302,83879802,,,,,,,,,,,,,,,,,,,,
13,INFY.NSE,2020-03-30,625.1,663.5,582.15,588.5,513.325,53107003,,,,,,,,,,,,,,,,,,,,
14,INFY.NSE,2020-04-07,615.0,655.65,612.9,635.6,554.4084,38884714,,,,,,,,,,,,,,,,,,,,
15,INFY.NSE,2020-04-13,629.0,653.3,603.5,634.2,553.1872,46955466,,,,,,,,,,,,,,,,,,,,
