index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,IOC.NSE,2020-01-01,125.955,127.5,125.745,127.005,55.9828,20308155,1.0,127.5,,,,,,,,,,,,,,,,,,
1,IOC.NSE,2020-01-06,126.495,127.455,121.5,125.205,55.1893,71347658,,,,,,,,,,,,,,,,,,,,
2,IOC.NSE,2020-01-13,125.895,128.205,122.295,122.655,54.0653,44657449,,,,,,,,,,,,,,,,,,,,
3,IOC.NSE,2020-01-20,117.945,121.65,111.945,119.595,52.7165,599386145,,,,,,,,,,,,,,,,,,,,
4,IOC.NSE,2020-01-27,119.25,120.195,108.15,109.245,48.1543,210369573,,,,,,,,,,,,,,,,,,,,
5,IOC.NSE,2020-02-03,110.055,117.75,107.55,117.645,51.857,128628509,,,,,,,,,,,,,,,,,,,,
6,IOC.NSE,2020-02-10,117.405,118.35,113.7,115.2,50.7792,85328769,,,,,,,,,,,,,,,,,,,,
7,IOC.NSE,2020-02-17,115.005,115.305,110.445,112.395,49.5428,64753575,,,,,,,,,,,,,-1.0,113.7,113.1,73.0,,,,
8,IOC.NSE,2020-02-24,112.8,113.1,100.905,106.245,46.8319,108738047,,,,,,,,,,,,,,,,,,,,
9,IOC.NSE,2020-03-02,108.45,112.905,99.3,100.8,44.4318,114470371,,,,,,,,,,,,,,,,,,,,
10,IOC.NSE,2020-03-09,102.3,105.255,76.005,91.95,40.5308,184545942,,,,,,,,,,,,,-1.0,99.3,93.495,23.0,,,,
11,IOC.NSE,2020-03-16,90.405,93.495,82.395,90.9,40.068,159669099,,,,,,,,,,,,,,,,,,,,
12,IOC.NSE,2020-03-23,82.005,87.255,74.655,76.995,35.6034,119325884,,,,,,,,,,,,,,,,,,,,
13,IOC.NSE,2020-03-30,75.0,82.5,74.445,79.605,36.8103,94882845,-1.0,74.445,,,,38.0,,,,,,,,,,,,,,
14,IOC.NSE,2020-04-07,82.005,85.995,79.995,83.4,38.5651,75146517,,,,,,,,,,,,,,,,,,,,
15,IOC.NSE,2020-04-13,84.495,86.805,81.795,85.995,39.7651,66742463,,,,,,,,,,,,,,,,,,,,
16,IOC.NSE,2020-04-20,87.75,89.505,79.155,81.3,37.5941,99360404,1.0,89.505,,1.0,89.505,22.0,,,,,,,,,,,,,,
17,IOC.NSE,2020-04-27,82.395,84.495,79.305,84.15,38.9119,87322834,,,,,,,,,,,,,,,,,,,,
18,IOC.NSE,2020-05-04,82.65,82.695,72.795,74.505,34.452,120132851,,,,,,,,,,,,,-1.0,79.305,77.895,21.0,,,,
19,IOC.NSE,2020-05-11,75.555,77.895,74.595,75.495,34.9098,108486467,,,,,,,,,,,,,,,,,,,,
20,IOC.NSE,2020-05-18,75.555,75.9,71.145,75.645,34.9791,101615850,-1.0,71.145,,,,,,,,,,,,,,,-1.0,70.933334,132.0,141.0
21,IOC.NSE,2020-05-26,76.605,84.705,76.005,83.505,38.6137,111528650,,,,,,,,,,,,,1.0,84.105,75.9,24.0,,,,
22,IOC.NSE,2020-06-01,85.305,90.045,84.105,89.55,41.409,180990965,,,,,,,,,,,,,1.0,85.005,84.705,24.0,,,,
23,IOC.NSE,2020-06-08,92.895,96.405,85.005,88.35,40.8541,181734229,1.0,96.405,,,,,,,,,,,,,,,1.0,96.52,50.0,54.0
24,IOC.NSE,2020-06-15,88.155,88.245,83.745,85.305,39.446,153994900,,,,,,,,,,,,,,,,,,,,
25,IOC.NSE,2020-06-22,85.845,90.495,84.705,89.1,41.2009,234421331,,,,,,,,,,,,,,,,,,,,
26,IOC.NSE,2020-06-29,89.505,90.705,84.3,87.795,40.5974,128144837,,,,,,,,,,,,,,,,,,,,
27,IOC.NSE,2020-07-06,88.05,89.355,85.395,86.145,39.8345,104082890,,,,,,,,,,,,,,,,,,,,
28,IOC.NSE,2020-07-13,87.0,87.795,82.5,86.895,40.1813,183449252,-1.0,82.5,-1.0,,82.5,37.0,,,,,,,,,,,,,,
29,IOC.NSE,2020-07-20,86.955,95.445,86.145,92.895,42.9557,318791301,,,,,,,,,,,,,,,,,,,,
30,IOC.NSE,2020-07-27,93.6,95.655,87.255,88.545,40.9442,245468003,1.0,95.655,,1.0,95.655,53.0,,,,,,,,,,,,,,
31,IOC.NSE,2020-08-03,88.35,88.395,85.395,86.4,39.9524,180819694,,,,,,,,,,,,,,,,,,,,
32,IOC.NSE,2020-08-10,86.595,88.2,84.555,85.05,39.3281,129203441,,,,,,,,,,,,,,,,,,,,
33,IOC.NSE,2020-08-17,85.245,90.45,85.155,88.8,41.0622,162989958,,,,,,,,,,,,,,,,,,,,
34,IOC.NSE,2020-08-24,88.95,89.4,87.045,88.005,40.6945,117709543,,,,,,,,,,,,,,,,,,,,
35,IOC.NSE,2020-08-31,88.5,91.755,82.755,84.15,38.9119,206823274,,,,,,,,,,,,,-1.0,87.045,84.945,45.0,,,,
36,IOC.NSE,2020-09-07,84.495,84.945,79.305,82.95,38.3571,154128531,,,,,,,,,,,,,,,,,,,,
37,IOC.NSE,2020-09-14,83.205,83.805,80.25,80.805,37.3652,105439897,,,,,,,,,,,,,,,,,,,,
38,IOC.NSE,2020-09-21,80.805,81.0,71.655,73.905,34.1745,167247812,-1.0,71.655,,,,,,,,,,,-1.0,80.25,76.605,40.0,,,,
39,IOC.NSE,2020-09-28,75.0,76.605,73.005,73.95,34.1953,96302105,,,,,,,,,,,,,,,,,,,,
40,IOC.NSE,2020-10-05,74.505,77.505,73.8,76.5,35.3745,117990814,,,,,,,,,,,,,,,,,,,,
41,IOC.NSE,2020-10-12,76.5,77.445,73.755,74.295,34.3549,128102908,,,,,,,,,,,,,,,,,,,,
42,IOC.NSE,2020-10-19,74.595,79.245,74.595,78.195,36.1583,158493010,,,,,,,,,,,,,,,,,,,,
43,IOC.NSE,2020-10-26,78.255,81.9,76.095,79.245,36.6438,169284480,,,,,,,,,,,,,,,,,,,,
44,IOC.NSE,2020-11-02,80.055,80.895,76.845,80.1,37.0392,119883159,,,,,,,,,,,,,,,,,,,,
45,IOC.NSE,2020-11-09,80.445,87.0,80.1,87.0,40.2298,131894233,,,,,,,,,,,,,1.0,83.4,80.895,130.0,,,,
46,IOC.NSE,2020-11-17,87.0,87.0,83.4,84.705,39.1686,103401051,,,,,,,,,,,,,,,,,,,,
47,IOC.NSE,2020-11-23,85.5,87.345,84.0,84.405,39.0299,155534211,,,,,,,,,,,,,,,,,,,,
48,IOC.NSE,2020-12-01,85.005,91.455,84.105,90.405,41.8043,184933204,,,,,,,,,,,,,1.0,90.045,87.345,51.0,,,,
49,IOC.NSE,2020-12-07,90.495,96.105,90.045,93.945,43.4413,225554177,,,,,,,,,,,,,1.0,93.3,91.455,51.0,,,,
50,IOC.NSE,2020-12-14,94.995,97.5,93.3,94.095,43.5106,179343389,1.0,97.5,1.0,,97.5,54.0,,,,,,,,,,,,,,
51,IOC.NSE,2020-12-21,93.405,93.405,84.195,90.255,41.735,189436819,-1.0,84.195,,,,,,,,,,,-1.0,93.3,92.505,53.0,,,,
52,IOC.NSE,2020-12-28,91.005,92.505,90.0,91.65,42.38,95492001,,,,,,,,,,,,,,,,,,,,
53,IOC.NSE,2021-01-04,91.995,96.405,91.8,96.045,44.4123,157578249,,,,,,,,,,,,,1.0,94.605,92.505,56.0,,,,
54,IOC.NSE,2021-01-11,96.195,103.905,94.605,101.505,46.9371,243994496,,,,,,,,,,,,,,,,,,,,
55,IOC.NSE,2021-01-18,101.55,101.85,95.25,95.745,44.2736,180127686,,,,,,,,,,,,,,,,,,,,
56,IOC.NSE,2021-01-25,97.005,97.5,90.255,93.3,43.143,222540152,,,,,,,,,,,,,,,,,,,,
57,IOC.NSE,2021-02-01,95.805,104.595,93.405,102.45,47.3741,348857898,,,,,,,,,,,,,,,,,,,,
58,IOC.NSE,2021-02-08,103.995,104.4,94.605,95.295,47.4762,220590151,,,,,,,,,,,,,,,,,,,,
59,IOC.NSE,2021-02-15,95.55,100.5,94.005,97.5,48.5747,228559388,,,,,,,,,,,,,,,,,,,,
60,IOC.NSE,2021-02-22,97.5,101.955,95.1,97.845,48.7466,274886084,,,,,,,,,,,,,,,,,,,,
61,IOC.NSE,2021-03-01,100.995,104.1,99.795,101.505,50.57,244207914,,,,,,,,,,,,,,,,,,,,
62,IOC.NSE,2021-03-08,102.255,105.0,98.7,101.4,50.5177,203709539,1.0,105.0,1.0,,105.0,73.0,,,,,,,,,,,,,,
63,IOC.NSE,2021-03-15,101.655,102.705,95.4,98.895,49.2697,188110968,,,,,,,,,,,,,,,,,,,,
64,IOC.NSE,2021-03-22,99.645,99.795,90.45,90.945,46.722,163998931,,,,,,,,,,,,,-1.0,95.4,93.345,66.0,,,,
65,IOC.NSE,2021-03-30,91.005,93.345,90.105,93.195,47.8779,73396388,,,,,,,,,,,,,,,,,,,,
66,IOC.NSE,2021-04-05,93.0,93.705,90.045,91.905,47.2152,97569778,,,,,,,,,,,,,,,,,,,,
67,IOC.NSE,2021-04-12,90.105,91.155,86.745,90.405,46.4446,92934471,-1.0,86.745,,,,,,,,,,,,,,,,,,
68,IOC.NSE,2021-04-19,87.945,90.0,86.85,88.095,45.2579,65442197,,,,,,,,,,,,,,,,,,,,
69,IOC.NSE,2021-04-26,88.695,93.105,87.75,90.795,46.645,91392946,,,,,,,,,,,,,,,,,,,,
70,IOC.NSE,2021-05-03,89.85,95.25,89.55,94.845,48.7256,127078067,,,,,,,,,,,,,1.0,95.205,93.105,130.0,,,,
71,IOC.NSE,2021-05-10,95.295,106.605,95.205,100.995,51.8851,262183003,,,,,,,,,,,,,1.0,100.095,95.25,130.0,,,,
72,IOC.NSE,2021-05-17,101.655,109.695,100.095,104.4,53.6344,337041537,,,,,,,,,,,,,,,,,,,,
73,IOC.NSE,2021-05-24,105.0,113.7,105.0,109.8,56.4086,338220938,,,,,,,,,,,,,,,,,,,,
74,IOC.NSE,2021-05-31,109.995,114.945,108.345,114.45,58.7975,152999056,,,,,,,,,,,,,,,,,,,,
75,IOC.NSE,2021-06-07,114.855,117.855,113.355,115.245,59.2059,136621944,1.0,117.855,1.0,,117.855,91.0,,,,,,,,,,,,,,
76,IOC.NSE,2021-06-14,115.245,117.15,111.0,112.65,57.8727,91183295,,,,,,,,,,,,,,,,,,,,
77,IOC.NSE,2021-06-21,111.495,114.855,110.655,111.45,57.2563,68826969,,,,,,,,,,,,,,,,,,,,
78,IOC.NSE,2021-06-28,111.9,111.945,107.355,108.705,55.846,80791814,,,,,,,,,,,,,-1.0,110.655,109.455,87.0,,,,
79,IOC.NSE,2021-07-05,109.455,109.455,106.545,107.355,55.1525,55006136,,,,,,,,,,,,,,,,,,,,
80,IOC.NSE,2021-07-12,107.355,108.3,105.45,106.2,54.5591,53031250,,,,,,,,,,,,,,,,,,,,
81,IOC.NSE,2021-07-19,105.75,107.895,104.55,105.795,54.3511,64032212,,,,,,,,,,,,,,,,,,,,
82,IOC.NSE,2021-07-26,106.005,106.305,102.9,103.395,53.1181,90770426,,,,,,,,,,,,,,,,,,,,
83,IOC.NSE,2021-08-02,104.505,107.505,102.555,106.005,55.2451,86555543,,,,,,,,,,,,,,,,,,,,
84,IOC.NSE,2021-08-09,106.2,106.455,101.895,104.505,54.4634,64558818,-1.0,101.895,,,,,,,,,,,,,,,,,,
85,IOC.NSE,2021-08-16,104.745,108.255,103.005,103.2,53.7833,93137927,,,,,,,,,,,,,,,,,,,,
86,IOC.NSE,2021-08-23,104.895,106.95,102.195,105.645,55.0575,59878075,,,,,,,,,,,,,,,,,,,,
87,IOC.NSE,2021-08-30,106.395,113.505,106.095,112.95,58.8646,110598190,,,,,,,,,,,,,1.0,110.7,106.95,103.0,,,,
88,IOC.NSE,2021-09-06,113.745,114.645,110.7,112.95,58.8646,55158732,,,,,,,,,,,,,,,,,,,,
89,IOC.NSE,2021-09-13,112.8,119.445,112.5,117.795,61.3896,119182910,,,,,,,,,,,,,,,,,,,,
90,IOC.NSE,2021-09-20,116.505,118.95,113.355,117.105,61.03,64855389,,,,,,,,,,,,,,,,,,,,
91,IOC.NSE,2021-09-27,118.155,128.85,117.495,127.05,66.2129,113342657,,,,,,,,,,,,,1.0,125.505,118.95,99.0,,,,
92,IOC.NSE,2021-10-04,127.8,134.895,125.505,131.805,68.6909,112482155,,,,,,,,,,,,,1.0,129.3,128.85,95.0,,,,
93,IOC.NSE,2021-10-11,132.15,135.495,129.3,134.25,69.9652,59259128,,,,,,,,,,,,,,,,,,,,
94,IOC.NSE,2021-10-18,139.995,139.995,129.645,130.845,68.1906,97650288,,,,,,,,,,,,,,,,,,,,
95,IOC.NSE,2021-10-25,131.595,133.005,126.45,127.995,66.7053,70181220,,,,,,,,,,,,,,,,,,,,
96,IOC.NSE,2021-11-01,132.105,135.0,126.6,134.895,70.3013,77479091,,,,,,,,,,,,,,,,,,,,
97,IOC.NSE,2021-11-08,135.0,141.495,132.045,133.2,71.9948,105303691,1.0,141.495,,,,,,,,,,,,,,,,,,
98,IOC.NSE,2021-11-15,133.245,134.145,127.605,129.195,69.8301,38770567,,,,,,,,,,,,,-1.0,132.045,129.9,120.0,,,,
99,IOC.NSE,2021-11-22,129.555,129.9,120.495,121.155,65.4845,63393332,,,,,,,,,,,,,-1.0,127.605,122.85,101.0,,,,
100,IOC.NSE,2021-11-29,119.55,122.85,116.505,122.4,66.1574,98791239,,,,,,,,,,,,,,,,,,,,
101,IOC.NSE,2021-12-06,122.445,123.345,119.445,120.0,64.8602,78173945,,,,,,,,,,,,,,,,,,,,
102,IOC.NSE,2021-12-13,121.005,121.305,112.35,112.995,61.074,89320475,,,,,,,,,,,,,-1.0,119.445,113.505,105.0,,,,
103,IOC.NSE,2021-12-20,112.005,113.505,108.15,110.295,59.6146,79471139,-1.0,108.15,,,,,,,,,,,,,,,-1.0,108.7275,112.0,128.0
104,IOC.NSE,2021-12-27,110.205,112.605,109.05,111.495,60.2632,38485953,,,,,,,,,,,,,,,,,,,,
105,IOC.NSE,2022-01-03,111.495,119.205,111.345,118.455,64.0251,61821699,,,,,,,,,,,,,1.0,118.2,112.605,110.0,,,,
106,IOC.NSE,2022-01-10,118.995,124.395,118.2,123.3,66.6438,64581645,,,,,,,,,,,,,1.0,120.75,119.205,108.0,,,,
107,IOC.NSE,2022-01-17,124.995,125.955,120.75,121.695,65.7763,75550215,,,,,,,,,,,,,,,,,,,,
108,IOC.NSE,2022-01-24,121.005,127.05,119.295,124.5,67.2925,57202698,,,,,,,,,,,,,,,,,,,,
109,IOC.NSE,2022-01-31,126.705,127.995,119.505,124.35,67.2114,93004588,1.0,127.995,1.0,,127.995,120.0,,,,,,,,,,,,,,
110,IOC.NSE,2022-02-07,124.5,124.605,117.75,122.1,68.2413,99186477,,,,,,,,,,,,,,,,,,,,
111,IOC.NSE,2022-02-14,121.005,123.945,114.495,121.095,67.6796,71868317,,,,,,,,,,,,,,,,,,,,
112,IOC.NSE,2022-02-21,120.0,121.155,109.305,112.395,62.8172,76427084,-1.0,109.305,,-1.0,109.305,128.0,,,,,,,,,,,,,,
113,IOC.NSE,2022-02-28,112.8,116.505,110.595,113.295,63.3202,100469439,,,,,,,,,,,,,,,,,,,,
114,IOC.NSE,2022-03-07,113.955,124.395,111.195,123.6,69.0797,128543032,,,,,,,,,,,,,1.0,118.2,116.505,116.0,,,,
115,IOC.NSE,2022-03-14,124.845,124.845,118.2,121.35,67.8222,95696472,,,,,,,,,,,,,,,,,,,,
116,IOC.NSE,2022-03-21,121.8,123.0,117.795,118.845,66.4221,98983026,,,,,,,,,,,,,,,,,,,,
117,IOC.NSE,2022-03-28,119.4,122.445,116.1,121.95,68.1575,237364472,,,,,,,,,,,,,,,,,,,,
118,IOC.NSE,2022-04-04,122.1,127.5,121.5,126.855,70.8989,102685201,,,,,,,,,,,,,1.0,125.205,122.445,121.0,,,,
119,IOC.NSE,2022-04-11,126.9,129.45,125.205,127.755,71.4019,51396910,,,,,,,,,,,,,,,,,,,,
120,IOC.NSE,2022-04-18,127.695,136.05,126.495,134.295,75.0571,112177449,1.0,136.05,,,,,,,,,,,,,,,,,,
121,IOC.NSE,2022-04-25,132.795,132.945,125.1,126.345,70.6138,74492318,,,,,,,,,,,,,,,,,,,,
122,IOC.NSE,2022-05-02,125.955,128.7,122.595,126.105,70.4797,38437967,,,,,,,,,,,,,,,,,,,,
123,IOC.NSE,2022-05-09,125.655,126.3,118.845,121.155,67.7132,95759557,,,,,,,,,,,,,,,,,,,,
124,IOC.NSE,2022-05-16,124.005,126.0,115.5,117.045,65.4161,150963811,,,,,,,,,,,,,,,,,,,,
125,IOC.NSE,2022-05-23,117.6,119.595,111.855,114.195,63.8232,88659210,,,,,,,,,,,,,,,,,,,,
126,IOC.NSE,2022-05-30,115.245,119.25,114.045,118.245,66.0868,78673767,,,,,,,,,,,,,,,,,,,,
127,IOC.NSE,2022-06-06,118.305,120.705,116.445,117.0,65.3909,88202706,,,,,,,,,,,,,,,,,,,,
128,IOC.NSE,2022-06-13,116.295,116.295,103.545,104.895,58.6255,91583138,,,,,,,,,,,,,-1.0,116.445,108.645,130.0,,,,
129,IOC.NSE,2022-06-20,105.105,108.645,101.55,108.645,60.7214,80361804,,,,,,,,,,,,,,,,,,,,
130,IOC.NSE,2022-06-27,109.995,110.85,72.85,74.7,62.6244,115820040,,,,,,,,,,,,,-1.0,101.55,74.7,152.0,,,,
131,IOC.NSE,2022-07-04,74.7,74.7,72.15,72.7,60.9477,81658520,,,,,,,,,,,,,,,,,,,,
132,IOC.NSE,2022-07-11,72.7,72.85,70.0,70.4,59.0195,58210763,-1.0,70.0,-1.0,,70.0,141.0,,,,,,,,,,,,,,
133,IOC.NSE,2022-07-18,70.7,73.1,70.35,72.15,60.4866,43150053,,,,,,,,,,,,,,,,,,,,
134,IOC.NSE,2022-07-25,72.2,73.25,71.25,72.65,60.9058,55751344,,,,,,,,,,,,,,,,,,,,
135,IOC.NSE,2022-08-01,72.5,73.3,70.55,73.0,61.1992,138678760,,,,,,,,,,,,,,,,,,,,
136,IOC.NSE,2022-08-08,73.1,73.75,70.6,71.55,62.0343,74142602,,,,,,,,,,,,,,,,,,,,
137,IOC.NSE,2022-08-16,71.75,73.8,71.25,72.15,62.5545,77522715,1.0,73.8,,1.0,73.8,152.0,-1.0,73.8,71.25,213665380.0,151.0,38.933407,,,,,,,,
138,IOC.NSE,2022-08-22,72.1,72.3,70.25,71.85,62.2944,68516836,,,,,,,,,,,,,,,,,,,,
139,IOC.NSE,2022-08-29,71.15,71.85,70.35,71.3,61.8176,59875601,,,,,,,,,,,,,,,,,,,,
140,IOC.NSE,2022-09-05,71.5,73.75,70.6,72.5,62.858,75766566,,,,,,,,,,,,,,,,,,,,
141,IOC.NSE,2022-09-12,72.85,73.1,69.5,69.8,60.5171,78023208,,,,,,,,,,,,,-1.0,70.6,70.4,149.0,,,,
142,IOC.NSE,2022-09-19,70.25,70.4,67.2,67.55,58.5663,88352906,,,,,,,,,,,,,-1.0,69.5,67.4,144.0,,,,
143,IOC.NSE,2022-09-26,67.2,67.4,65.2,66.95,58.0461,89910470,-1.0,65.2,,,,,1.0,67.4,65.2,242460910.0,0.0,16.218039,,,,,,,,
144,IOC.NSE,2022-10-03,67.25,68.1,66.55,67.4,58.4363,51682686,,,,,,,,,,,,,,,,,,,,
145,IOC.NSE,2022-10-10,67.0,68.0,65.8,66.45,57.6126,58418386,,,,,,,,,,,,,,,,,,,,
146,IOC.NSE,2022-10-17,66.5,68.2,65.55,67.5,58.523,55120962,,,,,,,,,,,,,,,,,,,,
147,IOC.NSE,2022-10-24,68.25,69.2,67.2,68.5,59.39,36345613,,,,,,,,,,,,,,,,,,,,
148,IOC.NSE,2022-10-31,68.5,69.15,68.1,68.7,59.5634,40613771,,,,,,,,,,,,,,,,,,,,
149,IOC.NSE,2022-11-07,68.85,70.5,68.7,69.8,60.5171,38209078,,,,,,,,,,,,,,,,,,,,
150,IOC.NSE,2022-11-14,70.0,70.15,68.75,69.35,60.1269,33835027,,,,,,,,,,,,,,,,,,,,
151,IOC.NSE,2022-11-21,69.35,73.95,69.15,73.3,63.5516,88094160,,,,,,,,,,,,,1.0,73.9,70.15,155.0,,,,
152,IOC.NSE,2022-11-28,73.9,77.2,73.9,76.95,66.7162,120531730,,,,,,,,,,,,,1.0,75.65,73.95,155.0,,,,
153,IOC.NSE,2022-12-05,77.05,78.35,75.65,77.0,66.7595,78925258,,,,,,,,,,,,,,,,,,,,
154,IOC.NSE,2022-12-12,77.0,79.25,76.65,76.95,66.7162,81361296,,,,,,,,,,,,,,,,,,,,
155,IOC.NSE,2022-12-19,77.2,78.15,72.8,73.0,63.2915,61171246,,,,,,,,,,,,,,,,,,,,
156,IOC.NSE,2022-12-26,73.0,77.5,72.35,76.55,66.3694,47745639,,,,,,,,,,,,,,,,,,,,
157,IOC.NSE,2023-01-02,77.0,80.8,76.45,79.95,69.3172,73887621,,,,,,,,,,,,,1.0,79.65,77.5,161.0,,,,
158,IOC.NSE,2023-01-09,80.85,84.05,79.65,82.2,71.268,96950025,1.0,84.05,,,,,,,,,,,1.0,81.0,80.8,160.0,,,,
159,IOC.NSE,2023-01-16,82.45,83.55,81.0,83.0,71.9616,45393104,,,,,,,,,,,,,,,,,,,,
160,IOC.NSE,2023-01-23,83.15,83.8,80.0,81.15,70.3576,33070382,,,,,,,,,,,,,,,,,,,,
161,IOC.NSE,2023-01-30,81.0,83.3,76.9,78.5,68.06,74500509,,,,,,,,,,,,,,,,,,,,
162,IOC.NSE,2023-02-06,78.5,80.7,78.1,79.7,69.1004,37373875,,,,,,,,,,,,,,,,,,,,
163,IOC.NSE,2023-02-13,80.0,81.05,78.45,80.55,69.8374,32919154,,,,,,,,,,,,,,,,,,,,
164,IOC.NSE,2023-02-20,80.7,80.95,76.75,77.35,67.063,33772110,,,,,,,,,,,,,,,,,,,,
165,IOC.NSE,2023-02-27,77.35,78.45,75.8,78.1,67.7132,34436544,-1.0,75.8,,,,,,,,,,,,,,,-1.0,75.775,169.0,0.0
166,IOC.NSE,2023-03-06,78.3,79.8,77.5,78.95,68.4502,26993187,,,,,,,,,,,,,,,,,,,,
167,IOC.NSE,2023-03-13,78.5,80.85,77.25,79.25,68.7103,73904274,,,,,,,,,,,,,,,,,,,,
168,IOC.NSE,2023-03-20,79.2,81.15,78.0,78.2,67.7999,53530104,1.0,81.15,,1.0,81.15,173.0,,,,,,,,,,,,,,
169,IOC.NSE,2023-03-27,78.0,78.4,75.75,78.1,67.7132,31962597,-1.0,75.75,,,,,1.0,78.4,75.75,98705370.0,0.0,24.304897,,,,,,,,
170,IOC.NSE,2023-04-03,77.25,78.25,76.9,77.75,67.4098,23346939,,,,,,,,,,,,,,,,,,,,
171,IOC.NSE,2023-04-10,77.7,78.2,77.0,77.25,66.9763,19299513,,,,,,,,,,,,,,,,,,,,
172,IOC.NSE,2023-04-17,77.2,79.1,76.8,78.15,67.7566,33564712,,,,,,,,,,,,,,,,,,,,
173,IOC.NSE,2023-04-24,78.3,81.55,77.95,81.35,70.531,45841145,,,,,,,,,,,,,1.0,81.4,79.1,0.0,,,,
174,IOC.NSE,2023-05-02,81.75,84.5,81.4,82.65,71.6581,45543107,,,,,,,,,,,,,1.0,82.4,81.55,0.0,,,,
