index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,IRFC.NSE,2021-01-29,24.9,25.8,24.35,24.8,21.0414,381938573,-1.0,24.35,,,,,,,,,,,,,,,,,,
1,IRFC.NSE,2021-02-01,25.25,26.2,23.85,25.65,21.7625,299400899,,,,,,,,,,,,,,,,,,,,
2,IRFC.NSE,2021-02-08,25.9,25.95,25.0,25.4,21.5504,115944580,,,,,,,,,,,,,,,,,,,,
3,IRFC.NSE,2021-02-15,26.2,26.2,24.9,25.4,22.4628,144390333,,,,,,,,,,,,,,,,,,,,
4,IRFC.NSE,2021-02-22,25.3,25.4,24.5,24.65,21.7996,99819357,,,,,,,,,,,,,,,,,,,,
5,IRFC.NSE,2021-03-01,24.65,26.7,24.65,24.95,22.0649,207879116,1.0,26.7,,,,,-1.0,26.7,24.65,346837730.0,94.0,66.84588,,,,,1.0,26.516666,39.0,95.0
6,IRFC.NSE,2021-03-08,25.1,25.5,24.8,24.85,21.9764,66182424,,,,,,,,,,,,,,,,,,,,
7,IRFC.NSE,2021-03-15,24.9,24.95,23.5,23.9,21.1363,72776198,,,,,,,,,,,,,-1.0,24.8,24.5,19.0,,,,
8,IRFC.NSE,2021-03-22,24.0,24.5,22.9,23.0,20.3404,79904783,,,,,,,,,,,,,-1.0,23.5,23.3,15.0,,,,
9,IRFC.NSE,2021-03-30,23.15,23.3,22.7,22.85,20.2077,44448377,,,,,,,,,,,,,,,,,,,,
10,IRFC.NSE,2021-04-05,22.85,22.9,21.9,21.95,19.4118,94121485,,,,,,,,,,,,,-1.0,22.7,22.0,15.0,,,,
11,IRFC.NSE,2021-04-12,21.85,22.0,20.8,21.75,19.2349,81115285,-1.0,20.8,,,,,,,,,,,-1.0,21.9,21.65,15.0,-1.0,21.075,87.0,0.0
12,IRFC.NSE,2021-04-19,21.2,21.65,20.9,21.1,18.6601,47254336,,,,,,,,,,,,,,,,,,,,
13,IRFC.NSE,2021-04-26,21.1,21.5,20.95,21.25,18.7927,61982743,,,,,,,,,,,,,,,,,,,,
14,IRFC.NSE,2021-05-03,21.15,21.25,20.9,21.1,18.6601,69159318,,,,,,,,,,,,,,,,,,,,
15,IRFC.NSE,2021-05-10,21.15,23.85,21.1,23.1,20.4288,136856672,,,,,,,,,,,,,1.0,22.9,21.25,26.0,,,,
16,IRFC.NSE,2021-05-17,23.15,23.65,22.9,23.35,20.6499,79669238,,,,,,,,,,,,,,,,,,,,
17,IRFC.NSE,2021-05-24,23.85,24.25,23.3,23.45,20.7383,79899746,,,,,,,,,,,,,,,,,,,,
18,IRFC.NSE,2021-05-31,23.45,24.0,23.35,23.75,21.0036,76215007,,,,,,,,,,,,,,,,,,,,
19,IRFC.NSE,2021-06-07,24.0,25.0,23.9,24.5,21.6669,129684779,,,,,,,,,,,,,1.0,24.2,24.0,22.0,,,,
20,IRFC.NSE,2021-06-14,24.7,25.6,24.2,24.5,21.6669,201971755,,,,,,,,,,,,,,,,,,,,
21,IRFC.NSE,2021-06-21,24.5,25.3,24.3,24.7,21.8438,63396605,,,,,,,,,,,,,,,,,,,,
22,IRFC.NSE,2021-06-28,25.0,26.45,24.2,24.35,21.5343,187147351,1.0,26.45,,,,,,,,,,,,,,,,,,
23,IRFC.NSE,2021-07-05,24.5,24.65,23.65,23.75,21.0036,77130991,,,,,,,,,,,,,-1.0,24.2,24.05,28.0,,,,
24,IRFC.NSE,2021-07-12,23.95,24.05,23.2,23.3,20.6057,71918247,,,,,,,,,,,,,,,,,,,,
25,IRFC.NSE,2021-07-19,23.25,23.65,23.15,23.35,20.6499,32832909,,,,,,,,,,,,,,,,,,,,
26,IRFC.NSE,2021-07-26,23.25,23.4,22.85,22.95,20.2962,39051086,,,,,,,,,,,,,,,,,,,,
27,IRFC.NSE,2021-08-02,23.15,23.8,23.1,23.55,20.8268,64441712,,,,,,,,,,,,,,,,,,,,
28,IRFC.NSE,2021-08-09,23.55,24.15,22.8,23.75,21.0036,47079172,,,,,,,,,,,,,,,,,,,,
29,IRFC.NSE,2021-08-16,24.25,24.25,22.95,23.0,20.3404,34092072,,,,,,,,,,,,,,,,,,,,
30,IRFC.NSE,2021-08-23,23.15,23.3,22.55,22.85,20.2077,32391394,,,,,,,,,,,,,,,,,,,,
31,IRFC.NSE,2021-08-30,22.9,23.35,22.85,23.05,20.3846,34124241,,,,,,,,,,,,,,,,,,,,
32,IRFC.NSE,2021-09-06,23.1,23.15,22.95,23.1,20.4288,16840366,,,,,,,,,,,,,,,,,,,,
33,IRFC.NSE,2021-09-13,23.1,23.15,22.7,22.8,20.1635,84464189,,,,,,,,,,,,,-1.0,22.95,22.9,35.0,,,,
34,IRFC.NSE,2021-09-20,22.75,22.9,22.25,22.3,19.7213,48950250,-1.0,22.25,,,,,,,,,,,,,,,,,,
35,IRFC.NSE,2021-09-27,22.4,24.0,22.3,23.95,21.1805,91974234,,,,,,,,,,,,,1.0,23.5,22.9,37.0,,,,
36,IRFC.NSE,2021-10-04,24.2,24.55,23.5,23.65,20.9152,99452968,,,,,,,,,,,,,,,,,,,,
37,IRFC.NSE,2021-10-11,23.75,24.1,23.4,23.65,20.9152,42390592,,,,,,,,,,,,,,,,,,,,
38,IRFC.NSE,2021-10-18,23.8,26.15,23.4,25.85,22.8608,220828607,,,,,,,,,,,,,,,,,,,,
39,IRFC.NSE,2021-10-25,26.2,26.4,23.25,24.2,21.4016,129397878,1.0,26.4,,,,,,,,,,,,,,,,,,
40,IRFC.NSE,2021-11-01,24.6,25.5,24.45,25.3,22.3744,64260359,,,,,,,,,,,,,,,,,,,,
41,IRFC.NSE,2021-11-08,25.5,26.0,24.2,24.5,22.3321,87176248,,,,,,,,,,,,,,,,,,,,
42,IRFC.NSE,2021-11-15,24.7,24.75,23.55,23.6,21.5118,31462973,,,,,,,,,,,,,-1.0,24.2,24.0,51.0,,,,
43,IRFC.NSE,2021-11-22,23.5,24.0,23.3,23.35,21.2839,40542569,,,,,,,,,,,,,,,,,,,,
44,IRFC.NSE,2021-11-29,23.15,23.9,22.7,23.45,21.375,46724957,,,,,,,,,,,,,,,,,,,,
45,IRFC.NSE,2021-12-06,23.5,23.8,23.1,23.65,21.5573,28073547,,,,,,,,,,,,,,,,,,,,
46,IRFC.NSE,2021-12-13,23.9,23.9,22.7,22.8,20.7826,32875464,,,,,,,,,,,,,-1.0,23.1,23.05,48.0,,,,
47,IRFC.NSE,2021-12-20,22.75,23.05,22.4,22.55,20.5547,37399614,-1.0,22.4,-1.0,,22.4,55.0,,,,,,,,,,,,,,
48,IRFC.NSE,2021-12-27,22.6,23.05,22.45,22.9,20.8737,17901830,,,,,,,,,,,,,,,,,,,,
49,IRFC.NSE,2022-01-03,22.95,23.2,22.7,22.95,20.9193,32685841,,,,,,,,,,,,,,,,,,,,
50,IRFC.NSE,2022-01-10,23.05,23.75,22.85,23.75,21.6485,50579530,,,,,,,,,,,,,1.0,23.25,23.2,52.0,,,,
51,IRFC.NSE,2022-01-17,23.95,24.35,23.25,23.35,21.2839,43176190,1.0,24.35,,,,,-1.0,24.35,23.25,93585250.0,93.0,51.250343,,,,,1.0,23.3375,85.0,94.0
52,IRFC.NSE,2022-01-24,23.35,23.5,22.5,23.05,21.0104,32185864,,,,,,,,,,,,,,,,,,,,
53,IRFC.NSE,2022-01-31,23.4,23.6,23.0,23.1,21.056,31710842,,,,,,,,,,,,,,,,,,,,
54,IRFC.NSE,2022-02-07,23.1,23.5,22.9,23.0,20.9649,31542209,,,,,,,,,,,,,-1.0,23.0,22.85,59.0,,,,
55,IRFC.NSE,2022-02-14,22.8,22.85,22.0,22.25,20.2812,30332193,,,,,,,,,,,,,-1.0,22.9,22.2,59.0,,,,
