index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,ITC.NSE,2020-01-01,238.6,241.0,237.1,238.5,186.8012,21896294,1.0,241.0,,,,,,,,,,,,,,,1.0,240.1,58.0,90.0
1,ITC.NSE,2020-01-06,237.5,238.75,233.25,238.0,186.4096,42522968,,,,,,,,,,,,,,,,,,,,
2,ITC.NSE,2020-01-13,238.5,243.9,238.25,239.95,187.9369,46325883,,,,,,,,,,,,,,,,,,,,
3,ITC.NSE,2020-01-20,240.05,243.25,236.9,238.15,186.5271,38169112,,,,,,,,,,,,,,,,,,,,
4,ITC.NSE,2020-01-27,237.0,238.4,230.5,235.15,184.1774,70740257,,,,,,,,,,,,,-1.0,236.9,219.9,55.0,,,,
5,ITC.NSE,2020-02-03,215.0,219.9,205.0,213.4,167.1421,181307778,,,,,,,,,,,,,-1.0,230.5,216.95,49.0,,,,
6,ITC.NSE,2020-02-10,214.0,216.95,206.8,207.7,162.6776,72234410,,,,,,,,,,,,,,,,,,,,
7,ITC.NSE,2020-02-17,208.0,208.65,200.5,207.45,162.4818,61144223,,,,,,,,,,,,,,,,,,,,
8,ITC.NSE,2020-02-24,207.0,207.45,192.05,197.55,154.7278,99676312,,,,,,,,,,,,,,,,,,,,
9,ITC.NSE,2020-03-02,199.5,203.45,179.75,181.75,142.3527,110961969,,,,,,,,,,,,,-1.0,192.05,179.0,13.0,,,,
10,ITC.NSE,2020-03-09,179.0,179.0,134.6,162.25,127.0797,163380759,-1.0,134.6,,,,,,,,,,,-1.0,179.75,176.5,13.0,,,,
11,ITC.NSE,2020-03-16,158.0,176.5,144.75,175.5,137.4575,282900574,,,,,,,,,,,,,,,,,,,,
12,ITC.NSE,2020-03-23,158.0,166.0,139.0,163.2,127.8237,257491859,,,,,,,,,,,,,,,,,,,,
13,ITC.NSE,2020-03-30,156.05,182.75,156.05,177.9,139.3373,151760412,,,,,,,,,,,,,1.0,173.65,166.0,18.0,,,,
14,ITC.NSE,2020-04-07,185.7,186.25,173.65,185.25,145.094,116306633,,,,,,,,,,,,,,,,,,,,
15,ITC.NSE,2020-04-13,184.5,193.75,181.05,188.1,147.3263,120584321,1.0,193.75,1.0,,193.75,21.0,,,,,,,,,,,,,,
16,ITC.NSE,2020-04-20,189.95,189.95,176.0,180.05,141.0212,135279076,,,,,,,,,,,,,,,,,,,,
17,ITC.NSE,2020-04-27,180.25,184.9,178.05,182.05,142.5877,82514118,,,,,,,,,,,,,,,,,,,,
