index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,JINDALSTEL.NSE,2020-01-01,167.8,174.6,164.4,171.8,169.4055,67442003,-1.0,164.4,,,,,,,,,,,,,,,,,,
1,JINDALSTEL.NSE,2020-01-06,169.25,179.5,164.05,176.5,174.04,105028177,,,,,,,,,,,,,,,,,,,,
2,JINDALSTEL.NSE,2020-01-13,177.8,181.8,171.15,175.85,173.3991,101522168,,,,,,,,,,,,,,,,,,,,
3,JINDALSTEL.NSE,2020-01-20,175.0,189.8,173.25,189.0,186.3658,101147597,,,,,,,,,,,,,,,,,,,,
4,JINDALSTEL.NSE,2020-01-27,181.0,186.0,165.45,167.0,164.6724,130830461,,,,,,,,,,,,,,,,,,,,
5,JINDALSTEL.NSE,2020-02-03,166.0,202.25,161.7,196.95,194.205,116480043,,,,,,,,,,,,,1.0,189.4,186.0,7.0,,,,
6,JINDALSTEL.NSE,2020-02-10,196.5,202.4,189.4,190.05,187.4012,68935425,1.0,202.4,,1.0,202.4,32.0,,,,,,,,,,,,,,
7,JINDALSTEL.NSE,2020-02-17,192.5,195.9,181.7,192.35,189.6691,53206071,,,,,,,,,,,,,,,,,,,,
8,JINDALSTEL.NSE,2020-02-24,190.4,190.4,146.3,152.5,150.3745,109612602,,,,,,,,,,,,,-1.0,181.7,163.95,26.0,,,,
9,JINDALSTEL.NSE,2020-03-02,161.1,163.95,140.0,146.1,144.0637,109976318,,,,,,,,,,,,,-1.0,146.3,142.0,22.0,,,,
10,JINDALSTEL.NSE,2020-03-09,141.25,142.0,99.2,120.5,118.8205,95996844,,,,,,,,,,,,,-1.0,140.0,116.8,21.0,,,,
11,JINDALSTEL.NSE,2020-03-16,112.3,116.8,91.45,105.9,104.424,96444652,,,,,,,,,,,,,,,,,,,,
12,JINDALSTEL.NSE,2020-03-23,94.1,99.5,86.0,89.0,87.7596,55135331,,,,,,,,,,,,,-1.0,91.45,87.3,14.0,,,,
13,JINDALSTEL.NSE,2020-03-30,84.25,87.3,62.0,62.5,61.6289,125049542,-1.0,62.0,,,,,1.0,87.3,62.0,221694560.0,0.0,51.880558,,,,,,,,
14,JINDALSTEL.NSE,2020-04-07,67.0,97.5,66.5,91.1,89.8303,160613425,,,,,,,,,,,,,,,,,,,,
15,JINDALSTEL.NSE,2020-04-13,92.0,95.85,84.5,92.8,91.5066,105865146,,,,,,,,,,,,,,,,,,,,
16,JINDALSTEL.NSE,2020-04-20,93.25,93.6,78.25,79.0,77.8989,113275594,,,,,,,,,,,,,,,,,,,,
17,JINDALSTEL.NSE,2020-04-27,81.1,96.15,79.6,94.45,93.1336,89739418,,,,,,,,,,,,,,,,,,,,
18,JINDALSTEL.NSE,2020-05-04,88.9,94.0,83.35,89.05,87.8089,99392696,,,,,,,,,,,,,,,,,,,,
19,JINDALSTEL.NSE,2020-05-11,90.3,100.9,84.25,93.8,92.4927,104080591,,,,,,,,,,,,,,,,,,,,
20,JINDALSTEL.NSE,2020-05-18,94.95,99.1,86.75,98.95,97.5709,106468075,,,,,,,,,,,,,,,,,,,,
21,JINDALSTEL.NSE,2020-05-26,100.2,122.4,99.1,121.2,119.5108,145828885,,,,,,,,,,,,,1.0,123.15,99.1,0.0,,,,
22,JINDALSTEL.NSE,2020-06-01,123.2,147.2,123.15,146.5,144.4581,132725795,,,,,,,,,,,,,1.0,131.2,122.4,0.0,,,,
23,JINDALSTEL.NSE,2020-06-08,149.45,150.85,131.2,142.25,140.2674,74100342,,,,,,,,,,,,,,,,,,,,
24,JINDALSTEL.NSE,2020-06-15,142.7,148.05,135.1,145.2,143.1763,67211043,,,,,,,,,,,,,,,,,,,,
25,JINDALSTEL.NSE,2020-06-22,146.0,158.35,143.0,153.75,151.6071,69499366,,,,,,,,,,,,,1.0,148.75,148.05,0.0,,,,
26,JINDALSTEL.NSE,2020-06-29,152.0,164.9,148.75,153.45,151.3113,95105203,,,,,,,,,,,,,,,,,,,,
27,JINDALSTEL.NSE,2020-07-06,156.0,170.0,152.8,168.8,166.4473,87574945,,,,,,,,,,,,,,,,,,,,
28,JINDALSTEL.NSE,2020-07-13,170.5,181.9,164.3,176.3,173.8428,83456074,,,,,,,,,,,,,,,,,,,,
29,JINDALSTEL.NSE,2020-07-20,177.0,181.25,165.6,168.5,166.1515,62929511,,,,,,,,,,,,,,,,,,,,
30,JINDALSTEL.NSE,2020-07-27,169.4,186.8,168.3,185.0,182.4215,75728177,,,,,,,,,,,,,1.0,183.6,181.25,38.0,,,,
31,JINDALSTEL.NSE,2020-08-03,185.5,201.0,183.6,198.05,195.2897,60050043,,,,,,,,,,,,,1.0,196.8,186.8,36.0,,,,
32,JINDALSTEL.NSE,2020-08-10,200.0,222.4,196.8,211.7,208.7494,85916343,,,,,,,,,,,,,1.0,213.15,201.0,35.0,,,,
33,JINDALSTEL.NSE,2020-08-17,215.0,238.75,213.15,225.0,221.864,67467916,1.0,238.75,1.0,,238.75,47.0,,,,,,,,,,,,,,
34,JINDALSTEL.NSE,2020-08-24,226.45,230.65,213.55,216.3,213.2853,56930920,,,,,,,,,,,,,,,,,,,,
35,JINDALSTEL.NSE,2020-08-31,217.0,226.0,201.0,209.7,206.7773,71318511,,,,,,,,,,,,,-1.0,213.55,212.4,42.0,,,,
36,JINDALSTEL.NSE,2020-09-07,211.4,212.4,185.5,201.9,199.086,49425894,,,,,,,,,,,,,,,,,,,,
37,JINDALSTEL.NSE,2020-09-14,211.0,211.5,197.1,198.0,195.2404,28982290,,,,,,,,,,,,,,,,,,,,
38,JINDALSTEL.NSE,2020-09-21,197.9,198.55,159.6,174.4,171.9693,110930173,-1.0,159.6,,,,,1.0,198.55,159.6,130407610.0,0.0,30.779314,-1.0,197.1,194.9,40.0,,,,
39,JINDALSTEL.NSE,2020-09-28,176.05,194.9,175.85,190.0,187.3519,52814756,,,,,,,,,,,,,,,,,,,,
40,JINDALSTEL.NSE,2020-10-05,192.7,202.4,187.2,192.75,190.0635,62419185,,,,,,,,,,,,,,,,,,,,
41,JINDALSTEL.NSE,2020-10-12,193.95,196.7,179.0,193.4,190.7045,29095198,,,,,,,,,,,,,,,,,,,,
42,JINDALSTEL.NSE,2020-10-19,194.2,214.2,190.75,204.5,201.6498,62248080,,,,,,,,,,,,,,,,,,,,
43,JINDALSTEL.NSE,2020-10-26,204.65,204.65,184.5,191.1,188.4365,79350922,,,,,,,,,,,,,,,,,,,,
44,JINDALSTEL.NSE,2020-11-02,191.5,216.0,187.25,210.6,207.6647,77397100,,,,,,,,,,,,,1.0,208.1,204.65,0.0,,,,
45,JINDALSTEL.NSE,2020-11-09,212.3,221.95,208.1,215.1,212.102,30691831,,,,,,,,,,,,,1.0,217.0,216.0,0.0,,,,
46,JINDALSTEL.NSE,2020-11-17,217.0,245.0,217.0,235.05,231.774,45118513,,,,,,,,,,,,,1.0,232.0,221.95,0.0,,,,
