index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,JIOFIN.NSE,2023-08-21,262.0,262.05,202.8,214.5,214.166,394999200,1.0,262.05,,,,,,,,,,,,,,,,,,
1,JIOFIN.NSE,2023-08-28,213.35,245.15,207.25,245.15,244.7683,365221830,,,,,,,,,,,,,,,,,,,,
2,JIOFIN.NSE,2023-09-04,255.3,266.95,246.05,253.2,252.8058,451733730,,,,,,,,,,,,,,,,,,,,
3,JIOFIN.NSE,2023-09-11,256.95,257.7,236.6,239.4,239.0273,133765880,,,,,,,,,,,,,-1.0,246.05,240.85,15.0,,,,
4,JIOFIN.NSE,2023-09-18,240.0,240.85,226.35,227.8,227.4453,114441110,,,,,,,,,,,,,-1.0,236.6,232.9,6.0,,,,
5,JIOFIN.NSE,2023-09-25,230.0,232.9,224.75,231.2,230.84,53989543,,,,,,,,,,,,,,,,,,,,
6,JIOFIN.NSE,2023-10-03,231.5,233.9,223.5,225.1,224.7495,57908800,,,,,,,,,,,,,,,,,,,,
7,JIOFIN.NSE,2023-10-09,223.0,227.7,218.85,224.55,224.2004,49831083,,,,,,,,,,,,,,,,,,,,
8,JIOFIN.NSE,2023-10-16,224.9,233.0,209.05,214.2,213.8665,125981390,,,,,,,,,,,,,,,,,,,,
9,JIOFIN.NSE,2023-10-23,214.0,225.6,204.25,222.9,222.553,84560510,-1.0,204.25,,,,,,,,,,,,,,,,,,
10,JIOFIN.NSE,2023-10-30,224.5,226.2,215.3,219.05,218.709,68740155,,,,,,,,,,,,,,,,,,,,
11,JIOFIN.NSE,2023-11-06,220.4,226.5,213.8,225.55,225.1988,82413580,,,,,,,,,,,,,,,,,,,,
12,JIOFIN.NSE,2023-11-13,223.0,229.3,220.4,220.8,220.4562,65332120,,,,,,,,,,,,,,,,,,,,
13,JIOFIN.NSE,2023-11-20,221.75,227.85,215.05,226.5,226.1474,103729650,,,,,,,,,,,,,,,,,,,,
14,JIOFIN.NSE,2023-11-28,228.05,232.3,222.65,225.5,225.1489,102743490,,,,,,,,,,,,,,,,,,,,
15,JIOFIN.NSE,2023-12-04,229.75,251.6,227.9,244.25,243.8697,169247030,1.0,251.6,1.0,,251.6,20.0,,,,,,,1.0,235.35,232.3,17.0,,,,
16,JIOFIN.NSE,2023-12-11,244.85,247.3,235.35,237.65,237.28,75978653,,,,,,,,,,,,,,,,,,,,
17,JIOFIN.NSE,2023-12-18,241.0,248.2,229.0,236.75,236.3814,102570650,,,,,,,,,,,,,,,,,,,,
18,JIOFIN.NSE,2023-12-26,237.25,238.0,232.25,232.95,232.5873,46445210,,,,,,,,,,,,,,,,,,,,
19,JIOFIN.NSE,2024-01-01,233.35,248.2,232.0,243.65,243.2707,89532492,,,,,,,,,,,,,1.0,239.3,238.0,22.0,,,,
20,JIOFIN.NSE,2024-01-08,246.85,259.35,239.3,255.05,254.6529,136161890,,,,,,,,,,,,,,,,,,,,
21,JIOFIN.NSE,2024-01-15,258.0,269.7,242.15,246.45,246.0663,195608359,,,,,,,,,,,,,,,,,,,,
22,JIOFIN.NSE,2024-01-23,247.85,248.05,237.1,239.85,239.4766,40813990,-1.0,237.1,,,,,,,,,,,,,,,,,,
23,JIOFIN.NSE,2024-01-29,242.0,257.3,240.0,253.8,253.4049,126166880,,,,,,,,,,,,,1.0,255.7,248.05,74.0,,,,
24,JIOFIN.NSE,2024-02-05,256.35,295.7,255.7,273.0,272.575,401697710,,,,,,,,,,,,,1.0,263.7,257.3,74.0,,,,
25,JIOFIN.NSE,2024-02-12,276.1,281.1,263.7,271.9,271.4767,133452930,,,,,,,,,,,,,,,,,,,,
