index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,JSWENERGY.NSE,2020-01-01,69.55,71.45,68.65,70.2,66.5934,2907968,-1.0,68.65,,,,,,,,,,,,,,,,,,
1,JSWENERGY.NSE,2020-01-06,70.15,72.5,66.55,68.4,64.8858,4134117,,,,,,,,,,,,,,,,,,,,
2,JSWENERGY.NSE,2020-01-13,68.75,69.6,67.0,67.45,63.9846,2807062,,,,,,,,,,,,,,,,,,,,
3,JSWENERGY.NSE,2020-01-20,67.5,68.9,66.05,67.5,64.0321,2631913,,,,,,,,,,,,,,,,,,,,
4,JSWENERGY.NSE,2020-01-27,66.7,68.1,62.8,63.05,59.8107,2313734,,,,,,,,,,,,,,,,,,,,
5,JSWENERGY.NSE,2020-02-03,62.0,66.8,59.55,65.35,61.9925,4868792,,,,,,,,,,,,,,,,,,,,
6,JSWENERGY.NSE,2020-02-10,65.4,65.8,62.55,62.85,59.621,3241287,,,,,,,,,,,,,,,,,,,,
7,JSWENERGY.NSE,2020-02-17,62.8,68.4,62.55,63.15,59.9056,7272971,1.0,68.4,,,,,,,,,,,,,,,1.0,67.6375,48.0,55.0
8,JSWENERGY.NSE,2020-02-24,63.0,63.5,55.9,57.3,54.3561,4095737,,,,,,,,,,,,,-1.0,62.55,59.5,33.0,,,,
9,JSWENERGY.NSE,2020-03-02,58.8,59.5,51.8,52.85,50.1347,3460251,,,,,,,,,,,,,-1.0,55.9,52.0,25.0,,,,
10,JSWENERGY.NSE,2020-03-09,51.1,52.0,42.5,47.95,45.4865,4736976,,,,,,,,,,,,,-1.0,51.8,50.7,25.0,,,,
11,JSWENERGY.NSE,2020-03-16,47.9,50.7,34.75,46.75,44.3481,11212527,-1.0,34.75,,,,,,,,,,,,,,,-1.0,36.375,18.0,0.0
12,JSWENERGY.NSE,2020-03-23,38.1,49.0,37.4,44.4,42.1189,6066215,,,,,,,,,,,,,,,,,,,,
