index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,JSWSTEEL.NSE,2020-01-01,270.7,277.0,265.85,272.45,255.2541,23676323,-1.0,265.85,,,,,,,,,,,,,,,,,,
1,JSWSTEEL.NSE,2020-01-06,270.5,280.0,257.0,277.9,260.3601,38026087,,,,,,,,,,,,,,,,,,,,
2,JSWSTEEL.NSE,2020-01-13,278.05,284.0,272.85,273.35,256.0973,27033308,,,,,,,,,,,,,,,,,,,,
3,JSWSTEEL.NSE,2020-01-20,273.5,275.0,264.1,271.9,254.7388,21477610,,,,,,,,,,,,,-1.0,272.85,265.9,5.0,,,,
4,JSWSTEEL.NSE,2020-01-27,265.45,265.9,249.1,250.7,234.8769,47993862,,,,,,,,,,,,,,,,,,,,
5,JSWSTEEL.NSE,2020-02-03,245.5,280.0,243.75,279.3,261.6718,33905087,,,,,,,,,,,,,1.0,273.2,265.9,8.0,,,,
6,JSWSTEEL.NSE,2020-02-10,276.0,296.75,273.2,289.15,270.9001,37356990,1.0,296.75,,,,,,,,,,,,,,,1.0,296.3,35.0,41.0
7,JSWSTEEL.NSE,2020-02-17,289.15,290.9,277.0,281.8,264.014,23459992,,,,,,,,,,,,,,,,,,,,
8,JSWSTEEL.NSE,2020-02-24,277.95,277.95,232.65,235.7,220.8236,49586763,,,,,,,,,,,,,-1.0,277.0,252.75,32.0,,,,
9,JSWSTEEL.NSE,2020-03-02,242.2,252.75,228.2,238.8,223.728,47217261,,,,,,,,,,,,,-1.0,232.65,231.65,31.0,,,,
10,JSWSTEEL.NSE,2020-03-09,229.05,231.65,175.2,214.9,201.3364,44960346,,,,,,,,,,,,,-1.0,228.2,207.15,25.0,,,,
11,JSWSTEEL.NSE,2020-03-16,202.0,207.15,151.7,175.75,164.6574,68247471,,,,,,,,,,,,,-1.0,175.2,164.25,14.0,,,,
12,JSWSTEEL.NSE,2020-03-23,158.2,164.25,136.1,151.45,141.8911,32424645,,,,,,,,,,,,,,,,,,,,
13,JSWSTEEL.NSE,2020-03-30,148.45,152.4,132.5,140.7,131.8196,46343521,-1.0,132.5,,,,,,,,,,,,,,,,,,
14,JSWSTEEL.NSE,2020-04-07,148.05,170.75,145.45,166.3,155.8038,46929245,,,,,,,,,,,,,1.0,161.15,152.4,16.0,,,,
15,JSWSTEEL.NSE,2020-04-13,167.5,179.85,161.15,177.3,166.1096,49704934,,,,,,,,,,,,,,,,,,,,
16,JSWSTEEL.NSE,2020-04-20,183.0,183.0,152.6,153.25,143.5775,46844145,,,,,,,,,,,,,,,,,,,,
17,JSWSTEEL.NSE,2020-04-27,156.0,188.7,155.0,180.65,169.2481,45637281,,,,,,,,,,,,,,,,,,,,
18,JSWSTEEL.NSE,2020-05-04,170.95,176.6,162.35,168.65,158.0055,53351786,,,,,,,,,,,,,,,,,,,,
19,JSWSTEEL.NSE,2020-05-11,170.0,189.0,167.05,174.3,163.2989,48823705,,,,,,,,,,,,,,,,,,,,
20,JSWSTEEL.NSE,2020-05-18,175.8,176.2,162.1,166.15,155.6633,50517443,,,,,,,,,,,,,,,,,,,,
21,JSWSTEEL.NSE,2020-05-26,168.0,189.0,168.0,184.2,172.5741,78516651,,,,,,,,,,,,,1.0,187.15,176.2,23.0,,,,
22,JSWSTEEL.NSE,2020-06-01,188.0,202.4,187.15,197.05,184.613,79292784,,,,,,,,,,,,,,,,,,,,
23,JSWSTEEL.NSE,2020-06-08,202.0,202.0,175.45,188.95,177.0243,48883764,,,,,,,,,,,,,,,,,,,,
24,JSWSTEEL.NSE,2020-06-15,185.95,197.35,179.95,194.3,182.0366,74509740,,,,,,,,,,,,,,,,,,,,
25,JSWSTEEL.NSE,2020-06-22,194.9,207.75,191.0,192.65,180.4907,62144160,,,,,,,,,,,,,,,,,,,,
26,JSWSTEEL.NSE,2020-06-29,192.5,196.5,185.65,190.95,178.898,43129378,,,,,,,,,,,,,,,,,,,,
27,JSWSTEEL.NSE,2020-07-06,192.15,202.75,190.25,193.3,182.9818,65673080,,,,,,,,,,,,,,,,,,,,
28,JSWSTEEL.NSE,2020-07-13,195.4,211.8,191.65,206.75,195.7138,65194407,,,,,,,,,,,,,1.0,203.25,202.75,30.0,,,,
29,JSWSTEEL.NSE,2020-07-20,207.5,214.0,203.25,205.0,194.0572,34842519,,,,,,,,,,,,,,,,,,,,
30,JSWSTEEL.NSE,2020-07-27,202.05,221.95,200.1,220.25,208.4932,45400103,,,,,,,,,,,,,1.0,218.65,214.0,0.0,,,,
31,JSWSTEEL.NSE,2020-08-03,221.0,241.0,218.65,240.2,227.3783,48389781,,,,,,,,,,,,,1.0,238.55,221.95,0.0,,,,
32,JSWSTEEL.NSE,2020-08-10,241.0,267.3,238.55,265.35,251.1858,57379602,,,,,,,,,,,,,1.0,263.2,241.0,38.0,,,,
33,JSWSTEEL.NSE,2020-08-17,266.9,288.0,263.2,281.9,266.8524,53938064,,,,,,,,,,,,,1.0,280.05,267.3,35.0,,,,
34,JSWSTEEL.NSE,2020-08-24,284.15,290.75,280.05,280.7,265.7164,40400274,,,,,,,,,,,,,,,,,,,,
35,JSWSTEEL.NSE,2020-08-31,281.0,295.85,268.45,282.35,267.2783,60032986,1.0,295.85,1.0,,295.85,41.0,,,,,,,,,,,,,,
36,JSWSTEEL.NSE,2020-09-07,281.0,290.25,272.45,287.8,272.4374,46198578,,,,,,,,,,,,,,,,,,,,
37,JSWSTEEL.NSE,2020-09-14,287.1,294.55,283.15,287.7,272.3428,35247111,,,,,,,,,,,,,,,,,,,,
38,JSWSTEEL.NSE,2020-09-21,289.4,290.3,257.55,268.35,254.0256,44040892,-1.0,257.55,,,,,1.0,290.3,257.55,128696344.0,0.0,27.647919,,,,,,,,
39,JSWSTEEL.NSE,2020-09-28,270.95,286.8,269.15,282.05,266.9943,27875004,,,,,,,,,,,,,,,,,,,,
40,JSWSTEEL.NSE,2020-10-05,284.3,298.4,282.45,292.0,276.4132,45913394,,,,,,,,,,,,,,,,,,,,
