index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,KOTAKBANK.NSE,2020-01-01,1689.0,1696.75,1645.55,1659.05,1652.1365,4921234,-1.0,1645.55,,,,,,,,,,,,,,,,,,
1,KOTAKBANK.NSE,2020-01-06,1657.1,1692.0,1638.0,1686.0,1678.9742,12308456,,,,,,,,,,,,,,,,,,,,
2,KOTAKBANK.NSE,2020-01-13,1692.0,1705.85,1665.9,1699.0,1691.92,12052252,,,,,,,,,,,,,,,,,,,,
3,KOTAKBANK.NSE,2020-01-20,1709.0,1709.0,1576.0,1638.05,1631.224,26977285,,,,,,,,,,,,,,,,,,,,
4,KOTAKBANK.NSE,2020-01-27,1628.7,1729.0,1608.4,1655.0,1648.1033,19431542,,,,,,,,,,,,,,,,,,,,
5,KOTAKBANK.NSE,2020-02-03,1645.6,1707.45,1634.0,1654.95,1648.0536,11499992,,,,,,,,,,,,,,,,,,,,
6,KOTAKBANK.NSE,2020-02-10,1660.0,1720.0,1645.7,1682.5,1675.4888,10419504,,,,,,,,,,,,,,,,,,,,
7,KOTAKBANK.NSE,2020-02-17,1685.0,1740.0,1672.25,1685.0,1677.9783,9300241,1.0,1740.0,,,,,,,,,,,,,,,,,,
8,KOTAKBANK.NSE,2020-02-24,1672.0,1689.7,1613.75,1619.95,1613.1994,12480247,,,,,,,,,,,,,,,,,,,,
9,KOTAKBANK.NSE,2020-03-02,1631.0,1676.5,1577.6,1634.05,1627.2406,18814659,,,,,,,,,,,,,,,,,,,,
10,KOTAKBANK.NSE,2020-03-09,1595.0,1609.95,1172.05,1478.05,1471.8907,29466789,,,,,,,,,,,,,-1.0,1577.6,1444.75,12.0,,,,
11,KOTAKBANK.NSE,2020-03-16,1417.0,1444.75,1001.0,1266.95,1261.6704,42866493,-1.0,1001.0,,,,,,,,,,,,,,,,,,
12,KOTAKBANK.NSE,2020-03-23,1137.5,1450.0,1041.1,1390.35,1384.5562,37995498,,,,,,,,,,,,,,,,,,,,
13,KOTAKBANK.NSE,2020-03-30,1345.2,1380.0,1087.0,1158.2,1153.3736,30997355,,,,,,,,,,,,,,,,,,,,
14,KOTAKBANK.NSE,2020-04-07,1221.0,1281.2,1160.35,1266.0,1260.7244,24055178,,,,,,,,,,,,,,,,,,,,
