index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,LICI.NSE,2022-05-17,872.0,918.95,825.0,826.15,802.13,72163356,1.0,918.95,,,,,,,,,,,,,,,,,,
1,LICI.NSE,2022-05-23,826.15,852.7,801.0,821.6,797.71,25757818,,,,,,,,,,,,,,,,,,,,
2,LICI.NSE,2022-05-30,829.9,841.4,800.0,800.25,776.98,12795386,,,,,,,,,,,,,,,,,,,,
3,LICI.NSE,2022-06-06,800.25,801.7,708.05,709.7,689.06,18104816,,,,,,,,,,,,,-1.0,800.0,709.7,7.0,,,,
4,LICI.NSE,2022-06-13,690.9,709.7,651.0,654.55,635.52,30427599,,,,,,,,,,,,,-1.0,708.05,684.9,6.0,,,,
5,LICI.NSE,2022-06-20,660.45,684.9,650.0,661.65,642.41,12893094,-1.0,650.0,-1.0,,650.0,18.0,,,,,,,,,,,,,,
6,LICI.NSE,2022-06-27,670.0,696.85,657.8,676.65,656.98,10075679,,,,,,,,,,,,,,,,,,,,
7,LICI.NSE,2022-07-04,678.0,714.7,678.0,708.1,687.51,10743921,,,,,,,,,,,,,1.0,704.35,696.85,9.0,,,,
8,LICI.NSE,2022-07-11,707.95,724.4,704.35,708.5,687.9,5755372,1.0,724.4,,,,81.0,,,,,,,,,,,,,,
9,LICI.NSE,2022-07-18,710.0,713.65,686.75,688.65,668.63,6339224,,,,,,,,,,,,,-1.0,704.35,690.0,11.0,,,,
10,LICI.NSE,2022-07-25,688.0,690.0,672.9,677.8,658.09,4286225,,,,,,,,,,,,,,,,,,,,
11,LICI.NSE,2022-08-01,680.0,694.95,670.7,687.35,667.36,7866107,,,,,,,,,,,,,,,,,,,,
12,LICI.NSE,2022-08-08,680.35,689.8,678.5,682.4,662.56,4271554,,,,,,,,,,,,,,,,,,,,
13,LICI.NSE,2022-08-16,693.0,706.6,683.1,685.95,666.0,7886359,,,,,,,,,,,,,,,,,,,,
14,LICI.NSE,2022-08-22,684.9,684.9,670.25,678.85,660.58,5415556,,,,,,,,,,,,,-1.0,683.1,676.95,17.0,,,,
15,LICI.NSE,2022-08-29,670.0,676.95,664.0,664.65,646.76,4023218,,,,,,,,,,,,,-1.0,670.25,669.15,17.0,,,,
16,LICI.NSE,2022-09-05,666.0,669.15,651.0,653.3,635.71,7046698,,,,,,,,,,,,,,,,,,,,
17,LICI.NSE,2022-09-12,655.0,678.0,651.6,654.8,637.17,12500181,,,,,,,,,,,,,,,,,,,,
18,LICI.NSE,2022-09-19,658.3,665.05,642.0,642.8,625.5,5335518,,,,,,,,,,,,,-1.0,651.6,641.0,26.0,,,,
19,LICI.NSE,2022-09-26,640.0,641.0,617.0,621.65,604.92,4708409,,,,,,,,,,,,,-1.0,642.0,635.8,25.0,,,,
20,LICI.NSE,2022-10-03,622.0,635.8,619.25,624.5,607.69,3016157,,,,,,,,,,,,,,,,,,,,
21,LICI.NSE,2022-10-10,622.7,625.95,611.0,612.8,596.3,3643232,,,,,,,,,,,,,-1.0,619.25,613.55,24.0,,,,
22,LICI.NSE,2022-10-17,612.8,613.55,588.0,589.2,573.34,5003342,-1.0,588.0,,-1.0,588.0,40.0,,,,,,,-1.0,611.0,601.0,24.0,-1.0,585.175,37.0,41.0
23,LICI.NSE,2022-10-24,593.0,601.0,591.25,592.7,576.75,2383452,,,,,,,,,,,,,,,,,,,,
24,LICI.NSE,2022-10-31,606.9,630.9,602.8,628.05,611.14,8046996,,,,,,,,,,,,,1.0,618.6,601.0,37.0,,,,
25,LICI.NSE,2022-11-07,629.0,638.0,618.6,627.7,610.8,3439528,,,,,,,,,,,,,,,,,,,,
26,LICI.NSE,2022-11-14,663.95,684.9,636.7,638.8,621.6,14293255,,,,,,,,,,,,,,,,,,,,
27,LICI.NSE,2022-11-21,639.9,640.3,620.05,627.75,610.85,4793717,,,,,,,,,,,,,,,,,,,,
28,LICI.NSE,2022-11-28,628.0,658.1,627.75,651.25,633.72,7110700,,,,,,,,,,,,,1.0,649.0,640.3,37.0,,,,
29,LICI.NSE,2022-12-05,651.1,676.1,649.0,671.85,653.76,7863442,,,,,,,,,,,,,1.0,670.1,658.1,31.0,,,,
30,LICI.NSE,2022-12-12,672.0,732.0,670.1,688.55,670.02,23125182,,,,,,,,,,,,,,,,,,,,
31,LICI.NSE,2022-12-19,689.8,754.25,655.1,658.75,641.02,27627928,1.0,754.25,,,,,,,,,,,,,,,,,,
32,LICI.NSE,2022-12-26,661.0,698.7,661.0,684.6,666.17,7392246,,,,,,,,,,,,,,,,,,,,
33,LICI.NSE,2023-01-02,685.0,746.0,684.7,707.3,688.26,14834008,,,,,,,,,,,,,1.0,703.1,698.7,35.0,,,,
34,LICI.NSE,2023-01-09,716.0,723.5,703.1,712.8,693.61,6535374,,,,,,,,,,,,,,,,,,,,
35,LICI.NSE,2023-01-16,714.0,718.6,695.1,698.55,679.75,3509698,,,,,,,,,,,,,,,,,,,,
36,LICI.NSE,2023-01-23,700.0,714.5,660.0,665.95,648.02,4224727,,,,,,,,,,,,,-1.0,695.1,684.0,68.0,,,,
37,LICI.NSE,2023-01-30,649.0,684.0,582.35,599.05,582.92,16816610,-1.0,582.35,-1.0,,582.35,43.0,,,,,,,-1.0,660.0,640.0,57.0,,,,
38,LICI.NSE,2023-02-06,602.0,640.0,597.0,620.05,603.36,10403656,,,,,,,-1.0,640.0,597.0,18350456.0,57.0,94.631805,,,,,,,,
39,LICI.NSE,2023-02-13,621.0,623.65,595.1,602.65,586.43,5123034,,,,,,,,,,,,,,,,,,,,
40,LICI.NSE,2023-02-20,605.0,605.0,584.0,584.6,568.86,4332258,,,,,,,,,,,,,,,,,,,,
41,LICI.NSE,2023-02-27,584.6,619.0,566.0,615.45,598.88,9428293,,,,,,,,,,,,,,,,,,,,
42,LICI.NSE,2023-03-06,620.0,625.0,590.05,595.5,579.47,4419467,1.0,625.0,,1.0,625.0,58.0,,,,,,,,,,,,,,
43,LICI.NSE,2023-03-13,595.5,598.5,570.75,579.9,564.29,4502697,,,,,,,,,,,,,-1.0,590.05,579.05,53.0,,,,
44,LICI.NSE,2023-03-20,579.0,579.05,559.0,560.0,544.93,4489244,,,,,,,,,,,,,-1.0,570.75,562.65,50.0,,,,
45,LICI.NSE,2023-03-27,560.1,562.65,530.05,534.35,519.97,7839537,-1.0,530.05,,,,,1.0,562.65,530.05,20333064.0,0.0,25.273436,-1.0,559.0,556.4,50.0,,,,
46,LICI.NSE,2023-04-03,540.0,556.4,537.6,550.55,535.73,3471669,,,,,,,,,,,,,,,,,,,,
47,LICI.NSE,2023-04-10,554.45,556.0,548.2,550.95,536.12,2722767,,,,,,,,,,,,,,,,,,,,
48,LICI.NSE,2023-04-17,550.95,556.2,544.0,548.0,533.25,3430252,,,,,,,,,,,,,,,,,,,,
49,LICI.NSE,2023-04-24,548.9,556.0,543.0,549.9,535.1,4315550,,,,,,,,,,,,,,,,,,,,
50,LICI.NSE,2023-05-02,552.0,566.6,549.1,560.05,544.97,8868181,,,,,,,,,,,,,,,,,,,,
51,LICI.NSE,2023-05-08,563.0,567.0,555.1,562.1,546.97,4283141,,,,,,,,,,,,,,,,,,,,
52,LICI.NSE,2023-05-15,564.0,576.85,561.2,565.0,549.79,5408292,,,,,,,,,,,,,,,,,,,,
53,LICI.NSE,2023-05-22,569.0,615.5,566.7,604.3,588.03,13105550,,,,,,,,,,,,,1.0,593.0,576.85,0.0,,,,
54,LICI.NSE,2023-05-29,610.0,610.1,593.0,596.85,580.78,3775103,,,,,,,,,,,,,,,,,,,,
55,LICI.NSE,2023-06-05,598.5,610.4,595.95,601.95,585.75,4017159,,,,,,,,,,,,,,,,,,,,
56,LICI.NSE,2023-06-12,598.8,606.7,595.05,604.45,588.18,4102118,,,,,,,,,,,,,,,,,,,,
57,LICI.NSE,2023-06-19,605.0,654.0,603.55,624.95,608.13,11781306,,,,,,,,,,,,,1.0,611.75,606.7,75.0,,,,
58,LICI.NSE,2023-06-26,624.95,633.5,611.75,632.25,615.23,4449641,,,,,,,,,,,,,,,,,,,,
59,LICI.NSE,2023-07-03,635.0,637.85,621.25,622.6,605.84,3418009,,,,,,,,,,,,,,,,,,,,
60,LICI.NSE,2023-07-10,623.0,629.9,614.25,618.7,602.05,3260390,,,,,,,,,,,,,,,,,,,,
61,LICI.NSE,2023-07-17,617.5,642.9,617.5,635.75,621.64,5100047,,,,,,,,,,,,,,,,,,,,
62,LICI.NSE,2023-07-24,635.75,640.0,621.05,626.75,612.84,3602466,,,,,,,,,,,,,,,,,,,,
63,LICI.NSE,2023-07-31,627.0,665.0,627.0,658.5,643.89,9626570,,,,,,,,,,,,,,,,,,,,
64,LICI.NSE,2023-08-07,659.1,679.0,639.7,659.85,645.21,8826194,1.0,679.0,,,,81.0,,,,,,,,,,,,,,
65,LICI.NSE,2023-08-14,660.0,662.0,648.05,650.8,636.36,3861166,,,,,,,,,,,,,,,,,,,,
66,LICI.NSE,2023-08-21,651.1,667.9,645.0,648.35,633.96,4472178,,,,,,,,,,,,,,,,,,,,
67,LICI.NSE,2023-08-28,649.75,660.5,643.05,645.75,631.42,3299575,-1.0,643.05,,-1.0,643.05,73.0,,,,,,,,,,,,,,
68,LICI.NSE,2023-09-04,647.0,691.0,647.0,674.15,659.19,13314918,1.0,691.0,,1.0,691.0,81.0,-1.0,691.0,647.0,9378217.0,80.0,56.750042,,,,,,,,
69,LICI.NSE,2023-09-11,677.65,684.9,654.55,667.5,652.69,6668710,,,,,,,,,,,,,,,,,,,,
70,LICI.NSE,2023-09-18,667.5,671.8,649.0,651.3,636.85,3155786,,,,,,,,,,,,,-1.0,654.55,653.0,79.0,,,,
