index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,LODHA.NSE,2021-04-19,436.0,542.76,422.6,530.7,263.6582,40836936,1.0,542.76,,,,,,,,,,,,,,,,,,
1,LODHA.NSE,2021-04-26,532.0,621.9,532.0,593.7,294.9574,14923082,,,,,,,,,,,,,1.0,570.2,542.76,110.0,,,,
2,LODHA.NSE,2021-05-03,590.0,638.0,570.2,631.76,313.866,4997808,,,,,,,,,,,,,,,,,,,,
3,LODHA.NSE,2021-05-10,630.0,758.1,614.5,647.9,321.8846,6841942,,,,,,,,,,,,,,,,,,,,
4,LODHA.NSE,2021-05-17,648.0,657.0,614.5,644.34,320.1159,5912538,,,,,,,,,,,,,,,,,,,,
5,LODHA.NSE,2021-05-24,648.96,652.0,610.0,635.16,315.5552,2995594,-1.0,610.0,,,,,,,,,,,,,,,,,,
6,LODHA.NSE,2021-05-31,634.84,641.5,617.0,627.7,311.849,2038960,,,,,,,,,,,,,,,,,,,,
7,LODHA.NSE,2021-06-07,633.7,710.0,631.54,672.9,334.3049,8530408,,,,,,,,,,,,,,,,,,,,
8,LODHA.NSE,2021-06-14,670.26,718.04,632.1,681.0,338.3291,5554872,,,,,,,,,,,,,,,,,,,,
9,LODHA.NSE,2021-06-21,675.0,713.1,666.8,676.26,335.9742,2291918,,,,,,,,,,,,,,,,,,,,
10,LODHA.NSE,2021-06-28,674.0,704.4,668.5,676.2,335.9444,2796502,,,,,,,,,,,,,,,,,,,,
11,LODHA.NSE,2021-07-05,684.9,789.0,645.0,772.66,383.8669,7873270,,,,,,,,,,,,,1.0,769.66,704.4,16.0,,,,
12,LODHA.NSE,2021-07-12,790.0,872.5,769.66,852.6,423.582,7622570,,,,,,,,,,,,,,,,,,,,
13,LODHA.NSE,2021-07-19,824.0,867.0,788.0,844.84,419.7268,3991700,,,,,,,,,,,,,,,,,,,,
14,LODHA.NSE,2021-07-26,841.96,885.34,816.04,853.8,424.1782,3463588,,,,,,,,,,,,,,,,,,,,
15,LODHA.NSE,2021-08-02,860.0,944.9,835.2,874.1,434.2635,5625038,1.0,944.9,1.0,,944.9,19.0,,,,,,,,,,,,,,
16,LODHA.NSE,2021-08-09,879.16,884.7,761.34,871.6,433.0215,3613660,-1.0,761.34,,,,,,,,,,,,,,,,,,
17,LODHA.NSE,2021-08-16,870.0,883.0,837.7,852.84,423.7013,1328142,,,,,,,,,,,,,,,,,,,,
