index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,LTIM.NSE,2020-01-01,1750.1,1839.0,1750.1,1812.55,1693.3305,335873,-1.0,1750.1,,,,,,,,,,,,,,,,,,
1,LTIM.NSE,2020-01-06,1802.0,1864.0,1778.0,1820.4,1700.6642,719538,,,,,,,,,,,,,,,,,,,,
2,LTIM.NSE,2020-01-13,1830.0,2003.0,1815.05,1902.35,1777.224,1858380,,,,,,,,,,,,,1.0,1875.05,1864.0,8.0,,,,
3,LTIM.NSE,2020-01-20,1921.0,1975.0,1875.05,1960.8,1831.8295,627490,,,,,,,,,,,,,,,,,,,,
4,LTIM.NSE,2020-01-27,1950.0,1968.5,1914.0,1940.25,1812.6311,281972,,,,,,,,,,,,,,,,,,,,
5,LTIM.NSE,2020-02-03,1970.0,1986.0,1901.0,1944.65,1816.7417,666163,,,,,,,,,,,,,,,,,,,,
6,LTIM.NSE,2020-02-10,1954.0,2050.0,1927.0,2032.5,1898.8134,784382,1.0,2050.0,,1.0,2050.0,27.0,-1.0,2050.0,1927.0,1545774.0,27.0,35.871914,,,,,,,,
7,LTIM.NSE,2020-02-17,2030.0,2039.95,1935.0,2005.95,1874.0097,306811,,,,,,,,,,,,,,,,,,,,
8,LTIM.NSE,2020-02-24,2010.0,2020.0,1852.4,1910.15,1784.5109,408104,,,,,,,,,,,,,,,,,,,,
9,LTIM.NSE,2020-03-02,1901.05,1985.0,1846.0,1897.5,1772.693,393924,,,,,,,,,,,,,,,,,,,,
10,LTIM.NSE,2020-03-09,1885.0,1900.3,1355.0,1620.35,1513.7724,743746,,,,,,,,,,,,,-1.0,1846.0,1600.0,17.0,,,,
11,LTIM.NSE,2020-03-16,1588.0,1600.0,1210.0,1511.45,1412.0352,1050199,-1.0,1210.0,,,,,1.0,1600.0,1210.0,2203595.0,0.0,33.522163,,,,,,,,
12,LTIM.NSE,2020-03-23,1240.0,1510.0,1228.0,1393.85,1302.1703,577403,,,,,,,,,,,,,,,,,,,,
13,LTIM.NSE,2020-03-30,1365.8,1490.0,1340.1,1354.15,1265.0815,365219,,,,,,,,,,,,,,,,,,,,
14,LTIM.NSE,2020-04-07,1395.0,1445.0,1335.55,1398.65,1306.6546,427707,,,,,,,,,,,,,,,,,,,,
15,LTIM.NSE,2020-04-13,1413.0,1524.5,1393.55,1444.7,1349.6757,553132,,,,,,,,,,,,,,,,,,,,
16,LTIM.NSE,2020-04-20,1474.95,1510.0,1385.05,1433.8,1339.4926,849539,,,,,,,,,,,,,,,,,,,,
17,LTIM.NSE,2020-04-27,1452.25,1650.0,1421.35,1592.95,1488.1746,836807,,,,,,,,,,,,,,,,,,,,
18,LTIM.NSE,2020-05-04,1570.0,1614.0,1503.25,1584.65,1480.4205,522562,,,,,,,,,,,,,,,,,,,,
19,LTIM.NSE,2020-05-11,1600.0,1689.0,1590.8,1645.8,1537.5484,754689,,,,,,,,,,,,,,,,,,,,
20,LTIM.NSE,2020-05-18,1655.0,1839.0,1600.0,1786.65,1669.1341,1336528,,,,,,,,,,,,,1.0,1767.05,1689.0,0.0,,,,
21,LTIM.NSE,2020-05-26,1795.0,1818.95,1767.05,1798.85,1680.5316,331644,,,,,,,,,,,,,,,,,,,,
22,LTIM.NSE,2020-06-01,1795.0,1894.0,1795.0,1857.25,1735.0904,751415,,,,,,,,,,,,,,,,,,,,
23,LTIM.NSE,2020-06-08,1873.15,1899.0,1801.0,1850.0,1728.3173,427342,,,,,,,,,,,,,,,,,,,,
24,LTIM.NSE,2020-06-15,1846.0,1920.1,1841.0,1869.85,1746.8616,424838,,,,,,,,,,,,,,,,,,,,
25,LTIM.NSE,2020-06-22,1870.0,1953.0,1863.4,1928.7,1801.8408,553236,,,,,,,,,,,,,,,,,,,,
26,LTIM.NSE,2020-06-29,1925.0,1998.75,1890.15,1978.25,1848.1317,582574,,,,,,,,,,,,,1.0,1980.0,1953.0,0.0,,,,
27,LTIM.NSE,2020-07-06,1995.25,2120.0,1980.0,2109.65,1985.8767,1067785,,,,,,,,,,,,,1.0,2116.5,1998.75,0.0,,,,
28,LTIM.NSE,2020-07-13,2123.0,2336.0,2116.5,2264.0,2131.171,1503624,,,,,,,,,,,,,1.0,2195.0,2120.0,0.0,,,,
29,LTIM.NSE,2020-07-20,2200.0,2359.0,2195.0,2274.4,2140.9608,910387,,,,,,,,,,,,,,,,,,,,
30,LTIM.NSE,2020-07-27,2261.0,2489.0,2261.0,2416.8,2275.0062,1246498,,,,,,,,,,,,,1.0,2413.65,2359.0,33.0,,,,
31,LTIM.NSE,2020-08-03,2417.0,2529.0,2413.65,2467.6,2322.8257,1212782,,,,,,,,,,,,,,,,,,,,
32,LTIM.NSE,2020-08-10,2475.0,2530.0,2425.0,2440.0,2296.845,715784,,,,,,,,,,,,,,,,,,,,
33,LTIM.NSE,2020-08-17,2451.1,2468.9,2354.75,2367.55,2228.6457,551774,,,,,,,,,,,,,,,,,,,,
34,LTIM.NSE,2020-08-24,2388.0,2530.0,2329.0,2519.6,2371.7749,1059604,,,,,,,,,,,,,,,,,,,,
35,LTIM.NSE,2020-08-31,2515.0,2550.0,2406.6,2478.6,2333.1804,897860,,,,,,,,,,,,,,,,,,,,
36,LTIM.NSE,2020-09-07,2475.0,2524.85,2403.0,2499.4,2352.76,675242,,,,,,,,,,,,,,,,,,,,
37,LTIM.NSE,2020-09-14,2506.0,2794.35,2500.0,2706.9,2548.086,2239981,,,,,,,,,,,,,,,,,,,,
38,LTIM.NSE,2020-09-21,2644.0,2734.3,2311.6,2473.7,2328.5678,2465074,,,,,,,,,,,,,,,,,,,,
39,LTIM.NSE,2020-09-28,2489.0,2595.0,2466.15,2527.25,2378.9761,765703,,,,,,,,,,,,,,,,,,,,
40,LTIM.NSE,2020-10-05,2553.5,2959.0,2520.0,2927.25,2755.508,1694666,,,,,,,,,,,,,1.0,2936.0,2595.0,43.0,,,,
41,LTIM.NSE,2020-10-12,2937.25,3512.7,2936.0,3075.15,2894.7307,5236293,1.0,3512.7,1.0,,3512.7,51.0,,,,,,,,,,,,,,
42,LTIM.NSE,2020-10-19,3090.35,3145.2,2951.0,3061.15,2881.5521,2520670,,,,,,,,,,,,,,,,,,,,
43,LTIM.NSE,2020-10-26,3085.0,3102.0,2826.75,2918.5,2761.0805,1637401,-1.0,2826.75,,,,,1.0,3102.0,2826.75,5756435.0,0.0,24.512053,,,,,,,,
44,LTIM.NSE,2020-11-02,2900.0,3229.9,2831.0,3168.25,2997.3593,1571953,,,,,,,,,,,,,,,,,,,,
45,LTIM.NSE,2020-11-09,3204.0,3290.0,2900.0,3037.85,2873.9929,2019696,,,,,,,,,,,,,,,,,,,,
46,LTIM.NSE,2020-11-17,3050.0,3107.1,2954.65,3091.6,2924.8437,1546319,,,,,,,,,,,,,,,,,,,,
47,LTIM.NSE,2020-11-23,3120.0,3418.0,3032.8,3200.45,3027.8225,8316869,,,,,,,,,,,,,1.0,3202.05,3107.1,0.0,,,,
