index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,LT.NSE,2020-01-01,1308.4,1348.0,1303.0,1335.05,1217.8157,9519228,1.0,1348.0,,,,,,,,,,,,,,,,,,
1,LT.NSE,2020-01-06,1331.0,1339.5,1283.35,1324.6,1208.2833,13300943,,,,,,,,,,,,,,,,,,,,
2,LT.NSE,2020-01-13,1329.0,1339.4,1302.0,1304.2,1189.6747,10714393,,,,,,,,,,,,,,,,,,,,
3,LT.NSE,2020-01-20,1313.95,1367.85,1292.0,1359.2,1239.845,22247192,,,,,,,,,,,,,,,,,,,,
4,LT.NSE,2020-01-27,1340.0,1377.0,1338.0,1369.3,1249.0581,15224151,,,,,,,,,,,,,,,,,,,,
5,LT.NSE,2020-02-03,1290.0,1325.0,1272.0,1299.0,1184.9313,19000028,,,,,,,,,,,,,,,,,,,,
6,LT.NSE,2020-02-10,1300.0,1304.95,1273.1,1295.15,1181.4194,11135139,,,,,,,,,,,,,,,,,,,,
7,LT.NSE,2020-02-17,1297.0,1299.0,1266.45,1280.6,1168.1471,9358036,,,,,,,,,,,,,-1.0,1273.1,1271.9,50.0,,,,
8,LT.NSE,2020-02-24,1271.9,1271.9,1162.0,1187.55,1083.2681,22558420,,,,,,,,,,,,,-1.0,1266.45,1212.35,49.0,,,,
9,LT.NSE,2020-03-02,1205.0,1212.35,1130.85,1158.9,1057.1339,16028891,,,,,,,,,,,,,-1.0,1162.0,1135.8,46.0,,,,
10,LT.NSE,2020-03-09,1135.8,1135.8,890.0,1051.45,959.1194,30984461,,,,,,,,,,,,,-1.0,1130.85,1042.0,45.0,,,,
11,LT.NSE,2020-03-16,1014.25,1042.0,831.3,864.7,788.7684,30360245,,,,,,,,,,,,,,,,,,,,
12,LT.NSE,2020-03-23,809.0,890.0,661.0,837.05,774.2396,46143387,-1.0,661.0,,,,,,,,,,,,,,,,,,
13,LT.NSE,2020-03-30,801.0,823.0,762.8,774.65,716.5219,20892519,,,,,,,,,,,,,,,,,,,,
14,LT.NSE,2020-04-07,805.0,834.35,791.0,812.8,751.8093,18330385,,,,,,,,,,,,,,,,,,,,
15,LT.NSE,2020-04-13,812.8,940.0,807.95,932.9,862.8972,32706348,,,,,,,,,,,,,,,,,,,,
16,LT.NSE,2020-04-20,940.8,943.0,834.15,851.2,787.3278,30453091,1.0,943.0,1.0,,943.0,22.0,,,,,,,,,,,,,,
17,LT.NSE,2020-04-27,861.95,916.8,852.1,897.55,830.1998,19167303,,,,,,,,,,,,,,,,,,,,
18,LT.NSE,2020-05-04,880.0,880.0,810.0,815.95,754.7229,21980176,,,,,,,,,,,,,,,,,,,,
19,LT.NSE,2020-05-11,821.2,885.0,804.0,864.4,799.5373,26965230,,,,,,,,,,,,,,,,,,,,
20,LT.NSE,2020-05-18,869.9,870.0,791.7,815.7,754.4916,27003732,-1.0,791.7,,,,,1.0,870.0,791.7,89167000.0,0.0,43.44001,,,,,,,,
21,LT.NSE,2020-05-26,821.9,937.5,821.0,932.25,862.296,31142131,,,,,,,,,,,,,1.0,913.05,870.0,23.0,,,,
22,LT.NSE,2020-06-01,944.65,974.15,913.05,955.25,883.5701,31021140,,,,,,,,,,,,,,,,,,,,
23,LT.NSE,2020-06-08,979.5,995.0,890.0,926.4,856.885,29166747,1.0,995.0,,,,45.0,,,,,,,,,,,1.0,1009.975,33.0,45.0
24,LT.NSE,2020-06-15,921.8,929.45,874.0,898.2,830.801,25604667,-1.0,874.0,,,,,,,,,,,,,,,-1.0,858.5,38.0,0.0
25,LT.NSE,2020-06-22,905.0,989.9,896.0,962.2,889.9986,47467182,,,,,,,,,,,,,,,,,,,,
26,LT.NSE,2020-06-29,950.0,956.1,917.0,944.25,873.3955,25129066,,,,,,,,,,,,,,,,,,,,
