index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,M&M.NSE,2020-01-01,532.9,541.0,529.55,532.75,506.0388,7319210,-1.0,529.55,,,,,,,,,,,,,,,,,,
1,M&M.NSE,2020-01-06,529.9,547.6,519.0,546.6,519.1944,11036617,,,,,,,,,,,,,1.0,546.6,541.0,5.0,,,,
2,M&M.NSE,2020-01-13,548.9,574.0,546.6,569.3,540.7562,13690091,,,,,,,,,,,,,1.0,549.0,547.6,5.0,,,,
3,M&M.NSE,2020-01-20,569.0,574.0,549.0,567.75,539.284,11210351,,,,,,,,,,,,,,,,,,,,
4,M&M.NSE,2020-01-27,565.0,589.75,563.0,567.15,538.714,14532137,,,,,,,,,,,,,,,,,,,,
5,M&M.NSE,2020-02-03,545.0,589.85,535.2,569.1,540.5663,16223060,1.0,589.85,,1.0,589.85,29.0,-1.0,589.85,535.2,56135600.0,28.0,34.930115,,,,,,,,
6,M&M.NSE,2020-02-10,566.8,567.0,520.65,523.0,496.7777,25380403,,,,,,,,,,,,,-1.0,535.2,533.0,26.0,,,,
7,M&M.NSE,2020-02-17,524.1,533.0,514.1,524.85,498.5349,9551675,,,,,,,,,,,,,,,,,,,,
8,M&M.NSE,2020-02-24,522.0,522.0,453.6,457.05,434.1343,21727929,,,,,,,,,,,,,-1.0,514.1,482.5,22.0,,,,
9,M&M.NSE,2020-03-02,453.55,482.5,444.35,471.0,447.3848,28304909,,,,,,,,,,,,,,,,,,,,
10,M&M.NSE,2020-03-09,453.55,469.65,345.65,428.85,407.3482,25284360,,,,,,,,,,,,,-1.0,444.35,428.6,20.0,,,,
11,M&M.NSE,2020-03-16,421.0,428.6,302.0,322.6,306.4254,33584600,,,,,,,,,,,,,-1.0,345.65,309.9,14.0,,,,
12,M&M.NSE,2020-03-23,299.0,309.9,245.4,294.5,279.7343,39148682,-1.0,245.4,,,,,1.0,309.9,245.4,106113780.0,0.0,62.930412,-1.0,302.0,290.0,14.0,,,,
13,M&M.NSE,2020-03-30,281.7,290.0,265.5,280.7,266.6262,28121689,,,,,,,,,,,,,,,,,,,,
14,M&M.NSE,2020-04-07,295.5,391.65,292.75,381.4,362.2772,30273917,,,,,,,,,,,,,1.0,343.0,290.0,16.0,,,,
15,M&M.NSE,2020-04-13,380.0,380.0,343.0,363.2,344.9898,31352278,,,,,,,,,,,,,,,,,,,,
16,M&M.NSE,2020-04-20,367.0,367.45,320.6,334.3,317.5388,34402648,,,,,,,,,,,,,,,,,,,,
