index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,MARUTI.NSE,2020-01-01,7377.0,7409.95,7226.0,7254.25,6890.7638,1823530,1.0,7409.95,,,,,,,,,,,,,,,,,,
1,MARUTI.NSE,2020-01-06,7200.0,7349.9,6980.45,7330.5,6963.1931,3678360,,,,,,,,,,,,,,,,,,,,
2,MARUTI.NSE,2020-01-13,7332.0,7569.9,7279.8,7520.15,7143.3404,3169592,,,,,,,,,,,,,,,,,,,,
3,MARUTI.NSE,2020-01-20,7521.25,7529.5,7107.95,7128.45,6771.2672,3133873,,,,,,,,,,,,,-1.0,7279.8,7225.0,5.0,,,,
4,MARUTI.NSE,2020-01-27,7101.5,7225.0,6895.55,6913.5,6567.0876,4636958,,,,,,,,,,,,,,,,,,,,
5,MARUTI.NSE,2020-02-03,6780.0,7231.6,6780.0,6971.75,6622.4189,4223859,,,,,,,,,,,,,,,,,,,,
6,MARUTI.NSE,2020-02-10,6975.0,7110.0,6851.1,6913.8,6567.3726,3274325,,,,,,,,,,,,,,,,,,,,
7,MARUTI.NSE,2020-02-17,6920.0,6980.0,6624.6,6757.6,6418.9992,3010678,,,,,,,,,,,,,-1.0,6851.1,6710.0,31.0,,,,
8,MARUTI.NSE,2020-02-24,6710.0,6710.0,6103.2,6283.1,5968.2748,6598481,,,,,,,,,,,,,-1.0,6624.6,6480.0,31.0,,,,
9,MARUTI.NSE,2020-03-02,6400.95,6480.0,6100.15,6445.95,6122.965,4760075,,,,,,,,,,,,,,,,,,,,
10,MARUTI.NSE,2020-03-09,6301.0,6374.0,4803.05,5838.6,5546.0473,4845228,,,,,,,,,,,,,-1.0,6100.15,5746.95,22.0,,,,
11,MARUTI.NSE,2020-03-16,5638.6,5746.95,4652.55,5079.2,4824.6983,7314558,,,,,,,,,,,,,,,,,,,,
12,MARUTI.NSE,2020-03-23,4575.0,5159.4,4030.0,4646.1,4413.2994,7685428,,,,,,,,,,,,,,,,,,,,
13,MARUTI.NSE,2020-03-30,4587.45,4639.95,4001.1,4011.5,3810.4971,6716993,-1.0,4001.1,,,,,,,,,,,,,,,,,,
14,MARUTI.NSE,2020-04-07,4150.0,5399.0,4120.0,5326.65,5059.7494,9273655,,,,,,,,,,,,,1.0,4970.0,4639.95,16.0,,,,
15,MARUTI.NSE,2020-04-13,5285.0,5602.95,4970.0,5505.0,5229.1628,8231858,1.0,5602.95,1.0,,5602.95,21.0,,,,,,,,,,,,,,
16,MARUTI.NSE,2020-04-20,5512.0,5573.95,4884.5,5045.65,4792.8293,7914929,,,,,,,,,,,,,,,,,,,,
17,MARUTI.NSE,2020-04-27,5150.1,5425.0,4990.25,5358.8,5090.2884,5983550,,,,,,,,,,,,,,,,,,,,
18,MARUTI.NSE,2020-05-04,5096.0,5130.25,4637.5,4654.15,4420.9461,8886868,-1.0,4637.5,,,,,1.0,5130.25,4637.5,33728948.0,0.0,74.31141,,,,,,,,
19,MARUTI.NSE,2020-05-11,4750.0,5317.45,4690.05,5100.4,4844.836,14379126,,,,,,,,,,,,,,,,,,,,
20,MARUTI.NSE,2020-05-18,5080.4,5150.0,4680.55,5134.3,4877.0374,10594600,,,,,,,,,,,,,,,,,,,,
21,MARUTI.NSE,2020-05-26,5200.0,5666.75,5135.4,5610.8,5329.6616,8755223,,,,,,,,,,,,,1.0,5572.0,5150.0,23.0,,,,
22,MARUTI.NSE,2020-06-01,5690.0,5864.65,5572.0,5746.2,5458.2771,8983279,,,,,,,,,,,,,,,,,,,,
23,MARUTI.NSE,2020-06-08,5850.0,5850.0,5201.0,5561.75,5283.0693,7776976,,,,,,,,,,,,,,,,,,,,
24,MARUTI.NSE,2020-06-15,5520.0,5935.0,5391.05,5897.35,5601.8535,9605131,,,,,,,,,,,,,,,,,,,,
25,MARUTI.NSE,2020-06-22,5900.0,6007.2,5651.0,5754.9,5466.5412,6493342,,,,,,,,,,,,,,,,,,,,
26,MARUTI.NSE,2020-06-29,5730.0,5988.6,5650.0,5932.1,5634.8623,6934154,,,,,,,,,,,,,,,,,,,,
27,MARUTI.NSE,2020-07-06,5963.45,6250.0,5921.0,5955.65,5657.2323,6601122,,,,,,,,,,,,,,,,,,,,
28,MARUTI.NSE,2020-07-13,6000.0,6059.25,5750.0,5919.5,5622.8936,5713513,,,,,,,,,,,,,,,,,,,,
29,MARUTI.NSE,2020-07-20,5935.0,6150.0,5812.0,6000.7,5700.025,5402371,,,,,,,,,,,,,,,,,,,,
30,MARUTI.NSE,2020-07-27,6008.0,6393.65,5928.05,6262.75,5948.9445,8566044,,,,,,,,,,,,,,,,,,,,
