index,symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept
0,NAUKRI.NSE,2020-01-01,2533.3,2590.0,2521.15,2567.45,504.4734,1868875,-1.0,2521.15,,,,,,,,,,,,,,,,,,
1,NAUKRI.NSE,2020-01-06,2567.45,2578.0,2501.1,2548.8,500.8089,2532160,,,,,,,,,,,,,,,,,,,,
2,NAUKRI.NSE,2020-01-13,2564.65,2620.0,2470.0,2600.45,510.9575,7887840,,,,,,,,,,,,,,,,,,,,
3,NAUKRI.NSE,2020-01-20,2605.0,2757.45,2504.7,2708.05,532.0996,7711875,,,,,,,,,,,,,1.0,2671.1,2620.0,8.0,,,,
4,NAUKRI.NSE,2020-01-27,2708.0,2935.0,2671.1,2847.65,559.5294,6873325,,,,,,,,,,,,,,,,,,,,
5,NAUKRI.NSE,2020-02-03,2676.1,3130.0,2675.6,3078.3,604.8493,7882705,1.0,3130.0,,1.0,3130.0,29.0,,,,,,,,,,,,,,
6,NAUKRI.NSE,2020-02-10,3097.5,3128.0,2820.0,2850.15,560.0206,8195995,,,,,,,,,,,,,,,,,,,,
7,NAUKRI.NSE,2020-02-17,2836.0,2911.05,2751.1,2840.45,558.8009,3731855,,,,,,,,,,,,,,,,,,,,
8,NAUKRI.NSE,2020-02-24,2839.55,2839.55,2323.3,2593.35,510.189,7977325,,,,,,,,,,,,,,,,,,,,
9,NAUKRI.NSE,2020-03-02,2648.0,2805.0,2550.0,2648.3,520.9992,9179805,,,,,,,,,,,,,,,,,,,,
10,NAUKRI.NSE,2020-03-09,2575.0,2607.5,2131.55,2292.45,450.993,7478060,,,,,,,,,,,,,-1.0,2550.0,2272.1,14.0,,,,
11,NAUKRI.NSE,2020-03-16,2231.0,2272.1,1740.0,1951.6,383.9377,8997310,,,,,,,,,,,,,,,,,,,,
12,NAUKRI.NSE,2020-03-23,1800.0,2196.0,1581.1,2050.45,403.3844,11420840,-1.0,1581.1,,,,,1.0,2196.0,1581.1,26262616.0,278.0,32.592026,,,,,,,,
13,NAUKRI.NSE,2020-03-30,2000.1,2167.25,1900.0,2006.65,394.7676,9954365,,,,,,,,,,,,,,,,,,,,
14,NAUKRI.NSE,2020-04-07,2050.0,2407.95,2050.0,2241.95,441.0581,4344160,,,,,,,,,,,,,,,,,,,,
15,NAUKRI.NSE,2020-04-13,2222.0,2524.0,2140.5,2486.55,489.1782,10541395,,,,,,,,,,,,,,,,,,,,
16,NAUKRI.NSE,2020-04-20,2495.0,2556.0,2303.0,2327.1,457.8097,9368180,,,,,,,,,,,,,,,,,,,,
17,NAUKRI.NSE,2020-04-27,2360.25,2577.5,2289.3,2547.6,501.1886,6642385,,,,,,,,,,,,,,,,,,,,
18,NAUKRI.NSE,2020-05-04,2488.0,2742.15,2461.15,2697.95,530.7669,11408230,,,,,,,,,,,,,,,,,,,,
19,NAUKRI.NSE,2020-05-11,2679.6,2718.65,2500.0,2591.65,509.8545,8184435,,,,,,,,,,,,,,,,,,,,
